卡牌的ID	卡牌名称	卡牌资源	卡牌头像资源	战斗资源	初始等级	等级上限	突破次数	突破效果	品质	职业	资质	说明	操作者	所属俱乐部	出售价格	吞噬经验	等级成长	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	闪避率	物理暴击	魔法暴击	格挡率	格挡值	命中率	生命值成长率	物理攻击成长率	物理防御成长率	魔法攻击成长率	魔法防御成长率	物理抗暴击成长率	魔法抗暴击成长率	闪避率成长率	物理暴击成长率	魔法暴击成长率	格挡率成长率	格挡值成长率	命中率成长率	普通攻击	技能1	技能2	技能3	技能4	普通攻击权重	技能1权重	技能2权重	技能3权重	功能4	围绕最小距离	围绕最大距离	AI配置	起身技能概率	反击技能概率	跟随	卡牌ID	BOSS
54002001	一叶知秋	oYYZQ.png	card_oYYZQ.png	3003	5	100	5	0	5	40	12			0	0	0	120	3150	113	62	0	63	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40480040	1:30481001:1	15:30482001:2	25:30483001:3	0	100	100	200	300	0	100	150	30032	0	0	500	54002	0
54102001	鸳飘霜飒	oLLYC.png	card_oLLYC.png	3009	5	100	5	0	5	41	10			0	0	0	100	3150	0	62	108	63	3	3	250	0	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40035041	1:30351001:1	15:30352001:2	30:30353001:3	0	100	100	200	300	0	600	900	30092	0	0	500	54102	0
31002101	河木	bLM.png	card_bLM.png	1001	5	100	3	0	3	10	5			0	0	0	50	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40000010	3:30131001:1	15:30132001:2	0	0	100	100	200	0	0	100	150	30142	0	0	500	31002	1
31008101	岚溪	bLH.png	card_bLH.png	3015	5	100	5	0	3	10	5			0	0	0	50	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40520010	15:30521001:1	20:30522001:2	80:30523001:3	0	100	100	200	0	0	100	150	30152	0	0	500	31008	1
31304101	白如霜	bRQY.png	card_bRQY.png	1001	5	100	3	0	3	13	4			0	0	0	40	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40000013	3:30121001:1	15:30122001:2	0	0	100	100	200	0	0	100	150	30012	0	0	500	31304	1
32005101	拂枪	bXQ.png	card_bXQ.png	2001	5	100	3	0	3	20	5			0	0	0	50	3150	0	68	136	69	3	3	250	0	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40000020	3:30141001:1	15:30142001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	32005	1
32104101	花下绿	bLXH.png	card_bYXH.png	2001	5	100	3	0	3	21	4			0	0	0	40	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40000021	3:30101001:1	15:30102001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	32104	1
32202101	深林疑人	bQHMR.png	card_bQHMR.png	2001	5	100	3	0	3	22	4			0	0	0	40	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40000022	3:30111001:1	15:30112001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	32202	1
34305101	烈日光灭	bLHYJ.png	card_bLHYJ.png	3016	5	100	5	0	3	43	4			0	0	0	90	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40000040	1:30531001:1	15:30532001:2	0	0	100	100	200	300	0	100	150	30162	0	0	500	34305	1
41103101	又眠一冬	pZSYX.png	card_pZSYX.png	3012	5	100	5	0	4	11	8			0	0	0	80	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40027011	5:30271001:1	20:30272001:2	35:30273001:3	0	100	100	200	300	0	100	150	30122	0	0	500	41103	1
41203101	神雕	pGK.png	card_pGK.png	3010	5	100	5	0	4	12	6			0	0	0	60	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40016012	6:30161001:1	15:30162001:2	35:30163001:3	0	100	100	200	300	0	100	150	30102	0	0	500	41203	1
42006101	瞿雾施	pZYX.png	card_pZYX.png	3004	5	100	5	0	4	20	6			0	0	0	60	3150	0	68	136	69	3	3	250	0	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40019020	11:30191001:1	15:30192001:2	20:30193001:3	0	100	100	200	300	0	500	600	30042	0	0	500	42006	1
43102101	包子	pBZRQ.png	card_pBZRQ.png	3008	5	100	5	0	4	31	9			0	0	0	90	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40032031	4:30321001:1	15:30322001:2	25:30323001:3	0	100	100	200	300	0	100	100	30082	0	0	500	43102	1
43202101	气吞山河	pQCYS.png	card_pQCYS.png	3013	5	100	5	0	4	32	8			0	0	0	80	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40290032	5:30291001:1	15:30292001:2	25:30293001:3	0	100	100	200	300	0	100	100	30132	0	0	500	43202	1
44003101	冷雾柔	pHYR.png	card_pHYR.png	3007	5	100	5	0	4	40	9			0	0	0	90	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40510040	9:30511001:1	15:30512001:2	20:30513001:3	0	100	100	200	300	0	100	150	30072	0	0	500	44003	1
51005101	寂寞无言	oYYSF.png	card_oYYSF.png	3014	5	100	5	0	5	10	12			0	0	0	120	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40330010	1:30331001:1	15:30332001:2	25:30333001:3	0	100	100	200	300	0	100	150	30142	0	0	500	51005	1
51006101	潭剑	oFDJ.png	card_oFDJ.png	3006	5	100	5	0	5	10	10			0	0	0	100	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40034010	1:30341001:1	15:30342001:2	30:30343001:3	0	100	100	200	300	0	100	150	30062	0	0	500	51006	1
52205101	千叶纷飞	oBHLL.png	card_oBHLL.png	3011	5	100	5	0	5	22	12			0	0	0	120	3150	142	68	136	69	3	3	250	13	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40420022	1:30421001:1	20:30422001:2	35:30423001:3	0	100	100	200	300	0	500	600	30112	0	0	500	52205	1
53002101	孤漠如雪	oDMGY.png	card_oDMGY.png	3005	5	100	5	0	5	30	12			0	0	0	120	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40430030	6:30431001:1	15:30432001:2	20:30433001:3	0	100	100	200	300	0	100	100	30052	0	0	500	53002	1
54002101	一叶知秋	oYYZQ.png	card_oYYZQ.png	3003	5	100	5	0	5	40	12			0	0	0	120	3150	142	68	0	69	3	3	250	13	0	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40480040	1:30481001:1	15:30482001:2	25:30483001:3	0	100	100	200	300	0	100	150	30032	0	0	500	54002	1
54102101	鸳飘霜飒	oLLYC.png	card_oLLYC.png	3009	5	100	5	0	5	41	10			0	0	0	100	3150	0	68	136	69	3	3	250	0	13	0	8000	114	0	0	0	0	0	0	0	0	0	0	0	0	0	40035041	1:30351001:1	15:30352001:2	30:30353001:3	0	100	100	200	300	0	600	900	30092	0	0	500	54102	1
11007002	花中行	wYZM.png	card_wYZM.png	1001	10	100	0	0	1	10	1			0	0	0	10	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000010	5:30491001:1	0	0	0	100	100	0	0	0	100	150	30012	0	0	500	11007	0
12002002	蔷薇绕枝	wJX.png	card_wJX.png	2001	10	100	0	0	1	20	1			0	0	0	10	6480	0	109	225	112	284	284	250	0	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000020	5:30011001:1	0	0	0	100	100	0	0	0	500	600	30022	0	0	500	12002	0
12003002	迎风回浪	wMHP.png	card_wMHP.png	2001	10	100	0	0	1	20	1			0	0	0	10	6480	0	109	225	112	284	284	250	0	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000020	5:30021001:1	0	0	0	100	100	0	0	0	500	600	30022	0	0	500	12003	0
12102002	血污天使	wDLTS.png	card_wDLTS.png	2001	10	100	0	0	1	21	1			0	0	0	10	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000021	5:30031001:1	0	0	0	100	100	0	0	0	500	600	30022	0	0	500	12102	0
14303002	情风醉梦	wZYQC.png	card_wZYQC.png	3016	10	100	0	0	1	43	1			0	0	0	10	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	30000043	1:30193000:1	0	0	0	100	100	200	300	0	100	150	30162	0	0	500	14303	0
21102002	蓝狂	gXF.png	card_gXF.png	1001	10	100	0	0	2	11	3			0	0	0	30	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000011	4:30091001:1	15:30092001:2	0	0	100	100	200	0	0	100	150	30012	0	0	500	21102	0
21202002	极昼极夜	gBYHZ.png	card_gHYBZ.png	1001	10	100	0	0	2	12	2			0	0	0	20	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000012	4:30041001:1	15:30042001:2	0	0	100	100	200	0	0	100	150	30012	0	0	500	21202	0
21302002	伤怨刀	gLHJ.png	card_gLHJ.png	1001	10	100	0	0	2	13	2			0	0	0	20	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000013	4:30051001:1	15:30052001:2	0	0	100	100	200	0	0	100	150	30012	0	0	500	21302	0
21303002	银白色	gHHS.png	card_gHHS.png	1001	10	100	0	0	2	13	2			0	0	0	20	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000013	4:30061001:1	15:30062001:2	0	0	100	100	200	0	0	100	150	30012	0	0	500	21303	0
22004002	垂杨蘸绿	gFLYM.png	card_gFSYM.png	2001	10	100	0	0	2	20	2			0	0	0	20	6480	0	109	225	112	284	284	250	0	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000020	4:30071001:1	15:30072001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	22004	0
22103002	悔不觉	gZBY.png	card_gZBY.png	2001	10	100	0	0	2	21	2			0	0	0	20	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000021	4:30081001:1	15:30082001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	22103	0
24004002	惊鹤	gQC.png	card_gQC.png	3016	10	100	0	0	2	40	3			0	0	0	6	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000040	5:30531001:1	20:30532001:2	0	0	100	100	200	300	0	100	150	30162	0	0	500	24004	0
24304002	平车前	gCQZ.png	card_gCQZ.png	3016	10	100	5	0	2	43	3			0	0	0	90	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000040	1:30531001:1	15:30532001:2	0	0	100	100	200	300	0	100	150	30162	0	0	500	24304	0
31002002	河木	bLM.png	card_bLM.png	1001	10	100	3	0	3	10	5			0	0	0	50	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000010	3:30131001:1	15:30132001:2	0	0	100	100	200	0	0	100	150	30142	0	0	500	31002	0
31008002	岚溪	bLH.png	card_bLH.png	3015	10	100	5	0	3	10	5			0	0	0	50	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40520010	15:30521001:1	20:30522001:2	80:30523001:3	0	100	100	200	0	0	100	150	30152	0	0	500	31008	0
31304002	白如霜	bRQY.png	card_bRQY.png	1001	10	100	3	0	3	13	4			0	0	0	40	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000013	3:30121001:1	15:30122001:2	0	0	100	100	200	0	0	100	150	30012	0	0	500	31304	0
32005002	拂枪	bXQ.png	card_bXQ.png	2001	10	100	3	0	3	20	5			0	0	0	50	6480	0	109	225	112	284	284	250	0	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000020	3:30141001:1	15:30142001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	32005	0
32104002	花下绿	bLXH.png	card_bYXH.png	2001	10	100	3	0	3	21	4			0	0	0	40	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000021	3:30101001:1	15:30102001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	32104	0
32202002	深林疑人	bQHMR.png	card_bQHMR.png	2001	10	100	3	0	3	22	4			0	0	0	40	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000022	3:30111001:1	15:30112001:2	0	0	100	100	200	0	0	500	600	30022	0	0	500	32202	0
34305002	烈日光灭	bLHYJ.png	card_bLHYJ.png	3016	10	100	5	0	3	43	4			0	0	0	90	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40000040	1:30531001:1	15:30532001:2	0	0	100	100	200	300	0	100	150	30162	0	0	500	34305	0
41103002	又眠一冬	pZSYX.png	card_pZSYX.png	3012	10	100	5	0	4	11	8			0	0	0	80	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40027011	5:30271001:1	20:30272001:2	35:30273001:3	0	100	100	200	300	0	100	150	30122	0	0	500	41103	0
41203002	神雕	pGK.png	card_pGK.png	3010	10	100	5	0	4	12	6			0	0	0	60	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40016012	6:30161001:1	15:30162001:2	35:30163001:3	0	100	100	200	300	0	100	150	30102	0	0	500	41203	0
42006002	瞿雾施	pZYX.png	card_pZYX.png	3004	10	100	5	0	4	20	6			0	0	0	60	6480	0	109	225	112	284	284	250	0	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40019020	11:30191001:1	15:30192001:2	20:30193001:3	0	100	100	200	300	0	500	600	30042	0	0	500	42006	0
43102002	包子	pBZRQ.png	card_pBZRQ.png	3008	10	100	5	0	4	31	9			0	0	0	90	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40032031	4:30321001:1	15:30322001:2	25:30323001:3	0	100	100	200	300	0	100	100	30082	0	0	500	43102	0
43202002	气吞山河	pQCYS.png	card_pQCYS.png	3013	10	100	5	0	4	32	8			0	0	0	80	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40290032	5:30291001:1	15:30292001:2	25:30293001:3	0	100	100	200	300	0	100	100	30132	0	0	500	43202	0
44003002	冷雾柔	pHYR.png	card_pHYR.png	3007	10	100	5	0	4	40	9			0	0	0	90	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40510040	9:30511001:1	15:30512001:2	20:30513001:3	0	100	100	200	300	0	100	150	30072	0	0	500	44003	0
51005002	寂寞无言	oYYSF.png	card_oYYSF.png	3014	10	100	5	0	5	10	12			0	0	0	120	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40330010	1:30331001:1	15:30332001:2	25:30333001:3	0	100	100	200	300	0	100	150	30142	0	0	500	51005	0
51006002	潭剑	oFDJ.png	card_oFDJ.png	3006	10	100	5	0	5	10	10			0	0	0	100	6480	235	109	0	112	284	284	250	41	0	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40034010	1:30341001:1	15:30342001:2	30:30343001:3	0	100	100	200	300	0	100	150	30062	0	0	500	51006	0
52205002	千叶纷飞	oBHLL.png	card_oBHLL.png	3011	10	100	5	0	5	22	12			0	0	0	120	6480	235	109	225	112	284	284	250	41	41	0	8000	215.25	0	0	0	0	0	0	0	0	0	0	0	0	0	40420022	1:30421001:1	20:30422001:2	35:30423001:3	0	100	100	200	300	0	500	600	30112	0	0	500	52205	0
