熔炼ID	匹配熔炼值段	熔炼奖励	宝石孔位	洗练属性
42	2300:2349;	401042;402042;403042;404042;405042;408042;	4	4
43	2350:2399;	401043;402043;403043;404043;405043;408043;	4	4
44	2400:2449;	401044;402044;403044;404044;405044;408044;	4	4
45	2450:2499;	401045;402045;403045;404045;405045;408045;	4	4
46	2500:2549;	401046;402046;403046;404046;405046;408046;	4	4
47	2550:2599;	401047;402047;403047;404047;405047;408047;	4	4
48	2600:2649;	401048;402048;403048;404048;405048;408048;	4	4
49	2650:2699;	401049;402049;403049;404049;405049;408049;	4	4
50	2700:2749;	401050;402050;403050;404050;405050;408050;	4	4
51	2750:2799;	401051;402051;403051;404051;405051;408051;	4	4
52	2800:2849;	401052;402052;403052;404052;405052;408052;	4	4
53	2850:2899;	401053;402053;403053;404053;405053;408053;	4	4
54	2900:2949;	401054;402054;403054;404054;405054;408054;	4	4
55	2950:2999;	401055;402055;403055;404055;405055;408055;	4	4
56	3000:3049;	401056;402056;403056;404056;405056;408056;	4	4
57	3050:3099;	401057;402057;403057;404057;405057;408057;	4	4
58	3100:3149;	401058;402058;403058;404058;405058;408058;	4	4
59	3150:3199;	401059;402059;403059;404059;405059;408059;	4	4
60	3200:3249;	401060;402060;403060;404060;405060;408060;	4	4
61	3250:3299;	401061;402061;403061;404061;405061;408061;	4	4
62	3300:3349;	401062;402062;403062;404062;405062;408062;	4	4
63	3350:3399;	401063;402063;403063;404063;405063;408063;	4	4
64	3400:3449;	401064;402064;403064;404064;405064;408064;	4	4
65	3450:3499;	401065;402065;403065;404065;405065;408065;	4	4
66	3500:3549;	401066;402066;403066;404066;405066;408066;	4	4
67	3550:3599;	401067;402067;403067;404067;405067;408067;	4	4
68	3600:3649;	401068;402068;403068;404068;405068;408068;	4	4
69	3650:3699;	401069;402069;403069;404069;405069;408069;	4	4
70	3700:3749;	401070;402070;403070;404070;405070;408070;	4	4
71	3750:3799;	401071;402071;403071;404071;405071;408071;	4	4
72	3800:3849;	401072;402072;403072;404072;405072;408072;	4	4
73	3850:3899;	401073;402073;403073;404073;405073;408073;	4	4
74	3900:3949;	401074;402074;403074;404074;405074;408074;	4	4
75	3950:3999;	401075;402075;403075;404075;405075;408075;	4	4
76	4000:4049;	401076;402076;403076;404076;405076;408076;	4	4
77	4050:4099;	401077;402077;403077;404077;405077;408077;	4	4
78	4100:4149;	401078;402078;403078;404078;405078;408078;	4	4
79	4150:4199;	401079;402079;403079;404079;405079;408079;	4	4
80	4200:4249;	401080;402080;403080;404080;405080;408080;	4	4
81	4250:4299;	401081;402081;403081;404081;405081;408081;	4	4
82	4300:4349;	401082;402082;403082;404082;405082;408082;	4	4
83	4350:4399;	401083;402083;403083;404083;405083;408083;	4	4
84	4400:4449;	401084;402084;403084;404084;405084;408084;	4	4
85	4450:4499;	401085;402085;403085;404085;405085;408085;	4	4
86	4500:4549;	401086;402086;403086;404086;405086;408086;	4	4
87	4550:4599;	401087;402087;403087;404087;405087;408087;	4	4
88	4600:4649;	401088;402088;403088;404088;405088;408088;	4	4
89	4650:4699;	401089;402089;403089;404089;405089;408089;	4	4
90	4700:4749;	401090;402090;403090;404090;405090;408090;	4	4
91	4750:4799;	401091;402091;403091;404091;405091;408091;	4	4
92	4800:4849;	401092;402092;403092;404092;405092;408092;	4	4
93	4850:4899;	401093;402093;403093;404093;405093;408093;	4	4
94	4900:4949;	401094;402094;403094;404094;405094;408094;	4	4
95	4950:4999;	401095;402095;403095;404095;405095;408095;	4	4
96	5000:5049;	401096;402096;403096;404096;405096;408096;	4	4
97	5050:5099;	401097;402097;403097;404097;405097;408097;	4	4
98	5100:5149;	401098;402098;403098;404098;405098;408098;	4	4
99	5150:5199;	401099;402099;403099;404099;405099;408099;	4	4
100	5200:5249;	401100;402100;403100;404100;405100;408100;	4	4
