奖励的ID	赛季	奖励1名次	奖励1类型	奖励1ID	奖励1数量	奖励2名次	奖励2类型	奖励2ID	奖励2数量	奖励3名次	奖励3类型	奖励3ID	奖励3数量	奖励4名次	奖励4类型	奖励4ID	奖励4数量	奖励5名次	奖励5类型	奖励5ID	奖励5数量	奖励6名次	奖励6类型	奖励6ID	奖励6数量	奖励7名次	奖励7类型	奖励7ID	奖励7数量	奖励8名次	奖励8类型	奖励8ID	奖励8数量
24	24	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
25	25	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
26	26	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
27	27	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
28	28	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
29	29	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
30	30	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
31	31	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
32	32	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
33	33	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
34	34	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
35	35	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
36	36	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
37	37	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
38	38	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
39	39	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
40	40	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
41	41	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
42	42	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
43	43	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
44	44	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
45	45	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
46	46	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
47	47	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
48	48	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
49	49	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
50	50	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
51	51	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
52	52	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
53	53	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
54	54	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
55	55	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
56	56	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
57	57	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
58	58	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
59	59	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
60	60	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
61	61	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
62	62	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
63	63	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
64	64	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
65	65	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
66	66	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
67	67	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
68	68	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
69	69	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
70	70	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
71	71	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
72	72	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
73	73	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
74	74	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
75	75	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
76	76	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
77	77	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
78	78	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
79	79	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
80	80	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
81	81	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
82	82	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
83	83	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
84	84	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
85	85	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
86	86	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
87	87	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
88	88	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
89	89	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
90	90	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
91	91	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
92	92	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
93	93	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
94	94	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
95	95	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
96	96	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
97	97	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
98	98	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
99	99	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
100	100	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
101	101	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
102	102	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
103	103	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
104	104	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
105	105	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
106	106	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
107	107	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
108	108	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
109	109	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
110	110	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
111	111	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
112	112	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
113	113	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
114	114	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
115	115	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
116	116	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
117	117	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
118	118	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
119	119	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
120	120	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
121	121	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
122	122	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
123	123	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
124	124	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
125	125	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
126	126	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
127	127	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
128	128	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
129	129	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
130	130	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
131	131	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
132	132	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
133	133	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
