#次数配置表							
#次数	聚宝消耗	体力消耗	竞技场奖励金币	竞技场奖励声望	竞技场奖励礼包(默认数量1)	竞技场购买次数消耗元宝	挑战副本购买次数消耗元宝
int	int	int	int	int	int	int	int
164			257200	96	0	10	
165			257000	95	0	10	
166			256800	94	0	10	
167			256600	93	0	10	
168			256400	92	0	10	
169			256200	91	0	10	
170			256000	90	0	10	
171			255800	89	0	10	
172			255600	88	0	10	
173			255400	87	0	10	
174			255200	86	0	10	
175			255000	85	0	10	
176			254800	84	0	10	
177			254600	83	0	10	
178			254400	82	0	10	
179			254200	81	0	10	
180			254000	80	0	10	
181			253800	79	0	10	
182			253600	78	0	10	
183			253400	77	0	10	
184			253200	76	0	10	
185			253000	75	0	10	
186			252800	74	0	10	
187			252600	73	0	10	
188			252400	72	0	10	
189			252200	71	0	10	
190			252000	70	0	10	
191			251800	69	0	10	
192			251600	68	0	10	
193			251400	67	0	10	
194			251200	66	0	10	
195			251000	65	0	10	
196			250800	64	0	10	
197			250600	63	0	10	
198			250400	62	0	10	
199			250200	61	0	10	
200			250000	60	0	10	
201			249800	59	0	10	
202			249600	58	0	10	
203			249400	57	0	10	
204			249200	56	0	10	
205			249000	55	0	10	
206			248800	54	0	10	
207			248600	53	0	10	
208			248400	52	0	10	
209			248200	51	0	10	
210			248000	50	0	10	
211			247800	49	0	10	
212			247600	48	0	10	
213			247400	47	0	10	
214			247200	46	0	10	
215			247000	45	0	10	
216			246800	44	0	10	
217			246600	43	0	10	
218			246400	42	0	10	
219			246200	41	0	10	
220			246000	40	0	10	
221			245800	39	0	10	
222			245600	38	0	10	
223			245400	37	0	10	
224			245200	36	0	10	
225			245000	35	0	10	
226			244800	34	0	10	
227			244600	33	0	10	
228			244400	32	0	10	
229			244200	31	0	10	
230			244000	30	0	10	
231			243800	30	0	10	
232			243600	30	0	10	
233			243400	30	0	10	
234			243200	30	0	10	
235			243000	30	0	10	
236			242800	30	0	10	
237			242600	30	0	10	
238			242400	30	0	10	
239			242200	30	0	10	
240			242000	30	0	10	
241			241800	30	0	10	
242			241600	30	0	10	
243			241400	30	0	10	
244			241200	30	0	10	
245			241000	30	0	10	
246			240800	30	0	10	
247			240600	30	0	10	
248			240400	30	0	10	
249			240200	30	0	10	
250			240000	30	0	10	
251			239800	30	0	10	
252			239600	30	0	10	
253			239400	30	0	10	
254			239200	30	0	10	
255			239000	30	0	10	
256			238800	30	0	10	
257			238600	30	0	10	
258			238400	30	0	10	
259			238200	30	0	10	
260			238000	30	0	10	
261			237800	30	0	10	
262			237600	30	0	10	
263			237400	30	0	10	
264			237200	30	0	10	
265			237000	30	0	10	
266			236800	30	0	10	
267			236600	30	0	10	
268			236400	30	0	10	
269			236200	30	0	10	
270			236000	30	0	10	
271			235800	30	0	10	
272			235600	30	0	10	
273			235400	30	0	10	
274			235200	30	0	10	
275			235000	30	0	10	
276			234800	30	0	10	
277			234600	30	0	10	
278			234400	30	0	10	
279			234200	30	0	10	
280			234000	30	0	10	
281			233800	30	0	10	
282			233600	30	0	10	
283			233400	30	0	10	
284			233200	30	0	10	
285			233000	30	0	10	
286			232800	30	0	10	
287			232600	30	0	10	
288			232400	30	0	10	
289			232200	30	0	10	
290			232000	30	0	10	
291			231800	30	0	10	
292			231600	30	0	10	
293			231400	30	0	10	
294			231200	30	0	10	
295			231000	30	0	10	
296			230800	30	0	10	
297			230600	30	0	10	
298			230400	30	0	10	
299			230200	30	0	10	
300			230000	30	0	10	
301			229800	30	0	10	
302			229600	30	0	10	
303			229400	30	0	10	
304			229200	30	0	10	
305			229000	30	0	10	
306			228800	30	0	10	
307			228600	30	0	10	
308			228400	30	0	10	
309			228200	30	0	10	
310			228000	30	0	10	
311			227800	30	0	10	
312			227600	30	0	10	
313			227400	30	0	10	
314			227200	30	0	10	
315			227000	30	0	10	
316			226800	30	0	10	
317			226600	30	0	10	
318			226400	30	0	10	
319			226200	30	0	10	
320			226000	30	0	10	
321			225800	30	0	10	
322			225600	30	0	10	
323			225400	30	0	10	
324			225200	30	0	10	
325			225000	30	0	10	
326			224800	30	0	10	
327			224600	30	0	10	
328			224400	30	0	10	
329			224200	30	0	10	
330			224000	30	0	10	
331			223800	30	0	10	
332			223600	30	0	10	
333			223400	30	0	10	
334			223200	30	0	10	
335			223000	30	0	10	
336			222800	30	0	10	
337			222600	30	0	10	
338			222400	30	0	10	
339			222200	30	0	10	
340			222000	30	0	10	
341			221800	30	0	10	
342			221600	30	0	10	
343			221400	30	0	10	
344			221200	30	0	10	
345			221000	30	0	10	
346			220800	30	0	10	
347			220600	30	0	10	
348			220400	30	0	10	
349			220200	30	0	10	
350			220000	30	0	10	
351			219800	30	0	10	
352			219600	30	0	10	
353			219400	30	0	10	
354			219200	30	0	10	
355			219000	30	0	10	
356			218800	30	0	10	
357			218600	30	0	10	
358			218400	30	0	10	
359			218200	30	0	10	
360			218000	30	0	10	
361			217800	30	0	10	
362			217600	30	0	10	
363			217400	30	0	10	
364			217200	30	0	10	
365			217000	30	0	10	
366			216800	30	0	10	
367			216600	30	0	10	
368			216400	30	0	10	
369			216200	30	0	10	
370			216000	30	0	10	
371			215800	30	0	10	
372			215600	30	0	10	
373			215400	30	0	10	
374			215200	30	0	10	
375			215000	30	0	10	
376			214800	30	0	10	
377			214600	30	0	10	
378			214400	30	0	10	
379			214200	30	0	10	
380			214000	30	0	10	
381			213800	30	0	10	
382			213600	30	0	10	
383			213400	30	0	10	
384			213200	30	0	10	
385			213000	30	0	10	
386			212800	30	0	10	
387			212600	30	0	10	
388			212400	30	0	10	
389			212200	30	0	10	
390			212000	30	0	10	
391			211800	30	0	10	
392			211600	30	0	10	
393			211400	30	0	10	
394			211200	30	0	10	
395			211000	30	0	10	
396			210800	30	0	10	
397			210600	30	0	10	
398			210400	30	0	10	
399			210200	30	0	10	
400			210000	30	0	10	
401			209800	30	0	10	
402			209600	30	0	10	
403			209400	30	0	10	
404			209200	30	0	10	
405			209000	30	0	10	
406			208800	30	0	10	
407			208600	30	0	10	
408			208400	30	0	10	
409			208200	30	0	10	
410			208000	30	0	10	
411			207800	30	0	10	
412			207600	30	0	10	
413			207400	30	0	10	
414			207200	30	0	10	
415			207000	30	0	10	
416			206800	30	0	10	
417			206600	30	0	10	
418			206400	30	0	10	
419			206200	30	0	10	
420			206000	30	0	10	
421			205800	30	0	10	
422			205600	30	0	10	
423			205400	30	0	10	
424			205200	30	0	10	
425			205000	30	0	10	
426			204800	30	0	10	
427			204600	30	0	10	
428			204400	30	0	10	
429			204200	30	0	10	
430			204000	30	0	10	
431			203800	30	0	10	
432			203600	30	0	10	
433			203400	30	0	10	
434			203200	30	0	10	
435			203000	30	0	10	
436			202800	30	0	10	
437			202600	30	0	10	
438			202400	30	0	10	
439			202200	30	0	10	
440			202000	30	0	10	
441			201800	30	0	10	
442			201600	30	0	10	
443			201400	30	0	10	
444			201200	30	0	10	
445			201000	30	0	10	
446			200800	30	0	10	
447			200600	30	0	10	
448			200400	30	0	10	
449			200200	30	0	10	
450			200000	30	0	10	
451			199800	30	0	10	
452			199600	30	0	10	
453			199400	30	0	10	
454			199200	30	0	10	
455			199000	30	0	10	
456			198800	30	0	10	
457			198600	30	0	10	
458			198400	30	0	10	
459			198200	30	0	10	
460			198000	30	0	10	
461			197800	30	0	10	
462			197600	30	0	10	
463			197400	30	0	10	
464			197200	30	0	10	
465			197000	30	0	10	
466			196800	30	0	10	
467			196600	30	0	10	
468			196400	30	0	10	
469			196200	30	0	10	
470			196000	30	0	10	
471			195800	30	0	10	
472			195600	30	0	10	
473			195400	30	0	10	
474			195200	30	0	10	
475			195000	30	0	10	
476			194800	30	0	10	
477			194600	30	0	10	
478			194400	30	0	10	
479			194200	30	0	10	
480			194000	30	0	10	
481			193800	30	0	10	
482			193600	30	0	10	
483			193400	30	0	10	
484			193200	30	0	10	
485			193000	30	0	10	
486			192800	30	0	10	
487			192600	30	0	10	
488			192400	30	0	10	
489			192200	30	0	10	
490			192000	30	0	10	
491			191800	30	0	10	
492			191600	30	0	10	
493			191400	30	0	10	
494			191200	30	0	10	
495			191000	30	0	10	
496			190800	30	0	10	
497			190600	30	0	10	
498			190400	30	0	10	
499			190200	30	0	10	
500			190000	30	0	10	
501			189800	30	0	10	
502			189600	30	0	10	
503			189400	30	0	10	
504			189200	30	0	10	
505			189000	30	0	10	
506			188800	30	0	10	
507			188600	30	0	10	
508			188400	30	0	10	
509			188200	30	0	10	
510			188000	30	0	10	
511			187800	30	0	10	
512			187600	30	0	10	
513			187400	30	0	10	
514			187200	30	0	10	
515			187000	30	0	10	
516			186800	30	0	10	
517			186600	30	0	10	
518			186400	30	0	10	
519			186200	30	0	10	
520			186000	30	0	10	
521			185800	30	0	10	
522			185600	30	0	10	
523			185400	30	0	10	
524			185200	30	0	10	
525			185000	30	0	10	
526			184800	30	0	10	
527			184600	30	0	10	
528			184400	30	0	10	
529			184200	30	0	10	
530			184000	30	0	10	
531			183800	30	0	10	
532			183600	30	0	10	
533			183400	30	0	10	
534			183200	30	0	10	
535			183000	30	0	10	
536			182800	30	0	10	
537			182600	30	0	10	
538			182400	30	0	10	
539			182200	30	0	10	
540			182000	30	0	10	
541			181800	30	0	10	
542			181600	30	0	10	
543			181400	30	0	10	
544			181200	30	0	10	
545			181000	30	0	10	
546			180800	30	0	10	
547			180600	30	0	10	
548			180400	30	0	10	
549			180200	30	0	10	
550			180000	30	0	10	
551			179800	30	0	10	
552			179600	30	0	10	
553			179400	30	0	10	
554			179200	30	0	10	
555			179000	30	0	10	
556			178800	30	0	10	
