唯一ID	类型	物品ID	数量	产出时间	概率	货币影响	保底权重	全十保底	性格材料标准	性格材料标准区间	递减值	产出地点编号	产出地点提示	产出名言
16	2	42006	1	30	0.066	0		0.83	30000001:1;30000002:8;30000003:2;30000004:6;30000005:5;30000006:7;	30000001:3:1;30000002:10:6;30000003:4:1;30000004:8:4;30000005:7:1;30000006:9:5;	0.0026	11	悬空城堡	有幸遇到你，最了不起的你。
17	2	42203	1	75	0.066	0			30000001:5;30000002:7;30000003:4;30000004:4;30000005:5;30000006:4;	30000001:6:4;30000002:8:6;30000003:5:3;30000004:5:3;30000005:6:4;30000006:5:3;	0.0026	9	光之领域	有点遗憾，我已经尽力了。
18	2	31099	1	45	0.028	0			30000001:10;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:8;30000002:10:2;30000003:10:2;30000004:10:2;30000005:10:2;30000006:10:2;	0.0018	1	远古遗迹	当你需要经验时会想起我。
19	2	41103	1	30	0.033	0		0.84	30000001:9;30000002:6;30000003:3;30000004:9;30000005:4;30000006:4;	30000001:10:7;30000002:8:4;30000003:5:1;30000004:10:7;30000005:6:2;30000006:6:2;	0.0015	2	无法地带	你的纪录到此为止了。
20	2	43202	1	60	0.033	0		0.83	30000001:7;30000002:5;30000003:3;30000004:6;30000005:3;30000006:7;	30000001:9:5;30000002:7:1;30000003:5:1;30000004:8:4;30000005:5:1;30000006:9:1;	0.0015	11	悬空城堡	准备好了，一起上！
21	2	41099	1	45	0.02	0			30000001:3;30000002:4;30000003:10;30000004:4;30000005:10;30000006:4;	30000001:10:1;30000002:10:2;30000003:10:8;30000004:10:2;30000005:10:8;30000006:10:2;	0.0013	1	远古遗迹	想体验飞一般的感觉吗？让我来训练训练那些1级的卡牌吧。
22	2	43102	1	45	0.028	0		0.83	30000001:9;30000002:2;30000003:2;30000004:8;30000005:1;30000006:10;	30000001:10:7;30000002:4:1;30000003:4:1;30000004:10:6;30000005:3:1;30000006:10:8;	0.0013	5	游魂墓地	吃我一板砖。
23	2	44003	1	45	0.028	0		0.83	30000001:10;30000002:8;30000003:1;30000004:10;30000005:1;30000006:5;	30000001:10:8;30000002:10:6;30000003:3:1;30000004:10:8;30000005:3:1;30000006:7:3;	0.0013	7	冷寂之窟	这种拼尽全力的感觉，也是不错的。
24	1	1000	10	50	0.017	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:7:3;30000002:7:3;30000003:7:3;30000004:7:3;30000005:7:3;30000006:7:3;	0.00017	1	远古遗迹	有了它，你想兑换谁？
25	2	51099	1	45	0.0099	0			30000001:4;30000002:10;30000003:4;30000004:10;30000005:4;30000006:10;	30000001:10:2;30000002:10:8;30000003:10:2;30000004:10:8;30000005:10:2;30000006:10:8;	0.00067	11	悬空城堡	多少级卡牌，都让他们嗨爆。
26	2	51006	1	45	0.0092	0		0.015	30000001:9;30000002:8;30000003:2;30000004:8;30000005:2;30000006:6;	30000001:10:7;30000002:10:6;30000003:4:1;30000004:10:6;30000005:4:1;30000006:8:4;	0.00062	11	悬空城堡	唯快不破！
27	2	54102	1	30	0.0092	0		0.015	30000001:5;30000002:5;30000003:2;30000004:6;30000005:8;30000006:6;	30000001:7:3;30000002:7:3;30000003:4:1;30000004:8:4;30000005:10:1;30000006:8:4;	0.00062	11	悬空城堡	敌人真是太狡猾了。
28	1	72000001	50	40	0.0077	0	2000	100	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00007	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
29	3	52205	10	75	0.0071	0			30000001:9;30000002:10;30000003:6;30000004:9;30000005:7;30000006:1;	30000001:10:7;30000002:10:8;30000003:10:4;30000004:10:7;30000005:9:5;30000006:3:1;	0.00048	1	远古遗迹	不是为了炫耀，而是为了荣耀。
30	3	53002	10	30	0.0071	0			30000001:10;30000002:10;30000003:4;30000004:9;30000005:6;30000006:7;	30000001:10:8;30000002:10:8;30000003:6:2;30000004:10:7;30000005:8:4;30000006:9:5;	0.00048	9	光之领域	我的目标永远只有一个，冠军。
31	3	54002	10	45	0.0071	0			30000001:10;30000002:9;30000003:2;30000004:10;30000005:4;30000006:8;	30000001:10:8;30000002:10:7;30000003:4:1;30000004:10:8;30000005:6:1;30000006:10:6;	0.00048	3	火龙之巢	我会让斗神的名号再度响彻整个荣耀。
32	1	2000	5	60	0.0059	0			30000001:9;30000002:9;30000003:9;30000004:9;30000005:9;30000006:9;	30000001:10:7;30000002:10:7;30000003:10:7;30000004:10:7;30000005:10:7;30000006:10:7;	0.00006	1	远古遗迹	有了它，顶级卡牌不是梦。
33	1	73000001	50	50	0.0053	0	500	300	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000054	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
34	3	52302	10	105	0.0051	0			30000001:7;30000002:8;30000003:9;30000004:4;30000005:10;30000006:5;	30000001:10:4;30000002:10:5;30000003:10:6;30000004:7:1;30000005:10:7;30000006:8:2;	0.000484	11	悬空城堡	是时候做出一些改变了。
35	1	72000004	1	90	0.0038	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	可以打开装备上的第1个宝石空位
36	1	60000007	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	白女巫被杀死瞬间留下的眼泪。
37	1	60000008	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	比较稀有的赤色蝎子尾部的毒针。
38	1	60000009	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	杀死赤蝎刺客后掉落的毒针。
39	1	60000010	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	在炎热荒漠中发现的一种特殊物质。
40	1	60000007	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	白女巫被杀死瞬间留下的眼泪。
41	1	60000008	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	比较稀有的赤色蝎子尾部的毒针。
42	1	60000009	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	杀死赤蝎刺客后掉落的毒针。
43	1	60000010	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	在炎热荒漠中发现的一种特殊物质。
44	1	61000005	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	坚硬岩石制成的磨砂石。
45	1	61000006	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	一种稀有的小虫子，沙蚕吐出的丝。
46	1	61000007	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	一种稀有的半透明琥珀色晶石。
47	1	61000008	20	60	0.0031	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000032	1	远古遗迹	被魔法烈焰灼烧过的石头，炽热冒烟的烈焰石。
48	1	74000001	50	60	0.0026	0	500	400	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000027	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
49	1	73000004	1	60	0.002	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000021	1	远古遗迹	可以打开装备上的第2个宝石空位
50	1	75000001	20	75	0.0015	0	200	500	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000016	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
51	1	74000004	1	90	0.0012	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000013	1	远古遗迹	可以打开装备上的第3个宝石空位
52	1	61000009	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	燃烧的火焰精华，无法用水浇灭。
53	1	61000010	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	神秘魔法师掉落的印章。
54	1	61000009	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	燃烧的火焰精华，无法用水浇灭。
55	1	61000010	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	神秘魔法师掉落的印章。
56	1	62000003	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	神秘魔法师掉落的魔法溶解剂。
57	1	62000004	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	一张闪着蓝白色光芒的坚硬晶石。
58	1	62000005	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	岩之浪人奥磐吐出的气息，杀死奥磬则有机会掉落的稀有材料。
59	1	62000006	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	岩之浪人奥磐体内的精魄，杀死奥磬则有机会掉落的稀有材料。
60	1	62000007	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	角斗先锋身上佩戴的徽章。
61	1	62000008	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	巨龙身上割下来的龙脊，十分稀有。
62	1	62000009	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	从岩之浪人奥磐处获得的勇气。
63	1	62000010	10	75	0.001	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000011	1	远古遗迹	亡灵之城中死亡的魔法师留下的心脏。
64	1	75000004	1	100	0.0007	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000008	1	远古遗迹	可以打开装备上的第4个宝石空位
65	1	91000004	20	120	0.00069	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000069	1	远古遗迹	这些全是4级宝石
66	1	64000001	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	血枪手被射杀后鲜血染红的袍子碎片。
67	1	64000002	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	传说中可以逆转时空的道具，外表是一个普通的沙漏。
68	1	64000003	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	蓝色冰晶状的石头，寒气逼人。
69	1	64000004	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	落日原野地表最深处的岩浆，是一种非常稀有的材料。
70	1	64000005	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	地底深渊发现的水晶矿脉里挖出的水晶碎片。
71	1	64000006	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	游魂墓地边缘沼泽中产出的有毒泥浆，是一种非常稀有的材料。
72	1	64000007	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	闪耀着温润光芒的巨大珍珠，据说是从海洋最深处获得的稀有材料。
73	1	64000008	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	火龙之巢中巨龙自然死亡后留下的遗骸碎片。
74	1	64000009	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	流浪剑客战败后留下的长剑碎片。
75	1	64000010	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	骷髅法师炼金的材料，黄沙隔壁中的戈壁石。
76	1	64000011	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	巨龙燃烧跳动的心脏，有着强大的能量。
77	1	64000012	5	90	0.00061	0			30000001:7;30000002:7;30000003:7;30000004:7;30000005:7;30000006:7;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000071	1	远古遗迹	传说中人龙混血怪物身上脱落下来的鳞片。
78	1	91000005	10	120	0.00055	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000055	1	远古遗迹	这些全是5级宝石
79	2	52205	1	75	0.0005	0		0.01	30000001:9;30000002:10;30000003:6;30000004:9;30000005:7;30000006:1;	30000001:10:7;30000002:10:8;30000003:10:4;30000004:10:7;30000005:9:5;30000006:3:1;	0.00004	1	远古遗迹	不是为了炫耀，而是为了荣耀。
80	2	53002	1	30	0.0005	0		0.01	30000001:10;30000002:10;30000003:4;30000004:9;30000005:6;30000006:7;	30000001:10:8;30000002:10:8;30000003:6:2;30000004:10:7;30000005:8:4;30000006:9:5;	0.00004	9	光之领域	我的目标永远只有一个，冠军。
81	2	54002	1	45	0.0005	0		0.01	30000001:10;30000002:9;30000003:2;30000004:10;30000005:4;30000006:8;	30000001:10:8;30000002:10:7;30000003:4:1;30000004:10:8;30000005:6:1;30000006:10:6;	0.00004	3	火龙之巢	我会让斗神的名号再度响彻整个荣耀。
82	2	52302	1	105	0.0005	0			30000001:7;30000002:8;30000003:9;30000004:4;30000005:10;30000006:5;	30000001:10:4;30000002:10:5;30000003:10:6;30000004:7:1;30000005:10:7;30000006:8:2;	0.00004	11	悬空城堡	是时候做出一些改变了。
83	1	91000006	5	120	0.0004	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000004	1	远古遗迹	这些全是6级宝石
84	1	91000007	2	120	0.0003	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000003	1	远古遗迹	这些全是7级宝石
85	1	65000001	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	人龙混血怪物被杀死后掉落的眼珠。
86	1	65000002	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	提取蜘蛛女王毒液制成的有毒药剂。
87	1	65000003	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	某个魔法师炼金失败后遗留下来的神秘铜器。
88	1	65000004	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	某个魔法世家的镇族之宝，一个具有巨大魔力的金色十字架。
89	1	65000005	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	峡谷树人守护的世界之树倒塌后留下的珍贵碎片。
90	1	65000006	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	猎杀凶灵后获得的猎人徽章。
91	1	65000007	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	传说中海洋深处的鲛人头发织成的丝绸，像寒冰一样冰冷的丝绸。
92	1	65000008	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	圣湖之畔生长的金色嫩草，据说有起死回生的功效。
93	1	65000009	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	海洋深处水精灵祝福过的海洋精魄，具有神奇的功效。
94	1	65000010	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	圣湖之畔生活的精灵们蜕下的翅膀。
95	1	65000011	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	流浪剑客体内燃烧的血液，非常稀有的材料。
96	1	65000012	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	奇岩荒野中变异的巨熊的瓜子。
97	1	65000013	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	邪恶小镇镇长挂在腰间的钥匙。
98	1	65000014	2	120	0.00024	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000034	1	远古遗迹	角斗先锋死亡后留下的盾牌碎片。
99	1	10000003	1	90	0.00014	0			30000001:10;30000002:10;30000003:10;30000004:10;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000024	1	远古遗迹	有了它，想搞谁就搞谁。
