商店id	商店等级	商店品质	商店权重	匹配玩家等级段	宝石孔位	洗练属性	第1栏位	第2栏位	第3栏位	第4栏位	第5栏位	第6栏位	第7栏位	第8栏位	第9栏位	第10栏位	第11栏位	第12栏位
2033	80	2	1	76:100;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
2034	30	2	1	26:30;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0
2035	35	2	1	31:35;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0
2036	40	2	1	36:40;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	0
2037	45	2	1	41:45;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003
2038	50	2	1	46:50;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2039	55	2	1	51:55;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2040	60	2	1	56:60;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2041	65	2	1	61:65;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2042	70	2	1	66:75;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2043	80	2	1	76:100;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1021	5	1	1	1:5;	0	0	20001	20001	20001	20001	0	0	0	0	0	0	0	0
1022	10	1	1	6:10;	0	0	20001	20001	20001	20001	20001	0	0	0	0	0	0	0
1023	15	1	1	11:15;	0	0	20001	20001	20001	20001	20001	20001	0	0	0	0	0	0
1024	20	1	1	16:20;	0	0	20001	20001	20001	20001	20001	20001	20001	0	0	0	0	0
1025	25	1	1	21:25;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0	0
1026	30	1	1	26:30;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0
1027	35	1	1	31:35;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	0	0
1028	40	1	1	36:40;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	20002	20002	0
1029	45	1	1	41:45;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003
1030	50	1	1	46:50;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003
1031	55	1	1	51:55;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
1032	60	1	1	56:60;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
1033	65	1	1	61:65;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
1034	70	1	1	66:70;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
1035	75	1	1	71:75;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1036	80	1	1	76:80;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1037	85	1	1	81:85;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1038	90	1	1	86:90;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1039	95	1	1	91:95;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1040	100	1	1	96:100;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
1047	35	1	1	31:35;	0	0	70030	70030	70030	70030	70030	70030	70030	70030	70030	70030	70030	0
1048	40	1	1	36:40;	0	0	70035	70035	70035	70035	70035	70035	70035	70035	70035	70035	70035	70035
1049	45	1	1	41:45;	0	0	70040	70040	70040	70040	70040	70040	70040	70040	70040	70040	70040	70040
1050	50	1	1	46:50;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1051	55	1	1	51:55;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1052	60	1	1	56:60;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1053	65	1	1	61:65;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1054	70	1	1	66:70;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1055	75	1	1	71:75;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1056	80	1	1	76:80;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1057	85	1	1	81:85;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1058	90	1	1	86:90;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1059	95	1	1	91:95;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1060	100	1	1	96:100;	0	0	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045	70045
1081	5	1	1	1:5;	0	0	30001	30001	30001	30001	0	0	0	0	0	0	0	0
1082	10	1	1	6:10;	0	0	30001	30001	30001	30001	0	0	0	0	0	0	0	0
1083	15	1	1	11:15;	0	0	30002	30002	30002	30002	0	0	0	0	0	0	0	0
1084	20	1	1	16:20;	0	0	30002	30003	30002	30003	30002	0	0	0	0	0	0	0
1085	25	1	1	21:25;	0	0	30004	30004	30004	30004	30004	30004	0	0	0	0	0	0
1086	30	1	1	26:30;	0	4	30005	30005	30005	30005	30005	30005	30005	0	0	0	0	0
1087	35	1	1	31:35;	0	4	30005	30005	30005	30005	30005	30005	30005	30005	0	0	0	0
1088	40	1	1	36:40;	4	4	30006	30006	30006	30006	30006	30006	30006	30006	30006	0	0	0
1089	45	1	1	41:45;	4	4	30007	30007	30007	30007	30007	30007	30007	30007	30007	30007	0	0
1090	50	1	1	46:50;	4	4	30007	30007	30007	30007	30007	30007	30007	30007	30007	30007	30007	0
1091	55	1	1	51:55;	4	4	30008	30008	30008	30008	30008	30008	30008	30008	30008	30008	30008	30008
1092	60	1	1	56:60;	4	4	30008	30008	30008	30008	30008	30008	30008	30008	30008	30008	30008	30008
1093	65	1	1	61:65;	4	4	30009	30009	30009	30009	30009	30009	30009	30009	30009	30009	30009	30009
1094	70	1	1	66:70;	4	4	30010	30010	30010	30010	30010	30010	30010	30010	30010	30010	30010	30010
1095	75	1	1	71:75;	4	4	30010	30010	30010	30010	30010	30010	30010	30010	30010	30010	30010	30010
1096	80	1	1	76:80;	4	4	30011	30011	30011	30011	30011	30011	30011	30011	30011	30011	30011	30011
1097	85	1	1	81:85;	4	4	30011	30011	30011	30011	30011	30011	30011	30011	30011	30011	30011	30011
1098	90	1	1	86:90;	4	4	30012	30012	30012	30012	30012	30012	30012	30012	30012	30012	30012	30012
1099	95	1	1	91:95;	4	4	30012	30012	30012	30012	30012	30012	30012	30012	30012	30012	30012	30012
1100	100	1	1	96:100;	4	4	30013	30013	30013	30013	30013	30013	30013	30013	30013	30013	30013	30013
1101	5	1	1	1:5;	0	0	29001	49001	39001	39001	0	0	0	0	0	0	0	0
1102	10	1	1	6:10;	0	0	29001	49001	39001	39001	19001	0	0	0	0	0	0	0
1103	15	1	1	11:15;	0	0	29001	49001	39001	39002	19001	19001	0	0	0	0	0	0
1104	20	1	1	16:20;	0	0	29001	49002	39002	39003	39003	19001	19001	0	0	0	0	0
1105	25	1	1	21:25;	0	0	29002	29002	49003	39004	39004	39004	19002	19002	0	0	0	0
1106	30	1	1	26:30;	0	4	29002	29002	49003	49003	39005	39005	39005	19002	19002	0	0	0
1107	35	1	1	31:35;	0	4	29003	29003	49004	49004	39005	39005	39005	39005	19003	19003	0	0
1108	40	1	1	36:40;	4	4	29003	29003	49004	49004	39006	39006	39006	39006	19003	19003	19003	0
1109	45	1	1	41:45;	4	4	29004	29004	49004	49004	39007	39007	39007	39007	19003	19003	19003	19003
1110	50	1	1	46:50;	4	4	29004	29004	49004	49004	39007	39007	39007	39007	19003	19003	19003	19003
1111	55	1	1	51:55;	4	4	29004	29004	49004	49004	39008	39008	39008	39008	19004	19004	19004	19004
1112	60	1	1	56:60;	4	4	29005	29005	49005	49005	39009	39009	39009	39009	19004	19004	19004	19004
1113	65	1	1	61:65;	4	4	29005	29005	49005	49005	39009	39009	39009	39009	19004	19004	19004	19004
1114	70	1	1	66:70;	4	4	29005	29005	49005	49005	39010	39010	39010	39010	19004	19004	19004	19004
1115	75	1	1	71:75;	4	4	29006	29006	49005	49005	39011	39011	39011	39011	19004	19004	19004	19004
1116	80	1	1	76:80;	4	4	29006	29006	49005	49005	39011	39011	39011	39011	19004	19004	19004	19004
1117	85	1	1	81:85;	4	4	29006	29006	49005	49005	39012	39012	39012	39012	19004	19004	19004	19004
1118	90	1	1	86:90;	4	4	29006	29006	49005	49005	39012	39012	39012	39012	19004	19004	19004	19004
1119	95	1	1	91:95;	4	4	29006	29006	49005	49005	39013	39013	39013	39013	19004	19004	19004	19004
1120	100	1	1	96:100;	4	4	29006	29006	49005	49005	39013	39013	39013	39013	19005	19005	19005	19005
1121	15	1		11:15;	0	0	80010	80010	80010	80010	80010	80010	0	0	0	0	0	0
1122	20	1		16:20;	0	0	80010	80010	80010	80010	80010	80010	80010	0	0	0	0	0
1123	25	1		21:25;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	0	0	0	0
1124	30	1		26:30;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	0	0	0
1125	35	1		31:35;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	0	0
1126	40	1		36:40;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	0
1127	45	1		41:45;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1128	50	1		46:50;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1129	55	1		51:55;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1130	60	1		56:60;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1131	65	1		61:65;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1132	70	1		66:70;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1133	75	1		71:75;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1134	80	1		76:80;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1135	85	1		81:85;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1136	90	1		86:90;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1137	95	1		91:95;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
1138	100	1		96:100;	0	0	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010	80010
