炫纹碎片id	炫纹类型	炫纹名字	镶嵌位置	炫纹等级	炫纹碎片图标	炫纹品质	基础物理攻击	基础物理防御	基础魔法攻击	基础魔法防御	基础生命值	基础物理暴击	基础魔法暴击	基础物理抗暴击	基础魔法抗暴击	基础格挡率	基础魔法回复率	基础命中率	基础血球回复率	升级碎片所需经验值	碎片增长经验	物理职业碎片效果描述	魔法职业职业碎片效果描述	碎片对应金币
81001020	1	雷牙20级	1	20	iconspLEI_1.png	5	10000		10000												145	基础物理攻击	基础魔法攻击	4350
81002000	1	雷暴0级	2	0	iconspLEI_2.png	0						0	0							2250		基础物理暴击	基础魔法暴击	
81002001	1	雷暴1级	2	1	iconspLEI_2.png	0						500	500							3375	50	基础物理暴击	基础魔法暴击	1500
81002002	1	雷暴2级	2	2	iconspLEI_2.png	0						1000	1000							5625	55	基础物理暴击	基础魔法暴击	1650
81002003	1	雷暴3级	2	3	iconspLEI_2.png	0						1500	1500							9000	60	基础物理暴击	基础魔法暴击	1800
81002004	1	雷暴4级	2	4	iconspLEI_2.png	0						2000	2000							13500	65	基础物理暴击	基础魔法暴击	1950
81002005	1	雷暴5级	2	5	iconspLEI_2.png	1						2500	2500							20250	70	基础物理暴击	基础魔法暴击	2100
81002006	1	雷暴6级	2	6	iconspLEI_2.png	1						3000	3000							27000	75	基础物理暴击	基础魔法暴击	2250
81002007	1	雷暴7级	2	7	iconspLEI_2.png	1						3500	3500							33750	80	基础物理暴击	基础魔法暴击	2400
81002008	1	雷暴8级	2	8	iconspLEI_2.png	1						4000	4000							45000	85	基础物理暴击	基础魔法暴击	2550
81002009	1	雷暴9级	2	9	iconspLEI_2.png	2						4500	4500							56250	90	基础物理暴击	基础魔法暴击	2700
81002010	1	雷暴10级	2	10	iconspLEI_2.png	2						5000	5000							67500	95	基础物理暴击	基础魔法暴击	2850
81002011	1	雷暴11级	2	11	iconspLEI_2.png	2						5500	5500							78750	100	基础物理暴击	基础魔法暴击	3000
81002012	1	雷暴12级	2	12	iconspLEI_2.png	2						6000	6000							90000	105	基础物理暴击	基础魔法暴击	3150
81002013	1	雷暴13级	2	13	iconspLEI_2.png	4						6500	6500							101250	110	基础物理暴击	基础魔法暴击	3300
81002014	1	雷暴14级	2	14	iconspLEI_2.png	4						7000	7000							112500	115	基础物理暴击	基础魔法暴击	3450
81002015	1	雷暴15级	2	15	iconspLEI_2.png	4						7500	7500							118125	120	基础物理暴击	基础魔法暴击	3600
81002016	1	雷暴16级	2	16	iconspLEI_2.png	4						8000	8000							135000	125	基础物理暴击	基础魔法暴击	3750
81002017	1	雷暴17级	2	17	iconspLEI_2.png	5						8500	8500							151875	130	基础物理暴击	基础魔法暴击	3900
81002018	1	雷暴18级	2	18	iconspLEI_2.png	5						9000	9000							168750	135	基础物理暴击	基础魔法暴击	4050
81002019	1	雷暴19级	2	19	iconspLEI_2.png	5						9500	9500							191250	140	基础物理暴击	基础魔法暴击	4200
81002020	1	雷暴20级	2	20	iconspLEI_2.png	5						10000	10000								145	基础物理暴击	基础魔法暴击	4350
81003000	1	雷震0级	3	0	iconspLEI_3.png	0	0		0											2250		基础物理攻击	基础魔法攻击	
81003001	1	雷震1级	3	1	iconspLEI_3.png	0	500		500											3375	50	基础物理攻击	基础魔法攻击	1500
81003002	1	雷震2级	3	2	iconspLEI_3.png	0	1000		1000											5625	55	基础物理攻击	基础魔法攻击	1650
81003003	1	雷震3级	3	3	iconspLEI_3.png	0	1500		1500											9000	60	基础物理攻击	基础魔法攻击	1800
81003004	1	雷震4级	3	4	iconspLEI_3.png	0	2000		2000											13500	65	基础物理攻击	基础魔法攻击	1950
81003005	1	雷震5级	3	5	iconspLEI_3.png	1	2500		2500											20250	70	基础物理攻击	基础魔法攻击	2100
81003006	1	雷震6级	3	6	iconspLEI_3.png	1	3000		3000											27000	75	基础物理攻击	基础魔法攻击	2250
81003007	1	雷震7级	3	7	iconspLEI_3.png	1	3500		3500											33750	80	基础物理攻击	基础魔法攻击	2400
81003008	1	雷震8级	3	8	iconspLEI_3.png	1	4000		4000											45000	85	基础物理攻击	基础魔法攻击	2550
81003009	1	雷震9级	3	9	iconspLEI_3.png	2	4500		4500											56250	90	基础物理攻击	基础魔法攻击	2700
81003010	1	雷震10级	3	10	iconspLEI_3.png	2	5000		5000											67500	95	基础物理攻击	基础魔法攻击	2850
81003011	1	雷震11级	3	11	iconspLEI_3.png	2	5500		5500											78750	100	基础物理攻击	基础魔法攻击	3000
81003012	1	雷震12级	3	12	iconspLEI_3.png	2	6000		6000											90000	105	基础物理攻击	基础魔法攻击	3150
81003013	1	雷震13级	3	13	iconspLEI_3.png	4	6500		6500											101250	110	基础物理攻击	基础魔法攻击	3300
81003014	1	雷震14级	3	14	iconspLEI_3.png	4	7000		7000											112500	115	基础物理攻击	基础魔法攻击	3450
81003015	1	雷震15级	3	15	iconspLEI_3.png	4	7500		7500											118125	120	基础物理攻击	基础魔法攻击	3600
81003016	1	雷震16级	3	16	iconspLEI_3.png	4	8000		8000											135000	125	基础物理攻击	基础魔法攻击	3750
81003017	1	雷震17级	3	17	iconspLEI_3.png	5	8500		8500											151875	130	基础物理攻击	基础魔法攻击	3900
81003018	1	雷震18级	3	18	iconspLEI_3.png	5	9000		9000											168750	135	基础物理攻击	基础魔法攻击	4050
81003019	1	雷震19级	3	19	iconspLEI_3.png	5	9500		9500											191250	140	基础物理攻击	基础魔法攻击	4200
81003020	1	雷震20级	3	20	iconspLEI_3.png	5	10000		10000												145	基础物理攻击	基础魔法攻击	4350
81004000	1	雷鸣0级	4	0	iconspLEI_4.png	0						0	0							2250		基础物理暴击	基础魔法暴击	
81004001	1	雷鸣1级	4	1	iconspLEI_4.png	0						500	500							3375	50	基础物理暴击	基础魔法暴击	1500
81004002	1	雷鸣2级	4	2	iconspLEI_4.png	0						1000	1000							5625	55	基础物理暴击	基础魔法暴击	1650
81004003	1	雷鸣3级	4	3	iconspLEI_4.png	0						1500	1500							9000	60	基础物理暴击	基础魔法暴击	1800
81004004	1	雷鸣4级	4	4	iconspLEI_4.png	0						2000	2000							13500	65	基础物理暴击	基础魔法暴击	1950
81004005	1	雷鸣5级	4	5	iconspLEI_4.png	1						2500	2500							20250	70	基础物理暴击	基础魔法暴击	2100
81004006	1	雷鸣6级	4	6	iconspLEI_4.png	1						3000	3000							27000	75	基础物理暴击	基础魔法暴击	2250
81004007	1	雷鸣7级	4	7	iconspLEI_4.png	1						3500	3500							33750	80	基础物理暴击	基础魔法暴击	2400
81004008	1	雷鸣8级	4	8	iconspLEI_4.png	1						4000	4000							45000	85	基础物理暴击	基础魔法暴击	2550
81004009	1	雷鸣9级	4	9	iconspLEI_4.png	2						4500	4500							56250	90	基础物理暴击	基础魔法暴击	2700
81004010	1	雷鸣10级	4	10	iconspLEI_4.png	2						5000	5000							67500	95	基础物理暴击	基础魔法暴击	2850
81004011	1	雷鸣11级	4	11	iconspLEI_4.png	2						5500	5500							78750	100	基础物理暴击	基础魔法暴击	3000
81004012	1	雷鸣12级	4	12	iconspLEI_4.png	2						6000	6000							90000	105	基础物理暴击	基础魔法暴击	3150
81004013	1	雷鸣13级	4	13	iconspLEI_4.png	4						6500	6500							101250	110	基础物理暴击	基础魔法暴击	3300
81004014	1	雷鸣14级	4	14	iconspLEI_4.png	4						7000	7000							112500	115	基础物理暴击	基础魔法暴击	3450
81004015	1	雷鸣15级	4	15	iconspLEI_4.png	4						7500	7500							118125	120	基础物理暴击	基础魔法暴击	3600
81004016	1	雷鸣16级	4	16	iconspLEI_4.png	4						8000	8000							135000	125	基础物理暴击	基础魔法暴击	3750
81004017	1	雷鸣17级	4	17	iconspLEI_4.png	5						8500	8500							151875	130	基础物理暴击	基础魔法暴击	3900
81004018	1	雷鸣18级	4	18	iconspLEI_4.png	5						9000	9000							168750	135	基础物理暴击	基础魔法暴击	4050
81004019	1	雷鸣19级	4	19	iconspLEI_4.png	5						9500	9500							191250	140	基础物理暴击	基础魔法暴击	4200
81004020	1	雷鸣20级	4	20	iconspLEI_4.png	5						10000	10000								145	基础物理暴击	基础魔法暴击	4350
82001000	2	火炎0级	1	0	iconspHUO_1.png	0		0		0										3000		基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	
82001001	2	火炎1级	1	1	iconspHUO_1.png	0		1083		1083										4500	50	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1500
82001002	2	火炎2级	1	2	iconspHUO_1.png	0		2167		2167										7500	55	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1650
82001003	2	火炎3级	1	3	iconspHUO_1.png	0		3250		3250										12000	60	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1800
82001004	2	火炎4级	1	4	iconspHUO_1.png	0		4333		4333										18000	65	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1950
82001005	2	火炎5级	1	5	iconspHUO_1.png	1		5417		5417										27000	70	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2100
82001006	2	火炎6级	1	6	iconspHUO_1.png	1		6500		6500										36000	75	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2250
82001007	2	火炎7级	1	7	iconspHUO_1.png	1		7583		7583										45000	80	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2400
82001008	2	火炎8级	1	8	iconspHUO_1.png	1		8667		8667										60000	85	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2550
82001009	2	火炎9级	1	9	iconspHUO_1.png	2		9750		9750										75000	90	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2700
82001010	2	火炎10级	1	10	iconspHUO_1.png	2		10833		10833										90000	95	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2850
82001011	2	火炎11级	1	11	iconspHUO_1.png	2		11917		11917										105000	100	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3000
82001012	2	火炎12级	1	12	iconspHUO_1.png	2		13000		13000										120000	105	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3150
82001013	2	火炎13级	1	13	iconspHUO_1.png	4		14083		14083										135000	110	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3300
82001014	2	火炎14级	1	14	iconspHUO_1.png	4		15167		15167										150000	115	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3450
82001015	2	火炎15级	1	15	iconspHUO_1.png	4		16250		16250										157500	120	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3600
82001016	2	火炎16级	1	16	iconspHUO_1.png	4		17333		17333										180000	125	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3750
82001017	2	火炎17级	1	17	iconspHUO_1.png	5		18417		18417										202500	130	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3900
82001018	2	火炎18级	1	18	iconspHUO_1.png	5		19500		19500										225000	135	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4050
82001019	2	火炎19级	1	19	iconspHUO_1.png	5		20583		20583										255000	140	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4200
82001020	2	火炎20级	1	20	iconspHUO_1.png	5		21667		21667											145	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4350
82002000	2	火熔0级	2	0	iconspHUO_2.png	0		0		0										3000		基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	
82002001	2	火熔1级	2	1	iconspHUO_2.png	0		1083		1083										4500	50	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1500
82002002	2	火熔2级	2	2	iconspHUO_2.png	0		2167		2167										7500	55	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1650
82002003	2	火熔3级	2	3	iconspHUO_2.png	0		3250		3250										12000	60	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1800
82002004	2	火熔4级	2	4	iconspHUO_2.png	0		4333		4333										18000	65	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1950
82002005	2	火熔5级	2	5	iconspHUO_2.png	1		5417		5417										27000	70	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2100
82002006	2	火熔6级	2	6	iconspHUO_2.png	1		6500		6500										36000	75	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2250
82002007	2	火熔7级	2	7	iconspHUO_2.png	1		7583		7583										45000	80	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2400
82002008	2	火熔8级	2	8	iconspHUO_2.png	1		8667		8667										60000	85	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2550
82002009	2	火熔9级	2	9	iconspHUO_2.png	2		9750		9750										75000	90	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2700
82002010	2	火熔10级	2	10	iconspHUO_2.png	2		10833		10833										90000	95	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2850
82002011	2	火熔11级	2	11	iconspHUO_2.png	2		11917		11917										105000	100	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3000
82002012	2	火熔12级	2	12	iconspHUO_2.png	2		13000		13000										120000	105	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3150
82002013	2	火熔13级	2	13	iconspHUO_2.png	4		14083		14083										135000	110	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3300
82002014	2	火熔14级	2	14	iconspHUO_2.png	4		15167		15167										150000	115	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3450
82002015	2	火熔15级	2	15	iconspHUO_2.png	4		16250		16250										157500	120	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3600
82002016	2	火熔16级	2	16	iconspHUO_2.png	4		17333		17333										180000	125	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3750
82002017	2	火熔17级	2	17	iconspHUO_2.png	5		18417		18417										202500	130	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3900
82002018	2	火熔18级	2	18	iconspHUO_2.png	5		19500		19500										225000	135	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4050
82002019	2	火熔19级	2	19	iconspHUO_2.png	5		20583		20583										255000	140	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4200
82002020	2	火熔20级	2	20	iconspHUO_2.png	5		21667		21667											145	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4350
82003000	2	火烽0级	3	0	iconspHUO_3.png	0		0		0										3000		基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	
82003001	2	火烽1级	3	1	iconspHUO_3.png	0		1083		1083										4500	50	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1500
82003002	2	火烽2级	3	2	iconspHUO_3.png	0		2167		2167										7500	55	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1650
82003003	2	火烽3级	3	3	iconspHUO_3.png	0		3250		3250										12000	60	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1800
82003004	2	火烽4级	3	4	iconspHUO_3.png	0		4333		4333										18000	65	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	1950
82003005	2	火烽5级	3	5	iconspHUO_3.png	1		5417		5417										27000	70	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2100
82003006	2	火烽6级	3	6	iconspHUO_3.png	1		6500		6500										36000	75	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2250
82003007	2	火烽7级	3	7	iconspHUO_3.png	1		7583		7583										45000	80	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2400
82003008	2	火烽8级	3	8	iconspHUO_3.png	1		8667		8667										60000	85	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2550
82003009	2	火烽9级	3	9	iconspHUO_3.png	2		9750		9750										75000	90	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2700
82003010	2	火烽10级	3	10	iconspHUO_3.png	2		10833		10833										90000	95	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	2850
82003011	2	火烽11级	3	11	iconspHUO_3.png	2		11917		11917										105000	100	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3000
82003012	2	火烽12级	3	12	iconspHUO_3.png	2		13000		13000										120000	105	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3150
82003013	2	火烽13级	3	13	iconspHUO_3.png	4		14083		14083										135000	110	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3300
82003014	2	火烽14级	3	14	iconspHUO_3.png	4		15167		15167										150000	115	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3450
82003015	2	火烽15级	3	15	iconspHUO_3.png	4		16250		16250										157500	120	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3600
82003016	2	火烽16级	3	16	iconspHUO_3.png	4		17333		17333										180000	125	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3750
82003017	2	火烽17级	3	17	iconspHUO_3.png	5		18417		18417										202500	130	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	3900
82003018	2	火烽18级	3	18	iconspHUO_3.png	5		19500		19500										225000	135	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4050
82003019	2	火烽19级	3	19	iconspHUO_3.png	5		20583		20583										255000	140	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4200
82003020	2	火烽20级	3	20	iconspHUO_3.png	5		21667		21667											145	基础物理防御;基础魔法防御	基础物理防御;基础魔法防御	4350
83001000	3	冰心0级	1	0	iconspBING_1.png	0					0									1800		基础生命值	基础生命值	
83001001	3	冰心1级	1	1	iconspBING_1.png	0					650									2700	50	基础生命值	基础生命值	1500
83001002	3	冰心2级	1	2	iconspBING_1.png	0					1300									4500	55	基础生命值	基础生命值	1650
83001003	3	冰心3级	1	3	iconspBING_1.png	0					1950									7200	60	基础生命值	基础生命值	1800
83001004	3	冰心4级	1	4	iconspBING_1.png	0					2600									10800	65	基础生命值	基础生命值	1950
83001005	3	冰心5级	1	5	iconspBING_1.png	1					3250									16200	70	基础生命值	基础生命值	2100
83001006	3	冰心6级	1	6	iconspBING_1.png	1					3900									21600	75	基础生命值	基础生命值	2250
83001007	3	冰心7级	1	7	iconspBING_1.png	1					4550									27000	80	基础生命值	基础生命值	2400
83001008	3	冰心8级	1	8	iconspBING_1.png	1					5200									36000	85	基础生命值	基础生命值	2550
83001009	3	冰心9级	1	9	iconspBING_1.png	2					5850									45000	90	基础生命值	基础生命值	2700
83001010	3	冰心10级	1	10	iconspBING_1.png	2					6500									54000	95	基础生命值	基础生命值	2850
83001011	3	冰心11级	1	11	iconspBING_1.png	2					7150									63000	100	基础生命值	基础生命值	3000
83001012	3	冰心12级	1	12	iconspBING_1.png	2					7800									72000	105	基础生命值	基础生命值	3150
83001013	3	冰心13级	1	13	iconspBING_1.png	4					8450									81000	110	基础生命值	基础生命值	3300
83001014	3	冰心14级	1	14	iconspBING_1.png	4					9100									90000	115	基础生命值	基础生命值	3450
83001015	3	冰心15级	1	15	iconspBING_1.png	4					9750									94500	120	基础生命值	基础生命值	3600
83001016	3	冰心16级	1	16	iconspBING_1.png	4					10400									108000	125	基础生命值	基础生命值	3750
83001017	3	冰心17级	1	17	iconspBING_1.png	5					11050									121500	130	基础生命值	基础生命值	3900
83001018	3	冰心18级	1	18	iconspBING_1.png	5					11700									135000	135	基础生命值	基础生命值	4050
83001019	3	冰心19级	1	19	iconspBING_1.png	5					12350									153000	140	基础生命值	基础生命值	4200
83001020	3	冰心20级	1	20	iconspBING_1.png	5					13000										145	基础生命值	基础生命值	4350
83002000	3	冰晶0级	2	0	iconspBING_2.png	0												0		1800		基础命中率	基础命中率	
83002001	3	冰晶1级	2	1	iconspBING_2.png	0												500		2700	50	基础命中率	基础命中率	1500
83002002	3	冰晶2级	2	2	iconspBING_2.png	0												1000		4500	55	基础命中率	基础命中率	1650
83002003	3	冰晶3级	2	3	iconspBING_2.png	0												1500		7200	60	基础命中率	基础命中率	1800
83002004	3	冰晶4级	2	4	iconspBING_2.png	0												2000		10800	65	基础命中率	基础命中率	1950
83002005	3	冰晶5级	2	5	iconspBING_2.png	1												2500		16200	70	基础命中率	基础命中率	2100
83002006	3	冰晶6级	2	6	iconspBING_2.png	1												3000		21600	75	基础命中率	基础命中率	2250
83002007	3	冰晶7级	2	7	iconspBING_2.png	1												3500		27000	80	基础命中率	基础命中率	2400
83002008	3	冰晶8级	2	8	iconspBING_2.png	1												4000		36000	85	基础命中率	基础命中率	2550
83002009	3	冰晶9级	2	9	iconspBING_2.png	2												4500		45000	90	基础命中率	基础命中率	2700
83002010	3	冰晶10级	2	10	iconspBING_2.png	2												5000		54000	95	基础命中率	基础命中率	2850
83002011	3	冰晶11级	2	11	iconspBING_2.png	2												5500		63000	100	基础命中率	基础命中率	3000
83002012	3	冰晶12级	2	12	iconspBING_2.png	2												6000		72000	105	基础命中率	基础命中率	3150
83002013	3	冰晶13级	2	13	iconspBING_2.png	4												6500		81000	110	基础命中率	基础命中率	3300
83002014	3	冰晶14级	2	14	iconspBING_2.png	4												7000		90000	115	基础命中率	基础命中率	3450
83002015	3	冰晶15级	2	15	iconspBING_2.png	4												7500		94500	120	基础命中率	基础命中率	3600
83002016	3	冰晶16级	2	16	iconspBING_2.png	4												8000		108000	125	基础命中率	基础命中率	3750
83002017	3	冰晶17级	2	17	iconspBING_2.png	5												8500		121500	130	基础命中率	基础命中率	3900
83002018	3	冰晶18级	2	18	iconspBING_2.png	5												9000		135000	135	基础命中率	基础命中率	4050
83002019	3	冰晶19级	2	19	iconspBING_2.png	5												9500		153000	140	基础命中率	基础命中率	4200
83002020	3	冰晶20级	2	20	iconspBING_2.png	5												10000			145	基础命中率	基础命中率	4350
83003000	3	冰雨0级	3	0	iconspBING_3.png	0					0									1800		基础生命值	基础生命值	
83003001	3	冰雨1级	3	1	iconspBING_3.png	0					650									2700	50	基础生命值	基础生命值	1500
83003002	3	冰雨2级	3	2	iconspBING_3.png	0					1300									4500	55	基础生命值	基础生命值	1650
83003003	3	冰雨3级	3	3	iconspBING_3.png	0					1950									7200	60	基础生命值	基础生命值	1800
83003004	3	冰雨4级	3	4	iconspBING_3.png	0					2600									10800	65	基础生命值	基础生命值	1950
83003005	3	冰雨5级	3	5	iconspBING_3.png	1					3250									16200	70	基础生命值	基础生命值	2100
83003006	3	冰雨6级	3	6	iconspBING_3.png	1					3900									21600	75	基础生命值	基础生命值	2250
83003007	3	冰雨7级	3	7	iconspBING_3.png	1					4550									27000	80	基础生命值	基础生命值	2400
83003008	3	冰雨8级	3	8	iconspBING_3.png	1					5200									36000	85	基础生命值	基础生命值	2550
83003009	3	冰雨9级	3	9	iconspBING_3.png	2					5850									45000	90	基础生命值	基础生命值	2700
83003010	3	冰雨10级	3	10	iconspBING_3.png	2					6500									54000	95	基础生命值	基础生命值	2850
83003011	3	冰雨11级	3	11	iconspBING_3.png	2					7150									63000	100	基础生命值	基础生命值	3000
83003012	3	冰雨12级	3	12	iconspBING_3.png	2					7800									72000	105	基础生命值	基础生命值	3150
83003013	3	冰雨13级	3	13	iconspBING_3.png	4					8450									81000	110	基础生命值	基础生命值	3300
83003014	3	冰雨14级	3	14	iconspBING_3.png	4					9100									90000	115	基础生命值	基础生命值	3450
83003015	3	冰雨15级	3	15	iconspBING_3.png	4					9750									94500	120	基础生命值	基础生命值	3600
83003016	3	冰雨16级	3	16	iconspBING_3.png	4					10400									108000	125	基础生命值	基础生命值	3750
83003017	3	冰雨17级	3	17	iconspBING_3.png	5					11050									121500	130	基础生命值	基础生命值	3900
83003018	3	冰雨18级	3	18	iconspBING_3.png	5					11700									135000	135	基础生命值	基础生命值	4050
83003019	3	冰雨19级	3	19	iconspBING_3.png	5					12350									153000	140	基础生命值	基础生命值	4200
83003020	3	冰雨20级	3	20	iconspBING_3.png	5					13000										145	基础生命值	基础生命值	4350
83004000	3	冰岩0级	4	0	iconspBING_4.png	0												0		1800		基础命中率	基础命中率	
83004001	3	冰岩1级	4	1	iconspBING_4.png	0												500		2700	50	基础命中率	基础命中率	1500
83004002	3	冰岩2级	4	2	iconspBING_4.png	0												1000		4500	55	基础命中率	基础命中率	1650
83004003	3	冰岩3级	4	3	iconspBING_4.png	0												1500		7200	60	基础命中率	基础命中率	1800
83004004	3	冰岩4级	4	4	iconspBING_4.png	0												2000		10800	65	基础命中率	基础命中率	1950
83004005	3	冰岩5级	4	5	iconspBING_4.png	1												2500		16200	70	基础命中率	基础命中率	2100
83004006	3	冰岩6级	4	6	iconspBING_4.png	1												3000		21600	75	基础命中率	基础命中率	2250
83004007	3	冰岩7级	4	7	iconspBING_4.png	1												3500		27000	80	基础命中率	基础命中率	2400
83004008	3	冰岩8级	4	8	iconspBING_4.png	1												4000		36000	85	基础命中率	基础命中率	2550
83004009	3	冰岩9级	4	9	iconspBING_4.png	2												4500		45000	90	基础命中率	基础命中率	2700
83004010	3	冰岩10级	4	10	iconspBING_4.png	2												5000		54000	95	基础命中率	基础命中率	2850
