怪物ID	卡牌ID	等级	突破	AI	AI参数1	AI参数2	阵营	技能1等级	技能2等级	技能3等级	技能4等级	技能5等级	技能6等级	技能7等级	技能8等级	技能9等级	技能10等级	技能11等级	技能12等级	技能13等级	技能14等级	技能15等级
115003	31304	17	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
120001	32104	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
120002	32202	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
120003	31304	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
120004	31002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
120005	32005	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
125001	42006	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
125002	41203	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
125003	41103	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
125004	43202	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
130001	42006	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
130002	41203	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
130003	41103	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
130004	43202	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
135001	42006	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
135002	41203	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
135003	41103	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
135004	43202	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
140001	41103	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
140002	43202	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
140003	44003	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
140004	43102	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
145001	51006	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
145002	54102	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
145003	52205	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
145004	53002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
145005	51005	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
145006	54002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
150001	51006	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
150002	54102	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
150003	52205	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
150004	53002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
150005	51005	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
150006	54002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
155001	52205	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
155002	53002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
155003	51005	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
155004	54002	18	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
999991	21102	5	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
999992	11007	2	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
999993	12002	1	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
