技能id	技能动画名 	备注	碰撞框1系数（百分比）	碰撞框2系数（百分比）	碰撞框3系数（百分比）	碰撞框4系数（百分比）	碰撞框5系数（百分比）
27	role_qfj_atk_D_4	拳法家普通攻击雷光拳	40	0	0	0	0
28	role_qfj_atk_1_Ai	拳法家左右拳	60	80	120	350	200
29	role_qfj_atk_A_2_Ai	拳法家普通攻击钢拳	100	0	0	0	0
30	role_qfj_atk_A_3_Ai	拳法家普通攻击肘击加压拳	80	80	100	0	0
31	role_qfj_atk_A_4_Ai	拳法家普通攻击脚刀	200	350	0	0	0
32	role_qfj_atk_B_2_Ai	拳法家普通攻击钢拳	100	0	0	0	0
33	role_qfj_atk_B_3_Ai	拳法家普通攻击百裂脚	65	20	0	0	0
34	role_qfj_atk_B_4_Ai	拳法家普通攻击电脚	125	0	0	0	0
35	role_qfj_atk_D_2_Ai	拳法家普通攻击上踢腿	110	0	0	0	0
36	role_qfj_atk_D_4_Ai	拳法家普通攻击雷光拳	40	0	0	0	0
37	role_qfj_skill10_atk1	拳法家躲闪攻击旋转升龙拳	50	100	0	0	0
38	role_qfj_skill10_atk2	拳法家躲闪攻击冲拳	50	50	150	0	0
39	role_qfj_skill10_atk3	拳法家躲闪攻击砸地	200	0	0	0	0
40	role_qfj_skill10_atk3_effect1	拳法家躲闪攻击砸地爆炸	100	0	0	0	0
41	role_qfj_skill1	拳法家技能1	100	350	0	0	0
42	role_qfj_skill1_2	拳法家技能1	100	450	0	0	0
43	role_qfj_skill1_3	拳法家技能1	100	500	0	0	0
44	role_qfj_skill1_4	拳法家技能1	100	550	0	0	0
45	role_qfj_skill1_5	拳法家技能1	100	600	0	0	0
46	role_qfj_skill1_6	拳法家技能1	100	650	0	0	0
47	role_qfj_skill1_AtkEffect	拳法家技能1特效	150	0	0	0	0
48	role_qfj_skill2_on	拳法家技能2扔上去	100	0	0	0	0
49	role_qfj_skill2_on_1	拳法家技能2扔出去	125	0	0	0	0
50	role_qfj_skill2_on_2	拳法家技能2摔砸	125	200	0	0	0
51	role_qfj_skill2_on_1_throw	拳法家技能2扔出去砸人	120	0	0	0	0
52	role_qfj_skill2_catchEffect1	拳法家技能2普通摔砸特效	85	0	0	0	0
53	role_qfj_skill2_catchEffect2	拳法家技能2空中砸下来特效	150	0	0	0	0
54	role_qfj_skill3	拳法家技能3	50	200	0	0	0
55	role_qfj_skill3_2	拳法家技能3	50	200	0	0	0
56	role_qfj_skill3_3	拳法家技能3	50	200	0	0	0
57	role_qfj_skill3_4	拳法家技能3	50	200	0	0	0
58	role_qfj_skill3_5	拳法家技能3	50	200	0	0	0
59	role_qfj_skill3_6	拳法家技能3	50	200	0	0	0
60	role_qfj_skill3_qibo	拳法家技能3冲击波	200	0	0	0	0
61	role_qps_bullet	新女枪普通攻击子弹1	60	0	0	0	0
62	role_qps_bullet_low	新女枪普通攻击子弹1不破	60	0	0	0	0
63	role_qps_bullet2	新女枪普通攻击子弹2	65	0	0	0	0
64	role_qps_bullet2_low	新女枪普通攻击子弹2不破	65	0	0	0	0
65	role_qps_bullet3	新女枪普通攻击子弹3	68	0	0	0	0
66	role_qps_bullet3_low	新女枪普通攻击子弹3不破	68	0	0	0	0
67	role_qps_bullet4_1	新女枪普通攻击子弹4	40	0	0	0	0
68	role_qps_bullet4_1_low	新女枪普通攻击子弹4不破	40	0	0	0	0
69	role_qps_bullet4_2	新女枪普通攻击子弹4_2	40	0	0	0	0
70	role_qps_bullet4_2_low	新女枪普通攻击子弹4_2不破	40	0	0	0	0
71	role_qps_bullet4_3	新女枪普通攻击子弹4_3	40	0	0	0	0
72	role_qps_bullet4_3_low	新女枪普通攻击子弹4_3不破	40	0	0	0	0
73	role_qps_skill1_ball	新女枪量子球	10	15	100	0	0
74	role_qps_skill2	新女枪移动射击	22	0	0	0	0
75	role_qps_skill3	新女枪滑铲射击	118	0	0	0	0
76	role_qps_skill3_kick	新女枪上踢	118	0	0	0	0
77	role_qps_skill3_mix	新女枪枪乱舞	59	19	21	0	0
78	role_qps_skill3_mix2	新女枪枪乱舞加倒立射击	59	19	21	21	0
79	role_qps_skill10	新女枪弹飞弹	10	0	0	0	0
80	leg_born	大脚出生	150	0	0	0	0
81	leg_atk	大脚攻击	150	0	0	0	0
82	leg_atk2	大脚攻击	150	0	0	0	0
83	monster_019_skill1_catch	火焰人抓取	30	0	0	0	0
84	monster_014_catchOn	飞龙抓取	25	0	0	0	0
85	monster_boss_004_atk1	大牛普通攻击	100	100	0	0	0
86	monster_boss_004_atk2	大牛乱打	30	30	0	0	0
87	monster_boss_004_born_0	大牛冲撞出生	100	0	0	0	0
88	monster_boss_004_skill1	大牛冲撞	120	0	0	0	0
89	monster_boss_004_skill2_boxing	大牛冲拳	150	150	0	0	0
90	monster_boss_004_bucket1	大牛扔桶	150	0	0	0	0
91	monster_004_born_1	冰霜狼人出生旋转	20	0	0	0	0
92	monster_004_born_2	冰霜狼人出生旋转	20	0	0	0	0
93	monster_004_born_3	冰霜狼人出生旋转	20	0	0	0	0
94	monster_004_born_4	冰霜狼人出生旋转	20	0	0	0	0
95	monster_004_born_5	冰霜狼人出生旋转	25	0	0	0	0
96	monster_004_skill1	冰霜狼人旋转	25	25	25	25	25
97	monster_004_skill2	冰霜狼人旋转	25	25	25	25	25
98	monster_004_skill3	冰霜狼人原地大旋风	20	0	0	0	0
99	monster_004_skill4	冰霜狼人旋转	25	0	0	0	0
100	monster_boss_012_atk1	蜘蛛女皇普通攻击	120	0	0	0	0
101	monster_boss_012_born_1	蜘蛛出生	150	0	0	0	0
102	monster_boss_012_skill1_dilietuci	蜘蛛追踪刺前兆	10	0	0	0	0
103	monster_boss_012_skill1_dilietuci1	蜘蛛追踪刺触发	100	0	0	0	0
104	monster_boss_012_skill2_tuci2	蜘蛛大刺	250	180	0	0	0
105	monster_boss_012_zibao	小蜘蛛自爆	1	50	0	0	0
106	monster_boss_007_atk1_longjuanfeng	冰霜女巫龙卷风	30	0	0	0	0
107	monster_boss_007_skill1_baofengxue	冰霜女巫暴风雪	35	0	0	0	0
108	leg_atk2_catchOn	大脚乱踩	50	0	0	0	0
109	card_006_atk1_effect	飞刀剑普通攻击1	40	40	40	40	40
110	card_006_atk2_effect	飞刀剑普通攻击2	40	40	40	40	40
111	card_006_atk3_effect	飞刀剑普通攻击3	40	40	40	40	40
112	card_006_atk4_effect	飞刀剑普通攻击4	120	0	0	0	0
113	card_006_skill1	飞刀剑连刺	10	0	0	0	0
114	card_006_skill1_1	飞刀剑连刺	10	0	0	0	0
115	card_006_skill1_2	飞刀剑连刺	10	0	0	0	0
116	card_006_skill1_3	飞刀剑连刺	10	0	0	0	0
117	card_006_skill2_effect1	飞刀剑技能2	19	0	0	0	0
118	card_006_skill2_effect2	飞刀剑技能2	19	0	0	0	0
119	card_006_skill2_effect3	飞刀剑技能2	19	0	0	0	0
120	card_006_skill3	飞刀剑旋风斩	12	0	0	0	0
121	card_006_skill3_1	飞刀剑旋风斩	12	0	0	0	0
122	card_006_skill3_2	飞刀剑旋风斩	12	0	0	0	0
123	card_006_skill3_3	飞刀剑旋风斩	12	0	0	0	0
124	card_006_skill3_fly_cutter	飞刀剑旋风斩飞镖	10	0	0	0	0
125	card_006_skill3_fly_cutter1	飞刀剑旋风斩飞镖	10	0	0	0	0
126	card_008_atk1	包子入侵普通攻击1	15	0	0	0	0
127	card_008_atk2	包子入侵普通攻击2	15	0	0	0	0
128	card_008_atk3	包子入侵普通攻击3	20	0	0	0	0
129	card_008_atk1_ai	包子入侵普通攻击1	15	0	0	0	0
130	card_008_atk2_ai	包子入侵普通攻击2	15	0	0	0	0
131	card_008_atk3_ai	包子入侵普通攻击3	20	0	0	0	0
132	card_008_skill1	包子入侵旋转锁链	11	0	0	0	0
133	card_008_skill1_1	包子入侵旋转锁链	15	0	0	0	0
134	card_008_skill1_2	包子入侵旋转锁链	15	0	0	0	0
135	card_008_skill1_3	包子入侵旋转锁链	15	0	0	0	0
136	card_008_skill2	包子入侵旋转锁链	13	0	0	0	0
137	card_008_skill2_1	包子入侵旋转锁链	14	0	0	0	0
138	card_008_skill2_2	包子入侵旋转锁链	18	0	0	0	0
139	card_008_skill3	包子入侵旋转锁链	20	0	0	0	0
140	card_008_skill3_1	包子入侵旋转锁链	22	0	0	0	0
141	card_008_skill3_2	包子入侵旋转锁链	25	0	0	0	0
142	card_008_brick1	包子入侵板砖	50	0	0	0	0
143	card_008_brick2	包子入侵板砖	50	0	0	0	0
144	card_008_brick3	包子入侵板砖	50	0	0	0	0
145	card_002_zidan	通用枪普通攻击	55	0	0	0	0
146	card_002_zidan2	通用枪普通攻击	70	0	0	0	0
147	card_002_skill1	通用枪小伙伴乱射	80	80	80	80	0
148	card_002_skill2	通用枪小伙伴回旋踢	70	0	0	0	0
149	card_002_skill3_qiang	通用枪小伙伴回旋枪	120	0	0	0	0
150	card_002_skill4_zidan	通用枪小伙伴浮空弹	150	0	0	0	0
151	card_002_skill5_zidan1	通用枪小伙伴散射	100	0	0	0	0
152	card_002_skill5_zidan2	通用枪小伙伴散射	100	0	0	0	0
153	card_002_skill5_zidan3	通用枪小伙伴散射	100	0	0	0	0
154	card_009_skill1	音尘冰块技能	400	0	0	0	0
155	card_009_skill1_1	音尘冰块技能	500	0	0	0	0
156	card_009_skill1_2	音尘冰块技能	500	10	0	0	0
157	card_009_skill2_fireball	音尘火球技能	250	250	0	0	0
158	card_009_skill2_fireball1	音尘火球技能	300	300	0	0	0
159	card_009_skill2_fireball2	音尘火球技能	300	300	50	0	0
160	card_009_skill3_lighting	音尘电击	150	0	0	0	0
161	card_009_skill3_lighting2	音尘电击	150	0	0	0	0
162	card_007_skill1	寒烟柔技能1	350	0	0	0	0
163	card_007_skill1_1	寒烟柔技能1	350	350	0	0	0
164	card_007_skill1_2	寒烟柔技能1	350	350	350	0	0
165	card_007_skill2	寒烟柔技能2	140	0	0	0	0
166	card_007_skill2_1	寒烟柔技能2	140	0	0	0	0
167	card_007_skill2_2	寒烟柔技能2	140	0	0	0	0
168	card_007_skill2_3	寒烟柔技能2	140	0	0	0	0
169	card_007_skill2_ball1	寒烟柔龙珠	20	0	0	0	0
170	card_007_skill3	寒烟柔技能3	100	0	0	0	0
171	card_007_skill3_1	寒烟柔技能3	100	15	0	0	0
172	card_007_skill3_2	寒烟柔技能3	100	15	0	0	0
173	card_007_dazzle	寒烟柔炫纹	15	0	0	0	0
174	card_007_dazzle2	寒烟柔炫纹	50	0	0	0	0
175	card_011_bullet	百花缭乱普通攻击	80	0	0	0	0
176	card_011_skill1_lei	百花缭乱雷手雷	100	0	0	0	0
177	card_011_skill2_huo1	百花缭乱火手雷	110	0	0	0	0
178	card_011_skill2_huo2	百花缭乱火手雷	120	0	0	0	0
179	card_011_skill3_bing	百花缭乱冰手雷	150	0	0	0	0
180	card_001_skill1	通用剑小伙伴乱砍	20	0	0	0	0
181	card_001_skill1_bo	通用剑小伙伴乱砍后放波	100	0	0	0	0
182	card_001_skill2	通用剑小伙伴隐身乱斩	65	10	65	80	0
183	card_001_skill3	通用剑小伙伴月光斩	18	20	0	0	0
184	card_001_skill4	通用剑小伙伴鬼斩	200	0	0	0	0
185	card_001_skill5	通用剑小伙伴转盘	85	25	0	0	0
186	card_001_skill5_zhuanpan	通用剑小伙伴飞盘	10	0	0	0	0
187	card_001_skill6_bo	通用剑小伙伴小气波	80	0	0	0	0
188	card_001_skill7_hongseqibo	通用剑小伙伴大气波	150	0	0	0	0
189	monster_boss_011_skill4_effect	精灵射手旋风箭	60	0	0	0	0
190	dici_green_idle1	地刺草	15	0	0	0	0
191	dici_green_idle2	地刺草	15	0	0	0	0
192	dici_red_idle1	地刺草	15	0	0	0	0
193	dici_red_idle2	地刺草	15	0	0	0	0
194	stab_atk	钢铁地刺	15	0	0	0	0
195	card_014_atk1	夜雨声烦普通攻击1	80	0	0	0	0
196	card_014_atk2	夜雨声烦普通攻击2	80	0	0	0	0
197	card_014_atk3	夜雨声烦普通攻击3	80	0	0	0	0
198	card_014_atk4	夜雨声烦普通攻击4	80	0	0	0	0
199	card_014_atk5	夜雨声烦普通攻击5	100	0	0	0	0
200	card_014_atk1_Ai	夜雨声烦普通攻击1	80	0	0	0	0
201	card_014_atk2_Ai	夜雨声烦普通攻击2	80	0	0	0	0
202	card_014_atk3_Ai	夜雨声烦普通攻击3	80	0	0	0	0
203	card_014_atk4_Ai	夜雨声烦普通攻击4	80	0	0	0	0
204	card_014_atk5_Ai	夜雨声烦普通攻击5	100	0	0	0	0
205	card_014_skill1	夜雨声烦五段斩1	110	0	0	0	0
206	card_014_skill1_2	夜雨声烦五段斩2	110	0	0	0	0
207	card_014_skill1_3	夜雨声烦五段斩3	110	0	0	0	0
208	card_014_skill1_4	夜雨声烦五段斩4	110	0	0	0	0
209	card_014_skill1_5	夜雨声烦五段斩5	150	0	0	0	0
210	card_014_skill2	夜雨声烦幻影无形剑	45	45	45	45	45
211	card_014_skill2_dabo	夜雨声烦幻影无形剑大波	120	0	0	0	0
212	card_014_skill2_dabo_doSummer	剑影步大波	15	0	0	0	0
213	card_014_skill2_xiaobo	夜雨声烦幻影无形剑小波	15	0	0	0	0
214	card_014_skill3_dabo	剑影步创建气波	120	0	0	0	0
215	card_014_idle_doSummer	剑影步攻击	10	10	10	10	10
216	trap_fireDragon_atk1	机关火龙火舌攻击	23	0	0	0	0
217	card_013_atk1	气冲云水普攻	100	0	0	0	0
218	card_013_atk2	气冲云水普攻	100	0	0	0	0
219	card_013_atk3	气冲云水普攻	120	0	0	0	0
220	card_013_atk4	气冲云水普攻	120	0	0	0	0
221	card_013_atk1_ai	气冲云水普攻	100	0	0	0	0
222	card_013_atk2_ai	气冲云水普攻	100	0	0	0	0
223	card_013_atk3_ai	气冲云水普攻	120	0	0	0	0
224	card_013_atk4_ai	气冲云水普攻	120	0	0	0	0
225	card_013_skill01_bo1	气冲云水冲击波	100	0	0	0	0
226	card_013_skill01_bo2	气冲云水冲击波	100	0	0	0	0
227	card_013_skill01_bo3	气冲云水冲击波	150	0	0	0	0
228	card_013_skill02_01_xuanwo	气冲云水能量球	150	0	0	0	0
229	card_013_skill02_02_xuanwo	气冲云水能量球	150	0	0	0	0
230	card_013_skill02_03_xuanwo	气冲云水能量球	150	0	0	0	0
231	card_013_skill03_01	气冲云水技能3	300	300	350	0	0
232	card_013_skill03_02	气冲云水技能3	300	300	350	0	0
233	card_013_skill03_03	气冲云水技能3	300	300	350	0	0
234	monster_015_atk1	哥布林商人普通攻击	150	0	0	0	0
235	monster_015_umbrella	哥布林商人雨伞	60	0	0	0	0
236	monster_015_umbrella1	哥布林商人雨伞	60	0	0	0	0
237	monster_015_umbrella2	哥布林商人雨伞	60	0	0	0	0
238	monster_015_umbrella_sin	哥布林商人雨伞	120	0	0	0	0
239	card_010_atk1	鬼刻普通攻击	100	0	0	0	0
240	card_010_atk2	鬼刻普通攻击	100	0	0	0	0
241	card_010_atk3	鬼刻普通攻击	100	0	0	0	0
242	card_010_atk4	鬼刻普通攻击	100	0	0	0	0
243	card_010_atk4_2	鬼刻普通攻击	100	0	0	0	0
244	card_010_atk4_3	鬼刻普通攻击	100	0	0	0	0
245	card_010_atk5	鬼刻普通攻击	100	0	0	0	0
246	card_010_atk5_effect	鬼刻普通攻击	35	0	0	0	0
247	card_010_atk1_Ai	鬼刻普通攻击	100	0	0	0	0
248	card_010_atk2_Ai	鬼刻普通攻击	100	0	0	0	0
249	card_010_atk3_Ai	鬼刻普通攻击	100	0	0	0	0
250	card_010_atk4_Ai	鬼刻普通攻击	100	0	0	0	0
251	card_010_atk4_2_Ai	鬼刻普通攻击	100	0	0	0	0
252	card_010_atk4_3_Ai	鬼刻普通攻击	100	0	0	0	0
253	card_010_atk5_Ai	鬼刻普通攻击	100	0	0	0	0
254	card_010_skill1_1	鬼刻死亡之手	35	0	0	0	0
255	card_010_skill1_2	鬼刻死亡之手	35	0	0	0	0
256	card_010_skill1_3	鬼刻死亡之手	35	0	0	0	0
257	card_010_skill2_Matrix1	鬼刻阵	20	0	0	0	0
258	card_010_skill2_Matrix2	鬼刻阵	20	0	0	0	0
259	card_010_skill2_Matrix3	鬼刻阵	20	0	0	0	0
260	card_010_skill3_mubei	死亡墓碑	35	0	0	0	0
261	monster_017_atk1	幽灵普通攻击1	65	0	0	0	0
262	monster_017_atk2	幽灵普通攻击2	120	0	0	0	0
263	monster_017_fire	幽灵普通攻击3	50	0	0	0	0
264	card_012_atk1	再睡一夏普攻	125	0	0	0	0
265	card_012_atk2	再睡一夏普攻	125	0	0	0	0
266	card_012_atk3	再睡一夏普攻	100	0	0	0	0
267	card_012_atk1_AiSkill	再睡一夏普攻	125	0	0	0	0
268	card_012_atk2_AiSkill	再睡一夏普攻	125	0	0	0	0
269	card_012_atk3_AiSkill	再睡一夏普攻	100	0	0	0	0
270	card_012_skill1	再睡一夏技能1	150	0	0	0	0
271	card_012_skill1_dao	再睡一下刀	50	0	0	0	0
272	card_012_skill1_dao_down	再睡一下刀	50	0	0	0	0
273	card_012_skill1_dao_up	再睡一下刀	50	0	0	0	0
274	card_012_skill2	再睡一夏技能2	200	0	0	0	0
275	card_012_skill2_1	再睡一夏技能2	250	0	0	0	0
276	card_012_skill2_2	再睡一夏技能2	300	0	0	0	0
277	card_012_skill2_2_groundEffect	再睡一夏技能2	50	0	0	0	0
278	card_012_skill3_1	再睡一夏技能3	50	0	0	0	0
279	card_012_skill3_2	再睡一夏技能3	50	0	0	0	0
280	card_012_skill3_3	再睡一夏技能3	50	0	0	0	0
281	card_004_atk_bullet1	逐烟霞普攻飞弹	80	0	0	0	0
282	card_004_atk_bullet2	逐烟霞普攻大飞弹	150	0	0	0	0
283	card_004_skill1_bullet	逐烟霞格林机枪子弹	25	0	0	0	0
284	card_004_skill1_bullet2	逐烟霞格林机枪子弹	30	0	0	0	0
285	card_004_skill2_2effect	逐烟霞刺弹炮	150	0	0	0	0
286	card_004_skill3_ball1	逐烟霞压缩炮	120	0	0	0	0
287	card_004_skill3_ball2	逐烟霞压缩炮	120	0	0	0	0
288	card_004_skill3_ball3	逐烟霞压缩炮	120	0	0	0	0
289	card_016_atk1	通用战斗法师普通攻击	80	0	0	0	0
290	card_016_atk2	通用战斗法师普通攻击	80	0	0	0	0
291	card_016_atk3	通用战斗法师普通攻击	80	0	0	0	0
292	card_016_atk4	通用战斗法师普通攻击	100	0	0	0	0
293	card_016_atk1_Ai	通用战斗法师普通攻击	80	0	0	0	0
294	card_016_atk2_Ai	通用战斗法师普通攻击	80	0	0	0	0
295	card_016_atk3_Ai	通用战斗法师普通攻击	80	0	0	0	0
296	card_016_atk4_Ai	通用战斗法师普通攻击	100	0	0	0	0
297	card_016_skill1	通用战斗法师技能1连刺	15	80	0	0	0
298	card_016_skill2	通用战斗法师技能2四段斩	80	80	80	80	0
299	card_016_skill3	通用战斗法师技能3挥大棍	220	0	0	0	0
300	monster_boss_016_atk	木头人冲刺攻击	85	85	0	0	0
301	monster_boss_016_atk2	木头人冲刺攻击	85	85	0	0	0
302	monster_boss_016_born	木头人出生冲刺	50	0	0	0	0
303	monster_boss_016_skill1	木头人跳劈	135	0	0	0	0
304	monster_013_fire	骷髅弓箭手地面火焰	12	0	0	0	0
305	monster_013_jian_fire_zhuizong	骷髅弓箭手火箭	95	0	0	0	0
306	monster_013_jian_fire_zhuizong2	骷髅弓箭手火箭	95	0	0	0	0
307	monster_013_jian_zhuizong2	骷髅弓箭手普通箭	80	0	0	0	0
308	monster_003_dao	小精灵飞刀	80	0	0	0	0
309	monster_003_dao2	小精灵飞刀	80	0	0	0	0
310	monster_boss_015_skill1	角斗士冲拳	50	120	0	0	0
311	monster_boss_015_skill1_1	角斗士冲拳	100	100	0	0	0
312	monster_boss_015_skill1_2	角斗士冲拳	100	100	100	100	0
313	monster_boss_015_skill2	角斗士从空中砸下来	450	0	0	0	0
314	monster_boss_015_skill3	角斗士机关枪	35	100	0	0	0
315	card_017_atk_qiu	通用元素法师普通攻击小电球	35	0	0	0	0
316	card_017_atk3_qiu	通用元素法师普通攻击大电球	50	0	0	0	0
317	card_017_skill1	通用法师暗域扩张	80	0	0	0	0
318	card_017_skill2	通用法师聚合炮	15	0	0	0	0
319	card_017_skill2_zidan	通用法师聚合炮	15	120	0	0	0
320	card_017_skill3	通用法师黑暗领域	50	0	0	0	0
321	card_017_skill3_zidan	通用法师黑暗领域法阵	15	0	0	0	0
322	card_017_skill4_yunshi	通用法师陨石	250	0	0	0	0
323	card_017_skill5_dianci	通用法师闪电阵	10	0	0	0	0
324	card_017_skill6	通用法师喷火	25	0	0	0	0
325	common_earthquake	所有怪物倒地起身通用特效	1	1	1	1	1
326	card_015_atk1	蓝河普攻	80	80	80	80	80
327	card_015_atk2	蓝河普攻	80	80	80	80	80
328	card_015_atk3	蓝河普攻	80	80	80	80	80
329	card_015_atk4	蓝河普攻	80	80	80	80	80
330	card_015_atk1_Ai	蓝河普攻	80	80	80	80	80
331	card_015_atk2_Ai	蓝河普攻	80	80	80	80	80
332	card_015_atk3_Ai	蓝河普攻	80	80	80	80	80
333	card_015_atk4_Ai	蓝河普攻	80	80	80	80	80
334	card_015_skill1	蓝河升龙斩	100	0	0	0	0
335	card_015_skill1_1	蓝河升龙斩	100	0	0	0	0
336	card_015_skill1_2	蓝河升龙斩	100	0	0	0	0
337	card_015_skill1_long	蓝河升龙斩	35	0	0	0	0
338	card_015_skill1_long1	蓝河升龙斩	35	0	0	0	0
339	card_015_skill1_long2	蓝河升龙斩	35	100	0	0	0
340	card_015_skill2	蓝河拔刀斩	100	0	0	0	0
341	card_015_skill2_2	蓝河拔刀斩	100	0	0	0	0
342	card_015_skill2_baodian	蓝河拔刀斩	35	0	0	0	0
343	card_015_skill2_baodian2	蓝河拔刀斩	20	0	0	0	0
344	card_015_skill2_jianying	蓝河拔刀斩	35	0	0	0	0
345	card_015_skill2_jianying2	蓝河拔刀斩	35	0	0	0	0
346	card_015_skill3	蓝河万剑归宗	35	0	0	0	0
347	card_015_zhanfa_shanying	蓝河召唤战斗法师4段斩	15	15	15	15	15
348	card_015_jianke_liebozhan	蓝河召唤剑客裂波斩	35	10	0	0	0
349	card_015_jianke_pojun	蓝河召唤剑客破军	20	20	20	20	20
350	card_015_jianke_wuxingjian	蓝河召唤剑客幻影无形剑	8	8	8	8	0
351	card_015_yeyushengfan_dabo	蓝河召唤夜雨声烦放波	30	0	0	0	0
352	card_015_qiangshou_luanshe	蓝河召唤枪手乱射	15	15	15	15	15
353	monster_019_fire	焚烧光环	5	5	5	5	5
354	monster_boss_014_atk3_longjuanfeng	老鹰龙卷风	20	0	0	0	0
355	monster_qfj_atk_B_2_AiSkill	拳法家boss普通攻击	100	0	0	0	0
356	monster_qfj_atk_B_3_AiSkill	拳法家boss白裂腿	150	10	0	0	0
357	monster_qfj_atk_B_4_AiSkill	拳法家boss踢腿	100	0	0	0	0
358	monster_qfj_atk_D_4_AiSkill	拳法家boss罗生门	300	0	0	0	0
359	monster_qfj_skill1	拳法家boss3连击	50	50	50	250	0
360	monster_qfj_skill3	拳法家boss闪电腿	150	50	150	0	0
361	monster_boss_013_atk1	流浪剑客普通攻击	100	0	0	0	0
362	monster_boss_013_atk2	流浪剑客普通攻击	100	0	0	0	0
363	monster_boss_013_skill1	流浪剑客技能1	100	35	0	0	0
364	monster_boss_013_skill2	流浪剑客技能2	10	0	0	0	0
365	monster_boss_013_skill2_zidan	流浪剑客技能2	100	150	200	0	0
366	monster_boss_013_skill3	流浪剑客技能3鸟	10	0	0	0	0
367	monster_boss_013_skill3_zidan	流浪剑客技能3鸟	25	0	0	0	0
368	monster_boss_013_skill4_zizhi	流浪剑客技能4	150	0	0	0	0
369	monster_boss_013_skill5_zizhi	流浪剑客技能5	250	0	0	0	0
370	monster_boss_013_skill6_zizhi	流浪剑客技能6	350	0	0	0	0
371	card_019_atk_qiangkou	全透明普通攻击枪口	5	0	0	0	0
372	card_019_atk_zidan	全透明普通攻击子弹	35	0	0	0	0
373	card_019_skill1_shoulei	全透明手雷	5	0	0	0	0
374	card_019_skill1_baozha	全透明手雷爆炸	80	0	0	0	0
375	card_019_skill2_zidan0	全透明散弹	150	0	0	0	0
376	card_019_skill2_zidan1	全透明散弹	180	0	0	0	0
377	card_019_skill2_zidan2	全透明散弹	220	0	0	0	0
378	card_019_skill3_baozha	全透明导弹	100	150	0	0	0
379	card_018_atk1	生灵灭普通攻击枪口	10	0	0	0	0
380	card_018_atk1_Ai	生灵灭普通攻击枪口	10	0	0	0	0
381	card_018_atkEffect	生灵灭子弹	35	0	0	0	0
382	card_018_skill1_robot	生灵灭机器人	65	5	0	0	0
383	card_018_skill2_bullet0	毒蛇炮子弹	20	0	0	0	0
384	card_018_skill2_bullet1	毒蛇炮子弹	25	0	0	0	0
385	card_018_skill2_dushepao0	生灵灭毒蛇炮	70	150	0	0	0
386	card_018_skill2_dushepao1	生灵灭毒蛇炮	70	150	0	0	0
387	card_018_skill2_dushepao2	生灵灭毒蛇炮	70	150	0	0	0
388	card_018_skill2_dushepao2	生灵灭毒蛇炮	70	150	0	0	0
389	card_018_skill3_effect	生灵灭拳头	80	0	0	0	0
390	card_018_skill3_effect	生灵灭拳头	450	0	0	0	0
391	card_018_skill3_effect	生灵灭拳头	500	0	0	0	0
392	monster_002_skill3_qianzi	蝎子男散射	50	0	0	0	0
393	card_021_atk1	哈里斯普通攻击	120	100	100	0	0
394	card_021_atk1_Ai	哈里斯普通攻击	120	100	100	0	0
395	card_021_skill1_bo_0	哈里斯气波	50	0	0	0	0
396	card_021_skill1_bo_1	哈里斯气波	50	0	0	0	0
