表ID	装备ID	获得概率	最低玩家等级	最高玩家等级	装备品质
446	42405008	20	50	57	2
447	43405008	20	50	57	3
448	44405008	20	50	57	4
449	45405008	20	50	57	5
450	46405008	20	50	57	6
451	42006109	20	58	65	2
452	43006109	20	58	65	3
453	44006109	20	58	65	4
454	45006109	20	58	65	5
455	46006109	20	58	65	6
456	42006509	20	58	65	2
457	43006509	20	58	65	3
458	44006509	20	58	65	4
459	45006509	20	58	65	5
460	46006509	20	58	65	6
461	42102009	20	58	65	2
462	43102009	20	58	65	3
463	44102009	20	58	65	4
464	45102009	20	58	65	5
465	46102009	20	58	65	6
466	42103009	20	58	65	2
467	43103009	20	58	65	3
468	44103009	20	58	65	4
469	45103009	20	58	65	5
470	46103009	20	58	65	6
471	42104009	20	58	65	2
472	43104009	20	58	65	3
473	44104009	20	58	65	4
474	45104009	20	58	65	5
475	46104009	20	58	65	6
476	42105009	20	58	65	2
477	43105009	20	58	65	3
478	44105009	20	58	65	4
479	45105009	20	58	65	5
480	46105009	20	58	65	6
481	42202009	20	58	65	2
482	43202009	20	58	65	3
483	44202009	20	58	65	4
484	45202009	20	58	65	5
485	46202009	20	58	65	6
486	42203009	20	58	65	2
487	43203009	20	58	65	3
488	44203009	20	58	65	4
489	45203009	20	58	65	5
490	46203009	20	58	65	6
491	42204009	20	58	65	2
492	43204009	20	58	65	3
493	44204009	20	58	65	4
494	45204009	20	58	65	5
495	46204009	20	58	65	6
496	42205009	20	58	65	2
497	43205009	20	58	65	3
498	44205009	20	58	65	4
499	45205009	20	58	65	5
500	46205009	20	58	65	6
501	42302009	20	58	65	2
502	43302009	20	58	65	3
503	44302009	20	58	65	4
504	45302009	20	58	65	5
505	46302009	20	58	65	6
506	42303009	20	58	65	2
507	43303009	20	58	65	3
508	44303009	20	58	65	4
509	45303009	20	58	65	5
510	46303009	20	58	65	6
511	42304009	20	58	65	2
512	43304009	20	58	65	3
513	44304009	20	58	65	4
514	45304009	20	58	65	5
515	46304009	20	58	65	6
516	42305009	20	58	65	2
517	43305009	20	58	65	3
518	44305009	20	58	65	4
519	45305009	20	58	65	5
520	46305009	20	58	65	6
521	42402009	20	58	65	2
522	43402009	20	58	65	3
523	44402009	20	58	65	4
524	45402009	20	58	65	5
525	46402009	20	58	65	6
526	42403009	20	58	65	2
527	43403009	20	58	65	3
528	44403009	20	58	65	4
529	45403009	20	58	65	5
530	46403009	20	58	65	6
531	42404009	20	58	65	2
532	43404009	20	58	65	3
533	44404009	20	58	65	4
534	45404009	20	58	65	5
535	46404009	20	58	65	6
536	42405009	20	58	65	2
537	43405009	20	58	65	3
538	44405009	20	58	65	4
539	45405009	20	58	65	5
540	46405009	20	58	65	6
541	42006110	20	66	73	2
542	43006110	20	66	73	3
543	44006110	20	66	73	4
544	45006110	20	66	73	5
545	46006110	20	66	73	6
546	42006510	20	66	73	2
547	43006510	20	66	73	3
548	44006510	20	66	73	4
549	45006510	20	66	73	5
550	46006510	20	66	73	6
551	42102010	20	66	73	2
552	43102010	20	66	73	3
553	44102010	20	66	73	4
554	45102010	20	66	73	5
555	46102010	20	66	73	6
556	42103010	20	66	73	2
557	43103010	20	66	73	3
558	44103010	20	66	73	4
559	45103010	20	66	73	5
560	46103010	20	66	73	6
561	42104010	20	66	73	2
562	43104010	20	66	73	3
563	44104010	20	66	73	4
564	45104010	20	66	73	5
565	46104010	20	66	73	6
566	42105010	20	66	73	2
567	43105010	20	66	73	3
568	44105010	20	66	73	4
569	45105010	20	66	73	5
570	46105010	20	66	73	6
571	42202010	20	66	73	2
572	43202010	20	66	73	3
573	44202010	20	66	73	4
574	45202010	20	66	73	5
575	46202010	20	66	73	6
576	42203010	20	66	73	2
577	43203010	20	66	73	3
578	44203010	20	66	73	4
579	45203010	20	66	73	5
580	46203010	20	66	73	6
581	42204010	20	66	73	2
582	43204010	20	66	73	3
583	44204010	20	66	73	4
584	45204010	20	66	73	5
585	46204010	20	66	73	6
586	42205010	20	66	73	2
587	43205010	20	66	73	3
588	44205010	20	66	73	4
589	45205010	20	66	73	5
590	46205010	20	66	73	6
591	42302010	20	66	73	2
592	43302010	20	66	73	3
593	44302010	20	66	73	4
594	45302010	20	66	73	5
595	46302010	20	66	73	6
596	42303010	20	66	73	2
597	43303010	20	66	73	3
598	44303010	20	66	73	4
599	45303010	20	66	73	5
600	46303010	20	66	73	6
601	42304010	20	66	73	2
602	43304010	20	66	73	3
603	44304010	20	66	73	4
604	45304010	20	66	73	5
605	46304010	20	66	73	6
606	42305010	20	66	73	2
607	43305010	20	66	73	3
608	44305010	20	66	73	4
609	45305010	20	66	73	5
610	46305010	20	66	73	6
611	42402010	20	66	73	2
612	43402010	20	66	73	3
613	44402010	20	66	73	4
614	45402010	20	66	73	5
615	46402010	20	66	73	6
616	42403010	20	66	73	2
617	43403010	20	66	73	3
618	44403010	20	66	73	4
619	45403010	20	66	73	5
620	46403010	20	66	73	6
621	42404010	20	66	73	2
622	43404010	20	66	73	3
623	44404010	20	66	73	4
624	45404010	20	66	73	5
625	46404010	20	66	73	6
626	42405010	20	66	73	2
627	43405010	20	66	73	3
628	44405010	20	66	73	4
629	45405010	20	66	73	5
630	46405010	20	66	73	6
631	42006111	20	74	81	2
632	43006111	20	74	81	3
633	44006111	20	74	81	4
634	45006111	20	74	81	5
635	46006111	20	74	81	6
636	42006511	20	74	81	2
637	43006511	20	74	81	3
638	44006511	20	74	81	4
639	45006511	20	74	81	5
640	46006511	20	74	81	6
641	42102011	20	74	81	2
642	43102011	20	74	81	3
643	44102011	20	74	81	4
644	45102011	20	74	81	5
645	46102011	20	74	81	6
646	42103011	20	74	81	2
647	43103011	20	74	81	3
648	44103011	20	74	81	4
649	45103011	20	74	81	5
650	46103011	20	74	81	6
651	42104011	20	74	81	2
652	43104011	20	74	81	3
653	44104011	20	74	81	4
654	45104011	20	74	81	5
655	46104011	20	74	81	6
656	42105011	20	74	81	2
657	43105011	20	74	81	3
658	44105011	20	74	81	4
659	45105011	20	74	81	5
660	46105011	20	74	81	6
661	42202011	20	74	81	2
662	43202011	20	74	81	3
663	44202011	20	74	81	4
664	45202011	20	74	81	5
665	46202011	20	74	81	6
666	42203011	20	74	81	2
667	43203011	20	74	81	3
668	44203011	20	74	81	4
669	45203011	20	74	81	5
670	46203011	20	74	81	6
671	42204011	20	74	81	2
672	43204011	20	74	81	3
673	44204011	20	74	81	4
674	45204011	20	74	81	5
675	46204011	20	74	81	6
676	42205011	20	74	81	2
677	43205011	20	74	81	3
678	44205011	20	74	81	4
679	45205011	20	74	81	5
680	46205011	20	74	81	6
681	42302011	20	74	81	2
682	43302011	20	74	81	3
683	44302011	20	74	81	4
684	45302011	20	74	81	5
685	46302011	20	74	81	6
686	42303011	20	74	81	2
687	43303011	20	74	81	3
688	44303011	20	74	81	4
689	45303011	20	74	81	5
690	46303011	20	74	81	6
691	42304011	20	74	81	2
692	43304011	20	74	81	3
693	44304011	20	74	81	4
694	45304011	20	74	81	5
695	46304011	20	74	81	6
696	42305011	20	74	81	2
697	43305011	20	74	81	3
698	44305011	20	74	81	4
699	45305011	20	74	81	5
700	46305011	20	74	81	6
701	42402011	20	74	81	2
702	43402011	20	74	81	3
703	44402011	20	74	81	4
704	45402011	20	74	81	5
705	46402011	20	74	81	6
706	42403011	20	74	81	2
707	43403011	20	74	81	3
708	44403011	20	74	81	4
709	45403011	20	74	81	5
710	46403011	20	74	81	6
711	42404011	20	74	81	2
712	43404011	20	74	81	3
713	44404011	20	74	81	4
714	45404011	20	74	81	5
715	46404011	20	74	81	6
716	42405011	20	74	81	2
717	43405011	20	74	81	3
718	44405011	20	74	81	4
719	45405011	20	74	81	5
720	46405011	20	74	81	6
721	42006112	20	82	89	2
722	43006112	20	82	89	3
723	44006112	20	82	89	4
724	45006112	20	82	89	5
725	46006112	20	82	89	6
726	42006512	20	82	89	2
727	43006512	20	82	89	3
728	44006512	20	82	89	4
729	45006512	20	82	89	5
730	46006512	20	82	89	6
731	42102012	20	82	89	2
732	43102012	20	82	89	3
733	44102012	20	82	89	4
734	45102012	20	82	89	5
735	46102012	20	82	89	6
736	42103012	20	82	89	2
737	43103012	20	82	89	3
738	44103012	20	82	89	4
739	45103012	20	82	89	5
740	46103012	20	82	89	6
741	42104012	20	82	89	2
742	43104012	20	82	89	3
743	44104012	20	82	89	4
744	45104012	20	82	89	5
745	46104012	20	82	89	6
746	42105012	20	82	89	2
747	43105012	20	82	89	3
748	44105012	20	82	89	4
749	45105012	20	82	89	5
750	46105012	20	82	89	6
751	42202012	20	82	89	2
752	43202012	20	82	89	3
753	44202012	20	82	89	4
754	45202012	20	82	89	5
755	46202012	20	82	89	6
756	42203012	20	82	89	2
757	43203012	20	82	89	3
758	44203012	20	82	89	4
759	45203012	20	82	89	5
760	46203012	20	82	89	6
761	42204012	20	82	89	2
762	43204012	20	82	89	3
763	44204012	20	82	89	4
764	45204012	20	82	89	5
765	46204012	20	82	89	6
766	42205012	20	82	89	2
767	43205012	20	82	89	3
768	44205012	20	82	89	4
769	45205012	20	82	89	5
770	46205012	20	82	89	6
771	42302012	20	82	89	2
772	43302012	20	82	89	3
773	44302012	20	82	89	4
774	45302012	20	82	89	5
775	46302012	20	82	89	6
776	42303012	20	82	89	2
777	43303012	20	82	89	3
778	44303012	20	82	89	4
779	45303012	20	82	89	5
780	46303012	20	82	89	6
781	42304012	20	82	89	2
782	43304012	20	82	89	3
783	44304012	20	82	89	4
784	45304012	20	82	89	5
785	46304012	20	82	89	6
786	42305012	20	82	89	2
787	43305012	20	82	89	3
788	44305012	20	82	89	4
789	45305012	20	82	89	5
790	46305012	20	82	89	6
791	42402012	20	82	89	2
792	43402012	20	82	89	3
793	44402012	20	82	89	4
794	45402012	20	82	89	5
795	46402012	20	82	89	6
796	42403012	20	82	89	2
797	43403012	20	82	89	3
798	44403012	20	82	89	4
799	45403012	20	82	89	5
800	46403012	20	82	89	6
801	42404012	20	82	89	2
802	43404012	20	82	89	3
803	44404012	20	82	89	4
804	45404012	20	82	89	5
805	46404012	20	82	89	6
806	42405012	20	82	89	2
807	43405012	20	82	89	3
808	44405012	20	82	89	4
809	45405012	20	82	89	5
810	46405012	20	82	89	6
811	42006113	20	90	100	2
812	43006113	20	90	100	3
813	44006113	20	90	100	4
814	45006113	20	90	100	5
815	46006113	20	90	100	6
816	42006513	20	90	100	2
817	43006513	20	90	100	3
818	44006513	20	90	100	4
819	45006513	20	90	100	5
820	46006513	20	90	100	6
821	42102013	20	90	100	2
822	43102013	20	90	100	3
823	44102013	20	90	100	4
824	45102013	20	90	100	5
825	46102013	20	90	100	6
826	42103013	20	90	100	2
827	43103013	20	90	100	3
828	44103013	20	90	100	4
829	45103013	20	90	100	5
830	46103013	20	90	100	6
831	42104013	20	90	100	2
832	43104013	20	90	100	3
833	44104013	20	90	100	4
834	45104013	20	90	100	5
835	46104013	20	90	100	6
836	42105013	20	90	100	2
837	43105013	20	90	100	3
838	44105013	20	90	100	4
839	45105013	20	90	100	5
840	46105013	20	90	100	6
841	42202013	20	90	100	2
842	43202013	20	90	100	3
843	44202013	20	90	100	4
844	45202013	20	90	100	5
845	46202013	20	90	100	6
846	42203013	20	90	100	2
847	43203013	20	90	100	3
848	44203013	20	90	100	4
849	45203013	20	90	100	5
850	46203013	20	90	100	6
851	42204013	20	90	100	2
852	43204013	20	90	100	3
853	44204013	20	90	100	4
854	45204013	20	90	100	5
855	46204013	20	90	100	6
856	42205013	20	90	100	2
857	43205013	20	90	100	3
858	44205013	20	90	100	4
859	45205013	20	90	100	5
860	46205013	20	90	100	6
861	42302013	20	90	100	2
862	43302013	20	90	100	3
863	44302013	20	90	100	4
864	45302013	20	90	100	5
865	46302013	20	90	100	6
866	42303013	20	90	100	2
867	43303013	20	90	100	3
868	44303013	20	90	100	4
869	45303013	20	90	100	5
870	46303013	20	90	100	6
871	42304013	20	90	100	2
872	43304013	20	90	100	3
873	44304013	20	90	100	4
874	45304013	20	90	100	5
875	46304013	20	90	100	6
876	42305013	20	90	100	2
877	43305013	20	90	100	3
878	44305013	20	90	100	4
879	45305013	20	90	100	5
880	46305013	20	90	100	6
881	42402013	20	90	100	2
882	43402013	20	90	100	3
883	44402013	20	90	100	4
884	45402013	20	90	100	5
885	46402013	20	90	100	6
886	42403013	20	90	100	2
887	43403013	20	90	100	3
888	44403013	20	90	100	4
889	45403013	20	90	100	5
890	46403013	20	90	100	6
891	42404013	20	90	100	2
892	43404013	20	90	100	3
893	44404013	20	90	100	4
894	45404013	20	90	100	5
895	46404013	20	90	100	6
896	42405013	20	90	100	2
897	43405013	20	90	100	3
898	44405013	20	90	100	4
899	45405013	20	90	100	5
900	46405013	20	90	100	6
