炫纹id	炫纹类型	炫纹等级	炫纹技能图标(激活)	炫纹技能图标（未激活）	炫纹名称	炫纹品质	需要炫纹碎片id1	需要炫纹碎片id2	需要炫纹碎片id3	需要炫纹碎片id4	需要炫纹碎片id5	需要炫纹碎片id6	附加的效果	附加的效果的值	附加效果触发概率	对应射击特效id	射击特效触发概率	射击特效触发概率判定	被动效果说明	激活效果说明	精灵id
305	3	5	imageArmoryBING.png	imageArmoryBING1.png	水精灵5阶	1							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
306	3	6	imageArmoryBING.png	imageArmoryBING1.png	水精灵6阶	1							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
307	3	7	imageArmoryBING.png	imageArmoryBING1.png	水精灵7阶	1							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
308	3	8	imageArmoryBING.png	imageArmoryBING1.png	水精灵8阶	1							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
309	3	9	imageArmoryBING.png	imageArmoryBING1.png	水精灵9阶	2							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
310	3	10	imageArmoryBING.png	imageArmoryBING1.png	水精灵10阶	2							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
311	3	11	imageArmoryBING.png	imageArmoryBING1.png	水精灵11阶	2							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
312	3	12	imageArmoryBING.png	imageArmoryBING1.png	水精灵12阶	2							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
313	3	13	imageArmoryBING.png	imageArmoryBING1.png	水精灵13阶	4							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
314	3	14	imageArmoryBING.png	imageArmoryBING1.png	水精灵14阶	4							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
315	3	15	imageArmoryBING.png	imageArmoryBING1.png	水精灵15阶	4							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
316	3	16	imageArmoryBING.png	imageArmoryBING1.png	水精灵16阶	4							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
317	3	17	imageArmoryBING.png	imageArmoryBING1.png	水精灵17阶	5							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
318	3	18	imageArmoryBING.png	imageArmoryBING1.png	水精灵18阶	5							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
319	3	19	imageArmoryBING.png	imageArmoryBING1.png	水精灵19阶	5							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
320	3	20	imageArmoryBING.png	imageArmoryBING1.png	水精灵20阶	5							0	0	0	0	0	0		淡蓝色的美丽精灵，喜欢在湖水中游曳。	20003
400	4	0	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵0阶	0	84001000	84002000	84003000	84004000	84005000	84006000								诞生于晨光之中的光精灵，是这个世界上最美丽生物，激活后可陪同主人战斗。	20004
401	4	1	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵1阶	0							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
402	4	2	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵2阶	0							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
403	4	3	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵3阶	0							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
404	4	4	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵4阶	0							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
405	4	5	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵5阶	1							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
406	4	6	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵6阶	1							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
407	4	7	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵7阶	1							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
408	4	8	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵8阶	1							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
409	4	9	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵9阶	2							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
410	4	10	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵10阶	2							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
411	4	11	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵11阶	2							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
412	4	12	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵12阶	2							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
413	4	13	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵13阶	4							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
414	4	14	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵14阶	4							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
415	4	15	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵15阶	4							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
416	4	16	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵16阶	4							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
417	4	17	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵17阶	5							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
418	4	18	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵18阶	5							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
419	4	19	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵19阶	5							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
420	4	20	imageArmoryGUANG.png	imageArmoryGUANG1.png	光精灵20阶	5							0	0	0	0	0	0		诞生于晨光之中的光精灵，是这个世界上最美丽生物。	20004
500	5	0	imageArmoryAN.png	imageArmoryAN1.png	暗精灵0阶	0	85001000	85002000	85003000	85004000										鬼魅一般的暗精灵，很少有人能看清它真实的样子，激活后可陪同主人战斗。	20005
501	5	1	imageArmoryAN.png	imageArmoryAN1.png	暗精灵1阶	0							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
502	5	2	imageArmoryAN.png	imageArmoryAN1.png	暗精灵2阶	0							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
503	5	3	imageArmoryAN.png	imageArmoryAN1.png	暗精灵3阶	0							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
504	5	4	imageArmoryAN.png	imageArmoryAN1.png	暗精灵4阶	0							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
505	5	5	imageArmoryAN.png	imageArmoryAN1.png	暗精灵5阶	1							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
506	5	6	imageArmoryAN.png	imageArmoryAN1.png	暗精灵6阶	1							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
507	5	7	imageArmoryAN.png	imageArmoryAN1.png	暗精灵7阶	1							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
508	5	8	imageArmoryAN.png	imageArmoryAN1.png	暗精灵8阶	1							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
509	5	9	imageArmoryAN.png	imageArmoryAN1.png	暗精灵9阶	2							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
510	5	10	imageArmoryAN.png	imageArmoryAN1.png	暗精灵10阶	2							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
511	5	11	imageArmoryAN.png	imageArmoryAN1.png	暗精灵11阶	2							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
512	5	12	imageArmoryAN.png	imageArmoryAN1.png	暗精灵12阶	2							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
513	5	13	imageArmoryAN.png	imageArmoryAN1.png	暗精灵13阶	4							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
514	5	14	imageArmoryAN.png	imageArmoryAN1.png	暗精灵14阶	4							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
515	5	15	imageArmoryAN.png	imageArmoryAN1.png	暗精灵15阶	4							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
516	5	16	imageArmoryAN.png	imageArmoryAN1.png	暗精灵16阶	4							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
517	5	17	imageArmoryAN.png	imageArmoryAN1.png	暗精灵17阶	5							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
518	5	18	imageArmoryAN.png	imageArmoryAN1.png	暗精灵18阶	5							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
519	5	19	imageArmoryAN.png	imageArmoryAN1.png	暗精灵19阶	5							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
520	5	20	imageArmoryAN.png	imageArmoryAN1.png	暗精灵20阶	5							0	0	0	0	0	0		鬼魅一般的暗精灵，很少有人能看清它真实的样子。	20005
