表ID	类型	怪物强度	层数	怪物群	刷新时间	掉落数量	浮动比例	场景资源	生命增幅	怪物数量
118	2	简单	28	501201;501202;501203	10	240	1000	0	0	5
119	2	简单	29	501201;501202;501203	10	240	1000	0	0	5
120	2	简单	30	501201;501202;501203	10	240	1000	0	0	5
121	2	简单	31	501201;501202;501203	10	240	1000	0	0	5
122	2	简单	32	501201;501202;501203	10	240	1000	0	0	5
123	2	简单	33	501201;501202;501203	10	240	1000	0	0	5
124	2	简单	34	501201;501202;501203	10	240	1000	0	0	5
125	2	简单	35	501201;501202;501203	10	240	1000	0	0	5
126	2	简单	36	501201;501202;501203	10	240	1000	0	0	5
127	2	简单	37	501201;501202;501203	10	240	1000	0	0	5
128	2	简单	38	501201;501202;501203	10	240	1000	0	0	5
129	2	简单	39	501201;501202;501203	10	240	1000	0	0	5
130	2	简单	40	501201;501202;501203	10	240	1000	0	0	5
131	2	简单	41	501201;501202;501203	10	240	1000	0	0	5
132	2	简单	42	501201;501202;501203	10	240	1000	0	0	5
133	2	简单	43	501201;501202;501203	10	240	1000	0	0	5
134	2	简单	44	501201;501202;501203	10	240	1000	0	0	5
135	2	简单	45	501201;501202;501203	10	240	1000	0	0	5
136	2	简单	46	501201;501202;501203	10	240	1000	0	0	5
137	2	简单	47	501201;501202;501203	10	240	1000	0	0	5
138	2	简单	48	501201;501202;501203	10	240	1000	0	0	5
139	2	简单	49	501201;501202;501203	10	240	1000	0	0	5
140	2	简单	50	501201;501202;501203	10	240	1000	0	0	5
141	2	简单	51	501201;501202;501203	10	240	1000	0	0	5
142	2	简单	52	501201;501202;501203	10	240	1000	0	0	5
143	2	简单	53	501201;501202;501203	10	240	1000	0	0	5
144	2	简单	54	501201;501202;501203	10	240	1000	0	0	5
145	2	简单	55	501201;501202;501203	10	240	1000	0	0	5
146	2	简单	56	501201;501202;501203	10	240	1000	0	0	5
147	2	简单	57	501201;501202;501203	10	240	1000	0	0	5
148	2	简单	58	501201;501202;501203	10	240	1000	0	0	5
149	2	简单	59	501201;501202;501203	10	240	1000	0	0	5
150	2	简单	60	501201;501202;501203	10	240	1000	0	0	5
151	2	简单	61	501201;501202;501203	10	240	1000	0	0	5
152	2	简单	62	501201;501202;501203	10	240	1000	0	0	5
153	2	简单	63	501201;501202;501203	10	240	1000	0	0	5
154	2	简单	64	501201;501202;501203	10	240	1000	0	0	5
155	2	简单	65	501201;501202;501203	10	240	1000	0	0	5
156	2	简单	66	501201;501202;501203	10	240	1000	0	0	5
157	2	简单	67	501201;501202;501203	10	240	1000	0	0	5
158	2	简单	68	501201;501202;501203	10	240	1000	0	0	5
159	2	简单	69	501201;501202;501203	10	240	1000	0	0	5
160	2	简单	70	501201;501202;501203	10	240	1000	0	0	5
161	2	简单	71	501201;501202;501203	10	240	1000	0	0	5
162	2	简单	72	501201;501202;501203	10	240	1000	0	0	5
163	2	简单	73	501201;501202;501203	10	240	1000	0	0	5
164	2	简单	74	501201;501202;501203	10	240	1000	0	0	5
165	2	简单	75	501201;501202;501203	10	240	1000	0	0	5
166	2	简单	76	501201;501202;501203	10	240	1000	0	0	5
167	2	简单	77	501201;501202;501203	10	240	1000	0	0	5
168	2	简单	78	501201;501202;501203	10	240	1000	0	0	5
169	2	简单	79	501201;501202;501203	10	240	1000	0	0	5
170	2	简单	80	501201;501202;501203	10	240	1000	0	0	5
171	2	简单	81	501201;501202;501203	10	240	1000	0	0	5
172	2	简单	82	501201;501202;501203	10	240	1000	0	0	5
173	2	简单	83	501201;501202;501203	10	240	1000	0	0	5
174	2	简单	84	501201;501202;501203	10	240	1000	0	0	5
175	2	简单	85	501201;501202;501203	10	240	1000	0	0	5
176	2	简单	86	501201;501202;501203	10	240	1000	0	0	5
177	2	简单	87	501201;501202;501203	10	240	1000	0	0	5
178	2	简单	88	501201;501202;501203	10	240	1000	0	0	5
179	2	简单	89	501201;501202;501203	10	240	1000	0	0	5
180	2	简单	90	501201;501202;501203	10	240	1000	0	0	5
181	3	一般	1	501301;501302;501303	10	400	1000	0	0	5
182	3	一般	2	501301;501302;501303	10	400	1000	0	0	5
183	3	一般	3	501301;501302;501303	10	400	1000	0	0	5
184	3	一般	4	501301;501302;501303	10	400	1000	0	0	5
185	3	一般	5	501301;501302;501303	10	400	1000	0	0	5
186	3	一般	6	501301;501302;501303	10	400	1000	0	0	5
187	3	一般	7	501301;501302;501303	10	400	1000	0	0	5
188	3	一般	8	501301;501302;501303	10	400	1000	0	0	5
189	3	一般	9	501301;501302;501303	10	400	1000	0	0	5
190	3	一般	10	501301;501302;501303	10	400	1000	0	0	5
191	3	一般	11	501301;501302;501303	10	400	1000	0	0	5
192	3	一般	12	501301;501302;501303	10	400	1000	0	0	5
193	3	一般	13	501301;501302;501303	10	400	1000	0	0	5
194	3	一般	14	501301;501302;501303	10	400	1000	0	0	5
195	3	一般	15	501301;501302;501303	10	400	1000	0	0	5
196	3	一般	16	501301;501302;501303	10	400	1000	0	0	5
197	3	一般	17	501301;501302;501303	10	400	1000	0	0	5
198	3	一般	18	501301;501302;501303	10	400	1000	0	0	5
199	3	一般	19	501301;501302;501303	10	400	1000	0	0	5
200	3	一般	20	501301;501302;501303	10	400	1000	0	0	5
201	3	一般	21	501301;501302;501303	10	400	1000	0	0	5
202	3	一般	22	501301;501302;501303	10	400	1000	0	0	5
203	3	一般	23	501301;501302;501303	10	400	1000	0	0	5
204	3	一般	24	501301;501302;501303	10	400	1000	0	0	5
205	3	一般	25	501301;501302;501303	10	400	1000	0	0	5
206	3	一般	26	501301;501302;501303	10	400	1000	0	0	5
207	3	一般	27	501301;501302;501303	10	400	1000	0	0	5
208	3	一般	28	501301;501302;501303	10	400	1000	0	0	5
209	3	一般	29	501301;501302;501303	10	400	1000	0	0	5
210	3	一般	30	501301;501302;501303	10	400	1000	0	0	5
211	3	一般	31	501301;501302;501303	10	400	1000	0	0	5
212	3	一般	32	501301;501302;501303	10	400	1000	0	0	5
213	3	一般	33	501301;501302;501303	10	400	1000	0	0	5
214	3	一般	34	501301;501302;501303	10	400	1000	0	0	5
215	3	一般	35	501301;501302;501303	10	400	1000	0	0	5
216	3	一般	36	501301;501302;501303	10	400	1000	0	0	5
217	3	一般	37	501301;501302;501303	10	400	1000	0	0	5
218	3	一般	38	501301;501302;501303	10	400	1000	0	0	5
219	3	一般	39	501301;501302;501303	10	400	1000	0	0	5
220	3	一般	40	501301;501302;501303	10	400	1000	0	0	5
221	3	一般	41	501301;501302;501303	10	400	1000	0	0	5
222	3	一般	42	501301;501302;501303	10	400	1000	0	0	5
223	3	一般	43	501301;501302;501303	10	400	1000	0	0	5
224	3	一般	44	501301;501302;501303	10	400	1000	0	0	5
225	3	一般	45	501301;501302;501303	10	400	1000	0	0	5
226	3	一般	46	501301;501302;501303	10	400	1000	0	0	5
227	3	一般	47	501301;501302;501303	10	400	1000	0	0	5
228	3	一般	48	501301;501302;501303	10	400	1000	0	0	5
229	3	一般	49	501301;501302;501303	10	400	1000	0	0	5
230	3	一般	50	501301;501302;501303	10	400	1000	0	0	5
231	3	一般	51	501301;501302;501303	10	400	1000	0	0	5
232	3	一般	52	501301;501302;501303	10	400	1000	0	0	5
233	3	一般	53	501301;501302;501303	10	400	1000	0	0	5
234	3	一般	54	501301;501302;501303	10	400	1000	0	0	5
235	3	一般	55	501301;501302;501303	10	400	1000	0	0	5
236	3	一般	56	501301;501302;501303	10	400	1000	0	0	5
237	3	一般	57	501301;501302;501303	10	400	1000	0	0	5
238	3	一般	58	501301;501302;501303	10	400	1000	0	0	5
239	3	一般	59	501301;501302;501303	10	400	1000	0	0	5
240	3	一般	60	501301;501302;501303	10	400	1000	0	0	5
241	3	一般	61	501301;501302;501303	10	400	1000	0	0	5
242	3	一般	62	501301;501302;501303	10	400	1000	0	0	5
243	3	一般	63	501301;501302;501303	10	400	1000	0	0	5
244	3	一般	64	501301;501302;501303	10	400	1000	0	0	5
245	3	一般	65	501301;501302;501303	10	400	1000	0	0	5
246	3	一般	66	501301;501302;501303	10	400	1000	0	0	5
247	3	一般	67	501301;501302;501303	10	400	1000	0	0	5
248	3	一般	68	501301;501302;501303	10	400	1000	0	0	5
249	3	一般	69	501301;501302;501303	10	400	1000	0	0	5
250	3	一般	70	501301;501302;501303	10	400	1000	0	0	5
251	3	一般	71	501301;501302;501303	10	400	1000	0	0	5
252	3	一般	72	501301;501302;501303	10	400	1000	0	0	5
253	3	一般	73	501301;501302;501303	10	400	1000	0	0	5
254	3	一般	74	501301;501302;501303	10	400	1000	0	0	5
255	3	一般	75	501301;501302;501303	10	400	1000	0	0	5
256	3	一般	76	501301;501302;501303	10	400	1000	0	0	5
257	3	一般	77	501301;501302;501303	10	400	1000	0	0	5
258	3	一般	78	501301;501302;501303	10	400	1000	0	0	5
259	3	一般	79	501301;501302;501303	10	400	1000	0	0	5
260	3	一般	80	501301;501302;501303	10	400	1000	0	0	5
261	3	一般	81	501301;501302;501303	10	400	1000	0	0	5
262	3	一般	82	501301;501302;501303	10	400	1000	0	0	5
263	3	一般	83	501301;501302;501303	10	400	1000	0	0	5
264	3	一般	84	501301;501302;501303	10	400	1000	0	0	5
265	3	一般	85	501301;501302;501303	10	400	1000	0	0	5
266	3	一般	86	501301;501302;501303	10	400	1000	0	0	5
267	3	一般	87	501301;501302;501303	10	400	1000	0	0	5
268	3	一般	88	501301;501302;501303	10	400	1000	0	0	5
269	3	一般	89	501301;501302;501303	10	400	1000	0	0	5
270	3	一般	90	501301;501302;501303	10	400	1000	0	0	5
271	4	困难	1	501401;501402;501403	10	800	1000	0	0	5
272	4	困难	2	501401;501402;501403	10	800	1000	0	0	5
273	4	困难	3	501401;501402;501403	10	800	1000	0	0	5
274	4	困难	4	501401;501402;501403	10	800	1000	0	0	5
275	4	困难	5	501401;501402;501403	10	800	1000	0	0	5
276	4	困难	6	501401;501402;501403	10	800	1000	0	0	5
277	4	困难	7	501401;501402;501403	10	800	1000	0	0	5
278	4	困难	8	501401;501402;501403	10	800	1000	0	0	5
279	4	困难	9	501401;501402;501403	10	800	1000	0	0	5
280	4	困难	10	501401;501402;501403	10	800	1000	0	0	5
281	4	困难	11	501401;501402;501403	10	800	1000	0	0	5
282	4	困难	12	501401;501402;501403	10	800	1000	0	0	5
283	4	困难	13	501401;501402;501403	10	800	1000	0	0	5
284	4	困难	14	501401;501402;501403	10	800	1000	0	0	5
285	4	困难	15	501401;501402;501403	10	800	1000	0	0	5
286	4	困难	16	501401;501402;501403	10	800	1000	0	0	5
287	4	困难	17	501401;501402;501403	10	800	1000	0	0	5
288	4	困难	18	501401;501402;501403	10	800	1000	0	0	5
289	4	困难	19	501401;501402;501403	10	800	1000	0	0	5
290	4	困难	20	501401;501402;501403	10	800	1000	0	0	5
291	4	困难	21	501401;501402;501403	10	800	1000	0	0	5
292	4	困难	22	501401;501402;501403	10	800	1000	0	0	5
293	4	困难	23	501401;501402;501403	10	800	1000	0	0	5
294	4	困难	24	501401;501402;501403	10	800	1000	0	0	5
295	4	困难	25	501401;501402;501403	10	800	1000	0	0	5
296	4	困难	26	501401;501402;501403	10	800	1000	0	0	5
297	4	困难	27	501401;501402;501403	10	800	1000	0	0	5
298	4	困难	28	501401;501402;501403	10	800	1000	0	0	5
299	4	困难	29	501401;501402;501403	10	800	1000	0	0	5
300	4	困难	30	501401;501402;501403	10	800	1000	0	0	5
301	4	困难	31	501401;501402;501403	10	800	1000	0	0	5
302	4	困难	32	501401;501402;501403	10	800	1000	0	0	5
303	4	困难	33	501401;501402;501403	10	800	1000	0	0	5
304	4	困难	34	501401;501402;501403	10	800	1000	0	0	5
305	4	困难	35	501401;501402;501403	10	800	1000	0	0	5
306	4	困难	36	501401;501402;501403	10	800	1000	0	0	5
307	4	困难	37	501401;501402;501403	10	800	1000	0	0	5
308	4	困难	38	501401;501402;501403	10	800	1000	0	0	5
309	4	困难	39	501401;501402;501403	10	800	1000	0	0	5
310	4	困难	40	501401;501402;501403	10	800	1000	0	0	5
311	4	困难	41	501401;501402;501403	10	800	1000	0	0	5
312	4	困难	42	501401;501402;501403	10	800	1000	0	0	5
313	4	困难	43	501401;501402;501403	10	800	1000	0	0	5
314	4	困难	44	501401;501402;501403	10	800	1000	0	0	5
315	4	困难	45	501401;501402;501403	10	800	1000	0	0	5
316	4	困难	46	501401;501402;501403	10	800	1000	0	0	5
317	4	困难	47	501401;501402;501403	10	800	1000	0	0	5
318	4	困难	48	501401;501402;501403	10	800	1000	0	0	5
319	4	困难	49	501401;501402;501403	10	800	1000	0	0	5
320	4	困难	50	501401;501402;501403	10	800	1000	0	0	5
321	4	困难	51	501401;501402;501403	10	800	1000	0	0	5
322	4	困难	52	501401;501402;501403	10	800	1000	0	0	5
323	4	困难	53	501401;501402;501403	10	800	1000	0	0	5
324	4	困难	54	501401;501402;501403	10	800	1000	0	0	5
325	4	困难	55	501401;501402;501403	10	800	1000	0	0	5
326	4	困难	56	501401;501402;501403	10	800	1000	0	0	5
327	4	困难	57	501401;501402;501403	10	800	1000	0	0	5
328	4	困难	58	501401;501402;501403	10	800	1000	0	0	5
329	4	困难	59	501401;501402;501403	10	800	1000	0	0	5
330	4	困难	60	501401;501402;501403	10	800	1000	0	0	5
331	4	困难	61	501401;501402;501403	10	800	1000	0	0	5
332	4	困难	62	501401;501402;501403	10	800	1000	0	0	5
333	4	困难	63	501401;501402;501403	10	800	1000	0	0	5
334	4	困难	64	501401;501402;501403	10	800	1000	0	0	5
335	4	困难	65	501401;501402;501403	10	800	1000	0	0	5
336	4	困难	66	501401;501402;501403	10	800	1000	0	0	5
337	4	困难	67	501401;501402;501403	10	800	1000	0	0	5
338	4	困难	68	501401;501402;501403	10	800	1000	0	0	5
339	4	困难	69	501401;501402;501403	10	800	1000	0	0	5
340	4	困难	70	501401;501402;501403	10	800	1000	0	0	5
341	4	困难	71	501401;501402;501403	10	800	1000	0	0	5
342	4	困难	72	501401;501402;501403	10	800	1000	0	0	5
343	4	困难	73	501401;501402;501403	10	800	1000	0	0	5
344	4	困难	74	501401;501402;501403	10	800	1000	0	0	5
345	4	困难	75	501401;501402;501403	10	800	1000	0	0	5
346	4	困难	76	501401;501402;501403	10	800	1000	0	0	5
347	4	困难	77	501401;501402;501403	10	800	1000	0	0	5
348	4	困难	78	501401;501402;501403	10	800	1000	0	0	5
349	4	困难	79	501401;501402;501403	10	800	1000	0	0	5
350	4	困难	80	501401;501402;501403	10	800	1000	0	0	5
351	4	困难	81	501401;501402;501403	10	800	1000	0	0	5
352	4	困难	82	501401;501402;501403	10	800	1000	0	0	5
353	4	困难	83	501401;501402;501403	10	800	1000	0	0	5
354	4	困难	84	501401;501402;501403	10	800	1000	0	0	5
355	4	困难	85	501401;501402;501403	10	800	1000	0	0	5
356	4	困难	86	501401;501402;501403	10	800	1000	0	0	5
357	4	困难	87	501401;501402;501403	10	800	1000	0	0	5
358	4	困难	88	501401;501402;501403	10	800	1000	0	0	5
359	4	困难	89	501401;501402;501403	10	800	1000	0	0	5
360	4	困难	90	501401;501402;501403	10	800	1000	0	0	5
361	5	噩梦	1	501501;501502;501503	10	1600	1000	0	0	5
362	5	噩梦	2	501501;501502;501503	10	1600	1000	0	0	5
363	5	噩梦	3	501501;501502;501503	10	1600	1000	0	0	5
364	5	噩梦	4	501501;501502;501503	10	1600	1000	0	0	5
365	5	噩梦	5	501501;501502;501503	10	1600	1000	0	0	5
366	5	噩梦	6	501501;501502;501503	10	1600	1000	0	0	5
367	5	噩梦	7	501501;501502;501503	10	1600	1000	0	0	5
368	5	噩梦	8	501501;501502;501503	10	1600	1000	0	0	5
369	5	噩梦	9	501501;501502;501503	10	1600	1000	0	0	5
370	5	噩梦	10	501501;501502;501503	10	1600	1000	0	0	5
371	5	噩梦	11	501501;501502;501503	10	1600	1000	0	0	5
372	5	噩梦	12	501501;501502;501503	10	1600	1000	0	0	5
373	5	噩梦	13	501501;501502;501503	10	1600	1000	0	0	5
374	5	噩梦	14	501501;501502;501503	10	1600	1000	0	0	5
375	5	噩梦	15	501501;501502;501503	10	1600	1000	0	0	5
376	5	噩梦	16	501501;501502;501503	10	1600	1000	0	0	5
377	5	噩梦	17	501501;501502;501503	10	1600	1000	0	0	5
378	5	噩梦	18	501501;501502;501503	10	1600	1000	0	0	5
379	5	噩梦	19	501501;501502;501503	10	1600	1000	0	0	5
380	5	噩梦	20	501501;501502;501503	10	1600	1000	0	0	5
381	5	噩梦	21	501501;501502;501503	10	1600	1000	0	0	5
382	5	噩梦	22	501501;501502;501503	10	1600	1000	0	0	5
383	5	噩梦	23	501501;501502;501503	10	1600	1000	0	0	5
384	5	噩梦	24	501501;501502;501503	10	1600	1000	0	0	5
385	5	噩梦	25	501501;501502;501503	10	1600	1000	0	0	5
386	5	噩梦	26	501501;501502;501503	10	1600	1000	0	0	5
387	5	噩梦	27	501501;501502;501503	10	1600	1000	0	0	5
388	5	噩梦	28	501501;501502;501503	10	1600	1000	0	0	5
389	5	噩梦	29	501501;501502;501503	10	1600	1000	0	0	5
390	5	噩梦	30	501501;501502;501503	10	1600	1000	0	0	5
391	5	噩梦	31	501501;501502;501503	10	1600	1000	0	0	5
392	5	噩梦	32	501501;501502;501503	10	1600	1000	0	0	5
393	5	噩梦	33	501501;501502;501503	10	1600	1000	0	0	5
394	5	噩梦	34	501501;501502;501503	10	1600	1000	0	0	5
395	5	噩梦	35	501501;501502;501503	10	1600	1000	0	0	5
396	5	噩梦	36	501501;501502;501503	10	1600	1000	0	0	5
397	5	噩梦	37	501501;501502;501503	10	1600	1000	0	0	5
398	5	噩梦	38	501501;501502;501503	10	1600	1000	0	0	5
399	5	噩梦	39	501501;501502;501503	10	1600	1000	0	0	5
400	5	噩梦	40	501501;501502;501503	10	1600	1000	0	0	5
401	5	噩梦	41	501501;501502;501503	10	1600	1000	0	0	5
402	5	噩梦	42	501501;501502;501503	10	1600	1000	0	0	5
403	5	噩梦	43	501501;501502;501503	10	1600	1000	0	0	5
404	5	噩梦	44	501501;501502;501503	10	1600	1000	0	0	5
405	5	噩梦	45	501501;501502;501503	10	1600	1000	0	0	5
406	5	噩梦	46	501501;501502;501503	10	1600	1000	0	0	5
407	5	噩梦	47	501501;501502;501503	10	1600	1000	0	0	5
408	5	噩梦	48	501501;501502;501503	10	1600	1000	0	0	5
409	5	噩梦	49	501501;501502;501503	10	1600	1000	0	0	5
410	5	噩梦	50	501501;501502;501503	10	1600	1000	0	0	5
411	5	噩梦	51	501501;501502;501503	10	1600	1000	0	0	5
412	5	噩梦	52	501501;501502;501503	10	1600	1000	0	0	5
413	5	噩梦	53	501501;501502;501503	10	1600	1000	0	0	5
414	5	噩梦	54	501501;501502;501503	10	1600	1000	0	0	5
415	5	噩梦	55	501501;501502;501503	10	1600	1000	0	0	5
416	5	噩梦	56	501501;501502;501503	10	1600	1000	0	0	5
417	5	噩梦	57	501501;501502;501503	10	1600	1000	0	0	5
418	5	噩梦	58	501501;501502;501503	10	1600	1000	0	0	5
419	5	噩梦	59	501501;501502;501503	10	1600	1000	0	0	5
420	5	噩梦	60	501501;501502;501503	10	1600	1000	0	0	5
421	5	噩梦	61	501501;501502;501503	10	1600	1000	0	0	5
422	5	噩梦	62	501501;501502;501503	10	1600	1000	0	0	5
423	5	噩梦	63	501501;501502;501503	10	1600	1000	0	0	5
424	5	噩梦	64	501501;501502;501503	10	1600	1000	0	0	5
425	5	噩梦	65	501501;501502;501503	10	1600	1000	0	0	5
426	5	噩梦	66	501501;501502;501503	10	1600	1000	0	0	5
427	5	噩梦	67	501501;501502;501503	10	1600	1000	0	0	5
428	5	噩梦	68	501501;501502;501503	10	1600	1000	0	0	5
429	5	噩梦	69	501501;501502;501503	10	1600	1000	0	0	5
430	5	噩梦	70	501501;501502;501503	10	1600	1000	0	0	5
431	5	噩梦	71	501501;501502;501503	10	1600	1000	0	0	5
432	5	噩梦	72	501501;501502;501503	10	1600	1000	0	0	5
433	5	噩梦	73	501501;501502;501503	10	1600	1000	0	0	5
434	5	噩梦	74	501501;501502;501503	10	1600	1000	0	0	5
435	5	噩梦	75	501501;501502;501503	10	1600	1000	0	0	5
436	5	噩梦	76	501501;501502;501503	10	1600	1000	0	0	5
437	5	噩梦	77	501501;501502;501503	10	1600	1000	0	0	5
438	5	噩梦	78	501501;501502;501503	10	1600	1000	0	0	5
439	5	噩梦	79	501501;501502;501503	10	1600	1000	0	0	5
