表ID	职业	等级	生命值	法力值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	闪避率	物理暴击	魔法暴击	格挡率	格挡值	命中率	血球回复率	魔法回复率	经验	级别累计经验
10039	10	39	11700	200	1170	585	0	585	585	585	500	585	0	585	8000	585	585	100	39160	294490
10040	10	40	12000	200	1200	600	0	600	600	600	500	600	0	600	8000	600	600	100	43080	337570
10041	10	41	12300	200	1230	615	0	615	615	615	500	615	0	615	8000	615	615	100	46990	384560
10042	10	42	12600	200	1260	630	0	630	630	630	500	630	0	630	8000	630	630	100	50910	435470
10043	10	43	12900	200	1290	645	0	645	645	645	500	645	0	645	8000	645	645	100	54820	490290
10044	10	44	13200	200	1320	660	0	660	660	660	500	660	0	660	8000	660	660	100	58740	549030
10045	10	45	13500	200	1350	675	0	675	675	675	500	675	0	675	8000	675	675	100	62660	611690
10046	10	46	13800	200	1380	690	0	690	690	690	500	690	0	690	8000	690	690	100	66570	678260
10047	10	47	14100	200	1410	705	0	705	705	705	500	705	0	705	8000	705	705	100	70490	748750
10048	10	48	14400	200	1440	720	0	720	720	720	500	720	0	720	8000	720	720	100	74400	823150
10049	10	49	14700	200	1470	735	0	735	735	735	500	735	0	735	8000	735	735	100	78320	901470
10050	10	50	15000	200	1500	750	0	750	750	750	500	750	0	750	8000	750	750	100	82240	983710
10051	10	51	15300	200	1530	765	0	765	765	765	500	765	0	765	8000	765	765	100	86150	1069860
10052	10	52	15600	200	1560	780	0	780	780	780	500	780	0	780	8000	780	780	100	90070	1159930
10053	10	53	15900	200	1590	795	0	795	795	795	500	795	0	795	8000	795	795	100	93980	1253910
10054	10	54	16200	200	1620	810	0	810	810	810	500	810	0	810	8000	810	810	100	97900	1351810
10055	10	55	16500	200	1650	825	0	825	825	825	500	825	0	825	8000	825	825	100	101820	1453630
10056	10	56	16800	200	1680	840	0	840	840	840	500	840	0	840	8000	840	840	100	109650	1563280
10057	10	57	17100	200	1710	855	0	855	855	855	500	855	0	855	8000	855	855	100	117480	1680760
10058	10	58	17400	200	1740	870	0	870	870	870	500	870	0	870	8000	870	870	100	125310	1806070
10059	10	59	17700	200	1770	885	0	885	885	885	500	885	0	885	8000	885	885	100	133140	1939210
10060	10	60	18000	200	1800	900	0	900	900	900	500	900	0	900	8000	900	900	100	140980	2080190
10061	10	61	18300	200	1830	915	0	915	915	915	500	915	0	915	8000	915	915	100	156640	2236830
10062	10	62	18600	200	1860	930	0	930	930	930	500	930	0	930	8000	930	930	100	172300	2409130
10063	10	63	18900	200	1890	945	0	945	945	945	500	945	0	945	8000	945	945	100	187970	2597100
10064	10	64	19200	200	1920	960	0	960	960	960	500	960	0	960	8000	960	960	100	203630	2800730
10065	10	65	19500	200	1950	975	0	975	975	975	500	975	0	975	8000	975	975	100	219300	3020030
10066	10	66	19800	200	1980	990	0	990	990	990	500	990	0	990	8000	990	990	100	242790	3262820
10067	10	67	20100	200	2010	1005	0	1005	1005	1005	500	1005	0	1005	8000	1005	1005	100	266290	3529110
10068	10	68	20400	200	2040	1020	0	1020	1020	1020	500	1020	0	1020	8000	1020	1020	100	289780	3818890
10069	10	69	20700	200	2070	1035	0	1035	1035	1035	500	1035	0	1035	8000	1035	1035	100	313280	4132170
10070	10	70	21000	200	2100	1050	0	1050	1050	1050	500	1050	0	1050	8000	1050	1050	100	336780	4468950
10071	10	71	21300	200	2130	1065	0	1065	1065	1065	500	1065	0	1065	8000	1065	1065	100	375940	4844890
10072	10	72	21600	200	2160	1080	0	1080	1080	1080	500	1080	0	1080	8000	1080	1080	100	415100	5259990
10073	10	73	21900	200	2190	1095	0	1095	1095	1095	500	1095	0	1095	8000	1095	1095	100	454260	5714250
10074	10	74	22200	200	2220	1110	0	1110	1110	1110	500	1110	0	1110	8000	1110	1110	100	493420	6207670
10075	10	75	22500	200	2250	1125	0	1125	1125	1125	500	1125	0	1125	8000	1125	1125	100	532580	6740250
10076	10	76	22800	200	2280	1140	0	1140	1140	1140	500	1140	0	1140	8000	1140	1140	100	610900	7351150
10077	10	77	23100	200	2310	1155	0	1155	1155	1155	500	1155	0	1155	8000	1155	1155	100	689220	8040370
10078	10	78	23400	200	2340	1170	0	1170	1170	1170	500	1170	0	1170	8000	1170	1170	100	767540	8807910
10079	10	79	23700	200	2370	1185	0	1185	1185	1185	500	1185	0	1185	8000	1185	1185	100	845860	9653770
10080	10	80	24000	200	2400	1200	0	1200	1200	1200	500	1200	0	1200	8000	1200	1200	100	924180	10577950
10081	10	81	24300	200	2430	1215	0	1215	1215	1215	500	1215	0	1215	8000	1215	1215	100	1080820	11658770
10082	10	82	24600	200	2460	1230	0	1230	1230	1230	500	1230	0	1230	8000	1230	1230	100	1237460	12896230
10083	10	83	24900	200	2490	1245	0	1245	1245	1245	500	1245	0	1245	8000	1245	1245	100	1394100	14290330
10084	10	84	25200	200	2520	1260	0	1260	1260	1260	500	1260	0	1260	8000	1260	1260	100	1550740	15841070
10085	10	85	25500	200	2550	1275	0	1275	1275	1275	500	1275	0	1275	8000	1275	1275	100	1707380	17548450
10086	10	86	25800	200	2580	1290	0	1290	1290	1290	500	1290	0	1290	8000	1290	1290	100	1942340	19490790
10087	10	87	26100	200	2610	1305	0	1305	1305	1305	500	1305	0	1305	8000	1305	1305	100	2177300	21668090
10088	10	88	26400	200	2640	1320	0	1320	1320	1320	500	1320	0	1320	8000	1320	1320	100	2412260	24080350
10089	10	89	26700	200	2670	1335	0	1335	1335	1335	500	1335	0	1335	8000	1335	1335	100	2647220	26727570
10090	10	90	27000	200	2700	1350	0	1350	1350	1350	500	1350	0	1350	8000	1350	1350	100	2882180	29609750
10091	10	91	27300	200	2730	1365	0	1365	1365	1365	500	1365	0	1365	8000	1365	1365	100	3273780	32883530
10092	10	92	27600	200	2760	1380	0	1380	1380	1380	500	1380	0	1380	8000	1380	1380	100	3665380	36548910
10093	10	93	27900	200	2790	1395	0	1395	1395	1395	500	1395	0	1395	8000	1395	1395	100	4056980	40605890
10094	10	94	28200	200	2820	1410	0	1410	1410	1410	500	1410	0	1410	8000	1410	1410	100	4448580	45054470
10095	10	95	28500	200	2850	1425	0	1425	1425	1425	500	1425	0	1425	8000	1425	1425	100	4840180	49894650
10096	10	96	28800	200	2880	1440	0	1440	1440	1440	500	1440	0	1440	8000	1440	1440	100	5231780	55126430
10097	10	97	29100	200	2910	1455	0	1455	1455	1455	500	1455	0	1455	8000	1455	1455	100	5623380	60749810
10098	10	98	29400	200	2940	1470	0	1470	1470	1470	500	1470	0	1470	8000	1470	1470	100	6014980	66764790
10099	10	99	29700	200	2970	1485	0	1485	1485	1485	500	1485	0	1485	8000	1485	1485	100	6406580	73171370
10100	10	100	30000	200	3000	1500	0	1500	1500	1500	500	1500	0	1500	8000	1500	1500	100	6798180	79969550
20001	20	1	200	200	0	10	18	10	10	10	500	0	10	10	8000	10	10	100	230	230
20002	20	2	600	200	0	30	54	30	30	30	500	0	30	30	8000	30	30	100	310	540
20003	20	3	900	200	0	45	81	45	45	45	500	0	45	45	8000	45	45	100	390	930
20004	20	4	1200	200	0	60	108	60	60	60	500	0	60	60	8000	60	60	100	470	1400
20005	20	5	1500	200	0	75	135	75	75	75	500	0	75	75	8000	75	75	100	550	1950
20006	20	6	1800	200	0	90	162	90	90	90	500	0	90	90	8000	90	90	100	700	2650
20007	20	7	2100	200	0	105	189	105	105	105	500	0	105	105	8000	105	105	100	860	3510
20008	20	8	2400	200	0	120	216	120	120	120	500	0	120	120	8000	120	120	100	1020	4530
20009	20	9	2700	200	0	135	243	135	135	135	500	0	135	135	8000	135	135	100	1170	5700
20010	20	10	3000	200	0	150	270	150	150	150	500	0	150	150	8000	150	150	100	1330	7030
20011	20	11	3300	200	0	165	297	165	165	165	500	0	165	165	8000	165	165	100	1570	8600
20012	20	12	3600	200	0	180	324	180	180	180	500	0	180	180	8000	180	180	100	1800	10400
20013	20	13	3900	200	0	195	351	195	195	195	500	0	195	195	8000	195	195	100	2040	12440
20014	20	14	4200	200	0	210	378	210	210	210	500	0	210	210	8000	210	210	100	2270	14710
20015	20	15	4500	200	0	225	405	225	225	225	500	0	225	225	8000	225	225	100	2510	17220
20016	20	16	4800	200	0	240	432	240	240	240	500	0	240	240	8000	240	240	100	2740	19960
20017	20	17	5100	200	0	255	459	255	255	255	500	0	255	255	8000	255	255	100	2980	22940
20018	20	18	5400	200	0	270	486	270	270	270	500	0	270	270	8000	270	270	100	3210	26150
20019	20	19	5700	200	0	285	513	285	285	285	500	0	285	285	8000	285	285	100	3450	29600
20020	20	20	6000	200	0	300	540	300	300	300	500	0	300	300	8000	300	300	100	3680	33280
20021	20	21	6300	200	0	315	567	315	315	315	500	0	315	315	8000	315	315	100	3920	37200
20022	20	22	6600	200	0	330	594	330	330	330	500	0	330	330	8000	330	330	100	4150	41350
20023	20	23	6900	200	0	345	621	345	345	345	500	0	345	345	8000	345	345	100	4390	45740
20024	20	24	7200	200	0	360	648	360	360	360	500	0	360	360	8000	360	360	100	4620	50360
20025	20	25	7500	200	0	375	675	375	375	375	500	0	375	375	8000	375	375	100	4860	55220
20026	20	26	7800	200	0	390	702	390	390	390	500	0	390	390	8000	390	390	100	5090	60310
20027	20	27	8100	200	0	405	729	405	405	405	500	0	405	405	8000	405	405	100	5330	65640
20028	20	28	8400	200	0	420	756	420	420	420	500	0	420	420	8000	420	420	100	5560	71200
20029	20	29	8700	200	0	435	783	435	435	435	500	0	435	435	8000	435	435	100	5800	77000
20030	20	30	9000	200	0	450	810	450	450	450	500	0	450	450	8000	450	450	100	6030	83030
20031	20	31	9300	200	0	465	837	465	465	465	500	0	465	465	8000	465	465	100	7830	90860
20032	20	32	9600	200	0	480	864	480	480	480	500	0	480	480	8000	480	480	100	11750	102610
20033	20	33	9900	200	0	495	891	495	495	495	500	0	495	495	8000	495	495	100	15660	118270
20034	20	34	10200	200	0	510	918	510	510	510	500	0	510	510	8000	510	510	100	19580	137850
20035	20	35	10500	200	0	525	945	525	525	525	500	0	525	525	8000	525	525	100	23500	161350
20036	20	36	10800	200	0	540	972	540	540	540	500	0	540	540	8000	540	540	100	27410	188760
20037	20	37	11100	200	0	555	999	555	555	555	500	0	555	555	8000	555	555	100	31330	220090
20038	20	38	11400	200	0	570	1026	570	570	570	500	0	570	570	8000	570	570	100	35240	255330
20039	20	39	11700	200	0	585	1053	585	585	585	500	0	585	585	8000	585	585	100	39160	294490
20040	20	40	12000	200	0	600	1080	600	600	600	500	0	600	600	8000	600	600	100	43080	337570
20041	20	41	12300	200	0	615	1107	615	615	615	500	0	615	615	8000	615	615	100	46990	384560
20042	20	42	12600	200	0	630	1134	630	630	630	500	0	630	630	8000	630	630	100	50910	435470
20043	20	43	12900	200	0	645	1161	645	645	645	500	0	645	645	8000	645	645	100	54820	490290
20044	20	44	13200	200	0	660	1188	660	660	660	500	0	660	660	8000	660	660	100	58740	549030
20045	20	45	13500	200	0	675	1215	675	675	675	500	0	675	675	8000	675	675	100	62660	611690
20046	20	46	13800	200	0	690	1242	690	690	690	500	0	690	690	8000	690	690	100	66570	678260
20047	20	47	14100	200	0	705	1269	705	705	705	500	0	705	705	8000	705	705	100	70490	748750
20048	20	48	14400	200	0	720	1296	720	720	720	500	0	720	720	8000	720	720	100	74400	823150
20049	20	49	14700	200	0	735	1323	735	735	735	500	0	735	735	8000	735	735	100	78320	901470
20050	20	50	15000	200	0	750	1350	750	750	750	500	0	750	750	8000	750	750	100	82240	983710
20051	20	51	15300	200	0	765	1377	765	765	765	500	0	765	765	8000	765	765	100	86150	1069860
20052	20	52	15600	200	0	780	1404	780	780	780	500	0	780	780	8000	780	780	100	90070	1159930
20053	20	53	15900	200	0	795	1431	795	795	795	500	0	795	795	8000	795	795	100	93980	1253910
20054	20	54	16200	200	0	810	1458	810	810	810	500	0	810	810	8000	810	810	100	97900	1351810
20055	20	55	16500	200	0	825	1485	825	825	825	500	0	825	825	8000	825	825	100	101820	1453630
20056	20	56	16800	200	0	840	1512	840	840	840	500	0	840	840	8000	840	840	100	109650	1563280
20057	20	57	17100	200	0	855	1539	855	855	855	500	0	855	855	8000	855	855	100	117480	1680760
20058	20	58	17400	200	0	870	1566	870	870	870	500	0	870	870	8000	870	870	100	125310	1806070
20059	20	59	17700	200	0	885	1593	885	885	885	500	0	885	885	8000	885	885	100	133140	1939210
20060	20	60	18000	200	0	900	1620	900	900	900	500	0	900	900	8000	900	900	100	140980	2080190
20061	20	61	18300	200	0	915	1647	915	915	915	500	0	915	915	8000	915	915	100	156640	2236830
20062	20	62	18600	200	0	930	1674	930	930	930	500	0	930	930	8000	930	930	100	172300	2409130
20063	20	63	18900	200	0	945	1701	945	945	945	500	0	945	945	8000	945	945	100	187970	2597100
20064	20	64	19200	200	0	960	1728	960	960	960	500	0	960	960	8000	960	960	100	203630	2800730
20065	20	65	19500	200	0	975	1755	975	975	975	500	0	975	975	8000	975	975	100	219300	3020030
20066	20	66	19800	200	0	990	1782	990	990	990	500	0	990	990	8000	990	990	100	242790	3262820
20067	20	67	20100	200	0	1005	1809	1005	1005	1005	500	0	1005	1005	8000	1005	1005	100	266290	3529110
20068	20	68	20400	200	0	1020	1836	1020	1020	1020	500	0	1020	1020	8000	1020	1020	100	289780	3818890
20069	20	69	20700	200	0	1035	1863	1035	1035	1035	500	0	1035	1035	8000	1035	1035	100	313280	4132170
20070	20	70	21000	200	0	1050	1890	1050	1050	1050	500	0	1050	1050	8000	1050	1050	100	336780	4468950
20071	20	71	21300	200	0	1065	1917	1065	1065	1065	500	0	1065	1065	8000	1065	1065	100	375940	4844890
20072	20	72	21600	200	0	1080	1944	1080	1080	1080	500	0	1080	1080	8000	1080	1080	100	415100	5259990
20073	20	73	21900	200	0	1095	1971	1095	1095	1095	500	0	1095	1095	8000	1095	1095	100	454260	5714250
20074	20	74	22200	200	0	1110	1998	1110	1110	1110	500	0	1110	1110	8000	1110	1110	100	493420	6207670
20075	20	75	22500	200	0	1125	2025	1125	1125	1125	500	0	1125	1125	8000	1125	1125	100	532580	6740250
20076	20	76	22800	200	0	1140	2052	1140	1140	1140	500	0	1140	1140	8000	1140	1140	100	610900	7351150
20077	20	77	23100	200	0	1155	2079	1155	1155	1155	500	0	1155	1155	8000	1155	1155	100	689220	8040370
20078	20	78	23400	200	0	1170	2106	1170	1170	1170	500	0	1170	1170	8000	1170	1170	100	767540	8807910
20079	20	79	23700	200	0	1185	2133	1185	1185	1185	500	0	1185	1185	8000	1185	1185	100	845860	9653770
20080	20	80	24000	200	0	1200	2160	1200	1200	1200	500	0	1200	1200	8000	1200	1200	100	924180	10577950
20081	20	81	24300	200	0	1215	2187	1215	1215	1215	500	0	1215	1215	8000	1215	1215	100	1080820	11658770
20082	20	82	24600	200	0	1230	2214	1230	1230	1230	500	0	1230	1230	8000	1230	1230	100	1237460	12896230
20083	20	83	24900	200	0	1245	2241	1245	1245	1245	500	0	1245	1245	8000	1245	1245	100	1394100	14290330
20084	20	84	25200	200	0	1260	2268	1260	1260	1260	500	0	1260	1260	8000	1260	1260	100	1550740	15841070
20085	20	85	25500	200	0	1275	2295	1275	1275	1275	500	0	1275	1275	8000	1275	1275	100	1707380	17548450
20086	20	86	25800	200	0	1290	2322	1290	1290	1290	500	0	1290	1290	8000	1290	1290	100	1942340	19490790
20087	20	87	26100	200	0	1305	2349	1305	1305	1305	500	0	1305	1305	8000	1305	1305	100	2177300	21668090
20088	20	88	26400	200	0	1320	2376	1320	1320	1320	500	0	1320	1320	8000	1320	1320	100	2412260	24080350
20089	20	89	26700	200	0	1335	2403	1335	1335	1335	500	0	1335	1335	8000	1335	1335	100	2647220	26727570
20090	20	90	27000	200	0	1350	2430	1350	1350	1350	500	0	1350	1350	8000	1350	1350	100	2882180	29609750
20091	20	91	27300	200	0	1365	2457	1365	1365	1365	500	0	1365	1365	8000	1365	1365	100	3273780	32883530
20092	20	92	27600	200	0	1380	2484	1380	1380	1380	500	0	1380	1380	8000	1380	1380	100	3665380	36548910
20093	20	93	27900	200	0	1395	2511	1395	1395	1395	500	0	1395	1395	8000	1395	1395	100	4056980	40605890
20094	20	94	28200	200	0	1410	2538	1410	1410	1410	500	0	1410	1410	8000	1410	1410	100	4448580	45054470
20095	20	95	28500	200	0	1425	2565	1425	1425	1425	500	0	1425	1425	8000	1425	1425	100	4840180	49894650
20096	20	96	28800	200	0	1440	2592	1440	1440	1440	500	0	1440	1440	8000	1440	1440	100	5231780	55126430
20097	20	97	29100	200	0	1455	2619	1455	1455	1455	500	0	1455	1455	8000	1455	1455	100	5623380	60749810
20098	20	98	29400	200	0	1470	2646	1470	1470	1470	500	0	1470	1470	8000	1470	1470	100	6014980	66764790
20099	20	99	29700	200	0	1485	2673	1485	1485	1485	500	0	1485	1485	8000	1485	1485	100	6406580	73171370
20100	20	100	30000	200	0	1500	2700	1500	1500	1500	500	0	1500	1500	8000	1500	1500	100	6798180	79969550
30001	30	1	210	200	20	10	0	10	10	10	500	12	0	10	8000	10	100	100	230	230
30002	30	2	630	200	60	30	0	30	30	30	500	36	0	30	8000	30	100	100	310	540
30003	30	3	945	200	90	45	0	45	45	45	500	54	0	45	8000	45	100	100	390	930
30004	30	4	1260	200	120	60	0	60	60	60	500	72	0	60	8000	60	100	100	470	1400
30005	30	5	1575	200	150	75	0	75	75	75	500	90	0	75	8000	75	100	100	550	1950
30006	30	6	1890	200	180	90	0	90	90	90	500	108	0	90	8000	90	100	100	700	2650
30007	30	7	2205	200	210	105	0	105	105	105	500	126	0	105	8000	105	100	100	860	3510
30008	30	8	2520	200	240	120	0	120	120	120	500	144	0	120	8000	120	100	100	1020	4530
30009	30	9	2835	200	270	135	0	135	135	135	500	162	0	135	8000	135	100	100	1170	5700
30010	30	10	3150	200	300	150	0	150	150	150	500	180	0	150	8000	150	100	100	1330	7030
30011	30	11	3465	200	330	165	0	165	165	165	500	198	0	165	8000	165	100	100	1570	8600
30012	30	12	3780	200	360	180	0	180	180	180	500	216	0	180	8000	180	100	100	1800	10400
30013	30	13	4095	200	390	195	0	195	195	195	500	234	0	195	8000	195	100	100	2040	12440
30014	30	14	4410	200	420	210	0	210	210	210	500	252	0	210	8000	210	100	100	2270	14710
30015	30	15	4725	200	450	225	0	225	225	225	500	270	0	225	8000	225	100	100	2510	17220
30016	30	16	5040	200	480	240	0	240	240	240	500	288	0	240	8000	240	100	100	2740	19960
30017	30	17	5355	200	510	255	0	255	255	255	500	306	0	255	8000	255	100	100	2980	22940
30018	30	18	5670	200	540	270	0	270	270	270	500	324	0	270	8000	270	100	100	3210	26150
30019	30	19	5985	200	570	285	0	285	285	285	500	342	0	285	8000	285	100	100	3450	29600
30020	30	20	6300	200	600	300	0	300	300	300	500	360	0	300	8000	300	100	100	3680	33280
30021	30	21	6615	200	630	315	0	315	315	315	500	378	0	315	8000	315	100	100	3920	37200
30022	30	22	6930	200	660	330	0	330	330	330	500	396	0	330	8000	330	100	100	4150	41350
30023	30	23	7245	200	690	345	0	345	345	345	500	414	0	345	8000	345	100	100	4390	45740
30024	30	24	7560	200	720	360	0	360	360	360	500	432	0	360	8000	360	100	100	4620	50360
30025	30	25	7875	200	750	375	0	375	375	375	500	450	0	375	8000	375	100	100	4860	55220
30026	30	26	8190	200	780	390	0	390	390	390	500	468	0	390	8000	390	100	100	5090	60310
30027	30	27	8505	200	810	405	0	405	405	405	500	486	0	405	8000	405	100	100	5330	65640
30028	30	28	8820	200	840	420	0	420	420	420	500	504	0	420	8000	420	100	100	5560	71200
30029	30	29	9135	200	870	435	0	435	435	435	500	522	0	435	8000	435	100	100	5800	77000
30030	30	30	9450	200	900	450	0	450	450	450	500	540	0	450	8000	450	100	100	6030	83030
30031	30	31	9765	200	930	465	0	465	465	465	500	558	0	465	8000	465	100	100	7830	90860
30032	30	32	10080	200	960	480	0	480	480	480	500	576	0	480	8000	480	100	100	11750	102610
30033	30	33	10395	200	990	495	0	495	495	495	500	594	0	495	8000	495	100	100	15660	118270
30034	30	34	10710	200	1020	510	0	510	510	510	500	612	0	510	8000	510	100	100	19580	137850
30035	30	35	11025	200	1050	525	0	525	525	525	500	630	0	525	8000	525	100	100	23500	161350
30036	30	36	11340	200	1080	540	0	540	540	540	500	648	0	540	8000	540	100	100	27410	188760
30037	30	37	11655	200	1110	555	0	555	555	555	500	666	0	555	8000	555	100	100	31330	220090
30038	30	38	11970	200	1140	570	0	570	570	570	500	684	0	570	8000	570	100	100	35240	255330
30039	30	39	12285	200	1170	585	0	585	585	585	500	702	0	585	8000	585	100	100	39160	294490
30040	30	40	12600	200	1200	600	0	600	600	600	500	720	0	600	8000	600	100	100	43080	337570
30041	30	41	12915	200	1230	615	0	615	615	615	500	738	0	615	8000	615	100	100	46990	384560
30042	30	42	13230	200	1260	630	0	630	630	630	500	756	0	630	8000	630	100	100	50910	435470
30043	30	43	13545	200	1290	645	0	645	645	645	500	774	0	645	8000	645	100	100	54820	490290
30044	30	44	13860	200	1320	660	0	660	660	660	500	792	0	660	8000	660	100	100	58740	549030
30045	30	45	14175	200	1350	675	0	675	675	675	500	810	0	675	8000	675	100	100	62660	611690
30046	30	46	14490	200	1380	690	0	690	690	690	500	828	0	690	8000	690	100	100	66570	678260
30047	30	47	14805	200	1410	705	0	705	705	705	500	846	0	705	8000	705	100	100	70490	748750
30048	30	48	15120	200	1440	720	0	720	720	720	500	864	0	720	8000	720	100	100	74400	823150
30049	30	49	15435	200	1470	735	0	735	735	735	500	882	0	735	8000	735	100	100	78320	901470
30050	30	50	15750	200	1500	750	0	750	750	750	500	900	0	750	8000	750	100	100	82240	983710
30051	30	51	16065	200	1530	765	0	765	765	765	500	918	0	765	8000	765	100	100	86150	1069860
30052	30	52	16380	200	1560	780	0	780	780	780	500	936	0	780	8000	780	100	100	90070	1159930
30053	30	53	16695	200	1590	795	0	795	795	795	500	954	0	795	8000	795	100	100	93980	1253910
30054	30	54	17010	200	1620	810	0	810	810	810	500	972	0	810	8000	810	100	100	97900	1351810
30055	30	55	17325	200	1650	825	0	825	825	825	500	990	0	825	8000	825	100	100	101820	1453630
30056	30	56	17640	200	1680	840	0	840	840	840	500	1008	0	840	8000	840	100	100	109650	1563280
30057	30	57	17955	200	1710	855	0	855	855	855	500	1026	0	855	8000	855	100	100	117480	1680760
30058	30	58	18270	200	1740	870	0	870	870	870	500	1044	0	870	8000	870	100	100	125310	1806070
30059	30	59	18585	200	1770	885	0	885	885	885	500	1062	0	885	8000	885	100	100	133140	1939210
30060	30	60	18900	200	1800	900	0	900	900	900	500	1080	0	900	8000	900	100	100	140980	2080190
30061	30	61	19215	200	1830	915	0	915	915	915	500	1098	0	915	8000	915	100	100	156640	2236830
30062	30	62	19530	200	1860	930	0	930	930	930	500	1116	0	930	8000	930	100	100	172300	2409130
30063	30	63	19845	200	1890	945	0	945	945	945	500	1134	0	945	8000	945	100	100	187970	2597100
30064	30	64	20160	200	1920	960	0	960	960	960	500	1152	0	960	8000	960	100	100	203630	2800730
30065	30	65	20475	200	1950	975	0	975	975	975	500	1170	0	975	8000	975	100	100	219300	3020030
30066	30	66	20790	200	1980	990	0	990	990	990	500	1188	0	990	8000	990	100	100	242790	3262820
30067	30	67	21105	200	2010	1005	0	1005	1005	1005	500	1206	0	1005	8000	1005	100	100	266290	3529110
30068	30	68	21420	200	2040	1020	0	1020	1020	1020	500	1224	0	1020	8000	1020	100	100	289780	3818890
30069	30	69	21735	200	2070	1035	0	1035	1035	1035	500	1242	0	1035	8000	1035	100	100	313280	4132170
30070	30	70	22050	200	2100	1050	0	1050	1050	1050	500	1260	0	1050	8000	1050	100	100	336780	4468950
30071	30	71	22365	200	2130	1065	0	1065	1065	1065	500	1278	0	1065	8000	1065	100	100	375940	4844890
30072	30	72	22680	200	2160	1080	0	1080	1080	1080	500	1296	0	1080	8000	1080	100	100	415100	5259990
