任务ID	前置ID	任务名称	任务类型	场景ID	任务方式	任务条件1	任务条件2	等级	最高等级	职业	是否自动接取	是否可放弃	接任务NPC	交任务NPC	接任务对话	交任务对话	任务描述	完成奖励金钱	完成奖励钻石	完成奖励经验	完成奖励体力	完成奖励物品	完成奖励卡牌	奖励武器
10001016	10001015	世界征服者	1	1060	1	1060	0	2	999	0	0	0	0	0	0	0	通关游魂墓地【关卡60】	5000	0	0	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001017	10001016	世界征服者	1	1064	1	1064	0	2	999	0	0	0	0	0	0	0	通关落日原野【关卡64】	5000	0	0	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001018	10001017	世界征服者	1	1068	1	1068	0	2	999	0	0	0	0	0	0	0	通关落日原野【关卡68】	5000	0	0	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001019	10001018	世界征服者	1	1072	1	1072	0	2	999	0	0	0	0	0	0	0	通关落日原野【关卡72】	10000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001020	10001019	世界征服者	1	1076	1	1076	0	2	999	0	0	0	0	0	0	0	通关落日原野【关卡76】	10000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001021	10001020	世界征服者	1	1078	1	1078	0	2	999	0	0	0	0	0	0	0	通关落日原野【关卡78】	10000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001022	10001021	世界征服者	1	1080	1	1080	0	2	999	0	0	0	0	0	0	0	通关落日原野【关卡80】	10000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001023	10001022	世界征服者	1	1084	1	1084	0	2	999	0	0	0	0	0	0	0	通关黄沙戈壁【关卡84】	10000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001024	10001023	世界征服者	1	1086	1	1086	0	2	999	0	0	0	0	0	0	0	通关黄沙戈壁【关卡86】	10000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001025	10001024	世界征服者	1	1090	1	1090	0	2	999	0	0	0	0	0	0	0	通关黄沙戈壁【关卡90】	15000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001026	10001025	世界征服者	1	1093	1	1093	0	2	999	0	0	0	0	0	0	0	通关黄沙戈壁【关卡93】	15000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001027	10001026	世界征服者	1	1097	1	1097	0	2	999	0	0	0	0	0	0	0	通关黄沙戈壁【关卡97】	15000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001028	10001027	世界征服者	1	1100	1	1100	0	2	999	0	0	0	0	0	0	0	通关黄沙戈壁【关卡100】	15000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001029	10001028	世界征服者	1	1102	1	1102	0	2	999	0	0	0	0	0	0	0	通关火龙之巢【关卡102】	15000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001030	10001029	世界征服者	1	1105	1	1105	0	2	999	0	0	0	0	0	0	0	通关火龙之巢【关卡105】	15000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001031	10001030	世界征服者	1	1109	1	1109	0	2	999	0	0	0	0	0	0	0	通关火龙之巢【关卡109】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001032	10001031	世界征服者	1	1111	1	1111	0	2	999	0	0	0	0	0	0	0	通关火龙之巢【关卡111】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001033	10001032	世界征服者	1	1114	1	1114	0	2	999	0	0	0	0	0	0	0	通关火龙之巢【关卡114】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001034	10001033	世界征服者	1	1120	1	1120	0	2	999	0	0	0	0	0	0	0	通关火龙之巢【关卡120】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001035	10001034	世界征服者	1	1123	1	1123	0	2	999	0	0	0	0	0	0	0	通关无法地带【关卡123】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001036	10001035	世界征服者	1	1127	1	1127	0	2	999	0	0	0	0	0	0	0	通关无法地带【关卡127】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001037	10001036	世界征服者	1	1130	1	1130	0	2	999	0	0	0	0	0	0	0	通关无法地带【关卡130】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001038	10001037	世界征服者	1	1134	1	1134	0	2	999	0	0	0	0	0	0	0	通关无法地带【关卡134】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001039	10001038	世界征服者	1	1137	1	1137	0	2	999	0	0	0	0	0	0	0	通关无法地带【关卡137】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001040	10001039	世界征服者	1	1140	1	1140	0	2	999	0	0	0	0	0	0	0	通关无法地带【关卡140】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001041	10001040	世界征服者	1	1142	1	1142	0	2	999	0	0	0	0	0	0	0	通关圣湖之畔【关卡142】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001042	10001041	世界征服者	1	1145	1	1145	0	2	999	0	0	0	0	0	0	0	通关圣湖之畔【关卡145】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001043	10001042	世界征服者	1	1150	1	1150	0	2	999	0	0	0	0	0	0	0	通关圣湖之畔【关卡150】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001044	10001043	世界征服者	1	1152	1	1152	0	2	999	0	0	0	0	0	0	0	通关圣湖之畔【关卡152】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001045	10001044	世界征服者	1	1157	1	1157	0	2	999	0	0	0	0	0	0	0	通关圣湖之畔【关卡157】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001046	10001045	世界征服者	1	1160	1	1160	0	2	999	0	0	0	0	0	0	0	通关圣湖之畔【关卡160】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001047	10001046	世界征服者	1	1162	1	1162	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡162】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001048	10001047	世界征服者	1	1166	1	1166	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡166】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001049	10001048	世界征服者	1	1170	1	1170	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡170】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001050	10001049	世界征服者	1	1174	1	1174	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡174】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001051	10001050	世界征服者	1	1176	1	1176	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡176】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001052	10001051	世界征服者	1	1178	1	1178	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡178】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001053	10001052	世界征服者	1	1180	1	1180	0	2	999	0	0	0	0	0	0	0	通关亡灵之城【关卡180】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001054	10001053	世界征服者	1	1183	1	1183	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡183】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001055	10001054	世界征服者	1	1186	1	1186	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡186】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001056	10001055	世界征服者	1	1189	1	1189	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡189】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001057	10001056	世界征服者	1	1192	1	1192	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡192】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001058	10001057	世界征服者	1	1195	1	1195	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡195】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001059	10001058	世界征服者	1	1198	1	1198	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡198】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10001060	10001059	世界征服者	1	1200	1	1200	0	2	999	0	0	0	0	0	0	0	通关奇岩荒野【关卡200】	20000	0	0	0	72000001:40:0:0:0;73000001:25:0:0:0;		
10005001	0	武器强化	1	0	5	1	0	10	999	0	0	0	0	0	0	0	主角武器强化至1级	1500	0	0	0		11099:1;	
10005002	10005001	武器强化	1	0	5	2	0	10	999	0	0	0	0	0	0	0	主角武器强化至2级	2000	0	0	0		11099:1;	
10005003	10005002	武器强化	1	0	5	3	0	10	999	0	0	0	0	0	0	0	主角武器强化至3级	2500	0	0	0		11099:1;	
10005004	10005003	武器强化	1	0	5	4	0	10	999	0	0	0	0	0	0	0	主角武器强化至4级	3000	0	0	0		11099:1;	
10005005	10005004	武器强化	1	0	5	5	0	10	999	0	0	0	0	0	0	0	主角武器强化至5级	3500	0	0	0		11099:1;	
10005006	10005005	武器强化	1	0	5	6	0	10	999	0	0	0	0	0	0	0	主角武器强化至6级	4000	0	0	0		11099:1;	
10005007	10005006	武器强化	1	0	5	7	0	10	999	0	0	0	0	0	0	0	主角武器强化至7级	4500	0	0	0		11099:1;	
10005008	10005007	武器强化	1	0	5	8	0	10	999	0	0	0	0	0	0	0	主角武器强化至8级	5000	0	0	0		11099:1;	
10005009	10005008	武器强化	1	0	5	9	0	10	999	0	0	0	0	0	0	0	主角武器强化至9级	5500	0	0	0		11099:1;	
10005010	10005009	武器强化	1	0	5	10	0	10	999	0	0	0	0	0	0	0	主角武器强化至10级	6000	0	0	0		11099:1;	
10005011	10005010	武器强化	1	0	5	11	0	10	999	0	0	0	0	0	0	0	主角武器强化至11级	6500	0	0	0		11099:1;	
10005012	10005011	武器强化	1	0	5	12	0	10	999	0	0	0	0	0	0	0	主角武器强化至12级	7000	0	0	0		11099:1;	
10005013	10005012	武器强化	1	0	5	13	0	10	999	0	0	0	0	0	0	0	主角武器强化至13级	7500	0	0	0		11099:1;	
10005014	10005013	武器强化	1	0	5	14	0	10	999	0	0	0	0	0	0	0	主角武器强化至14级	8000	0	0	0		11099:1;	
10005015	10005014	武器强化	1	0	5	15	0	10	999	0	0	0	0	0	0	0	主角武器强化至15级	8500	0	0	0		11099:1;	
10005016	10005015	武器强化	1	0	5	16	0	10	999	0	0	0	0	0	0	0	主角武器强化至16级	9000	0	0	0		11099:1;	
10005017	10005016	武器强化	1	0	5	17	0	10	999	0	0	0	0	0	0	0	主角武器强化至17级	9500	0	0	0		11099:1;	
10005018	10005017	武器强化	1	0	5	18	0	10	999	0	0	0	0	0	0	0	主角武器强化至18级	10000	0	0	0		11099:1;	
10005019	10005018	武器强化	1	0	5	19	0	10	999	0	0	0	0	0	0	0	主角武器强化至19级	10500	0	0	0		11099:1;	
10005020	10005019	武器强化	1	0	5	20	0	10	999	0	0	0	0	0	0	0	主角武器强化至20级	11000	0	0	0		11099:1;	
10005021	10005020	武器强化	1	0	5	21	0	10	999	0	0	0	0	0	0	0	主角武器强化至21级	11500	0	0	0		11099:1;	
10005022	10005021	武器强化	1	0	5	22	0	10	999	0	0	0	0	0	0	0	主角武器强化至22级	12000	0	0	0		11099:1;	
10005023	10005022	武器强化	1	0	5	23	0	10	999	0	0	0	0	0	0	0	主角武器强化至23级	12500	0	0	0		11099:1;	
10005024	10005023	武器强化	1	0	5	24	0	10	999	0	0	0	0	0	0	0	主角武器强化至24级	13000	0	0	0		11099:1;	
10005025	10005024	武器强化	1	0	5	25	0	10	999	0	0	0	0	0	0	0	主角武器强化至25级	13500	0	0	0		11099:1;	
10005026	10005025	武器强化	1	0	5	26	0	10	999	0	0	0	0	0	0	0	主角武器强化至26级	14000	0	0	0		11099:1;	
10005027	10005026	武器强化	1	0	5	27	0	10	999	0	0	0	0	0	0	0	主角武器强化至27级	14500	0	0	0		11099:1;	
10005028	10005027	武器强化	1	0	5	28	0	10	999	0	0	0	0	0	0	0	主角武器强化至28级	15000	0	0	0		11099:1;	
10005029	10005028	武器强化	1	0	5	29	0	10	999	0	0	0	0	0	0	0	主角武器强化至29级	16000	0	0	0		11099:1;	
10005030	10005029	武器强化	1	0	5	30	0	10	999	0	0	0	0	0	0	0	主角武器强化至30级	17000	0	0	0		11099:1;	
10005031	10005030	武器强化	1	0	5	31	0	10	999	0	0	0	0	0	0	0	主角武器强化至31级	18000	0	0	0		11099:1;	
10005032	10005031	武器强化	1	0	5	32	0	10	999	0	0	0	0	0	0	0	主角武器强化至32级	19000	0	0	0		11099:1;	
10005033	10005032	武器强化	1	0	5	33	0	10	999	0	0	0	0	0	0	0	主角武器强化至33级	20000	0	0	0		11099:1;	
10005034	10005033	武器强化	1	0	5	34	0	10	999	0	0	0	0	0	0	0	主角武器强化至34级	21000	0	0	0		11099:1;	
10005035	10005034	武器强化	1	0	5	35	0	10	999	0	0	0	0	0	0	0	主角武器强化至35级	22000	0	0	0		11099:1;	
10005036	10005035	武器强化	1	0	5	36	0	10	999	0	0	0	0	0	0	0	主角武器强化至36级	23000	0	0	0		11099:1;	
10005037	10005036	武器强化	1	0	5	37	0	10	999	0	0	0	0	0	0	0	主角武器强化至37级	24000	0	0	0		11099:1;	
10005038	10005037	武器强化	1	0	5	38	0	10	999	0	0	0	0	0	0	0	主角武器强化至38级	25000	0	0	0		11099:1;	
10005039	10005038	武器强化	1	0	5	39	0	10	999	0	0	0	0	0	0	0	主角武器强化至39级	26000	0	0	0		11099:1;	
10005040	10005039	武器强化	1	0	5	40	0	10	999	0	0	0	0	0	0	0	主角武器强化至40级	27000	0	0	0		11099:1;	
10005041	10005040	武器强化	1	0	5	41	0	10	999	0	0	0	0	0	0	0	主角武器强化至41级	28000	0	0	0		11099:1;	
10005042	10005041	武器强化	1	0	5	42	0	10	999	0	0	0	0	0	0	0	主角武器强化至42级	29000	0	0	0		11099:1;	
10005043	10005042	武器强化	1	0	5	43	0	10	999	0	0	0	0	0	0	0	主角武器强化至43级	30000	0	0	0		11099:1;	
10005044	10005043	武器强化	1	0	5	44	0	10	999	0	0	0	0	0	0	0	主角武器强化至44级	32000	0	0	0		11099:1;	
10005045	10005044	武器强化	1	0	5	45	0	10	999	0	0	0	0	0	0	0	主角武器强化至45级	34000	0	0	0		11099:1;	
10005046	10005045	武器强化	1	0	5	46	0	10	999	0	0	0	0	0	0	0	主角武器强化至46级	36000	0	0	0		11099:1;	
10005047	10005046	武器强化	1	0	5	47	0	10	999	0	0	0	0	0	0	0	主角武器强化至47级	38000	0	0	0		11099:1;	
10005048	10005047	武器强化	1	0	5	48	0	10	999	0	0	0	0	0	0	0	主角武器强化至48级	40000	0	0	0		11099:1;	
10005049	10005048	武器强化	1	0	5	49	0	10	999	0	0	0	0	0	0	0	主角武器强化至49级	42000	0	0	0		11099:1;	
10005050	10005049	武器强化	1	0	5	50	0	10	999	0	0	0	0	0	0	0	主角武器强化至50级	44000	0	0	0		11099:1;	
10005051	10005050	武器强化	1	0	5	51	0	10	999	0	0	0	0	0	0	0	主角武器强化至51级	46000	0	0	0		11099:1;	
10005052	10005051	武器强化	1	0	5	52	0	10	999	0	0	0	0	0	0	0	主角武器强化至52级	48000	0	0	0		11099:1;	
10005053	10005052	武器强化	1	0	5	53	0	10	999	0	0	0	0	0	0	0	主角武器强化至53级	50000	0	0	0		11099:1;	
10005054	10005053	武器强化	1	0	5	54	0	10	999	0	0	0	0	0	0	0	主角武器强化至54级	52000	0	0	0		11099:1;	
10005055	10005054	武器强化	1	0	5	55	0	10	999	0	0	0	0	0	0	0	主角武器强化至55级	54000	0	0	0		11099:1;	
10005056	10005055	武器强化	1	0	5	56	0	10	999	0	0	0	0	0	0	0	主角武器强化至56级	56000	0	0	0		11099:1;	
10005057	10005056	武器强化	1	0	5	57	0	10	999	0	0	0	0	0	0	0	主角武器强化至57级	58000	0	0	0		11099:1;	
10005058	10005057	武器强化	1	0	5	58	0	10	999	0	0	0	0	0	0	0	主角武器强化至58级	60000	0	0	0		11099:1;	
10005059	10005058	武器强化	1	0	5	59	0	10	999	0	0	0	0	0	0	0	主角武器强化至59级	63000	0	0	0		11099:1;	
10005060	10005059	武器强化	1	0	5	60	0	10	999	0	0	0	0	0	0	0	主角武器强化至60级	66000	0	0	0		11099:1;	
10005061	10005060	武器强化	1	0	5	61	0	10	999	0	0	0	0	0	0	0	主角武器强化至61级	69000	0	0	0		11099:1;	
10005062	10005061	武器强化	1	0	5	62	0	10	999	0	0	0	0	0	0	0	主角武器强化至62级	72000	0	0	0		11099:1;	
10005063	10005062	武器强化	1	0	5	63	0	10	999	0	0	0	0	0	0	0	主角武器强化至63级	75000	0	0	0		11099:1;	
10005064	10005063	武器强化	1	0	5	64	0	10	999	0	0	0	0	0	0	0	主角武器强化至64级	78000	0	0	0		11099:1;	
10005065	10005064	武器强化	1	0	5	65	0	10	999	0	0	0	0	0	0	0	主角武器强化至65级	81000	0	0	0		11099:1;	
10005066	10005065	武器强化	1	0	5	66	0	10	999	0	0	0	0	0	0	0	主角武器强化至66级	84000	0	0	0		11099:1;	
10005067	10005066	武器强化	1	0	5	67	0	10	999	0	0	0	0	0	0	0	主角武器强化至67级	87000	0	0	0		11099:1;	
10005068	10005067	武器强化	1	0	5	68	0	10	999	0	0	0	0	0	0	0	主角武器强化至68级	90000	0	0	0		11099:1;	
10005069	10005068	武器强化	1	0	5	69	0	10	999	0	0	0	0	0	0	0	主角武器强化至69级	93000	0	0	0		11099:1;	
10005070	10005069	武器强化	1	0	5	70	0	10	999	0	0	0	0	0	0	0	主角武器强化至70级	96000	0	0	0		11099:1;	
10005071	10005070	武器强化	1	0	5	71	0	10	999	0	0	0	0	0	0	0	主角武器强化至71级	99000	0	0	0		11099:1;	
10005072	10005071	武器强化	1	0	5	72	0	10	999	0	0	0	0	0	0	0	主角武器强化至72级	102000	0	0	0		11099:1;	
10005073	10005072	武器强化	1	0	5	73	0	10	999	0	0	0	0	0	0	0	主角武器强化至73级	105000	0	0	0		11099:1;	
10005074	10005073	武器强化	1	0	5	74	0	10	999	0	0	0	0	0	0	0	主角武器强化至74级	108000	0	0	0		11099:1;	
10005075	10005074	武器强化	1	0	5	75	0	10	999	0	0	0	0	0	0	0	主角武器强化至75级	111000	0	0	0		11099:1;	
10005076	10005075	武器强化	1	0	5	76	0	10	999	0	0	0	0	0	0	0	主角武器强化至76级	114000	0	0	0		11099:1;	
10005077	10005076	武器强化	1	0	5	77	0	10	999	0	0	0	0	0	0	0	主角武器强化至77级	117000	0	0	0		11099:1;	
10005078	10005077	武器强化	1	0	5	78	0	10	999	0	0	0	0	0	0	0	主角武器强化至78级	120000	0	0	0		11099:1;	
10005079	10005078	武器强化	1	0	5	79	0	10	999	0	0	0	0	0	0	0	主角武器强化至79级	125000	0	0	0		11099:1;	
10005080	10005079	武器强化	1	0	5	80	0	10	999	0	0	0	0	0	0	0	主角武器强化至80级	130000	0	0	0		11099:1;	
10005081	10005080	武器强化	1	0	5	81	0	10	999	0	0	0	0	0	0	0	主角武器强化至81级	135000	0	0	0		11099:1;	
10005082	10005081	武器强化	1	0	5	82	0	10	999	0	0	0	0	0	0	0	主角武器强化至82级	140000	0	0	0		11099:1;	
10005083	10005082	武器强化	1	0	5	83	0	10	999	0	0	0	0	0	0	0	主角武器强化至83级	145000	0	0	0		11099:1;	
10005084	10005083	武器强化	1	0	5	84	0	10	999	0	0	0	0	0	0	0	主角武器强化至84级	150000	0	0	0		11099:1;	
10005085	10005084	武器强化	1	0	5	85	0	10	999	0	0	0	0	0	0	0	主角武器强化至85级	155000	0	0	0		11099:1;	
10005086	10005085	武器强化	1	0	5	86	0	10	999	0	0	0	0	0	0	0	主角武器强化至86级	160000	0	0	0		11099:1;	
10005087	10005086	武器强化	1	0	5	87	0	10	999	0	0	0	0	0	0	0	主角武器强化至87级	165000	0	0	0		11099:1;	
10005088	10005087	武器强化	1	0	5	88	0	10	999	0	0	0	0	0	0	0	主角武器强化至88级	170000	0	0	0		11099:1;	
10005089	10005088	武器强化	1	0	5	89	0	10	999	0	0	0	0	0	0	0	主角武器强化至89级	175000	0	0	0		11099:1;	
10005090	10005089	武器强化	1	0	5	90	0	10	999	0	0	0	0	0	0	0	主角武器强化至90级	180000	0	0	0		11099:1;	
10005091	10005090	武器强化	1	0	5	91	0	10	999	0	0	0	0	0	0	0	主角武器强化至91级	185000	0	0	0		11099:1;	
10005092	10005091	武器强化	1	0	5	92	0	10	999	0	0	0	0	0	0	0	主角武器强化至92级	190000	0	0	0		11099:1;	
10005093	10005092	武器强化	1	0	5	93	0	10	999	0	0	0	0	0	0	0	主角武器强化至93级	195000	0	0	0		11099:1;	
10005094	10005093	武器强化	1	0	5	94	0	10	999	0	0	0	0	0	0	0	主角武器强化至94级	200000	0	0	0		11099:1;	
10005095	10005094	武器强化	1	0	5	95	0	10	999	0	0	0	0	0	0	0	主角武器强化至95级	210000	0	0	0		11099:1;	
10005096	10005095	武器强化	1	0	5	96	0	10	999	0	0	0	0	0	0	0	主角武器强化至96级	220000	0	0	0		11099:1;	
10005097	10005096	武器强化	1	0	5	97	0	10	999	0	0	0	0	0	0	0	主角武器强化至97级	230000	0	0	0		11099:1;	
10005098	10005097	武器强化	1	0	5	98	0	10	999	0	0	0	0	0	0	0	主角武器强化至98级	240000	0	0	0		11099:1;	
10005099	10005098	武器强化	1	0	5	99	0	10	999	0	0	0	0	0	0	0	主角武器强化至99级	250000	0	0	0		11099:1;	
10005100	10005099	武器强化	1	0	5	100	0	10	999	0	0	0	0	0	0	0	主角武器强化至100级	260000	0	0	0		11099:1;	
10047001	0	技能熟练	1	0	47	5	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至5级	0	10	0	25			
10047002	10047001	技能熟练	1	0	47	10	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至10级	0	10	0	25			
10047003	10047002	技能熟练	1	0	47	15	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至15级	0	10	0	25			
10047004	10047003	技能熟练	1	0	47	20	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至20级	0	10	0	25			
10047005	10047004	技能熟练	1	0	47	25	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至25级	0	10	0	50			
10047006	10047005	技能熟练	1	0	47	30	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至30级	0	10	0	50			
10047007	10047006	技能熟练	1	0	47	35	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至35级	0	10	0	50			
10047008	10047007	技能熟练	1	0	47	40	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至40级	0	10	0	50			
10047009	10047008	技能熟练	1	0	47	45	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至45级	0	10	0	50			
10047010	10047009	技能熟练	1	0	47	50	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至50级	0	10	0	50			
10047011	10047010	技能熟练	1	0	47	55	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至55级	0	10	0	50			
10047012	10047011	技能熟练	1	0	47	60	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至60级	0	10	0	50			
10047013	10047012	技能熟练	1	0	47	65	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至65级	0	10	0	50			
10047014	10047013	技能熟练	1	0	47	70	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至70级	0	10	0	50			
10047015	10047014	技能熟练	1	0	47	75	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至75级	0	10	0	50			
10047016	10047015	技能熟练	1	0	47	80	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至80级	0	10	0	50			
10047017	10047016	技能熟练	1	0	47	85	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至85级	0	10	0	50			
10047018	10047017	技能熟练	1	0	47	90	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至90级	0	10	0	50			
10047019	10047018	技能熟练	1	0	47	95	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至95级	0	10	0	50			
10047020	10047019	技能熟练	1	0	47	100	0	10	999	0	0	0	0	0	0	0	主角任意技能强化至100级	0	10	0	50			
