	主角怪物名	身高	普通攻击	技能1	技能2	技能3	技能4	待机动作	走动作	跑动作	普通受击1（上段）	普通受击2（下段）	击飞切片1（上身）	击飞切片2（下身）	击飞倒地（接切片击飞）	倒地（静止）	倒地死亡	倒地起身	特殊击飞	特殊击飞倒地	特殊击飞倒地起身	基础出生动作	出生动作2	出生动作3	特殊击退	下段特殊击退	特殊击飞	特殊倒地	特殊起身	特殊死亡	阴影
101305	冰霜女巫形象5	320	monster_boss_007_atk1	monster_boss_007_skill1	monster_boss_007_skill2	monster_boss_007_skill1	monster_boss_007_skill1	monster_boss_007_idle		monster_boss_007_run	monster_boss_007_hurt	monster_boss_007_hurt1	monster_boss_007_away_bone01	monster_boss_007_away_bone02	monster_boss_007_down	monster_boss_007_down	monster_boss_007_down_die	monster_boss_007_up				monster_boss_007_born_0	monster_boss_007_born_1	monster_boss_007_born_2							
101401	血枪手形象1	200	monster_boss_010_atk	monster_boss_010_skill1	monster_boss_010_skill2	monster_boss_010_skill3_1		monster_boss_010_idle		monster_boss_010_run	monster_boss_010_hurt	monster_boss_010_hurt1	monster_boss_010_away_bone1	monster_boss_010_away_bone2	monster_boss_010_down	monster_boss_010_down	monster_boss_010_down_die	monster_boss_010_up				monster_boss_010_born									
101402	血枪手形象2	200																													
101403	血枪手形象3	200																													
101404	血枪手形象4	200																													
101405	血枪手形象5	200																													
101501	火焰女巫形象1	200	monster_boss_006_atk1	monster_boss_006_skill1	monster_boss_006_skill2			monster_boss_006_idle		monster_boss_006_run	monster_boss_006_hurt	monster_boss_006_hurt1	monster_boss_006_away_bone01	monster_boss_006_away_bone02	monster_boss_006_down	monster_boss_006_down	monster_boss_006_down_die	monster_boss_006_up				monster_boss_006_born									
101502	火焰女巫形象2	200																													
101503	火焰女巫形象3	200																													
101504	火焰女巫形象4	200																													
101505	火焰女巫形象5	200																													
101601	投掷哥布林	200	monster_007_atk1	monster_007_atk2	monster_007_atk3	monster_007_atk1	monster_007_atk2	monster_007_idle		monster_007_run	monster_007_hurt	monster_007_hurt1	monster_007_away_bone01	monster_007_away_bone02	monster_007_down	monster_007_down	monster_007_down_die	monster_007_up				monster_007_born_0									
101602																															
101603																															
101604																															
101605																															
101701	骷髅弓箭手	200	monster_013_atk1	monster_013_atk2	monster_013_skill1	monster_013_skill2	monster_013_skill3	monster_013_idle		monster_013_run	monster_013_hurt	monster_013_hurt1	monster_013_away_bone01	monster_013_away_bone02	monster_013_down	monster_013_down	monster_013_down_die	monster_013_up				monster_013_born_0									
101702	骷髅弓箭手霸体	200	monster_013_atk1	monster_013_atk2	monster_013_skill1	monster_013_skill2	monster_013_skill3	monster_013_idle		monster_013_run	monster_013_hurt	monster_013_hurt1	monster_013_away_bone01	monster_013_away_bone02	monster_013_down	monster_013_down	monster_013_down_die	monster_013_up				monster_013_born_0									
101703																															
101704																															
101705																															
101801	牛头首领	200	monster_boss_004_atk1	monster_boss_004_skill1	monster_boss_004_skill1	monster_boss_004_rage	monster_boss_004_skill3	monster_boss_004_idle		monster_boss_004_run	monster_boss_004_hurt	monster_boss_004_hurt1	monster_boss_004_away_bone01	monster_boss_004_away_bone02	monster_boss_004_down	monster_boss_004_down	monster_boss_004_down_die	monster_boss_004_up				monster_boss_004_born_0									
101802																															
101803																															
101804																															
101805																															
