兑换码批次id	兑换码类型	兑换码数据	礼包组	使用等级上限	使用日期区间	数量
30200078	1		30006:1	100	2016/08/03:2016/08/31	1
30200079	1		30006:1	100	2016/08/03:2016/08/31	1
30200080	1		30006:1	100	2016/08/03:2016/08/31	1
30200081	1		30006:1	100	2016/08/03:2016/08/31	1
30200082	1		30006:1	100	2016/08/03:2016/08/31	1
30200083	1		30006:1	100	2016/08/03:2016/08/31	1
30200084	1		30006:1	100	2016/08/03:2016/08/31	1
30200085	1		30006:1	100	2016/08/03:2016/08/31	1
30200086	1		30006:1	100	2016/08/03:2016/08/31	1
30200087	1		30006:1	100	2016/08/03:2016/08/31	1
30200088	1		30006:1	100	2016/08/03:2016/08/31	1
30200089	1		30006:1	100	2016/08/03:2016/08/31	1
30200090	1		30006:1	100	2016/08/03:2016/08/31	1
30200091	1		30006:1	100	2016/08/03:2016/08/31	1
30200092	1		30006:1	100	2016/08/03:2016/08/31	1
30200093	1		30006:1	100	2016/08/03:2016/08/31	1
30200094	1		30006:1	100	2016/08/03:2016/08/31	1
30200095	1		30006:1	100	2016/08/03:2016/08/31	1
30200096	1		30006:1	100	2016/08/03:2016/08/31	1
30200097	1		30006:1	100	2016/08/03:2016/08/31	1
30200098	1		30006:1	100	2016/08/03:2016/08/31	1
30200099	1		30006:1	100	2016/08/03:2016/08/31	1
30200100	1		30006:1	100	2016/08/03:2016/08/31	1
30200101	1		30006:1	100	2016/08/03:2016/08/31	1
30200102	1		30006:1	100	2016/08/03:2016/08/31	1
30200103	1		30006:1	100	2016/08/03:2016/08/31	1
30200104	1		30006:1	100	2016/08/03:2016/08/31	1
30200105	1		30006:1	100	2016/08/03:2016/08/31	1
30200106	1		30006:1	100	2016/08/03:2016/08/31	1
30200107	1		30006:1	100	2016/08/03:2016/08/31	1
30200108	1		30006:1	100	2016/08/03:2016/08/31	1
30200109	1		30006:1	100	2016/08/03:2016/08/31	1
30200110	1		30006:1	100	2016/08/03:2016/08/31	1
30200111	1		30006:1	100	2016/08/03:2016/08/31	1
30200112	1		30006:1	100	2016/08/03:2016/08/31	1
30200113	1		30006:1	100	2016/08/03:2016/08/31	1
30200114	1		30006:1	100	2016/08/03:2016/08/31	1
30200115	1		30006:1	100	2016/08/03:2016/08/31	1
30200116	1		30006:1	100	2016/08/03:2016/08/31	1
30200117	1		30006:1	100	2016/08/03:2016/08/31	1
30200118	1		30006:1	100	2016/08/03:2016/08/31	1
30200119	1		30006:1	100	2016/08/03:2016/08/31	1
30200120	1		30006:1	100	2016/08/03:2016/08/31	1
30200121	1		30006:1	100	2016/08/03:2016/08/31	1
30200122	1		30006:1	100	2016/08/03:2016/08/31	1
30200123	1		30006:1	100	2016/08/03:2016/08/31	1
30200124	1		30006:1	100	2016/08/03:2016/08/31	1
30200125	1		30006:1	100	2016/08/03:2016/08/31	1
30200126	1		30006:1	100	2016/08/03:2016/08/31	1
30200127	1		30006:1	100	2016/08/03:2016/08/31	1
30200128	1		30006:1	100	2016/08/03:2016/08/31	1
30200129	1		30006:1	100	2016/08/03:2016/08/31	1
30200130	1		30006:1	100	2016/08/03:2016/08/31	1
30200131	1		30006:1	100	2016/08/03:2016/08/31	1
30200132	1		30006:1	100	2016/08/03:2016/08/31	1
30200133	1		30006:1	100	2016/08/03:2016/08/31	1
30200134	1		30006:1	100	2016/08/03:2016/08/31	1
30200135	1		30006:1	100	2016/08/03:2016/08/31	1
30200136	1		30006:1	100	2016/08/03:2016/08/31	1
30200137	1		30006:1	100	2016/08/03:2016/08/31	1
30200138	1		30006:1	100	2016/08/03:2016/08/31	1
30200139	1		30006:1	100	2016/08/03:2016/08/31	1
30200140	1		30006:1	100	2016/08/03:2016/08/31	1
30200141	1		30006:1	100	2016/08/03:2016/08/31	1
30200142	1		30006:1	100	2016/08/03:2016/08/31	1
30200143	1		30006:1	100	2016/08/03:2016/08/31	1
30200144	1		30006:1	100	2016/08/03:2016/08/31	1
30200145	1		30006:1	100	2016/08/03:2016/08/31	1
30200146	1		30006:1	100	2016/08/03:2016/08/31	1
30200147	1		30006:1	100	2016/08/03:2016/08/31	1
30200148	1		30006:1	100	2016/08/03:2016/08/31	1
30200149	1		30006:1	100	2016/08/03:2016/08/31	1
30200150	1		30006:1	100	2016/08/03:2016/08/31	1
30200151	1		30006:1	100	2016/08/03:2016/08/31	1
30200152	1		30006:1	100	2016/08/03:2016/08/31	1
30200153	1		30006:1	100	2016/08/03:2016/08/31	1
30200154	1		30006:1	100	2016/08/03:2016/08/31	1
30200155	1		30006:1	100	2016/08/03:2016/08/31	1
30200156	1		30006:1	100	2016/08/03:2016/08/31	1
30200157	1		30006:1	100	2016/08/03:2016/08/31	1
30200158	1		30006:1	100	2016/08/03:2016/08/31	1
30200159	1		30006:1	100	2016/08/03:2016/08/31	1
30200160	1		30006:1	100	2016/08/03:2016/08/31	1
30200161	1		30006:1	100	2016/08/03:2016/08/31	1
30200162	1		30006:1	100	2016/08/03:2016/08/31	1
30200163	1		30006:1	100	2016/08/03:2016/08/31	1
30200164	1		30006:1	100	2016/08/03:2016/08/31	1
30200165	1		30006:1	100	2016/08/03:2016/08/31	1
30200166	1		30006:1	100	2016/08/03:2016/08/31	1
30200167	1		30006:1	100	2016/08/03:2016/08/31	1
30200168	1		30006:1	100	2016/08/03:2016/08/31	1
30200169	1		30006:1	100	2016/08/03:2016/08/31	1
30200170	1		30006:1	100	2016/08/03:2016/08/31	1
30200171	1		30006:1	100	2016/08/03:2016/08/31	1
30200172	1		30006:1	100	2016/08/03:2016/08/31	1
30200173	1		30006:1	100	2016/08/03:2016/08/31	1
30200174	1		30006:1	100	2016/08/03:2016/08/31	1
30200175	1		30006:1	100	2016/08/03:2016/08/31	1
30200176	1		30006:1	100	2016/08/03:2016/08/31	1
30200177	1		30006:1	100	2016/08/03:2016/08/31	1
30200178	1		30006:1	100	2016/08/03:2016/08/31	1
30200179	1		30006:1	100	2016/08/03:2016/08/31	1
30200180	1		30006:1	100	2016/08/03:2016/08/31	1
30200181	1		30006:1	100	2016/08/03:2016/08/31	1
30200182	1		30006:1	100	2016/08/03:2016/08/31	1
30200183	1		30006:1	100	2016/08/03:2016/08/31	1
30200184	1		30006:1	100	2016/08/03:2016/08/31	1
30200185	1		30006:1	100	2016/08/03:2016/08/31	1
30200186	1		30006:1	100	2016/08/03:2016/08/31	1
30200187	1		30006:1	100	2016/08/03:2016/08/31	1
30200188	1		30006:1	100	2016/08/03:2016/08/31	1
30200189	1		30006:1	100	2016/08/03:2016/08/31	1
30200190	1		30006:1	100	2016/08/03:2016/08/31	1
30200191	1		30006:1	100	2016/08/03:2016/08/31	1
30200192	1		30006:1	100	2016/08/03:2016/08/31	1
30200193	1		30006:1	100	2016/08/03:2016/08/31	1
30200194	1		30006:1	100	2016/08/03:2016/08/31	1
30200195	1		30006:1	100	2016/08/03:2016/08/31	1
30200196	1		30006:1	100	2016/08/03:2016/08/31	1
30200197	1		30006:1	100	2016/08/03:2016/08/31	1
30200198	1		30006:1	100	2016/08/03:2016/08/31	1
30200199	1		30006:1	100	2016/08/03:2016/08/31	1
30200200	1		30006:1	100	2016/08/03:2016/08/31	1
30200201	1		30006:1	100	2016/08/03:2016/08/31	1
30200202	1		30006:1	100	2016/08/03:2016/08/31	1
30200203	1		30006:1	100	2016/08/03:2016/08/31	1
30200204	1		30006:1	100	2016/08/03:2016/08/31	1
30200205	1		30006:1	100	2016/08/03:2016/08/31	1
30200206	1		30006:1	100	2016/08/03:2016/08/31	1
30200207	1		30006:1	100	2016/08/03:2016/08/31	1
30200208	1		30006:1	100	2016/08/03:2016/08/31	1
30200209	1		30006:1	100	2016/08/03:2016/08/31	1
30200210	1		30006:1	100	2016/08/03:2016/08/31	1
30200211	1		30006:1	100	2016/08/03:2016/08/31	1
30200212	1		30006:1	100	2016/08/03:2016/08/31	1
30200213	1		30006:1	100	2016/08/03:2016/08/31	1
30200214	1		30006:1	100	2016/08/03:2016/08/31	1
30200215	1		30006:1	100	2016/08/03:2016/08/31	1
30200216	1		30006:1	100	2016/08/03:2016/08/31	1
30200217	1		30006:1	100	2016/08/03:2016/08/31	1
30200218	1		30006:1	100	2016/08/03:2016/08/31	1
30200219	1		30006:1	100	2016/08/03:2016/08/31	1
30200220	1		30006:1	100	2016/08/03:2016/08/31	1
30200221	1		30006:1	100	2016/08/03:2016/08/31	1
30200222	1		30006:1	100	2016/08/03:2016/08/31	1
30200223	1		30006:1	100	2016/08/03:2016/08/31	1
30200224	1		30006:1	100	2016/08/03:2016/08/31	1
30200225	1		30006:1	100	2016/08/03:2016/08/31	1
30200226	1		30006:1	100	2016/08/03:2016/08/31	1
30200227	1		30006:1	100	2016/08/03:2016/08/31	1
30200228	1		30006:1	100	2016/08/03:2016/08/31	1
30200229	1		30006:1	100	2016/08/03:2016/08/31	1
30200230	1		30006:1	100	2016/08/03:2016/08/31	1
30200231	1		30006:1	100	2016/08/03:2016/08/31	1
30200232	1		30006:1	100	2016/08/03:2016/08/31	1
30200233	1		30006:1	100	2016/08/03:2016/08/31	1
30200234	1		30006:1	100	2016/08/03:2016/08/31	1
30200235	1		30006:1	100	2016/08/03:2016/08/31	1
30200236	1		30006:1	100	2016/08/03:2016/08/31	1
30200237	1		30006:1	100	2016/08/03:2016/08/31	1
30200238	1		30006:1	100	2016/08/03:2016/08/31	1
30200239	1		30006:1	100	2016/08/03:2016/08/31	1
30200240	1		30006:1	100	2016/08/03:2016/08/31	1
30200241	1		30006:1	100	2016/08/03:2016/08/31	1
30200242	1		30006:1	100	2016/08/03:2016/08/31	1
30200243	1		30006:1	100	2016/08/03:2016/08/31	1
30200244	1		30006:1	100	2016/08/03:2016/08/31	1
30200245	1		30006:1	100	2016/08/03:2016/08/31	1
30200246	1		30006:1	100	2016/08/03:2016/08/31	1
30200247	1		30006:1	100	2016/08/03:2016/08/31	1
30200248	1		30006:1	100	2016/08/03:2016/08/31	1
30200249	1		30006:1	100	2016/08/03:2016/08/31	1
30200250	1		30006:1	100	2016/08/03:2016/08/31	1
30200251	1		30006:1	100	2016/08/03:2016/08/31	1
30200252	1		30006:1	100	2016/08/03:2016/08/31	1
30200253	1		30006:1	100	2016/08/03:2016/08/31	1
30200254	1		30006:1	100	2016/08/03:2016/08/31	1
30200255	1		30006:1	100	2016/08/03:2016/08/31	1
30200256	1		30006:1	100	2016/08/03:2016/08/31	1
30200257	1		30006:1	100	2016/08/03:2016/08/31	1
30200258	1		30006:1	100	2016/08/03:2016/08/31	1
30200259	1		30006:1	100	2016/08/03:2016/08/31	1
30200260	1		30006:1	100	2016/08/03:2016/08/31	1
30200261	1		30006:1	100	2016/08/03:2016/08/31	1
30200262	1		30006:1	100	2016/08/03:2016/08/31	1
30200263	1		30006:1	100	2016/08/03:2016/08/31	1
30200264	1		30006:1	100	2016/08/03:2016/08/31	1
30200265	1		30006:1	100	2016/08/03:2016/08/31	1
30200266	1		30006:1	100	2016/08/03:2016/08/31	1
30200267	1		30006:1	100	2016/08/03:2016/08/31	1
30200268	1		30006:1	100	2016/08/03:2016/08/31	1
30200269	1		30006:1	100	2016/08/03:2016/08/31	1
30200270	1		30006:1	100	2016/08/03:2016/08/31	1
30200271	1		30006:1	100	2016/08/03:2016/08/31	1
30200272	1		30006:1	100	2016/08/03:2016/08/31	1
30200273	1		30006:1	100	2016/08/03:2016/08/31	1
30200274	1		30006:1	100	2016/08/03:2016/08/31	1
30200275	1		30006:1	100	2016/08/03:2016/08/31	1
30200276	1		30006:1	100	2016/08/03:2016/08/31	1
30200277	1		30006:1	100	2016/08/03:2016/08/31	1
30200278	1		30006:1	100	2016/08/03:2016/08/31	1
30200279	1		30006:1	100	2016/08/03:2016/08/31	1
30200280	1		30006:1	100	2016/08/03:2016/08/31	1
30200281	1		30006:1	100	2016/08/03:2016/08/31	1
30200282	1		30006:1	100	2016/08/03:2016/08/31	1
30200283	1		30006:1	100	2016/08/03:2016/08/31	1
30200284	1		30006:1	100	2016/08/03:2016/08/31	1
30200285	1		30006:1	100	2016/08/03:2016/08/31	1
30200286	1		30006:1	100	2016/08/03:2016/08/31	1
30200287	1		30006:1	100	2016/08/03:2016/08/31	1
30200288	1		30006:1	100	2016/08/03:2016/08/31	1
30200289	1		30006:1	100	2016/08/03:2016/08/31	1
30200290	1		30006:1	100	2016/08/03:2016/08/31	1
30200291	1		30006:1	100	2016/08/03:2016/08/31	1
30200292	1		30006:1	100	2016/08/03:2016/08/31	1
30200293	1		30006:1	100	2016/08/03:2016/08/31	1
30200294	1		30006:1	100	2016/08/03:2016/08/31	1
30200295	1		30006:1	100	2016/08/03:2016/08/31	1
30200296	1		30006:1	100	2016/08/03:2016/08/31	1
30200297	1		30006:1	100	2016/08/03:2016/08/31	1
30200298	1		30006:1	100	2016/08/03:2016/08/31	1
30200299	1		30006:1	100	2016/08/03:2016/08/31	1
30200300	1		30006:1	100	2016/08/03:2016/08/31	1
30200301	1		30006:1	100	2016/08/03:2016/08/31	1
30200302	1		30006:1	100	2016/08/03:2016/08/31	1
30200303	1		30006:1	100	2016/08/03:2016/08/31	1
30200304	1		30006:1	100	2016/08/03:2016/08/31	1
30200305	1		30006:1	100	2016/08/03:2016/08/31	1
30200306	1		30006:1	100	2016/08/03:2016/08/31	1
30200307	1		30006:1	100	2016/08/03:2016/08/31	1
30200308	1		30006:1	100	2016/08/03:2016/08/31	1
30200309	1		30006:1	100	2016/08/03:2016/08/31	1
30200310	1		30006:1	100	2016/08/03:2016/08/31	1
30200311	1		30006:1	100	2016/08/03:2016/08/31	1
30200312	1		30006:1	100	2016/08/03:2016/08/31	1
30200313	1		30006:1	100	2016/08/03:2016/08/31	1
30200314	1		30006:1	100	2016/08/03:2016/08/31	1
30200315	1		30006:1	100	2016/08/03:2016/08/31	1
30200316	1		30006:1	100	2016/08/03:2016/08/31	1
30200317	1		30006:1	100	2016/08/03:2016/08/31	1
30200318	1		30006:1	100	2016/08/03:2016/08/31	1
30200319	1		30006:1	100	2016/08/03:2016/08/31	1
30200320	1		30006:1	100	2016/08/03:2016/08/31	1
30200321	1		30006:1	100	2016/08/03:2016/08/31	1
30200322	1		30006:1	100	2016/08/03:2016/08/31	1
30200323	1		30006:1	100	2016/08/03:2016/08/31	1
30200324	1		30006:1	100	2016/08/03:2016/08/31	1
30200325	1		30006:1	100	2016/08/03:2016/08/31	1
30200326	1		30006:1	100	2016/08/03:2016/08/31	1
30200327	1		30006:1	100	2016/08/03:2016/08/31	1
30200328	1		30006:1	100	2016/08/03:2016/08/31	1
30200329	1		30006:1	100	2016/08/03:2016/08/31	1
30200330	1		30006:1	100	2016/08/03:2016/08/31	1
30200331	1		30006:1	100	2016/08/03:2016/08/31	1
30200332	1		30006:1	100	2016/08/03:2016/08/31	1
30200333	1		30006:1	100	2016/08/03:2016/08/31	1
30200334	1		30006:1	100	2016/08/03:2016/08/31	1
30200335	1		30006:1	100	2016/08/03:2016/08/31	1
30200336	1		30006:1	100	2016/08/03:2016/08/31	1
30200337	1		30006:1	100	2016/08/03:2016/08/31	1
30200338	1		30006:1	100	2016/08/03:2016/08/31	1
30200339	1		30006:1	100	2016/08/03:2016/08/31	1
30200340	1		30006:1	100	2016/08/03:2016/08/31	1
30200341	1		30006:1	100	2016/08/03:2016/08/31	1
30200342	1		30006:1	100	2016/08/03:2016/08/31	1
30200343	1		30006:1	100	2016/08/03:2016/08/31	1
30200344	1		30006:1	100	2016/08/03:2016/08/31	1
30200345	1		30006:1	100	2016/08/03:2016/08/31	1
30200346	1		30006:1	100	2016/08/03:2016/08/31	1
30200347	1		30006:1	100	2016/08/03:2016/08/31	1
30200348	1		30006:1	100	2016/08/03:2016/08/31	1
30200349	1		30006:1	100	2016/08/03:2016/08/31	1
30200350	1		30006:1	100	2016/08/03:2016/08/31	1
30200351	1		30006:1	100	2016/08/03:2016/08/31	1
30200352	1		30006:1	100	2016/08/03:2016/08/31	1
30200353	1		30006:1	100	2016/08/03:2016/08/31	1
30200354	1		30006:1	100	2016/08/03:2016/08/31	1
30200355	1		30006:1	100	2016/08/03:2016/08/31	1
30200356	1		30006:1	100	2016/08/03:2016/08/31	1
30200357	1		30006:1	100	2016/08/03:2016/08/31	1
30200358	1		30006:1	100	2016/08/03:2016/08/31	1
30200359	1		30006:1	100	2016/08/03:2016/08/31	1
30200360	1		30006:1	100	2016/08/03:2016/08/31	1
30200361	1		30006:1	100	2016/08/03:2016/08/31	1
30200362	1		30006:1	100	2016/08/03:2016/08/31	1
30200363	1		30006:1	100	2016/08/03:2016/08/31	1
30200364	1		30006:1	100	2016/08/03:2016/08/31	1
30200365	1		30006:1	100	2016/08/03:2016/08/31	1
30200366	1		30006:1	100	2016/08/03:2016/08/31	1
30200367	1		30006:1	100	2016/08/03:2016/08/31	1
30200368	1		30006:1	100	2016/08/03:2016/08/31	1
30200369	1		30006:1	100	2016/08/03:2016/08/31	1
30200370	1		30006:1	100	2016/08/03:2016/08/31	1
30200371	1		30006:1	100	2016/08/03:2016/08/31	1
30200372	1		30006:1	100	2016/08/03:2016/08/31	1
30200373	1		30006:1	100	2016/08/03:2016/08/31	1
30200374	1		30006:1	100	2016/08/03:2016/08/31	1
30200375	1		30006:1	100	2016/08/03:2016/08/31	1
30200376	1		30006:1	100	2016/08/03:2016/08/31	1
30200377	1		30006:1	100	2016/08/03:2016/08/31	1
30200378	1		30006:1	100	2016/08/03:2016/08/31	1
30200379	1		30006:1	100	2016/08/03:2016/08/31	1
30200380	1		30006:1	100	2016/08/03:2016/08/31	1
30200381	1		30006:1	100	2016/08/03:2016/08/31	1
30200382	1		30006:1	100	2016/08/03:2016/08/31	1
30200383	1		30006:1	100	2016/08/03:2016/08/31	1
30200384	1		30006:1	100	2016/08/03:2016/08/31	1
30200385	1		30006:1	100	2016/08/03:2016/08/31	1
30200386	1		30006:1	100	2016/08/03:2016/08/31	1
30200387	1		30006:1	100	2016/08/03:2016/08/31	1
30200388	1		30006:1	100	2016/08/03:2016/08/31	1
30200389	1		30006:1	100	2016/08/03:2016/08/31	1
30200390	1		30006:1	100	2016/08/03:2016/08/31	1
30200391	1		30006:1	100	2016/08/03:2016/08/31	1
30200392	1		30006:1	100	2016/08/03:2016/08/31	1
30200393	1		30006:1	100	2016/08/03:2016/08/31	1
30200394	1		30006:1	100	2016/08/03:2016/08/31	1
30200395	1		30006:1	100	2016/08/03:2016/08/31	1
30200396	1		30006:1	100	2016/08/03:2016/08/31	1
30200397	1		30006:1	100	2016/08/03:2016/08/31	1
30200398	1		30006:1	100	2016/08/03:2016/08/31	1
30200399	1		30006:1	100	2016/08/03:2016/08/31	1
30200400	1		30006:1	100	2016/08/03:2016/08/31	1
30200401	1		30006:1	100	2016/08/03:2016/08/31	1
30200402	1		30006:1	100	2016/08/03:2016/08/31	1
30200403	1		30006:1	100	2016/08/03:2016/08/31	1
30200404	1		30006:1	100	2016/08/03:2016/08/31	1
30200405	1		30006:1	100	2016/08/03:2016/08/31	1
30200406	1		30006:1	100	2016/08/03:2016/08/31	1
30200407	1		30006:1	100	2016/08/03:2016/08/31	1
30200408	1		30006:1	100	2016/08/03:2016/08/31	1
30200409	1		30006:1	100	2016/08/03:2016/08/31	1
30200410	1		30006:1	100	2016/08/03:2016/08/31	1
30200411	1		30006:1	100	2016/08/03:2016/08/31	1
30200412	1		30006:1	100	2016/08/03:2016/08/31	1
30200413	1		30006:1	100	2016/08/03:2016/08/31	1
30200414	1		30006:1	100	2016/08/03:2016/08/31	1
30200415	1		30006:1	100	2016/08/03:2016/08/31	1
30200416	1		30006:1	100	2016/08/03:2016/08/31	1
30200417	1		30006:1	100	2016/08/03:2016/08/31	1
30200418	1		30006:1	100	2016/08/03:2016/08/31	1
30200419	1		30006:1	100	2016/08/03:2016/08/31	1
30200420	1		30006:1	100	2016/08/03:2016/08/31	1
30200421	1		30006:1	100	2016/08/03:2016/08/31	1
30200422	1		30006:1	100	2016/08/03:2016/08/31	1
30200423	1		30006:1	100	2016/08/03:2016/08/31	1
30200424	1		30006:1	100	2016/08/03:2016/08/31	1
30200425	1		30006:1	100	2016/08/03:2016/08/31	1
30200426	1		30006:1	100	2016/08/03:2016/08/31	1
30200427	1		30006:1	100	2016/08/03:2016/08/31	1
30200428	1		30006:1	100	2016/08/03:2016/08/31	1
30200429	1		30006:1	100	2016/08/03:2016/08/31	1
30200430	1		30006:1	100	2016/08/03:2016/08/31	1
30200431	1		30006:1	100	2016/08/03:2016/08/31	1
30200432	1		30006:1	100	2016/08/03:2016/08/31	1
30200433	1		30006:1	100	2016/08/03:2016/08/31	1
30200434	1		30006:1	100	2016/08/03:2016/08/31	1
30200435	1		30006:1	100	2016/08/03:2016/08/31	1
30200436	1		30006:1	100	2016/08/03:2016/08/31	1
30200437	1		30006:1	100	2016/08/03:2016/08/31	1
30200438	1		30006:1	100	2016/08/03:2016/08/31	1
30200439	1		30006:1	100	2016/08/03:2016/08/31	1
30200440	1		30006:1	100	2016/08/03:2016/08/31	1
30200441	1		30006:1	100	2016/08/03:2016/08/31	1
30200442	1		30006:1	100	2016/08/03:2016/08/31	1
30200443	1		30006:1	100	2016/08/03:2016/08/31	1
30200444	1		30006:1	100	2016/08/03:2016/08/31	1
30200445	1		30006:1	100	2016/08/03:2016/08/31	1
30200446	1		30006:1	100	2016/08/03:2016/08/31	1
30200447	1		30006:1	100	2016/08/03:2016/08/31	1
30200448	1		30006:1	100	2016/08/03:2016/08/31	1
30200449	1		30006:1	100	2016/08/03:2016/08/31	1
30200450	1		30006:1	100	2016/08/03:2016/08/31	1
30200451	1		30006:1	100	2016/08/03:2016/08/31	1
30200452	1		30006:1	100	2016/08/03:2016/08/31	1
30200453	1		30006:1	100	2016/08/03:2016/08/31	1
30200454	1		30006:1	100	2016/08/03:2016/08/31	1
30200455	1		30006:1	100	2016/08/03:2016/08/31	1
30200456	1		30006:1	100	2016/08/03:2016/08/31	1
30200457	1		30006:1	100	2016/08/03:2016/08/31	1
30200458	1		30006:1	100	2016/08/03:2016/08/31	1
30200459	1		30006:1	100	2016/08/03:2016/08/31	1
30200460	1		30006:1	100	2016/08/03:2016/08/31	1
30200461	1		30006:1	100	2016/08/03:2016/08/31	1
30200462	1		30006:1	100	2016/08/03:2016/08/31	1
30200463	1		30006:1	100	2016/08/03:2016/08/31	1
30200464	1		30006:1	100	2016/08/03:2016/08/31	1
30200465	1		30006:1	100	2016/08/03:2016/08/31	1
30200466	1		30006:1	100	2016/08/03:2016/08/31	1
30200467	1		30006:1	100	2016/08/03:2016/08/31	1
30200468	1		30006:1	100	2016/08/03:2016/08/31	1
30200469	1		30006:1	100	2016/08/03:2016/08/31	1
30200470	1		30006:1	100	2016/08/03:2016/08/31	1
30200471	1		30006:1	100	2016/08/03:2016/08/31	1
30200472	1		30006:1	100	2016/08/03:2016/08/31	1
30200473	1		30006:1	100	2016/08/03:2016/08/31	1
