编号	魔力珠名称	生命固定值	生命百分比（基础）	生命百分比（最终）	物攻固定值	物攻百分比（基础）	物攻百分比（最终）	魔攻固定值	魔攻百分比（基础）	魔攻百分比（最终）	物防固定值	物防百分比（基础）	物防百分比（最终）	魔防固定值	魔防百分比（基础）	魔防百分比（最终）	物暴固定值	物暴百分比（基础）	物暴百分比（最终）	魔暴固定值	魔暴百分比（基础）	魔暴百分比（最终）	命中固定值	命中百分比（基础）	命中百分比（最终）	格挡固定值	格挡百分比（基础）	格挡百分比（最终）	物理暴抗固定值	物理暴抗百分比（基础）	物理暴抗百分比（最终）	魔法暴抗固定值	魔法暴抗百分比（基础）	魔法暴抗百分比（最终）	是否可全队享受	特殊类功能	特殊功能所需参数	魔能珠构成	效能提升次数	效能提升成长率	注魔次数	时限	次限	逝魔后获得的魔力残骸数量	生效限制	显示描述
87500053	真理之威·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,5,8,11"	9	5	0	0	0	100	3	魔法暴击+%d%%（基础值）。
87100054	无畏之拒·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	"1,4,6"	9	5	2	0	0	10	3	物理暴击抵抗+%d%%（基础值）。
87400055	无畏之拒·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	"1,5,6,11"	9	5	1	0	0	50	3	物理暴击抵抗+%d%%（基础值）。
87500056	无畏之拒·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	"1,2,6,7,11"	9	5	0	0	0	100	3	物理暴击抵抗+%d%%（基础值）。
87100057	圣护之风·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	"1,4,7"	9	5	2	0	0	10	3	魔法暴击抵抗+%d%%（基础值）。
87400058	圣护之风·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	"1,7,9,10"	9	5	1	0	0	50	3	魔法暴击抵抗+%d%%（基础值）。
87500059	圣护之风·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	"1,2,6,8,11"	9	5	0	0	0	100	3	魔法暴击抵抗+%d%%（基础值）。
87100060	神灵庇佑·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	"1,4,8"	9	5	2	0	0	10	3	格挡率+%d%%（基础值）。
87400061	神灵庇佑·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	"1,7,9,11"	9	5	1	0	0	50	3	格挡率+%d%%（基础值）。
87500062	神灵庇佑·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	"1,2,7,9,11"	9	5	0	0	0	100	3	格挡率+%d%%（基础值）。
87100063	天帝之眼·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,4,9"	9	5	2	0	0	10	3	命中率+%d%%（基础值）。
87400064	天帝之眼·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,6,7,10"	9	5	1	0	0	50	3	命中率+%d%%（基础值）。
87500065	天帝之眼·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,8,9,11"	9	5	0	0	0	100	3	命中率+%d%%（基础值）。
87101066	招财进宝·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	100	"1,11,11"	0	0	2	0	1	10	1	极限挑战时，结算金币+100%。
87201067	招财进宝·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	200	"1,6,7,11"	0	0	1	0	1	20	1	极限挑战时，结算金币+200%。
87401068	招财进宝·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	300	"1,3,4,5,10"	0	0	0	0	1	50	1	极限挑战时，结算金币+300%。
87501069	招财进宝·极大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	400	0	0	0	0	0	1	100	1	极限挑战时，结算金币+400%。
87201070	财源广进·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	100	"2,3,7,9"	0	0	1	0	2	20	1	极限挑战时，结算金币+100%。
87401071	财源广进·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	200	0	0	0	0	0	2	50	1	极限挑战时，结算金币+200%。
87501072	财源广进·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	300	0	0	0	0	0	2	100	1	极限挑战时，结算金币+300%。
87201073	财源滚滚·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	100	"2,3,7,10"	0	0	1	0	5	20	1	极限挑战时，结算金币+100%。
87401074	财源滚滚·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	200	0	0	0	0	0	5	50	1	极限挑战时，结算金币+200%。
87501075	财源滚滚·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	300	0	0	0	0	0	5	100	1	极限挑战时，结算金币+300%。
87211076	地狱军团·小	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,4,7,9"	9	3	0	0	0	20	1	全队物理攻击力+%d%%（基础值）。
87411077	地狱军团·中	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,2,3,5,9"	9	4	0	0	0	50	1	全队物理攻击力+%d%%（基础值）。
87511078	地狱军团·大	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队物理攻击力+%d%%（基础值）。
87211079	要塞守护·小	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,2,3,12"	9	3	1	0	0	20	1	全队物理防御力+%d%%（基础值）。
87411080	要塞守护·中	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,4,7,10"	9	4	0	0	0	50	1	全队物理防御力+%d%%（基础值）。
87511081	要塞守护·大	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队物理防御力+%d%%（基础值）。
87211082	杀神之界·小	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,4,9,10"	9	3	0	0	0	20	1	全队魔法攻击力+%d%%（基础值）。
87411083	杀神之界·中	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,2,3,5,12"	9	4	0	0	0	50	1	全队魔法攻击力+%d%%（基础值）。
87511084	杀神之界·大	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队魔法攻击力+%d%%（基础值）。
87211085	魔法克星·小	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,2,3,4"	9	3	1	0	0	20	1	全队魔法防御力+%d%%（基础值）。
87411086	魔法克星·中	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,7,9,10"	9	4	0	0	0	50	1	全队魔法防御力+%d%%（基础值）。
87511087	魔法克星·大	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队魔法防御力+%d%%（基础值）。
87211088	世界树之泪·小	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,2,3,6"	9	3	1	0	0	20	1	全队生命上限+%d%%（基础值）。
87411089	世界树之泪·中	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,7,9,11"	9	4	0	0	0	50	1	全队生命上限+%d%%（基础值）。
87511090	世界树之泪·大	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队生命上限+%d%%（基础值）。
87211091	全副武装·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,4,12"	9	3	1	0	0	20	1	全队物理暴击率+%d%%（基础值）。
87411092	全副武装·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,4,5,6,8"	9	4	0	0	0	50	1	全队物理暴击率+%d%%（基础值）。
87511093	全副武装·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队物理暴击率+%d%%（基础值）。
87211094	伟大真知之书·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,3,4,6"	9	3	1	0	0	20	1	全队魔法暴击率+%d%%（基础值）。
87411095	伟大真知之书·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"1,4,5,6,10"	9	4	0	0	0	50	1	全队魔法暴击率+%d%%（基础值）。
87511096	伟大真知之书·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队魔法暴击率+%d%%（基础值）。
87211097	古神守护·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	"1,4,5,12"	9	3	1	0	0	20	1	全队物理暴击抵抗+%d%%（基础值）。
87411098	古神守护·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	"1,4,5,8,10"	9	4	0	0	0	50	1	全队物理暴击抵抗+%d%%（基础值）。
87511099	古神守护·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队物理暴击抵抗+%d%%（基础值）。
87211100	巫灵魔咒·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	"2,3,4,5"	9	3	1	0	0	20	1	全队魔法暴击抵抗+%d%%（基础值）。
87411101	巫灵魔咒·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	"1,4,6,7,10"	9	4	0	0	0	50	1	全队魔法暴击抵抗+%d%%（基础值）。
87511102	巫灵魔咒·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	9	7	0	0	0	100	1	全队魔法暴击抵抗+%d%%（基础值）。
87211103	斗转星移·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	"2,3,5,6"	9	3	1	0	0	20	1	全队格挡率+%d%%（基础值）。
87411104	斗转星移·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	"1,4,6,8,10"	9	4	0	0	0	50	1	全队格挡率+%d%%（基础值）。
87511105	斗转星移·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	0	9	7	0	0	0	100	1	全队格挡率+%d%%（基础值）。
