表ID	层数	怪物群	奖励内容	掉落金币	地图BUFF	地图特效	场景资源	怪物数量
114	15	301501;301502;301505;	4{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;}	100	0	0	0	5
115	16	301601;301602;		100	0	0	0	5
116	17	301701;		100	0	0	0	5
117	18	301801;301802;		100	0	0	0	5
118	19	301901;301902;		100	0	0	0	5
119	20	302001;302002;302005;	3{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;}1{51101000:1:1;51111000:1:1;51121000:1:1;51131000:1:1;51201000:1:1;51211000:1:1;51221000:1:1;51301000:1:1;51311000:1:1;51321000:1:1;51401000:1:1;51411000:1:1;51231000:1:1;51431000:1:1;}	100	0	0	0	5
120	21	302101;302102;		100	0	0	0	5
121	22	302201;		100	0	0	0	5
122	23	302301;302302;		100	0	0	0	5
123	24	302401;302402;		100	0	0	0	5
124	25	302501;302502;302505;	4{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;}	100	0	0	0	5
125	26	302601;302602;		100	0	0	0	5
126	27	302701;		100	0	0	0	5
127	28	302801;302802;		100	0	0	0	5
128	29	302901;302902;		100	0	0	0	5
129	30	303001;303002;303005;	3{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;}1{52101000:1:1;52111000:1:1;52121000:1:1;52131000:1:1;52201000:1:1;52211000:1:1;52221000:1:1;52301000:1:1;52311000:1:1;52321000:1:1;52401000:1:1;52411000:1:1;52231000:1:1;52431000:1:1;}	100	0	0	0	5
130	31	303101;303102;		100	0	0	0	5
131	32	303201;		100	0	0	0	5
132	33	303301;303302;		100	0	0	0	5
133	34	303401;303402;		100	0	0	0	5
134	35	303501;303502;303505;	4{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;}	100	0	0	0	5
135	36	303601;303602;		100	0	0	0	5
136	37	303701;		100	0	0	0	5
137	38	303801;303802;		100	0	0	0	5
138	39	303901;303902;		100	0	0	0	5
139	40	304001;304002;304005;	3{61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;}1{52101000:1:1;52111000:1:1;52121000:1:1;52131000:1:1;52201000:1:1;52211000:1:1;52221000:1:1;52301000:1:1;52311000:1:1;52321000:1:1;52401000:1:1;52411000:1:1;52231000:1:1;52431000:1:1;}	100	0	0	0	5
140	41	304101;304102;		100	0	0	0	5
141	42	304201;		100	0	0	0	5
142	43	304301;304302;		100	0	0	0	5
143	44	304401;304402;		100	0	0	0	5
144	45	304501;304502;304505;	4{61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;}	100	0	0	0	5
145	46	304601;304602;		100	0	0	0	5
146	47	304701;		100	0	0	0	5
147	48	304801;304802;		100	0	0	0	5
148	49	304901;304902;		100	0	0	0	5
149	50	305001;305002;305005;	3{61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;}1{52101000:1:1;52111000:1:1;52121000:1:1;52131000:1:1;52201000:1:1;52211000:1:1;52221000:1:1;52301000:1:1;52311000:1:1;52321000:1:1;52401000:1:1;52411000:1:1;53101000:1:1;53111000:1:1;53121000:1:1;53131000:1:1;53201000:1:1;53211000:1:1;53221000:1:1;53301000:1:1;53311000:1:1;53321000:1:1;53401000:1:1;53411000:1:1;52231000:1:1;53231000:1:1;52431000:1:1;53431000:1:1;}	100	0	0	0	5
150	51	305101;305102;		100	0	0	0	5
151	52	305201;		100	0	0	0	5
152	53	305301;305302;		100	0	0	0	5
153	54	305401;305402;		100	0	0	0	5
154	55	305501;305502;305505;	4{61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;}	100	0	0	0	5
155	56	305601;305602;		100	0	0	0	5
156	57	305701;		100	0	0	0	5
157	58	305801;305802;		100	0	0	0	5
158	59	305901;305902;		100	0	0	0	5
159	60	306001;306002;306005;	3{61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;}1{52101000:1:1;52111000:1:1;52121000:1:1;52131000:1:1;52201000:1:1;52211000:1:1;52221000:1:1;52301000:1:1;52311000:1:1;52321000:1:1;52401000:1:1;52411000:1:1;53101000:1:1;53111000:1:1;53121000:1:1;53131000:1:1;53201000:1:1;53211000:1:1;53221000:1:1;53301000:1:1;53311000:1:1;53321000:1:1;53401000:1:1;53411000:1:1;52231000:1:1;53231000:1:1;52431000:1:1;53431000:1:1;}	100	0	0	0	5
160	61	306101;306102;		100	0	0	0	5
161	62	306201;		100	0	0	0	5
162	63	306301;306302;		100	0	0	0	5
163	64	306401;306402;		100	0	0	0	5
164	65	306501;306502;306505;	4{61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;}	100	0	0	0	5
165	66	306601;306602;		100	0	0	0	5
166	67	306701;		100	0	0	0	5
167	68	306801;306802;		100	0	0	0	5
168	69	306901;306902;		100	0	0	0	5
169	70	307001;307002;307005;	3{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}1{53101000:1:1;53111000:1:1;53121000:1:1;53131000:1:1;53201000:1:1;53211000:1:1;53221000:1:1;53301000:1:1;53311000:1:1;53321000:1:1;53401000:1:1;53411000:1:1;54101000:1:1;54111000:1:1;54121000:1:1;54131000:1:1;54201000:1:1;54211000:1:1;54221000:1:1;54301000:1:1;54311000:1:1;54321000:1:1;54401000:1:1;54411000:1:1;53231000:1:1;54231000:1:1;53431000:1:1;54431000:1:1;}	100	0	0	0	5
170	71	307101;307102;		100	0	0	0	5
171	72	307201;		100	0	0	0	5
172	73	307301;307302;		100	0	0	0	5
173	74	307401;307402;		100	0	0	0	5
174	75	307501;307502;307505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
175	76	307601;307602;		100	0	0	0	5
176	77	307701;		100	0	0	0	5
177	78	307801;307802;		100	0	0	0	5
178	79	307901;307902;		100	0	0	0	5
179	80	308001;308002;308005;	3{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}1{53101000:1:1;53111000:1:1;53121000:1:1;53131000:1:1;53201000:1:1;53211000:1:1;53221000:1:1;53301000:1:1;53311000:1:1;53321000:1:1;53401000:1:1;53411000:1:1;54101000:1:1;54111000:1:1;54121000:1:1;54131000:1:1;54201000:1:1;54211000:1:1;54221000:1:1;54301000:1:1;54311000:1:1;54321000:1:1;54401000:1:1;54411000:1:1;53231000:1:1;54231000:1:1;53431000:1:1;54431000:1:1;}	100	0	0	0	5
180	81	308101;308102;		100	0	0	0	5
181	82	308201;		100	0	0	0	5
182	83	308301;308302;		100	0	0	0	5
183	84	308401;308402;		100	0	0	0	5
184	85	308501;308502;308505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
185	86	308601;308602;		100	0	0	0	5
186	87	308701;		100	0	0	0	5
187	88	308801;308802;		100	0	0	0	5
188	89	308901;308902;		100	0	0	0	5
189	90	309001;309002;309005;	3{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}1{54101000:1:1;54111000:1:1;54121000:1:1;54131000:1:1;54201000:1:1;54211000:1:1;54221000:1:1;54301000:1:1;54311000:1:1;54321000:1:1;54401000:1:1;54411000:1:1;55101000:1:1;55111000:1:1;55121000:1:1;55131000:1:1;55201000:1:1;55211000:1:1;55221000:1:1;55301000:1:1;55311000:1:1;55321000:1:1;55401000:1:1;55411000:1:1;54231000:1:1;55231000:1:1;54431000:1:1;55431000:1:1;}	100	0	0	0	5
190	91	309101;309102;		100	0	0	0	5
191	92	309201;		100	0	0	0	5
192	93	309301;309302;		100	0	0	0	5
193	94	309401;309402;		100	0	0	0	5
194	95	309501;309502;309505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
195	96	309601;309602;		100	0	0	0	5
196	97	309701;		100	0	0	0	5
197	98	309801;309802;		100	0	0	0	5
198	99	309901;309902;		100	0	0	0	5
199	100	310001;310002;310005;	3{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}1{54101000:1:1;54111000:1:1;54121000:1:1;54131000:1:1;54201000:1:1;54211000:1:1;54221000:1:1;54301000:1:1;54311000:1:1;54321000:1:1;54401000:1:1;54411000:1:1;55101000:1:1;55111000:1:1;55121000:1:1;55131000:1:1;55201000:1:1;55211000:1:1;55221000:1:1;55301000:1:1;55311000:1:1;55321000:1:1;55401000:1:1;55411000:1:1;54231000:1:1;55231000:1:1;54431000:1:1;55431000:1:1;}	100	0	0	0	5
200	101	310101;310102;		100	0	0	0	5
201	102	310201;		100	0	0	0	5
202	103	310301;310302;		100	0	0	0	5
203	104	310401;310402;		100	0	0	0	5
204	105	310501;310502;310505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
205	106	310601;310602;		100	0	0	0	5
206	107	310701;		100	0	0	0	5
207	108	310801;310802;		100	0	0	0	5
208	109	310901;310902;		100	0	0	0	5
209	110	311001;311002;311005;	3{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}1{55101000:1:1;55111000:1:1;55121000:1:1;55131000:1:1;55201000:1:1;55211000:1:1;55221000:1:1;55301000:1:1;55311000:1:1;55321000:1:1;55401000:1:1;55411000:1:1;56101000:1:1;56111000:1:1;56121000:1:1;56131000:1:1;56201000:1:1;56211000:1:1;56221000:1:1;56301000:1:1;56311000:1:1;56321000:1:1;56401000:1:1;56411000:1:1;54231000:1:1;55231000:1:1;54431000:1:1;55431000:1:1;}	100	0	0	0	5
210	111	311101;311102;		100	0	0	0	5
211	112	311201;		100	0	0	0	5
212	113	311301;311302;		100	0	0	0	5
213	114	311401;311402;		100	0	0	0	5
214	115	311501;311502;311505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
215	116	311601;311602;		100	0	0	0	5
216	117	311701;		100	0	0	0	5
217	118	311801;311802;		100	0	0	0	5
218	119	311901;311902;		100	0	0	0	5
219	120	312001;312002;312005;	3{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}1{55101000:1:1;55111000:1:1;55121000:1:1;55131000:1:1;55201000:1:1;55211000:1:1;55221000:1:1;55301000:1:1;55311000:1:1;55321000:1:1;55401000:1:1;55411000:1:1;56101000:1:1;56111000:1:1;56121000:1:1;56131000:1:1;56201000:1:1;56211000:1:1;56221000:1:1;56301000:1:1;56311000:1:1;56321000:1:1;56401000:1:1;56411000:1:1;55231000:1:1;56231000:1:1;55431000:1:1;56431000:1:1;}	100	0	0	0	5
220	121	312101;312102;		100	0	0	0	5
221	122	312201;		100	0	0	0	5
222	123	312301;312302;		100	0	0	0	5
223	124	312401;312402;		100	0	0	0	5
224	125	312501;312502;312505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
225	126	312601;312602;		100	0	0	0	5
226	127	312701;		100	0	0	0	5
227	128	312801;312802;		100	0	0	0	5
228	129	312901;312902;		100	0	0	0	5
229	130	313001;313002;313005;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
230	131	313101;313102;		100	0	0	0	5
231	132	313201;		100	0	0	0	5
232	133	313301;313302;		100	0	0	0	5
233	134	313401;313402;		100	0	0	0	5
234	135	313501;313502;313505;	4{62000001:1:1;62000002:1:1;62000003:1:1;62000004:1:1;62000005:1:1;62000006:1:1;62000007:1:1;62000008:1:1;62000009:1:1;62000010:1:1;62000001:2:1;62000002:2:1;62000003:2:1;62000004:2:1;62000005:2:1;62000006:2:1;62000007:2:1;62000008:2:1;62000009:2:1;62000010:2:1;64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;}	100	0	0	0	5
235	136	313601;313602;		100	0	0	0	5
236	137	313701;		100	0	0	0	5
237	138	313801;313802;		100	0	0	0	5
238	139	313901;313902;		100	0	0	0	5
239	140	314001;314002;314005;	4{64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;64000001:2:1;64000002:2:1;64000003:2:1;64000004:2:1;64000005:2:1;64000006:2:1;64000007:2:1;64000008:2:1;64000009:2:1;64000010:2:1;64000011:2:1;64000012:2:1;65000001:1:1;65000002:1:1;65000003:1:1;65000004:1:1;65000005:1:1;65000006:1:1;65000007:1:1;65000008:1:1;65000009:1:1;65000010:1:1;}	100	0	0	0	5
240	141	314101;314102;		100	0	0	0	5
241	142	314201;		100	0	0	0	5
242	143	314301;314302;		100	0	0	0	5
243	144	314401;314402;		100	0	0	0	5
244	145	314501;314502;314505;	4{64000001:1:1;64000002:1:1;64000003:1:1;64000004:1:1;64000005:1:1;64000006:1:1;64000007:1:1;64000008:1:1;64000009:1:1;64000010:1:1;64000011:1:1;64000012:1:1;64000001:2:1;64000002:2:1;64000003:2:1;64000004:2:1;64000005:2:1;64000006:2:1;64000007:2:1;64000008:2:1;64000009:2:1;64000010:2:1;64000011:2:1;64000012:2:1;65000001:1:1;65000002:1:1;65000003:1:1;65000004:1:1;65000005:1:1;65000006:1:1;65000007:1:1;65000008:1:1;65000009:1:1;65000010:1:1;}	100	0	0	0	5
245	146	314601;314602;		100	0	0	0	5
246	147	314701;		100	0	0	0	5
