卡牌的ID	卡牌名称	卡牌资源	卡牌头像资源	战斗资源	初始等级	等级上限	突破次数	突破效果	品质	职业	资质	说明	操作者	所属俱乐部	出售价格	吞噬经验	等级成长	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	闪避率	物理暴击	魔法暴击	格挡率	格挡值	命中率	生命值成长率	物理攻击成长率	物理防御成长率	魔法攻击成长率	魔法防御成长率	物理抗暴击成长率	魔法抗暴击成长率	闪避率成长率	物理暴击成长率	魔法暴击成长率	格挡率成长率	格挡值成长率	命中率成长率	AI普攻	技能1	技能2	技能3	技能4	普通攻击权重	技能1权重	技能2权重	技能3权重	功能4	围绕最小距离	围绕最大距离	AI配置	起身技能概率	反击技能概率	速度	魔法值	魔法成长率	躲闪	按键普攻
31304	白如霜	bRQY.png	card_bRQY.png	1001	1	40	3	10	3	13	4	0	1100	0	100	200	200	3401	143	163	286	217	179	179	500	161	161	460	8000	179	485	20	24	41	32	26	26	0	23	23	66	0	26	40000013	3:30121000:1	15:30122000:2	0	0	100	100	200	0	0	100	150	30011	0	0	400	200	0	50000013	30000013
31002	河木	bLM.png	card_bLM.png	1001	1	40	3	10	3	10	5	0	1100	0	100	250	250	3938	394	197	0	197	193	193	500	201	0	516	8000	197	563	56	28	0	28	27	27	0	29	0	73	0	28	40000010	3:30131000:1	15:30132000:2	0	0	100	100	200	0	0	100	150	30141	0	0	400	200	0	50000010	30000010
31008	岚溪	bLH.png	card_bLH.png	3015	1	40	5	10	3	10	5	0	1100	0	100	250	250	4332	374	197	0	197	207	207	501	197	0	506	8000	197	619	53	28	0	28	29	29	0	28	0	72	0	28	40520010	15:30521000:1	20:30522000:2	80:30523000:3	0	100	100	200	0	0	100	150	30151	0	0	400	200	0	50520010	30520010
41003	天罡剑	pXCJ.png	card_pXCJ.png	1001	1	50	5	10	4	10	6	0	1100	0	100	300	300	3869	360	197	0	197	193	193	500	203	0	507	8000	193	484	45	24	0	24	24	24	0	25	0	63	0	24	40000010	6:30001001:1	15:30002001:2	25:30003001:3	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000010	30000010
51005	寂寞无言	oYYSF.png	card_oYYSF.png	3014	1	60	5	10	5	10	12	0	1100	0	100	600	600	5956	596	304	0	304	292	292	500	310	0	797	8000	298	662	66	34	0	34	32	32	0	34	0	88	0	33	40330010	1:30331000:1	15:30332000:2	25:30333000:3	0	100	100	200	300	0	100	150	30141	0	0	400	200	0	50330010	30330010
51006	潭剑	oFDJ.png	card_oFDJ.png	3006	1	60	5	10	5	10	10	0	1100	0	100	500	500	5718	561	292	0	292	286	286	500	286	0	764	8000	286	635	63	33	0	33	32	32	0	32	0	85	0	32	40034010	1:30341000:1	15:30342000:2	30:30343000:3	0	100	100	200	300	0	100	150	30061	0	0	400	200	0	50034010	30034010
21302	伤怨刀	gLHJ.png	card_gLHJ.png	1001	1	30	0	10	2	13	2	0	1100	0	100	100	100	3000	123	142	245	190	158	158	500	149	149	406	8000	158	428	17	21	35	28	23	23	0	22	22	58	0	23	40000013	4:30051000:1	15:30052000:2	0	0	100	100	200	0	0	100	150	30011	0	0	400	200	0	50000013	30000013
21102	蓝狂	gXF.png	card_gXF.png	1001	1	30	0	10	2	11	3	0	1100	0	100	150	150	3745	354	153	0	153	165	165	500	195	0	536	8000	174	535	51	22	0	22	24	24	0	28	0	77	0	25	40000011	4:30091000:1	15:30092000:2	0	0	100	100	200	0	0	100	150	30011	0	0	400	200	0	50000011	30000011
41103	又眠一冬	pZSYX.png	card_pZSYX.png	3012	1	50	5	10	4	11	8	0	1100	0	100	400	400	5247	506	214	0	214	231	231	500	267	0	751	8000	255	655	63	26	0	26	29	29	0	33	0	94	0	32	40027011	5:30271000:1	20:30272000:2	35:30273000:3	0	100	100	200	300	0	100	150	30121	0	0	400	200	0	50027011	30027011
41104	踏破星辰	pZLL.png	card_pZLL.png	1001	1	50	5	10	4	11	9	0	1100	0	100	450	450	5643	493	233	0	233	238	238	500	276	0	776	8000	251	706	62	29	0	29	29	29	0	34	0	97	0	31	40000011	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000011	30000011
41203	神雕	pGK.png	card_pGK.png	3010	1	50	5	10	4	12	6	0	1100	0	100	300	300	3676	349	214	202	214	193	193	500	182	182	497	8000	199	460	43	27	25	27	24	24	0	23	23	62	0	25	40016012	6:30161000:1	15:30162000:2	35:30163000:3	0	100	100	200	300	0	100	150	30101	0	0	400	200	0	50016012	30016012
41204	四君子	pSJZ.png	card_pSJZ.png	1001	1	50	5	10	4	12	7	0	1100	0	100	350	350	4343	434	252	251	252	229	229	500	206	206	600	8000	229	543	54	32	31	32	29	29	0	26	26	74	0	29	40000012	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000012	30000012
41205	思发银	pYCH.png	card_pYCH.png	1001	1	50	5	10	4	12	9	0	1100	0	100	450	450	4778	478	276	282	276	248	256	500	226	226	647	8000	259	598	60	34	35	34	31	32	0	28	28	81	0	32	40000012	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000012	30000012
51206	哭神破天	oFSGQ.png	card_oFSGQ.png	1001	1	60	5	10	5	12	11	0	1100	0	100	550	550	5434	566	318	328	318	292	292	500	263	263	750	8000	307	604	63	35	36	35	32	32	0	29	29	83	0	34	40000012	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000012	30000012
21303	银白色	gHHS.png	card_gHHS.png	1001	1	30	0	10	2	13	2	0	1100	0	100	100	100	2940	120	142	240	190	158	158	500	149	149	406	8000	166	420	17	21	34	28	23	23	0	22	22	58	0	24	40000013	4:30061000:1	15:30062000:2	0	0	100	100	200	0	0	100	150	30011	0	0	400	200	0	50000013	30000013
41305	昼无明月	pAWTR.png	card_pAWTR.png	1001	1	50	5	10	4	13	6	0	1100	0	100	300	300	3676	155	174	310	232	193	193	500	174	174	507	8000	193	460	19	22	38	29	24	24	0	22	22	63	0	24	40000013	6:30001001:1	15:30002001:2	25:30003001:3	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000013	30000013
41306	梅米特	pHLS.png	card_pHLS.png	3021	1	50	5	10	4	13	6	0	1100	0	100	300	300	3676	147	174	294	232	193	193	500	182	182	497	8000	193	460	18	22	36	29	24	24	0	23	23	62	0	24	40000999	11:30181000:1	21:30182000:2	56:30183000:3	0	100	100	200	300	0	100	150	30211	0	0	400	200	0	50000999	30000999
41004	流云	pFLXT.png	card_pFLXT.png	1001	1	50	5	10	4	10	7	0	1100	0	100	350	350	4572	457	231	0	231	229	229	500	229	0	588	8000	229	572	57	29	0	29	29	29	0	29	0	73	0	29	40000010	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000010	30000010
51307	银潢	oWL.png	card_oWL.png	1001	1	60	5	10	5	13	11	0	1100	0	100	550	550	5545	234	265	467	354	292	292	500	263	263	750	8000	301	617	26	29	52	39	32	32	0	29	29	83	0	33	40000013	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000013	30000013
12002	蔷薇绕枝	wJX.png	card_wJX.png	2001	1	30	0	10	1	20	1	0	1100	0	100	50	50	2656	0	151	301	151	151	151	500	0	151	387	8000	159	379	0	22	43	22	22	22	0	0	22	55	0	23	40000020	5:30011000:1	0	0	0	100	100	0	0	0	500	600	30021	0	0	400	200	0	50000020	30000020
12003	迎风回浪	wMHP.png	card_wMHP.png	2001	1	30	0	10	1	20	1	0	1100	0	100	50	50	2710	0	151	286	151	151	151	500	0	159	387	8000	151	387	0	22	41	22	22	22	0	0	23	55	0	22	40000020	5:30021000:1	0	0	0	100	100	0	0	0	500	600	30021	0	0	400	200	0	50000020	30000020
22004	垂杨蘸绿	gFLYM.png	card_gFSYM.png	2001	1	30	0	10	2	20	2	0	1100	0	100	100	100	2842	0	161	310	161	158	158	500	0	158	414	8000	163	406	0	23	44	23	23	23	0	0	23	59	0	24	40000020	4:30071000:1	15:30072000:2	0	0	100	100	200	0	0	500	600	30021	0	0	400	200	0	50000020	30000020
32005	拂枪	bXQ.png	card_bXQ.png	2001	1	40	3	10	3	20	5	0	1100	0	100	250	250	3544	0	197	374	197	197	197	500	0	207	506	8000	203	507	0	28	53	28	28	28	0	0	29	72	0	29	40000020	3:30141000:1	15:30142000:2	0	0	100	100	200	0	0	500	600	30021	0	0	400	200	0	50000020	30000020
42006	瞿雾施	pZYX.png	card_pZYX.png	3004	1	50	5	10	4	20	6	0	1100	0	100	300	300	3482	0	197	360	197	193	193	500	0	203	507	8000	193	436	0	24	45	24	24	24	0	0	25	63	0	24	40019020	11:30191000:1	15:30192000:2	20:30193000:3	0	100	100	200	300	0	500	600	30041	0	0	400	200	0	50019020	30019020
52008	沐雪烟雨	oMYCF.png	card_oMYCF.png	2001	1	60	5	10	5	20	12	0	1100	0	100	600	600	5360	0	298	608	298	313	313	500	0	298	781	8000	307	596	0	33	67	33	35	35	0	0	33	87	0	34	40000020	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000020	30000020
42007	半遮挡	pBTM.png	card_pBTM.png	2001	1	50	5	10	4	20	7	0	1100	0	100	350	350	4115	0	234	448	234	229	229	500	0	229	600	8000	236	515	0	30	56	30	29	29	0	0	29	74	0	30	40000020	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000020	30000020
12102	血污天使	wDLTS.png	card_wDLTS.png	2001	1	30	0	10	1	21	1	0	1100	0	100	50	50	2764	295	177	0	177	151	151	500	181	0	387	8000	151	395	42	26	0	26	22	22	0	26	0	55	0	22	40000021	5:30031000:1	0	0	0	100	100	0	0	0	500	600	30021	0	0	400	200	0	50000021	30000021
42106	时间无痕	pSBDT.png	card_pSBDT.png	2001	1	50	5	10	4	21	8	0	1100	0	100	400	400	4293	487	279	0	279	243	243	500	292	0	626	8000	262	536	61	35	0	35	30	30	0	36	0	78	0	32	40000021	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000021	30000021
42107	欲盖而彰	pYGMZ.png	card_pYGMZ.png	3022	1	50	5	10	4	21	6	0	1100	0	100	300	300	3482	387	224	0	224	203	203	500	232	0	497	8000	193	436	48	28	0	28	25	25	0	29	0	62	0	24	40000998	11:30211000:1	21:30212000:2	56:30213000:3	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000998	30000998
42108	零下十度	pTKZH.png	card_pTKZH.png	2001	1	50	5	10	4	21	6	0	1100	0	100	300	300	3482	368	222	0	222	193	193	500	243	0	497	8000	199	436	46	28	0	28	24	24	0	30	0	62	0	25	40000021	6:30193000:1	15:30193000:1	25:30193000:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000021	30000021
42105	倾刻回眸	pMGHS.png	card_pMGHS.png	2001	1	50	5	10	4	21	8	0	1100	0	100	400	400	4380	477	285	0	285	243	243	500	292	0	639	8000	250	547	60	35	0	35	30	30	0	36	0	80	0	31	40000021	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000021	30000021
52110	漫步平地	oYQCY.png	card_oYQCY.png	2001	1	60	5	10	5	21	12	0	1100	0	100	600	600	5307	602	353	0	353	301	301	500	361	0	789	8000	325	590	67	39	0	39	33	33	0	40	0	88	0	36	40000021	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000021	30000021
42109	佛尔本	pKXB.png	card_pKXB.png	2001	1	50	5	10	4	21	7	0	1100	0	100	350	350	4115	434	263	0	263	229	229	500	289	0	588	8000	229	515	54	33	0	33	29	29	0	37	0	73	0	29	40000021	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000021	30000021
42203	全清晰	pQTM.png	card_pQTM.png	3019	1	50	5	10	4	22	6	0	1100	0	100	300	300	3676	257	193	257	193	193	193	500	203	203	497	8000	199	460	32	24	32	24	24	24	0	25	25	62	0	25	40230022	6:30231000:1	15:30232000:2	25:30233000:3	0	100	100	200	300	0	500	600	30191	0	0	400	200	0	50230022	30230022
42204	炮火连天	pQLDY.png	card_pQLDY.png	2001	1	50	5	10	4	22	7	0	1100	0	100	350	350	4343	320	229	320	229	229	229	500	229	229	588	8000	236	543	40	29	40	29	29	29	0	29	29	73	0	30	40000022	11:30261000:1	15:30262000:2	20:30263000:3	0	100	100	200	300	0	500	600	30021	0	0	400	200	0	50000022	30000022
52205	千叶纷飞	oBHLL.png	card_oBHLL.png	3011	1	60	5	10	5	22	12	0	1100	0	100	600	600	5658	396	298	396	298	298	298	500	313	313	781	8000	307	629	44	33	44	33	33	33	0	35	35	87	0	34	40420022	1:30421000:1	20:30422000:2	35:30423000:3	0	100	100	200	300	0	500	600	30111	0	0	400	200	0	50420022	30420022
22103	悔不觉	gZBY.png	card_gZBY.png	2001	1	30	0	10	2	21	2	0	1100	0	100	100	100	2842	300	182	0	182	158	158	500	199	0	406	8000	158	406	43	26	0	26	23	23	0	29	0	58	0	23	40000021	4:30081000:1	15:30082000:2	0	0	100	100	200	0	0	500	600	30021	0	0	400	200	0	50000021	30000021
53002	孤漠如雪	oDMGY.png	card_oDMGY.png	3005	1	60	5	10	5	30	12	0	1100	0	100	600	600	6379	602	304	0	301	304	301	500	361	0	781	8000	316	709	67	34	0	33	34	33	0	40	0	87	0	35	40430030	6:30431000:1	15:30432000:2	20:30433000:3	0	100	100	200	300	0	100	100	30051	0	0	400	200	0	50430030	30430030
43102	包子	pBZRQ.png	card_pBZRQ.png	3008	1	50	5	10	4	31	9	0	1100	0	100	450	450	5532	96	251	454	251	251	251	500	290	264	647	8000	251	692	12	31	57	31	31	31	0	36	33	81	0	31	40032031	4:30321000:1	15:30322000:2	25:30323000:3	0	100	100	200	300	0	100	100	30081	0	0	400	200	0	50032031	30032031
53103	浪打枯杨	oTSD.png	card_oTSD.png	3005	1	60	5	10	5	31	12	0	1100	0	100	600	600	6421	119	298	566	298	298	298	500	328	298	781	8000	313	714	13	33	63	33	33	33	0	36	33	87	0	35	30000031	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	100	100	30011	0	0	400	200	0	0	
43202	气吞山河	pQCYS.png	card_pQCYS.png	3013	1	50	5	10	4	32	8	0	1100	0	100	400	400	4624	0	243	536	273	243	248	500	0	243	639	8000	243	578	0	30	67	34	30	31	0	0	30	80	0	30	40290032	5:30291000:1	15:30292000:2	25:30293000:3	0	100	100	200	300	0	100	100	30131	0	0	400	200	0	50290032	30290032
53203	天无极	oHWL.png	card_oHWL.png	3005	1	60	5	10	5	32	11	0	1100	0	100	550	550	5601	0	295	642	328	295	298	500	0	292	773	8000	292	623	0	32	72	36	32	33	0	0	32	85	0	32	30000032	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	100	100	30011	0	0	400	200	0	0	
24304	平车前	gCQZ.png	card_gCQZ.png	3016	1	50	5	10	2	43	3	0	1100	0	100	450	450	5421	616	246	0	246	251	251	500	251	0	647	8000	264	678	77	30	0	30	31	31	0	31	0	81	0	33	40000040	1:30531000:1	15:30532000:2	0	0	100	100	200	300	0	100	150	30161	0	0	400	200	0	50000040	30000040
34305	烈日光灭	bLHYJ.png	card_bLHYJ.png	3016	1	50	5	10	3	43	4	0	1100	0	100	450	450	5421	616	246	0	246	251	251	500	251	0	647	8000	264	678	77	30	0	30	31	31	0	31	0	81	0	33	40000040	1:30531000:1	15:30532000:2	0	0	100	100	200	300	0	100	150	30161	0	0	400	200	0	50000040	30000040
54002	一叶知秋	oYYZQ.png	card_oYYZQ.png	3003	1	60	5	10	5	40	12	0	1100	0	100	600	600	6421	744	292	0	292	298	298	500	298	0	766	8000	313	714	82	32	0	32	33	33	0	33	0	85	0	35	40480040	1:30481000:1	15:30482000:2	25:30483000:3	0	100	100	200	300	0	100	150	30031	0	0	400	200	0	50480040	30480040
44003	冷雾柔	pHYR.png	card_pHYR.png	3007	1	50	5	10	4	40	9	0	1100	0	100	450	450	5421	616	246	0	246	251	251	500	251	0	647	8000	264	678	77	30	0	30	31	31	0	31	0	81	0	33	40510040	9:30511000:1	15:30512000:2	20:30513000:3	0	100	100	200	300	0	100	150	30071	0	0	400	200	0	50510040	30510040
24004	惊鹤	gQC.png	card_gQC.png	3016	1	30	0	10	2	40	3		1100		100	100	100	3821	416	174	0	174	174	174	502	174	0	447	8000	174	546	60	25	0	25	25	25	1	25	0	64	0	25	40000040	5:30531000:1	20:30532000:2	0	0	100	100	200	300	0	100	150	30161	0	0	400	200	0	50000040	30000040
54102	鸳飘霜飒	oLLYC.png	card_oLLYC.png	3009	1	60	5	10	5	41	10	0	1100	0	100	500	500	4574	0	292	692	292	286	286	500	0	300	750	8000	286	508	0	33	77	33	32	32	0	0	34	84	0	32	40035041	1:30351000:1	15:30352000:2	30:30353000:3	0	100	100	200	300	0	600	900	30091	0	0	400	200	0	50035041	30035041
54103	花时天醉	oFCYY.png	card_oFCYY.png	3016	1	60	5	10	5	41	10	0	1100	0	100	500	500	4574	0	292	751	295	283	295	500	0	289	750	8000	286	508	0	33	84	33	32	33	0	0	32	84	0	32	40000040	1:30531000:1	15:30532000:2	0	0	100	100	200	300	0	100	150	30161	0	0	400	200	0	50000040	30000040
14303	情风醉梦	wZYQC.png	card_wZYQC.png	3016	1	30	0	10	1	43	1	0	1100	0	100	50	50	3011	301	151	301	151	151	151	500	151	0	387	8000	151	430	43	22	0	22	22	22	0	22	0	55	0	22	30000043	1:30193000:1	0	0	0	100	100	200	300	0	100	150	30161	0	0	400	200	0	50000040	30000040
54302	老头蓝子	oWBLX.png	card_oWBLX.png	3016	1	60	5	10	5	43	12	0	1100	0	100	600	600	5113	590	307	632	307	313	322	500	301	361	789	8000	310	568	65	34	70	34	35	36	0	33	40	88	0	34	30000043	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	600	900	30161	0	0	400	200	0	50000040	30000040
55002	江水腾	oSBZ.png	card_oSBZ.png	1	1	60	5	10	5	50	12	0	1100	0	100	600	600	4908	0	289	903	289	316	316	500	0	451	789	8000	310	545	0	32	100	32	35	35	0	0	50	88	0	34	30004001	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	100	100	1001	0	0	400	200	0	0	
56102	米歇克尔	oSKSE.png	card_oSKSE.png	1	1	60	5	10	5	61	10	0	1100	0	100	500	500	5198	0	297	658	300	289	292	500	0	292	757	8000	297	577	0	33	74	34	32	33	0	0	33	84	0	33	30004001	1:30193000:1	1:30193000:1	1:30193000:1	0	100	100	200	300	0	100	100	1001	0	0	400	200	0	0	
52302	万物绝	oSLM.png	card_oSLM.png	3018	1	60	5	10	5	23	12	0	1100	0	100	600	600	4908	0	298	708	298	298	298	503	0	358	766	8000	307	545	0	33	78	33	33	33	2	0	40	85	0	34	40570023	1:30571000:1	1:30572000:2	1:30573000:3	0	100	100	200	300	0	100	100	30181	0	0	400	200	0	50570023	30570023
11099	白色经验卡	wAL.png	card_wAL.png	1	1	0	1	1	11	10	1	0	1100	0	100	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
21099	绿色经验卡	gALS.png	card_gALS.png	1	1	0	1	1	12	10	1	0	1100	0	100	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
31099	蓝色经验卡	bXF.png	card_bXF.png	1	1	0	1	1	13	10	1	0	1100	0	100	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
41099	紫色经验卡	pWL.png	card_pWL.png	1	1	0	1	1	14	10	1	0	1100	0	100	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
51099	橙色经验卡	oKLN.png	card_oKLN.png	1	1	0	1	1	15	10	1	0	1100	0	100	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
99998	阵容空位	card_ws.png	card_wAL.png	1	1	7	8	9	1	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
99999	填充行	oSKSE.png	card_oSKSE.png	1	1	7	8	9	1	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	30004001	0	0	0	0	100	100	200	300	0	100	150	1001	0	0	400	200	0	0	
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
