道具组id	道具id	道具名称	道具数量	道具权重	需求货币数量
203001	60000002	骷髅骨灰	10	10	20
203001	60000003	秘银碎屑	10	10	20
203001	60000004	冰霜残迹	10	10	20
203001	60000005	骷髅法师的手骨	10	10	20
203001	60000006	腐骨羊的骨椎	10	10	20
203001	60000001	暗夜猫眼石	15	10	30
203001	60000002	骷髅骨灰	15	10	30
203001	60000003	秘银碎屑	15	10	30
203001	60000004	冰霜残迹	15	10	30
203001	60000005	骷髅法师的手骨	15	10	30
203001	60000006	腐骨羊的骨椎	15	10	30
203001	60000001	暗夜猫眼石	20	10	40
203001	60000002	骷髅骨灰	20	10	40
203001	60000003	秘银碎屑	20	10	40
203001	60000004	冰霜残迹	20	10	40
203001	60000005	骷髅法师的手骨	20	10	40
203001	60000006	腐骨羊的骨椎	20	10	40
203020	60000001	暗夜猫眼石	1	10	2
203020	60000002	骷髅骨灰	1	10	2
203020	60000003	秘银碎屑	1	10	2
203020	60000004	冰霜残迹	1	10	2
203020	60000005	骷髅法师的手骨	1	10	2
203020	60000006	腐骨羊的骨椎	1	10	2
203020	60000001	暗夜猫眼石	3	10	6
203020	60000002	骷髅骨灰	3	10	6
203020	60000003	秘银碎屑	3	10	6
203020	60000004	冰霜残迹	3	10	6
203020	60000005	骷髅法师的手骨	3	10	6
203020	60000006	腐骨羊的骨椎	3	10	6
203020	60000001	暗夜猫眼石	5	10	10
203020	60000002	骷髅骨灰	5	10	10
203020	60000003	秘银碎屑	5	10	10
203020	60000004	冰霜残迹	5	10	10
203020	60000005	骷髅法师的手骨	5	10	10
203020	60000006	腐骨羊的骨椎	5	10	10
203020	60000001	暗夜猫眼石	10	10	20
203020	60000002	骷髅骨灰	10	10	20
203020	60000003	秘银碎屑	10	10	20
203020	60000004	冰霜残迹	10	10	20
203020	60000005	骷髅法师的手骨	10	10	20
203020	60000006	腐骨羊的骨椎	10	10	20
203020	60000001	暗夜猫眼石	15	10	30
203020	60000002	骷髅骨灰	15	10	30
203020	60000003	秘银碎屑	15	10	30
203020	60000004	冰霜残迹	15	10	30
203020	60000005	骷髅法师的手骨	15	10	30
203020	60000006	腐骨羊的骨椎	15	10	30
203020	60000001	暗夜猫眼石	20	10	40
203020	60000002	骷髅骨灰	20	10	40
203020	60000003	秘银碎屑	20	10	40
203020	60000004	冰霜残迹	20	10	40
203020	60000005	骷髅法师的手骨	20	10	40
203020	60000006	腐骨羊的骨椎	20	10	40
203020	61000001	白巫女泪痕	1	10	5
203020	61000002	赤蝎尾针	1	10	5
203020	61000003	猩红毒针	1	10	5
203020	61000004	赤影元素	1	10	5
203020	61000005	磨砂石	1	10	5
203020	61000006	沙蚕丝	1	10	5
203020	61000007	琥珀晶石	1	10	5
203020	61000008	烈焰石	1	10	5
203020	61000001	白巫女泪痕	3	10	15
203020	61000002	赤蝎尾针	3	10	15
203020	61000003	猩红毒针	3	10	15
203020	61000004	赤影元素	3	10	15
203020	61000005	磨砂石	3	10	15
203020	61000006	沙蚕丝	3	10	15
203020	61000007	琥珀晶石	3	10	15
203020	61000008	烈焰石	3	10	15
203020	61000001	白巫女泪痕	5	10	25
203020	61000002	赤蝎尾针	5	10	25
203020	61000003	猩红毒针	5	10	25
203020	61000004	赤影元素	5	10	25
203020	61000005	磨砂石	5	10	25
203020	61000006	沙蚕丝	5	10	25
203020	61000007	琥珀晶石	5	10	25
203020	61000008	烈焰石	5	10	25
203020	61000001	白巫女泪痕	10	10	50
203020	61000002	赤蝎尾针	10	10	50
203020	61000003	猩红毒针	10	10	50
203020	61000004	赤影元素	10	10	50
203020	61000005	磨砂石	10	10	50
203020	61000006	沙蚕丝	10	10	50
203020	61000007	琥珀晶石	10	10	50
203020	61000008	烈焰石	10	10	50
203020	61000001	白巫女泪痕	15	10	75
203020	61000002	赤蝎尾针	15	10	75
203020	61000003	猩红毒针	15	10	75
203020	61000004	赤影元素	15	10	75
203020	61000005	磨砂石	15	10	75
203020	61000006	沙蚕丝	15	10	75
203020	61000007	琥珀晶石	15	10	75
203020	61000008	烈焰石	15	10	75
203020	61000001	白巫女泪痕	20	10	100
203020	61000002	赤蝎尾针	20	10	100
203020	61000003	猩红毒针	20	10	100
203020	61000004	赤影元素	20	10	100
203020	61000005	磨砂石	20	10	100
203020	61000006	沙蚕丝	20	10	100
203020	61000007	琥珀晶石	20	10	100
203020	61000008	烈焰石	20	10	100
203030	60000001	暗夜猫眼石	1	10	2
203030	60000002	骷髅骨灰	1	10	2
203030	60000003	秘银碎屑	1	10	2
203030	60000004	冰霜残迹	1	10	2
203030	60000005	骷髅法师的手骨	1	10	2
203030	60000006	腐骨羊的骨椎	1	10	2
203030	60000001	暗夜猫眼石	3	10	6
203030	60000002	骷髅骨灰	3	10	6
203030	60000003	秘银碎屑	3	10	6
203030	60000004	冰霜残迹	3	10	6
203030	60000005	骷髅法师的手骨	3	10	6
203030	60000006	腐骨羊的骨椎	3	10	6
203030	60000001	暗夜猫眼石	5	10	10
203030	60000002	骷髅骨灰	5	10	10
203030	60000003	秘银碎屑	5	10	10
203030	60000004	冰霜残迹	5	10	10
203030	60000005	骷髅法师的手骨	5	10	10
203030	60000006	腐骨羊的骨椎	5	10	10
203030	60000001	暗夜猫眼石	10	10	20
203030	60000002	骷髅骨灰	10	10	20
203030	60000003	秘银碎屑	10	10	20
203030	60000004	冰霜残迹	10	10	20
203030	60000005	骷髅法师的手骨	10	10	20
203030	60000006	腐骨羊的骨椎	10	10	20
203030	60000001	暗夜猫眼石	15	10	30
203030	60000002	骷髅骨灰	15	10	30
203030	60000003	秘银碎屑	15	10	30
203030	60000004	冰霜残迹	15	10	30
203030	60000005	骷髅法师的手骨	15	10	30
203030	60000006	腐骨羊的骨椎	15	10	30
203030	60000001	暗夜猫眼石	20	10	40
203030	60000002	骷髅骨灰	20	10	40
203030	60000003	秘银碎屑	20	10	40
203030	60000004	冰霜残迹	20	10	40
203030	60000005	骷髅法师的手骨	20	10	40
203030	60000006	腐骨羊的骨椎	20	10	40
203030	61000001	白巫女泪痕	1	10	5
203030	61000002	赤蝎尾针	1	10	5
203030	61000003	猩红毒针	1	10	5
203030	61000004	赤影元素	1	10	5
203030	61000005	磨砂石	1	10	5
203030	61000006	沙蚕丝	1	10	5
203030	61000007	琥珀晶石	1	10	5
203030	61000008	烈焰石	1	10	5
203030	61000001	白巫女泪痕	3	10	15
203030	61000002	赤蝎尾针	3	10	15
203030	61000003	猩红毒针	3	10	15
203030	61000004	赤影元素	3	10	15
203030	61000005	磨砂石	3	10	15
203030	61000006	沙蚕丝	3	10	15
203030	61000007	琥珀晶石	3	10	15
203030	61000008	烈焰石	3	10	15
203030	61000001	白巫女泪痕	5	10	25
203030	61000002	赤蝎尾针	5	10	25
203030	61000003	猩红毒针	5	10	25
203030	61000004	赤影元素	5	10	25
203030	61000005	磨砂石	5	10	25
203030	61000006	沙蚕丝	5	10	25
203030	61000007	琥珀晶石	5	10	25
203030	61000008	烈焰石	5	10	25
203030	61000001	白巫女泪痕	10	10	50
203030	61000002	赤蝎尾针	10	10	50
203030	61000003	猩红毒针	10	10	50
203030	61000004	赤影元素	10	10	50
203030	61000005	磨砂石	10	10	50
203030	61000006	沙蚕丝	10	10	50
203030	61000007	琥珀晶石	10	10	50
203030	61000008	烈焰石	10	10	50
203030	61000001	白巫女泪痕	15	10	75
203030	61000002	赤蝎尾针	15	10	75
203030	61000003	猩红毒针	15	10	75
203030	61000004	赤影元素	15	10	75
203030	61000005	磨砂石	15	10	75
203030	61000006	沙蚕丝	15	10	75
203030	61000007	琥珀晶石	15	10	75
203030	61000008	烈焰石	15	10	75
203030	61000001	白巫女泪痕	20	10	100
203030	61000002	赤蝎尾针	20	10	100
203030	61000003	猩红毒针	20	10	100
203030	61000004	赤影元素	20	10	100
203030	61000005	磨砂石	20	10	100
203030	61000006	沙蚕丝	20	10	100
203030	61000007	琥珀晶石	20	10	100
203030	61000008	烈焰石	20	10	100
203030	62000001	火精华	1	10	15
203030	62000002	魔法师印章	1	10	15
203030	62000003	魔法溶解剂	1	10	15
203030	62000004	蓝白晶	1	10	15
203030	62000005	岩之气息	1	10	15
203030	62000006	岩之精魄	1	10	15
203030	62000007	流地徽章	1	10	15
203030	62000008	剔髓龙脊	1	10	15
203030	62000009	浪人的勇气	1	10	15
203030	62000010	术愿之心	1	10	15
203030	62000001	火精华	3	10	45
203030	62000002	魔法师印章	3	10	45
203030	62000003	魔法溶解剂	3	10	45
203030	62000004	蓝白晶	3	10	45
203030	62000005	岩之气息	3	10	45
203030	62000006	岩之精魄	3	10	45
203030	62000007	流地徽章	3	10	45
203030	62000008	剔髓龙脊	3	10	45
203030	62000009	浪人的勇气	3	10	45
203030	62000010	术愿之心	3	10	45
203030	62000001	火精华	5	10	75
203030	62000002	魔法师印章	5	10	75
203030	62000003	魔法溶解剂	5	10	75
203030	62000004	蓝白晶	5	10	75
203030	62000005	岩之气息	5	10	75
203030	62000006	岩之精魄	5	10	75
203030	62000007	流地徽章	5	10	75
203030	62000008	剔髓龙脊	5	10	75
203030	62000009	浪人的勇气	5	10	75
203030	62000010	术愿之心	5	10	75
203030	62000001	火精华	10	10	150
203030	62000002	魔法师印章	10	10	150
203030	62000003	魔法溶解剂	10	10	150
203030	62000004	蓝白晶	10	10	150
203030	62000005	岩之气息	10	10	150
203030	62000006	岩之精魄	10	10	150
203030	62000007	流地徽章	10	10	150
203030	62000008	剔髓龙脊	10	10	150
203030	62000009	浪人的勇气	10	10	150
203030	62000010	术愿之心	10	10	150
203030	62000001	火精华	15	10	225
203030	62000002	魔法师印章	15	10	225
203030	62000003	魔法溶解剂	15	10	225
203030	62000004	蓝白晶	15	10	225
203030	62000005	岩之气息	15	10	225
203030	62000006	岩之精魄	15	10	225
203030	62000007	流地徽章	15	10	225
203030	62000008	剔髓龙脊	15	10	225
203030	62000009	浪人的勇气	15	10	225
203030	62000010	术愿之心	15	10	225
203030	62000001	火精华	20	10	300
203030	62000002	魔法师印章	20	10	300
203030	62000003	魔法溶解剂	20	10	300
203030	62000004	蓝白晶	20	10	300
203030	62000005	岩之气息	20	10	300
203030	62000006	岩之精魄	20	10	300
203030	62000007	流地徽章	20	10	300
203030	62000008	剔髓龙脊	20	10	300
203030	62000009	浪人的勇气	20	10	300
203030	62000010	术愿之心	20	10	300
203050	60000001	暗夜猫眼石	1	10	2
203050	60000002	骷髅骨灰	1	10	2
203050	60000003	秘银碎屑	1	10	2
203050	60000004	冰霜残迹	1	10	2
203050	60000005	骷髅法师的手骨	1	10	2
203050	60000006	腐骨羊的骨椎	1	10	2
203050	60000001	暗夜猫眼石	3	10	6
203050	60000002	骷髅骨灰	3	10	6
203050	60000003	秘银碎屑	3	10	6
203050	60000004	冰霜残迹	3	10	6
203050	60000005	骷髅法师的手骨	3	10	6
203050	60000006	腐骨羊的骨椎	3	10	6
203050	60000001	暗夜猫眼石	5	10	10
203050	60000002	骷髅骨灰	5	10	10
203050	60000003	秘银碎屑	5	10	10
203050	60000004	冰霜残迹	5	10	10
203050	60000005	骷髅法师的手骨	5	10	10
203050	60000006	腐骨羊的骨椎	5	10	10
