物品ID	物品图标	掉落模型	物品名字	物品类型名称	物品介绍	限制等级	职业限制	物品品质	物品类型	装备部件	打孔器位置	熔炼值	消耗类型	消耗数值	使用CD	购买货币	购买价格	出售价格	最大叠加数	是否可强化	打孔类型	是否可打孔	增加类型1	增加数值1	增加类型2	增加数值2	礼包物品	触发任务ID	装备外观	来源	最小物理攻击	最大物理攻击	最小物理防御	最大物理防御	最小魔法攻击	最大魔法攻击	最小魔法防御	最大魔法防御	最小生命值	最大生命值	最小物理暴击	最大物理暴击	最小魔法暴击	最大魔法暴击	最小物理抗暴击	最大物理抗暴击	最小魔法抗暴击	最大魔法抗暴击	最小格挡率	最大格挡率	最小闪避率	最大闪避率	最小魔法回复率	最大魔法回复率	最小格挡值	最大格挡值	最小命中率	最大命中率	最小血球回复率	最大血球回复率
20000005	item_package_01.png		黄色图纸礼包	礼包	打开后随机获得一张黄色武器锻造图纸。	1	0	3	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20005:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000006	item_package_01.png		紫色图纸礼包	礼包	打开后随机获得一张紫色武器锻造图纸。	1	0	4	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20006:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000007	item_package_01.png		橙色图纸礼包	礼包	打开后随机获得一张橙色武器锻造图纸。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20007:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000042	item_package_01.png		银色图纸礼包	礼包	打开后随机获得一张银色武器锻造图纸。	1	0	6	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20025:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000008	item_package_01.png		白色材料礼包	礼包	打开后随机获得5个白色材料。	1	0	0	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20008:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000009	item_package_01.png		绿色材料礼包	礼包	打开后随机获得4个绿色材料。	1	0	1	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20009:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000010	item_package_01.png		蓝色材料礼包	礼包	打开后随机获得3个蓝色材料。	1	0	2	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20010:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000011	item_package_01.png		紫色材料礼包	礼包	打开后随机获得2个紫色材料。	1	0	4	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20011:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000012	item_package_01.png		橙色材料礼包	礼包	打开后随机获得1个橙色材料。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20012:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000013	item_package_01.png		紫色万能碎片	礼包	打开后获得1枚紫色万能碎片。	1	0	4	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	10012:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000014	item_package_01.png		橙色万能碎片	礼包	打开后获得1枚橙色万能碎片。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	10013:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000015	item_package_01.png		1级礼包	礼包	打开后获得2000金币；+5SP*100；+10SP*100。	1	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10001:5:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000016	item_package_01.png		1级礼包	礼包	打开后获得2000金币；+5SP*100；+10SP*100。	1	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10014:5:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000017	item_package_01.png		5级礼包	礼包	打开后获得2000金币；紫色万能碎片礼包*5；紫色碎片礼包*5；+5SP*50；+10SP*50；白色经验卡*1。	5	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10002:7:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000018	item_package_01.png		5级礼包	礼包	打开后获得2000金币；紫色万能碎片礼包*5；紫色碎片礼包*5；+5SP*50；+10SP*50；白色经验卡*1。	5	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10003:7:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000019	item_package_01.png		15级礼包	礼包	主角蓝色武器锻造图纸和锻造材料。	15	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10004:6:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000020	item_package_01.png		15级礼包	礼包	主角蓝色武器锻造图纸和锻造材料。	15	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10005:6:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000041	item_package_01.png		15级礼包	礼包	主角蓝色武器锻造图纸和锻造材料。	15	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10017:6:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000051	item_package_01.png		15级礼包	礼包	主角蓝色武器锻造图纸和锻造材料。	15	0	5	2	0	0	0	0	0	0	0	0	1000	1	0			0	0	0	0	10018:6:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000021	item_package_01.png		15级礼包	礼包	打开后获得5000金币；绿色图纸礼包*5；白色材料礼包*5；紫色碎片礼包*5；+5SP*50；+10SP*50；白色经验卡*2。	15	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10006:8:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000022	item_package_01.png		20级礼包	礼包	打开后获得20钻石；绿色材料礼包*5；紫色碎片礼包*5；+5SP*50；+10SP*50；+15SP*25；绿色经验卡*2。	20	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10007:8:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000023	item_package_01.png		25级礼包	礼包	打开后获得30钻石；1级宝石*5；紫色碎片礼包*5；+10SP*20；+15SP*20；绿色经验卡*3。	25	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10008:7:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000024	item_package_01.png		30级礼包	礼包	打开后获得50钻石；蓝色材料礼包*5；紫色碎片礼包*10；+10SP*20；+15SP*20；绿色经验卡*5。	30	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10009:7:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000025	item_package_01.png		35级礼包	礼包	打开后获得50钻石；2级附魔碎片礼包*5；紫色万能碎片礼包*10；橙色万能碎片礼包*5；+15SP*20；+20SP*20，蓝色经验卡*3。	35	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10010:8:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000026	item_package_01.png		40级礼包	礼包	打开后获得100钻石；紫色材料礼包*5；紫色万能碎片礼包*10；橙色万能碎片礼包*5；+15SP*20；+20SP*20；蓝色经验卡*4。	40	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10011:8:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000027	item_package_01.png		45级礼包	礼包	打开后获得100钻石；紫色材料礼包*5；紫色万能碎片礼包*10；橙色万能碎片礼包*5；+25SP*20；+20SP*20；蓝色经验卡*5。	45	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10015:8:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000028	item_package_01.png		50级礼包	礼包	打开后获得200钻石；橙色材料礼包*5；紫色万能碎片礼包*20；40级饰品礼包*1；+25SP*20；+20SP*20；紫色经验卡*5。	50	0	5	2	0			0	0	0	0	0	1000	1	0			0	0	0	0	10016:7:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000029	item_package_01.png		40级饰品礼包	礼包	打开后随机获得一个40级黄色品质饰品。	1	0	3	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20013:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000043	item_package_01.png		30级饰品礼包	礼包	打开后随机获得一个30级绿色品质饰品。	1	0	1	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20026:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000030	item_package_01.png		5级附魔礼包	礼包	打开后随机获得一个5级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20014:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000031	item_package_01.png		7级附魔礼包	礼包	打开后随机获得一个7级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20015:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000032	item_package_01.png		9级附魔礼包	礼包	打开后随机获得一个9级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20016:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000033	item_package_01.png		11级附魔礼包	礼包	打开后随机获得一个11级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20017:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000034	item_package_01.png		2级附魔礼包	礼包	打开后随机获得一个2级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20018:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000035	item_package_01.png		3级附魔礼包	礼包	打开后随机获得一个3级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20019:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000036	item_package_01.png		4级附魔礼包	礼包	打开后随机获得一个4级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20020:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000037	item_package_01.png		6级附魔礼包	礼包	打开后随机获得一个6级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20021:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000038	item_package_01.png		橙卡随机礼包	礼包	打开后随机获得一张橙色卡牌	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20022:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000039	item_package_01.png		1级附魔礼包	礼包	打开后随机获得一个1级附魔。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20023:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000040	item_package_01.png		饰品礼包	礼包	打开后随机获得一个15级蓝色品质饰品	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20024:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000044	item_package_01.png		顶级橙色卡包	礼包	打开后随机获得夜雨声烦、一叶之秋、百花缭乱、大漠孤烟中一张顶级卡。	1	0	5	2	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	20027:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000045	item_package_01.png		8级附魔礼包	礼包	打开后随机获得一个8级附魔。	1	0	5	2	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	20028:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000046	item_package_01.png		招募令礼包	礼包	打开后随机获得10个招募令。	1	0	5	2	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	20029:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000047	item_package_01.png		紫色裤子礼包	礼包	打开后可获得一件与主角卡职业相符的紫色裤子。	1	0	5	14	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	40001:1:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000048	item_package_01.png		紫色头盔礼包	礼包	打开后可获得一件与主角卡职业相符的紫色头盔。	1	0	5	14	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	40002:1:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000049	item_package_01.png		紫色衣服礼包	礼包	打开后可获得一件与主角卡职业相符的紫色衣服。	1	0	5	14	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	40003:1:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000050	item_package_01.png		紫色鞋子礼包	礼包	打开后可获得一件与主角卡职业相符的紫色鞋子。	1	0	5	14	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	40004:1:1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000005	saodangquan.png		扫荡卷	扫荡卷	可快速挑战关卡。	1	0	0	6	0			0	0	0	0	10	10	999	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70000002	item_debris_000.png		破碎的黄晶	其他	可以出售给商人换取25金币。	1	0	0	7	0			0	0	0	0	25	25	999	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71000002	item_debris_001.png		生锈的长剑	其他	可以出售给商人换取500金币。	1	0	1	7	0			0	0	0	0	500	500	999	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72000002	item_debris_002.png		铁质旧盾牌	其他	可以出售给商人换取5000金币。	1	0	2	7	0			0	0	0	0	5000	5000	999	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71000001	item_sp_01.png		+5sp技能书	技能书	技能升级道具，使技能获得提升。	1	0	1	3	0			0	0	0	0	10	10	999	0			0	0	0	0	0	0	0	1:1004;1:1008;1:1012;1:1016;1:1020;1:1024;1:1028;1:1032;1:1036;1:1040;1:1044;1:1048;1:1052;1:1056;1:1058;1:1060;1:1064;1:1068;1:1072;1:1076;1:1078;1:1080;1:1084;1:1086;1:1090;1:1093;1:1097;1:1100;1:1102;1:1105;1:1109;1:1111;1:1114;1:1120;1:1123;1:1127;1:1130;1:1134;1:1137;1:1140;1:1142;1:1145;1:1150;1:1152;1:1157;1:1160;1:1162;1:1166;1:1170;1:1174;1:1176;1:1178;1:1180;1:1183;1:1186;1:1189;1:1192;1:1195;1:1198;1:12002:0010;3:0013;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72000001	item_sp_02.png		+10sp技能书	技能书	技能升级道具，使技能获得提升。	1	0	2	3	0			0	0	0	0	10	10	999	0			0	0	0	0	0	0	0	1:1004;1:1008;1:1012;1:1016;1:1020;1:1024;1:1028;1:1032;1:1036;1:1040;1:1044;1:1048;1:1052;1:1056;1:1058;1:1060;1:1064;1:1068;1:1072;1:1076;1:1078;1:1080;1:1084;1:1086;1:1090;1:1093;1:1097;1:1100;1:1102;1:1105;1:1109;1:1111;1:1114;1:1120;1:1123;1:1127;1:1130;1:1134;1:1137;1:1140;1:1142;1:1145;1:1150;1:1152;1:1157;1:1160;1:1162;1:1166;1:1170;1:1174;1:1176;1:1178;1:1180;1:1183;1:1186;1:1189;1:1192;1:1195;1:1198;1:12002:0010;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73000001	item_sp_03.png		+15sp技能书	技能书	技能升级道具，使技能获得提升。	1	0	3	3	0			0	0	0	0	10	10	999	0			0	0	0	0	0	0	0	1:1048;1:1052;1:1056;1:1058;1:1060;1:1064;1:1068;1:1072;1:1076;1:1078;1:1080;1:1084;1:1086;1:1090;1:1093;1:1097;1:1100;1:1102;1:1105;1:1109;1:1111;1:1114;1:1120;1:1123;1:1127;1:1130;1:1134;1:1137;1:1140;1:1142;1:1145;1:1150;1:1152;1:1157;1:1160;1:1162;1:1166;1:1170;1:1174;1:1176;1:1178;1:1180;1:1183;1:1186;1:1189;1:1192;1:1195;1:1198;1:12002:0020;3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74000001	item_sp_04.png		+20sp技能书	技能书	技能升级道具，使技能获得提升。	1	0	4	3	0			0	0	0	0	10	10	999	0			0	0	0	0	0	0	0	1:1170;1:1174;1:1176;1:1178;1:1180;1:1183;1:1186;1:1189;1:1192;1:1195;1:1198;1:12002:0030;3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75000001	item_sp_05.png		+25sp技能书	技能书	技能升级道具，使技能获得提升。	1	0	5	3	0			0	0	0	0	10	10	999	0			0	0	0	0	0	0	0	2:0050;3:0085;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000001	item_physical_01.png		体力药水	体力药水	使用后，会恢复50点体力值。	1	0	3	1	0			1	1	0	0	10	1	999	0			3	50	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000002	item_physical_02.png		体力大药水	体力药水	使用后，会恢复100点体力值。	1	0	3	1	0			1	1	0	0	10	1	999	0			3	100	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000003	item_szqy.png		契约之书	其他	可定制任意缘分	1	0	5	7	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001001	iconspLEI_1.png		雷牙1级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1086;1:1160;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001002	iconspLEI_1.png		雷牙2级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1160;3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001003	iconspLEI_1.png		雷牙3级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0040;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001004	iconspLEI_1.png		雷牙4级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001005	iconspLEI_1.png		雷牙5级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001006	iconspLEI_1.png		雷牙6级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001007	iconspLEI_1.png		雷牙7级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81001008	iconspLEI_1.png		雷牙8级	附魔碎片	合成雷之附魔所需的第1片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
