场景ID	场景类型	对应副本ID	开放需求	场景名称	场景介绍	场景名称图片	场景小标题	消耗体力	副本显示物品列表	小怪掉落列表	小怪掉落数量最大限制	小怪概率	boss掉落列表	boss掉落数量限制	boss掉落概率	隐藏boss掉落列表	隐藏boss掉落数量限制	隐藏boss掉落概率	金币掉落数量	金币图标	单个图标数量	翻牌奖励1列表	翻牌奖励2列表	经验奖励	场景地图资源	地图图标	怪物半身像	复活方式	复活坐标X	复活坐标Y	复活朝向	复活倒计时	最低进入等级	最高进入等级	宝石孔位	洗练属性	是否携带小伙伴进入	公共副本	每日限制进入次数	通关次数限制	开启时间	关闭时间	背景音乐	特殊限制	角色尾巴类型	主角阴影类型	怪物阴影类型	场景天气特效	神秘商店出现几率	预防作弊	怪物数量	关卡脚本	大关卡	隐藏关卡进入条件	怪物动画1	缩放1	怪物动画2	缩放2	怪物动画3	缩放3	速度修正比	是否创建炫纹
1074	2	4	1073	关卡74	落日原野的牛头人也丢失了战斗的荣誉，为了打败对手，他们也变得不择手段	font_4.png	第74关	5	30000007;73000001;41002004;	73000001:5:1;30000002:10:1;41002004:1:1;	3:10000;	100							392	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_14_caoyuan	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103302	25	copy_1074			monster_008_idle	0.9	card_001_idle	0.9	card_016_idle	0.9	1	
1075	2	4	1074	关卡75	听说此人以前曾作为一名强大的冒险家冲击过天空之城，但因何而在此落草为寇？	font_4.png	第75关	5	30000007;71000001;41005004;	71000001:5:1;30000003:10:1;41005004:1:1;	3:10000;	100							396	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_15_caoyuan	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103303	5	copy_1075			card_016_idle	0.9	card_017_idle	0.9	monster_qfj_idle	0.9	1	
1076	4	4	1075	关卡76	马上就要离开落日原野了，决不能就在此倒下！	font_4.png	第76关	5	30000007;73000001;91000001;43003004;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41003004:1:350;42003004:1:300;43003004:1:150;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				400	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_16_caoyuan	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103401	9	copy_1076	card_bRQY		card_001_idle	0.9	card_016_idle	0.9	monster_qfj_idle	0.9	1	
1077	2	4	1076	关卡77	又是一群无法之徒，想强买强卖？没门！	font_4.png	第77关	5	30000007;71000001;41003004;	71000001:5:1;30000004:10:1;41003004:1:1;	3:10000;	100							404	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_17_caoyuan	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103402	16	copy_1077			card_017_idle	0.9	card_002_idle	0.9	monster_015_idle	0.9	1	
1078	4	4	1077	关卡78	秃鹰头领袭向冒险家，作为空中一霸，似乎它们很想把冒险家擒去当晚餐	font_4.png	第78关	5	30000007;73000001;91000001;43004004;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41004004:1:350;42004004:1:300;43004004:1:150;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				408	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_18_caoyuan	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103501	11	copy_1078	monster_TY		monster_008_idle	0.9	monster_boss_014_idle	0.9	card_016_idle	0.9	1	
1079	2	4	1078	关卡79	击败了一名战斗佣兵，又来了	font_4.png	第79关	5	30000007;72000001;41004004;	72000001:5:1;30000005:10:1;41004004:1:1;	3:10000;	100							412	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_19_caoyuan	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103502	19	copy_1079			card_016_idle	0.9	card_017_idle	0.9	monster_qfj_idle	0.9	1	
1080	4	4	1079	关卡80	落日原野的影子刀客是一名令人闻风丧胆的狠角色，但为了突破落日原野，也只能拼了！	font_4.png	第80关	5	30000007;73000001;91000001;43102005;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41102005:1:175;42102005:1:150;43102005:1:75;41202005:1:175;42202005:1:150;43202005:1:75;41302005:1:175;42302005:1:150;43302005:1:75;41402005:1:175;42402005:1:150;43402005:1:75;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				416	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	4_20_caoyuan	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103601	5	copy_1080	monster_LLJK		card_001_idle	0.9	card_002_idle	0.9	monster_boss_013_idle	0.9	1	
1081	2	5	1080	关卡81	离开了落日原野，前方便是黄沙戈壁了！	font_5.png	第81关	5	30000007;73000001;42002004;	73000001:5:1;30000006:10:1;42002004:1:1;	3:10000;	100							420	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	5_1_caoyuan	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103602	28	copy_1081			monster_008_idle	0.9	monster_015_idle	0.9	monster_boss_014_idle	0.9	1	
1082	2	5	1081	关卡82	黄沙戈壁再也没有那群无法者的打扰，但也迎来了新的敌人，小心为妙！	font_5.png	第82关	5	30000007;71000001;42005004;	71000001:5:1;30000001:10:1;42005004:1:1;	3:10000;	100							424	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	5_2_caoyuan	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103603	10	copy_1082			monster_006_idle	0.9	monster_boss_014_idle	0.9	monster_018_idle	0.9	1	
1083	2	5	1082	关卡83	黄沙戈壁是牛头怪的聚集地，他们强壮的身躯拦在路前，你怕了么？	font_5.png	第83关	5	30000007;71000001;42003004;	71000001:5:1;30000002:10:1;42003004:1:1;	3:10000;	100							428	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	5_3_caoyuan	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103701	16	copy_1083			monster_008_idle	0.9		0.9	monster_006_idle	0.9	1	
1084	4	5	1083	关卡84	牛头酋长久闻冒险家实力不菲，企图和冒险家有场公平的决斗，打败他们，来证明自己吧！	font_5.png	第84关	5	30000007;73000001;91000001;43105005;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41105005:1:175;42105005:1:150;43105005:1:75;41205005:1:175;42205005:1:150;43205005:1:75;41305005:1:175;42305005:1:150;43305005:1:75;41405005:1:175;42405005:1:150;43405005:1:75;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				432	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	5_4_senlin	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103702	19	copy_1084	monster_NTRTZ		monster_015_idle	0.9	monster_boss_004_idle	0.9	monster_008_idle	0.9	1	
1085	2	5	1084	关卡85	黄沙戈壁的野猪也要比森林之中的更加凶猛强悍，当心他们的地狱冲锋	font_5.png	第85关	5	30000007;72000001;42004004;	72000001:5:1;30000003:10:1;42004004:1:1;	3:10000;	100							436	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:200;	75	5_5_senlin	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103801	21	copy_1085			monster_boss_014_idle	0.9	monster_006_idle	0.9	monster_018_idle	0.9	1	
1086	4	5	1085	关卡86	这里也是巨人的活动区域，当心他们沉重的踩踏，那可不是闹着玩的！	font_5.png	第86关	5	30000007;73000001;91000001;43103005;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41103005:1:175;42103005:1:150;43103005:1:75;41203005:1:175;42203005:1:150;43203005:1:75;41303005:1:175;42303005:1:150;43303005:1:75;41403005:1:175;42403005:1:150;43403005:1:75;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				440	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	75	5_6_senlin	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103802	11	copy_1086	shijuer		monster_018_idle	0.9	leg_ui_idle	0.4	monster_015_idle	0.9	1	
1087	2	5	1086	关卡87	峡谷之中的赤尾蝎人，绝对是一个危险的角色，当心他们的尾巴！	font_5.png	第87关	5	30000007;72000001;43002004;	72000001:5:1;30000004:10:1;43002004:1:1;	3:10000;	100							444	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	75	5_7_senlin	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103901	17	copy_1087			monster_002_idle	0.9		0.9	monster_008_idle	0.9	1	
1088	2	5	1087	关卡88	可怕的峡谷树人！锋利的荆棘锋刃斩碎了无数冒险家的梦想，你也会倒在这里吗？	font_5.png	第88关	5	30000007;73000001;43005004;	73000001:5:1;30000005:10:1;43005004:1:1;	3:10000;	100							448	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	75	5_8_senlin	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	103902	70	copy_1088			monster_002_idle	0.9	monster_boss_016_idle	0.6	monster_boss_014_idle	0.9	1	
1089	2	5	1088	关卡89	牛头酋长觉得自己已经找到了冒险家的弱点，想跟冒险家再决胜负！	font_5.png	第89关	5	30000007;72000001;43003004;	72000001:5:1;30000006:10:1;43003004:1:1;	3:10000;	100							452	drop_money.png	4	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	71000001:1:1000;71000001:1:1000;71000001:1:1000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;72000001:1:2000;73000001:1:1000;73000001:1:1000;73000001:1:1000;73000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:250;91000001:2:250;70000005:1:300;	75	5_9_senlin	0	0	0	240	120	0	0	1	100	4	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	104001	20	copy_1089			monster_006_idle	0.9	monster_002_idle	0.9	monster_boss_004_idle	0.9	1	
