怪物ID	对象类型	名称	怪物头像资源	二级名称	外观	血条	闲聊对话	地位	是否稀有	等级	类型	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理暴击	魔法暴击	物理暴击抵抗	魔法暴击抵抗	命中率	闪避率	格挡率	格挡值	职业	经验值	随身BUFF1	随身BUFF2	随身BUFF3	随身BUFF4	随身BUFF5	速度	AI	追踪频率	AI激活距离	出生动作	普通攻击	技能1	技能2	技能3	技能4	技能5	技能6	技能7	技能8	技能9	技能10	技能11	技能12	技能13	技能14	普通攻击权重	技能1权重	技能2权重	技能3权重	技能4权重	技能5权重	技能6权重	技能7权重	技能8权重	技能9权重	起身技能概率	反击技能概率	围绕最小距离	围绕最大距离	获得声望	金币掉落数量限制	道具掉落数量限制	阵营	刷新广播	击杀广播	不被击退	不被击飞	不被打断	攻击强制开始时间	模型大小比例	属性自适应
101203	3	冰霜狼人	monster_BSLR.png	0	100701	6	0	0		10	0	63360	339	172	253	185	18	0	284	284	215	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002	21004003								21004006	21004007	21004008			100	200	300								150	150	200	650		100	3	1			0	0	0	2000	1	0
101301	3	猫妖	monster_MN.png	0	100301	2	0	2		11	0	4300	74	35	0	33	27	0	347	347	238	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002									21012005					100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
101302	3	投掷哥布林	monster_TZGBL.png	0	101601	1	0	2		11	0	3870	0	32	70	33	0	27	347	347	238	0	0	8000	0	0	0	0	0	0	0	135	2004	870	1500	monster_007_born_0	21007001	21007003														200	200	100								0	0	175	450		100	1	1			0	0	0	2000	1	0
101303	3	龙女	monster_LN.png	0	100401	1	0	1		11	0	6585	0	36	95	38	0	27	347	347	238	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002														100	100	0								0	0	700	950		100	1	1			0	0	0	2000	1	0
101401	3	铠甲哥布林	monster_GBL.png	0	100101	1	0	2		11	0	4300	84	39	0	41	42	0	347	347	238	0	0	8000	0	0	0	0	0	0	0	150	2001	2000	100	monster_001_non_born_0	21001001	21001201														100	0	0								0	50	110	200		100	1	1			0	0	0	2000	0.9	0
101402	3	哥布林精英	monster_GBLJY.png	0	102801	1	0	1		11	0	6585	104	50	0	52	28	0	347	347	238	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002	21018003								21018005	21018006				100	300	0								100	100	80	300		100	1	1			0	0	0	2000	1	0
101403	3	龙女	monster_LN.png	0	100401	1	0	1		11	0	6585	0	45	109	47	0	28	347	347	238	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002	21011007								21011005	21011006				100	100	0								0	100	700	950		100	1	1			0	0	0	2000	1	0
101501	3	龙女	monster_LN.png	0	100401	1	0	2		11	0	4000	0	49	90	52	0	30	347	347	238	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002														100	100	0								0	0	700	950		100	1	1			0	0	0	2000	1	0
101502	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	1		11	0	6585	130	52	98	53	24	0	347	347	238	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002									21004006	21004007	21004008			100	200	300								0	100	200	650		100	3	1			0	0	0	2000	1	0
101503	3	黄金哥布林	monster_GBL.png	0	100103	1	0	1		11	0	6585	130	55	0	56	45	0	347	347	238	0	0	8000	0	0	0	0	0	0	0	700	2002	400	1024	monster_001_yellow_born_0	21001005	21001019	21001202													100	0	0								100	0	600	900		100	1	1			0	0	0	2000	1	0
101601	3	猫妖	monster_MN.png	0	100301	2	0	2		12	0	3500	104	65	0	60	33	0	388	388	253	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002									21012005					100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
101602	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	2		12	0	3500	104	56	78	57	26	0	388	388	253	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002									21004006					100	200	300								0	0	200	650		100	3	1			0	0	0	2000	1	0
101603	3	夏辞	monster_XC.png	0	1004	7	0	0		12	0	79200	484	214	0	233	33	0	388	388	253	0	0	8000	0	0	0	0	0	0	0	300	30014	770	1500	card_001_born_0	23013001	23013005														200	200	100								150	0	175	450		100	1	1			0	0	0	2000	1	0
101701	3	龙女	monster_LN.png	0	100401	1	0	2		12	0	5380	0	53	109	56	0	34	388	388	253	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011007									21011005	21011006				100	100	0								0	50	700	950		100	1	1			0	0	0	2000	1	0
101702	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	2		12	0	5380	115	50	87	53	27	0	388	388	253	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002	21004003								21004006	21004007	21004008			100	200	300								0	50	200	650		100	3	1			0	0	0	2000	1	0
101703	3	哥布林精英	monster_GBLJY.png	0	102801	1	0	1		12	0	8070	142	70	0	73	34	0	388	388	253	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002	21018003	21018004							21018005	21018006				100	300	0								100	100	80	300		100	1	1			0	0	0	2000	1	0
101801	3	猫女	monster_MN.png	0	100301	2	0	2		12	0	5380	127	66	0	64	36	0	388	388	253	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002									21012005	21012006	21012007			100	100	0								0	50	250	450		100	1	1			0	0	0	2000	0.9	0
101802	3	龙女	monster_LN.png	0	100401	1	0	2		12	0	5380	0	60	119	64	0	36	388	388	253	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011007									21011005	21011006				100	100	0								0	50	700	950		100	1	1			0	0	0	2000	1	0
101803	3	炸弹哥布林	monster_ZDGBL.png	0	102001	1	0	1		12	0	7263	0	69	179	72	0	32	388	388	253	0	0	8000	0	0	0	0	0	0	0	150	2002	400	1024	monster_010_born_0	21010001	21010002	21010008								21010007					100	0	0								100	100	800	900		100	1	1			0	0	0	2000	0.9	0
101901	3	猫女	monster_MN.png	0	100301	2	0	2		13	0	6380	153	69	0	68	45	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002									21012005	21012006	21012007			100	100	0								0	50	250	450		100	1	1			0	0	0	2000	0.9	0
101902	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	2		13	0	6380	153	60	116	65	36	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002									21004006	21004007	21004008			100	200	300								0	50	200	650		100	3	1			0	0	0	2000	1	0
101903	3	暴躁哥布林	monster_GBL.png	0	100105	1	0	1		13	0	9570	211	78	0	82	68	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	150	2003	2000	1024	monster_001_naked_born_0	21001016															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	1.1	0
102001	3	猫女	monster_MN.png	0	100301	2	0	2		13	0	6380	167	78	0	76	47	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002	21012008								21012005	21012006	21012007			100	100	0								0	50	250	450		100	1	1			0	0	0	2000	0.9	0
102002	3	龙女	monster_LN.png	0	100401	1	0	2		13	0	6380	0	71	158	76	0	47	522	522	312	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011007	21011002								21011005	21011006				100	100	0								0	50	700	950		100	1	1			0	0	0	2000	1	0
102003	3	牛头人勇士	monster_PTNTG.png	0	101901	11	0	0		13	0	106286	691	248	0	268	33	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008003								21008008					100	100	300								150	0	150	350		100	1	1			0	0	0	2000	1	0
102101	3	暴躁哥布林	monster_GBL.png	0	100105	1	0	2		13	0	6380	181	79	0	85	74	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	150	2002	2000	100	monster_001_naked_born_0	21001016	21001204														100	0	0								0	0	110	200		100	1	1			0	0	0	2000	1.1	0
102102	3	龙女	monster_LN.png	0	100401	1	0	2		13	0	6380	0	79	171	85	0	49	522	522	312	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002														100	100	0								0	0	700	950		100	1	1			0	0	0	2000	1	0
102103	3	冰霜哥布林	monster_GBL.png	0	100104	2	0	1		13	0	9570	249	98	0	102	74	0	522	522	312	0	0	8000	0	0	0	0	0	0	0	140	2001	1000	1024	monster_001_blue_born_2	21001007	21001017									21001103	21001104				400	0	0								0	100	600	900		100	1	1			0	0	0	2000	1	0
102201	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	2		14	0	7370	188	72	142	79	42	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002									21004006	21004007	21004008			100	200	300								0	0	200	650		100	3	1			0	0	0	2000	1	0
102202	3	牛头人勇士	monster_PTNTG.png	0	101901	1	0	1		14	0	13487	257	98	0	103	37	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008003								21008005	21008006	21008008			100	100	300								0	100	150	350		100	1	1			0	0	0	2000	1	0
102203	3	龙女	monster_LN.png	0	100401	1	0	2		14	0	7370	0	76	177	83	0	53	563	563	339	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011007														100	100	0								0	0	700	950		100	1	1			0	0	0	2000	1	0
102301	3	冰霜哥布林	monster_GBL.png	0	100104	2	0	2		14	0	7370	202	84	0	91	83	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	140	2001	1000	1024	monster_001_blue_born_2	21001007	21001017									21001103	21001104				400	0	0								0	50	600	900		100	1	1			0	0	0	2000	1	0
102302	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	2		14	0	7370	202	80	153	86	44	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_1	21004001	21004002									21004006	21004007	21004008			100	200	300									50	200	650		100	3	1			0	0	0	2000	1	0
102303	3	哥布林亚种	monster_GBL.png	0	100105	1	0	1		14	0	11055	277	108	0	114	83	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	150	2002	2000	100	monster_001_naked_born_0	21001016	21001204									21001105	21001106				100	0	0								100	100	110	200		100	1	1			0	0	0	2000	1.2	0
102401	3	龙女	monster_LN.png	0	100401	1	0	1		14	0	11055	0	118	278	124	0	57	563	563	339	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002	21011007								21011005	21011006				100	100	0								0	100	700	950		100	1	1			0	0	0	2000	1	0
102402	3	冰霜狼人	monster_BSLR.png	0	100701	9	0	0		14	0	95040	824	248	614	270	46	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_3	21004001	21004002	21004010	21004011							21004010					100	200	300								150	0	200	650		100	3	1			0	0	0	2000	1	0
102403	3	哥布林亚种	monster_GBL.png	0	100105	2	0	2		14	0	7370	216	92	0	100	86	0	563	563	339	0	0	8000	0	0	0	0	0	0	0	150	2002	2000	100	monster_001_naked_born_0	21001016										21001105	21001106				100	0	0								0	0	110	200		100	1	1			0	0	0	2000	1.2	0
102501	3	冰霜哥布林	monster_GBL.png	0	100104	2	0	1		15	0	12555	352	127	0	134	104	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	140	2001	1000	1024	monster_001_blue_born_2	21001007	21001017	21001205								21001103	21001104				400	0	0								0	100	600	900		100	1	1			0	0	0	2000	1	0
102502	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	1		15	0	12555	352	121	264	127	55	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_3	21004001	21004002	21004011								21004011	21004007	21004008			100	200	300								0	100	200	650		100	3	1			0	0	0	2000	1	0
102503	3	牛头人勇士	monster_PTNTG.png	0	101901	13	0	0		15	0	125611	975	293	0	318	48	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008003								21008005	21008006	21008008			100	100	300								150	0	150	350		100	1	1			0	0	0	2000	1	0
102601	3	冰霜狼人	monster_BSLR.png	0	100701	2	0	2		15	0	8370	274	100	206	109	58	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	110	100702	1100	750	monster_004_born_3	21004001	21004002									21004011					100	200	300								0	0	200	650		100	3	1			0	0	0	2000	1	0
102602	3	冰霜哥布林	monster_GBL.png	0	100104	2	0	2		15	0	8370	274	105	0	115	108	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	140	2001	1000	1024	monster_001_blue_born_2	21001007	21001017														400	0	0								0	0	600	900		100	1	1			0	0	0	2000	1	0
102603	3	冰霜狼人大哥	monster_BSLR.png	0	100701	10	0	0		15	0	102960	1018	280	759	304	58	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	110	2002	1100	750	monster_004_born_3	21004001	21004014	21004015								21004011					100	200	300								150	0	200	650		100	3	1			0	0	0	2000	1.2	0
102701	3	牛头人勇士	monster_PTNTG.png	0	101901	1	0	1		15	0	15317	399	148	0	156	52	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008003								21008005	21008006	21008008			100	100	300								100	100	150	350		100	1	1			0	0	0	2000	1	0
102702	3	龙女	monster_LN.png	0	100401	1	0	2		15	0	8370	0	113	274	124	0	74	711	711	409	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011007														100	100	0								0	0	700	950		100	1	1			0	0	0	2000	1	0
102703	3	冰霜狼人大哥	monster_BSLR.png	0	100701	2	0	1		15	0	12555	399	141	299	148	59	0	711	711	409	0	0	8000	0	0	0	0	0	0	0	110	2001	1100	750	monster_004_born_3	21004001	21004014	21004015								21004011	21004007	21004008			100	200	300								100	100	200	650		100	3	1			0	0	0	2000	1.2	0
102801	3	哥布林亚种	monster_GBL.png	0	100105	2	0	2		16	0	8770	305	120	0	131	119	0	752	752	443	0	0	8000	0	0	0	0	0	0	0	150	2002	2000	100	monster_001_naked_born_0	21001016										21001105	21001106				100	0	0								0	50	110	200		100	1	1			0	0	0	2000	1.2	0
