技能唯一ID	技能类型	动画资源名	图标	技能名称	释放距离X	释放纵深	职业所属	等级	开启等级	前置技能	前置技能等级	所需金币	材料1	材料1数量	材料2	材料2数量	品质	冷却	物理伤害比例	魔法伤害比例	物理固定伤害	魔法固定伤害	物理暴击值	魔法暴击值	命中值	技能消耗能量	技能说明	天赋预览	伤害类型	其他属性计算
10101008	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	8	26	0	0	0	71000001	9	72000001	5	1	15000	10100	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101%[txt:size=18 color=white]物理伤害；		0	0
10101009	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	9	28	0	0	0	71000001	10	72000001	6	1	15000	10113	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.1%[txt:size=18 color=white]物理伤害；		0	0
10101010	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	10	30	0	0	0	71000001	11	72000001	7	1	15000	10125	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.2%[txt:size=18 color=white]物理伤害；		0	0
10101011	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	11	31	0	0	0	71000001	12	72000001	7	1	15000	10138	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.3%[txt:size=18 color=white]物理伤害；		0	0
10101012	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	12	32	0	0	0	71000001	13	72000001	8	1	15000	10150	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.5%[txt:size=18 color=white]物理伤害；		0	0
10101013	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	13	33	0	0	0	71000001	14	72000001	9	1	15000	10163	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.6%[txt:size=18 color=white]物理伤害；		0	0
10101014	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	14	34	0	0	0	71000001	15	72000001	9	1	15000	10175	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.7%[txt:size=18 color=white]物理伤害；		0	0
10101015	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	15	35	0	0	0	71000001	16	72000001	10	1	15000	10188	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]101.8%[txt:size=18 color=white]物理伤害；		0	0
10101016	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	16	36	0	0	0	71000001	17	72000001	10	1	15000	10200	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102%[txt:size=18 color=white]物理伤害；		0	0
10101017	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	17	37	0	0	0	71000001	18	72000001	11	1	15000	10213	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.1%[txt:size=18 color=white]物理伤害；		0	0
10101018	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	18	38	0	0	0	71000001	19	72000001	12	1	15000	10225	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.2%[txt:size=18 color=white]物理伤害；		0	0
10101019	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	19	39	0	0	0	71000001	20	72000001	12	1	15000	10238	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.3%[txt:size=18 color=white]物理伤害；		0	0
10101020	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	20	40	0	0	0	71000001	21	72000001	13	1	15000	10250	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.5%[txt:size=18 color=white]物理伤害；		0	0
10101021	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	21	41	0	0	0	72000001	13	73000001	7	1	15000	10263	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.6%[txt:size=18 color=white]物理伤害；		0	0
10101022	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	22	42	0	0	0	72000001	14	73000001	7	1	15000	10275	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.7%[txt:size=18 color=white]物理伤害；		0	0
10101023	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	23	43	0	0	0	72000001	15	73000001	8	1	15000	10288	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]102.8%[txt:size=18 color=white]物理伤害；		0	0
10101024	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	24	44	0	0	0	72000001	15	73000001	8	1	15000	10300	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103%[txt:size=18 color=white]物理伤害；		0	0
10101025	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	25	45	0	0	0	72000001	16	73000001	8	1	15000	10313	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.1%[txt:size=18 color=white]物理伤害；		0	0
10101026	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	26	46	0	0	0	72000001	17	73000001	9	1	15000	10325	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.2%[txt:size=18 color=white]物理伤害；		0	0
10101027	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	27	47	0	0	0	72000001	17	73000001	9	1	15000	10338	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.3%[txt:size=18 color=white]物理伤害；		0	0
10101028	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	28	48	0	0	0	72000001	18	73000001	9	1	15000	10350	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.5%[txt:size=18 color=white]物理伤害；		0	0
10101029	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	29	49	0	0	0	72000001	18	73000001	10	1	15000	10363	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.6%[txt:size=18 color=white]物理伤害；		0	0
10101030	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	30	50	0	0	0	72000001	19	73000001	10	1	15000	10375	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.7%[txt:size=18 color=white]物理伤害；		0	0
10101031	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	31	51	0	0	0	72000001	20	73000001	10	1	15000	10388	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]103.8%[txt:size=18 color=white]物理伤害；		0	0
10101032	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	32	52	0	0	0	72000001	20	73000001	11	1	15000	10400	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104%[txt:size=18 color=white]物理伤害；		0	0
10101033	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	33	53	0	0	0	72000001	21	73000001	11	1	15000	10413	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.1%[txt:size=18 color=white]物理伤害；		0	0
10101034	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	34	54	0	0	0	72000001	21	73000001	11	1	15000	10425	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.2%[txt:size=18 color=white]物理伤害；		0	0
10101035	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	35	55	0	0	0	72000001	22	73000001	11	1	15000	10438	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.3%[txt:size=18 color=white]物理伤害；		0	0
10101036	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	36	56	0	0	0	72000001	23	73000001	12	1	15000	10450	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.5%[txt:size=18 color=white]物理伤害；		0	0
10101037	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	37	57	0	0	0	72000001	23	73000001	12	1	15000	10463	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.6%[txt:size=18 color=white]物理伤害；		0	0
10101038	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	38	58	0	0	0	72000001	24	73000001	12	1	15000	10475	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.7%[txt:size=18 color=white]物理伤害；		0	0
10101039	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	39	59	0	0	0	72000001	25	73000001	13	1	15000	10488	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]104.8%[txt:size=18 color=white]物理伤害；		0	0
10101040	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	40	60	0	0	0	72000001	25	73000001	13	1	15000	10500	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105%[txt:size=18 color=white]物理伤害；		0	0
10101041	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	41	61	0	0	0	73000001	14	74000001	9	1	15000	10513	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.1%[txt:size=18 color=white]物理伤害；		0	0
10101042	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	42	62	0	0	0	73000001	14	74000001	9	1	15000	10525	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.2%[txt:size=18 color=white]物理伤害；		0	0
10101043	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	43	63	0	0	0	73000001	15	74000001	10	1	15000	10538	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.3%[txt:size=18 color=white]物理伤害；		0	0
10101044	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	44	64	0	0	0	73000001	16	74000001	10	1	15000	10550	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.5%[txt:size=18 color=white]物理伤害；		0	0
10101045	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	45	65	0	0	0	73000001	16	74000001	11	1	15000	10563	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.6%[txt:size=18 color=white]物理伤害；		0	0
10101046	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	46	66	0	0	0	73000001	17	74000001	11	1	15000	10575	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.7%[txt:size=18 color=white]物理伤害；		0	0
10101047	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	47	67	0	0	0	73000001	17	74000001	12	1	15000	10588	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]105.8%[txt:size=18 color=white]物理伤害；		0	0
10101048	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	48	68	0	0	0	73000001	18	74000001	12	1	15000	10600	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106%[txt:size=18 color=white]物理伤害；		0	0
10101049	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	49	69	0	0	0	73000001	19	74000001	12	1	15000	10613	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.1%[txt:size=18 color=white]物理伤害；		0	0
10101050	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	50	70	0	0	0	73000001	19	74000001	13	1	15000	10625	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.2%[txt:size=18 color=white]物理伤害；		0	0
10101051	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	51	71	0	0	0	73000001	20	74000001	13	1	15000	10638	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.3%[txt:size=18 color=white]物理伤害；		0	0
10101052	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	52	72	0	0	0	73000001	21	74000001	14	1	15000	10650	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.5%[txt:size=18 color=white]物理伤害；		0	0
10101053	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	53	73	0	0	0	73000001	21	74000001	14	1	15000	10663	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.6%[txt:size=18 color=white]物理伤害；		0	0
10101054	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	54	74	0	0	0	73000001	22	74000001	14	1	15000	10675	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.7%[txt:size=18 color=white]物理伤害；		0	0
10101055	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	55	75	0	0	0	73000001	22	74000001	15	1	15000	10688	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]106.8%[txt:size=18 color=white]物理伤害；		0	0
10101056	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	56	76	0	0	0	73000001	23	74000001	15	1	15000	10700	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107%[txt:size=18 color=white]物理伤害；		0	0
10101057	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	57	77	0	0	0	73000001	24	74000001	16	1	15000	10713	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.1%[txt:size=18 color=white]物理伤害；		0	0
10101058	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	58	78	0	0	0	73000001	24	74000001	16	1	15000	10725	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.2%[txt:size=18 color=white]物理伤害；		0	0
10101059	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	59	79	0	0	0	73000001	25	74000001	16	1	15000	10738	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.3%[txt:size=18 color=white]物理伤害；		0	0
10101060	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	60	80	0	0	0	73000001	26	74000001	17	1	15000	10750	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.5%[txt:size=18 color=white]物理伤害；		0	0
10101061	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	61	80	0	0	0	74000001	18	75000001	9	1	15000	10763	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.6%[txt:size=18 color=white]物理伤害；		0	0
10101062	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	62	81	0	0	0	74000001	19	75000001	10	1	15000	10775	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.7%[txt:size=18 color=white]物理伤害；		0	0
10101063	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	63	81	0	0	0	74000001	20	75000001	10	1	15000	10788	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]107.8%[txt:size=18 color=white]物理伤害；		0	0
10101064	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	64	82	0	0	0	74000001	22	75000001	11	1	15000	10800	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108%[txt:size=18 color=white]物理伤害；		0	0
10101065	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	65	82	0	0	0	74000001	23	75000001	11	1	15000	10813	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.1%[txt:size=18 color=white]物理伤害；		0	0
10101066	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	66	83	0	0	0	74000001	24	75000001	12	1	15000	10825	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.2%[txt:size=18 color=white]物理伤害；		0	0
10101067	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	67	83	0	0	0	74000001	25	75000001	13	1	15000	10838	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.3%[txt:size=18 color=white]物理伤害；		0	0
10101068	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	68	84	0	0	0	74000001	27	75000001	13	1	15000	10850	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.5%[txt:size=18 color=white]物理伤害；		0	0
10101069	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	69	84	0	0	0	74000001	28	75000001	14	1	15000	10863	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.6%[txt:size=18 color=white]物理伤害；		0	0
10101070	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	70	85	0	0	0	74000001	29	75000001	14	1	15000	10875	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.7%[txt:size=18 color=white]物理伤害；		0	0
10101071	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	71	85	0	0	0	74000001	30	75000001	15	1	15000	10888	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]108.8%[txt:size=18 color=white]物理伤害；		0	0
10101072	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	72	86	0	0	0	74000001	31	75000001	16	1	15000	10900	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]109%[txt:size=18 color=white]物理伤害；		0	0
10101073	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	73	86	0	0	0	74000001	33	75000001	16	1	15000	10913	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]109.1%[txt:size=18 color=white]物理伤害；		0	0
