id	变量名	描述	参数
70	washlock2	锁定洗练属性第2次消耗	100
71	washlock3	锁定洗练属性第3次消耗	200
72	WarehouseMax	仓库最大上限	999
73	playpv	玩家角色最大等级上限	100
74	BayGold	购买金币的基础次数	3
75	Power	每日领取体力时一次领取的量	50
76	GoldGift	黄金礼包VIP门槛	2
77	DiamondGift	钻石礼包VIP门槛	5
78	Raidsprice	1张扫荡券=2钻石	2
79	Festival_Battle_bucket	活动关卡——猪突猛进的次数	3
80	Festival_Battle_boar	活动关卡——木桶阵的次数	3
81	addexpcnt	急速时刻次数	2
82	addmoneycnt	极限挑战次数	2
83	viptop	VIP等级上限	15
84	addEndlessTower	无尽塔次数	1
85	Required_Level	洗练要求装备等级	25
86	Autofight	自动战斗开启等级	25
87	substitution1	替补1开启等级	26
88	substitution2	替补2开启等级	31
89	substitution3	替补3开启等级	36
90	substitution4	替补4开启等级	41
91	substitution5	替补5开启等级	46
92	substitution6	替补6开启等级	51
93	substitution7	替补7开启等级	56
94	contract	契约书购买价格（钻石）	600
95	scavenger_time	拾荒结束时间	600
96	friend_limit	好友最大数量	50
97	OpenPickingUp	拾荒开启等级	29
98	intervaltime	吐槽播放间隔时间（秒）	1
99	duration	单条吐槽内容持续时间（秒）	10
100	comment_capacity	一页吐槽内容承载条数	200
101	mail_read_save	纯文本邮件阅读保留时间	3600000
102	scavenger_probability	副本碰到拾荒的概率	5
103	card_baseline	新招募性格材料最小限制	1
104	card_upline	新招募性格材料最大限制	10
105	card_addcoins	普通探员金币加减值	500
106	card_adddiamond	高级探员钻石加减值	25
107	card_addcoins_upline	普通探员金币打赏上限	10000
108	card_adddiamond_upline	高级探员钻石打赏上限	500
109	strategy_upline	全服招募配方显示上限	100
110	collect_upline	个人收藏配方上限	100
111	cardmaterial30000001	自信材料价格（钻石）	1
112	cardmaterial30000002	认真材料价格（钻石）	1
113	cardmaterial30000003	心计材料价格（钻石）	1
114	cardmaterial30000004	勇敢材料价格（钻石）	1
115	cardmaterial30000005	谨慎材料价格（钻石）	1
116	cardmaterial30000006	运气材料价格（钻石）	1
117	cardaccelerate10000004	招募加速道具价格（钻石）	50
118	firstcard	首次抽卡获取newcardWarehouse表此ID的卡牌	14
119	vipspy	VIP探员显示条件（VIP等级）	9
120	strategy_upline_orange	全服橙色卡牌招募攻略显示上限	40
121	strategy_upline_purple	全服紫色卡牌招募攻略显示上限	30
122	strategy_upline_blue	全服蓝色卡牌招募攻略显示上限	30
123	payseat1	付费解锁1次替补位	50
124	payseat2	付费解锁2次替补位	100
125	payseat3	付费解锁3次替补位	150
126	payseat4	付费解锁4次替补位	200
127	payseat5	付费解锁5次替补位	250
128	payseat6	付费解锁6次替补位	300
129	bench_cout	替补个数	7
130	is_fight_verify	表示是否开启战斗验证	1
131	monthCard_award	表示月卡单次可领钻石有多少	100
132	monthCard_times	表示月卡共可领取几次奖励	30
133	monthCard_FirstAward	表示购买月卡后可立得多少钻石	250
134	MagicUnlock	表示每张卡片所能解锁魔法回路的等级	35
135	ReleaseCombine2	解魔时，出现2个元素的概率	5
136	ReleaseCombine3	解魔时，出现3个元素的概率	90
137	ReleaseCombine4	解魔时，出现4个元素的概率	4
138	ReleaseCombine5	解魔时，出现5个元素的概率	1
139	FailedItem	注魔后导致元素组合无匹配时所得物	86001019
140	ReleaseCost	解魔时，需消耗的魔晶石数量	1
141	nearby1	1号回路相邻位	12
142	nearby2	2号回路相邻位	18
143	nearby3	3号回路相邻位	18
144	nearby4	4号回路相邻位	12
145	ReleasePrice	解魔单价	2000
146	RejectPrice	注魔单价	1000
147	ReleaseCost	解魔所用货币	1
148	RejectCost	注魔所用货币	1
149	bosstime	挑战boss冷却时间	600
150	paytime	消除boss冷却时间消耗钻石数量	50
