图纸ID	所需职业	所需角色	所需装备ID	产出装备ID	消耗材料	削减等级	锻造价格
51111000	11	41104	0	41111004	51111000:1;60000002:9;60000003:9;60000004:7;	0	10000
52111000	11	41104	41111004	42111004	52111000:1;61000002:12;61000003:11;60000002:10;60000003:12;60000004:10;	10	50000
53111000	11	41104	42111004	43111004	53111000:1;62000002:15;61000002:15;61000003:15;61000004:15;60000002:14;	10	150000
54111000	11	41104	43111004	44111004	54111000:1;62000002:17;62000003:17;61000002:17;61000003:17;61000004:17;	10	500000
55111000	11	41104	44111004	45111004	55111000:1;64000002:20;62000002:18;62000003:18;62000004:18;61000002:18;	10	1000000
56111000	11	41104	45111004	46111004	56111000:1;64000002:22;64000003:24;62000004:20;62000005:20;62000006:23;	10	3000000
51121000	12	21202	0	41121002	51121000:1;60000003:9;60000004:9;60000005:7;	0	10000
52121000	12	21202	41121002	42121002	52121000:1;61000003:12;61000004:11;60000003:10;60000004:12;60000005:10;	10	50000
53121000	12	21202	42121002	43121002	53121000:1;62000003:15;61000003:15;61000004:15;61000005:15;60000003:14;	10	150000
54121000	12	21202	43121002	44121002	54121000:1;62000003:17;62000004:17;61000003:17;61000004:17;61000005:17;	10	500000
55121000	12	21202	44121002	45121002	55121000:1;64000003:20;62000003:18;62000004:18;62000005:18;61000003:18;	10	1000000
56121000	12	21202	45121002	0
51121000	12	41203	0	41121003	51121000:1;60000003:9;60000004:9;60000005:7;	0	10000
52121000	12	41203	41121003	42121003	52121000:1;61000003:12;61000004:11;60000003:10;60000004:12;60000005:10;	10	50000
53121000	12	41203	42121003	43121003	53121000:1;62000003:15;61000003:15;61000004:15;61000005:15;60000003:14;	10	150000
54121000	12	41203	43121003	44121003	54121000:1;62000003:17;62000004:17;61000003:17;61000004:17;61000005:17;	10	500000
55121000	12	41203	44121003	45121003	55121000:1;64000003:20;62000003:18;62000004:18;62000005:18;61000003:18;	10	1000000
56121000	12	41203	45121003	46121003	56121000:1;64000003:22;64000004:24;62000005:20;62000006:20;62000007:23;	10	3000000
51121000	12	41204	0	41121004	51121000:1;60000003:9;60000004:9;60000005:7;	0	10000
52121000	12	41204	41121004	42121004	52121000:1;61000003:12;61000004:11;60000003:10;60000004:12;60000005:10;	10	50000
53121000	12	41204	42121004	43121004	53121000:1;62000003:15;61000003:15;61000004:15;61000005:15;60000003:14;	10	150000
54121000	12	41204	43121004	44121004	54121000:1;62000003:17;62000004:17;61000003:17;61000004:17;61000005:17;	10	500000
55121000	12	41204	44121004	45121004	55121000:1;64000003:20;62000003:18;62000004:18;62000005:18;61000003:18;	10	1000000
56121000	12	41204	45121004	46121004	56121000:1;64000003:22;64000004:24;62000005:20;62000006:20;62000007:23;	10	3000000
51121000	12	41205	0	41121005	51121000:1;60000003:9;60000004:9;60000005:7;	0	10000
52121000	12	41205	41121005	42121005	52121000:1;61000003:12;61000004:11;60000003:10;60000004:12;60000005:10;	10	50000
53121000	12	41205	42121005	43121005	53121000:1;62000003:15;61000003:15;61000004:15;61000005:15;60000003:14;	10	150000
54121000	12	41205	43121005	44121005	54121000:1;62000003:17;62000004:17;61000003:17;61000004:17;61000005:17;	10	500000
55121000	12	41205	44121005	45121005	55121000:1;64000003:20;62000003:18;62000004:18;62000005:18;61000003:18;	10	1000000
56121000	12	41205	45121005	46121005	56121000:1;64000003:22;64000004:24;62000005:20;62000006:20;62000007:23;	10	3000000
51121000	12	51206	0	41121006	51121000:1;60000003:9;60000004:9;60000005:7;	0	10000
52121000	12	51206	41121006	42121006	52121000:1;61000003:12;61000004:11;60000003:10;60000004:12;60000005:10;	10	50000
53121000	12	51206	42121006	43121006	53121000:1;62000003:15;61000003:15;61000004:15;61000005:15;60000003:14;	10	150000
54121000	12	51206	43121006	44121006	54121000:1;62000003:17;62000004:17;61000003:17;61000004:17;61000005:17;	10	500000
55121000	12	51206	44121006	45121006	55121000:1;64000003:20;62000003:18;62000004:18;62000005:18;61000003:18;	10	1000000
56121000	12	51206	45121006	46121006	56121000:1;64000003:22;64000004:24;62000005:20;62000006:20;62000007:23;	10	3000000
51131000	13	21302	0	41131002	51131000:1;60000004:9;60000005:9;60000006:7;	0	10000
52131000	13	21302	41131002	42131002	52131000:1;61000004:12;61000005:11;60000004:10;60000005:12;60000006:10;	10	50000
53131000	13	21302	42131002	43131002	53131000:1;62000004:15;61000004:15;61000005:15;61000006:15;60000004:14;	10	150000
54131000	13	21302	43131002	44131002	54131000:1;62000004:17;62000005:17;61000004:17;61000005:17;61000006:17;	10	500000
55131000	13	21302	44131002	45131002	55131000:1;64000004:20;62000004:18;62000005:18;62000006:18;61000004:18;	10	1000000
56131000	13	21302	45131002	0
51131000	13	21303	0	41131003	51131000:1;60000004:9;60000005:9;60000006:7;	0	10000
52131000	13	21303	41131003	42131003	52131000:1;61000004:12;61000005:11;60000004:10;60000005:12;60000006:10;	10	50000
53131000	13	21303	42131003	43131003	53131000:1;62000004:15;61000004:15;61000005:15;61000006:15;60000004:14;	10	150000
54131000	13	21303	43131003	44131003	54131000:1;62000004:17;62000005:17;61000004:17;61000005:17;61000006:17;	10	500000
55131000	13	21303	44131003	45131003	55131000:1;64000004:20;62000004:18;62000005:18;62000006:18;61000004:18;	10	1000000
56131000	13	21303	45131003	0
51131000	13	31304	0	41131004	51131000:1;60000004:9;60000005:9;60000006:7;	0	10000
52131000	13	31304	41131004	42131004	52131000:1;61000004:12;61000005:11;60000004:10;60000005:12;60000006:10;	10	50000
53131000	13	31304	42131004	43131004	53131000:1;62000004:15;61000004:15;61000005:15;61000006:15;60000004:14;	10	150000
54131000	13	31304	43131004	44131004	54131000:1;62000004:17;62000005:17;61000004:17;61000005:17;61000006:17;	10	500000
55131000	13	31304	44131004	45131004	55131000:1;64000004:20;62000004:18;62000005:18;62000006:18;61000004:18;	10	1000000
56131000	13	31304	45131004	0
51131000	13	41305	0	41131005	51131000:1;60000004:9;60000005:9;60000006:7;	0	10000
52131000	13	41305	41131005	42131005	52131000:1;61000004:12;61000005:11;60000004:10;60000005:12;60000006:10;	10	50000
53131000	13	41305	42131005	43131005	53131000:1;62000004:15;61000004:15;61000005:15;61000006:15;60000004:14;	10	150000
54131000	13	41305	43131005	44131005	54131000:1;62000004:17;62000005:17;61000004:17;61000005:17;61000006:17;	10	500000
55131000	13	41305	44131005	45131005	55131000:1;64000004:20;62000004:18;62000005:18;62000006:18;61000004:18;	10	1000000
56131000	13	41305	45131005	46131005	56131000:1;64000004:22;64000005:24;62000006:20;62000007:20;62000008:23;	10	3000000
51131000	13	41306	0	41131006	51131000:1;60000004:9;60000005:9;60000006:7;	0	10000
52131000	13	41306	41131006	42131006	52131000:1;61000004:12;61000005:11;60000004:10;60000005:12;60000006:10;	10	50000
53131000	13	41306	42131006	43131006	53131000:1;62000004:15;61000004:15;61000005:15;61000006:15;60000004:14;	10	150000
54131000	13	41306	43131006	44131006	54131000:1;62000004:17;62000005:17;61000004:17;61000005:17;61000006:17;	10	500000
55131000	13	41306	44131006	45131006	55131000:1;64000004:20;62000004:18;62000005:18;62000006:18;61000004:18;	10	1000000
56131000	13	41306	45131006	46131006	56131000:1;64000004:22;64000005:24;62000006:20;62000007:20;62000008:23;	10	3000000
51131000	13	51307	0	41131007	51131000:1;60000004:9;60000005:9;60000006:7;	0	10000
52131000	13	51307	41131007	42131007	52131000:1;61000004:12;61000005:11;60000004:10;60000005:12;60000006:10;	10	50000
53131000	13	51307	42131007	43131007	53131000:1;62000004:15;61000004:15;61000005:15;61000006:15;60000004:14;	10	150000
54131000	13	51307	43131007	44131007	54131000:1;62000004:17;62000005:17;61000004:17;61000005:17;61000006:17;	10	500000
55131000	13	51307	44131007	45131007	55131000:1;64000004:20;62000004:18;62000005:18;62000006:18;61000004:18;	10	1000000
56131000	13	51307	45131007	46131007	56131000:1;64000004:22;64000005:24;62000006:20;62000007:20;62000008:23;	10	3000000
51201000	20	2	0	41201001	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	2	41201001	42201001	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	2	42201001	43201001	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	2	43201001	44201001	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	2	44201001	45201001	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	2	45201001	46201001	56201000:1;64000006:22;64000007:24;62000008:22;62000009:22;62000010:24;	10	3000000
51201000	20	12002	0	41201002	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	12002	41201002	42201002	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	12002	42201002	43201002	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	12002	43201002	44201002	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	12002	44201002	45201002	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	12002	45201002	0
51201000	20	12003	0	41201003	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	12003	41201003	42201003	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	12003	42201003	43201003	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	12003	43201003	44201003	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	12003	44201003	45201003	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	12003	45201003	0
51201000	20	22004	0	41201004	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	22004	41201004	42201004	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	22004	42201004	43201004	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	22004	43201004	44201004	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	22004	44201004	45201004	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	22004	45201004	0
51201000	20	32005	0	41201005	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	32005	41201005	42201005	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	32005	42201005	43201005	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	32005	43201005	44201005	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	32005	44201005	45201005	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	32005	45201005	0
51201000	20	42006	0	41201006	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	42006	41201006	42201006	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	42006	42201006	43201006	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	42006	43201006	44201006	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	42006	44201006	45201006	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	42006	45201006	46201006	56201000:1;64000006:22;64000007:24;62000008:22;62000009:22;62000010:24;	10	3000000
51201000	20	42007	0	41201007	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	42007	41201007	42201007	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	42007	42201007	43201007	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	42007	43201007	44201007	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	42007	44201007	45201007	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	42007	45201007	46201007	56201000:1;64000006:22;64000007:24;62000008:22;62000009:22;62000010:24;	10	3000000
51201000	20	52008	0	41201008	51201000:1;60000006:9;60000001:9;60000002:8;	0	10000
52201000	20	52008	41201008	42201008	52201000:1;61000006:12;61000007:11;60000005:10;60000006:12;60000001:10;	10	50000
53201000	20	52008	42201008	43201008	53201000:1;62000006:16;61000006:15;61000007:15;61000008:15;60000005:14;	10	150000
54201000	20	52008	43201008	44201008	54201000:1;62000006:19;62000007:19;61000006:17;61000007:17;61000008:17;	10	500000
55201000	20	52008	44201008	45201008	55201000:1;64000006:20;62000006:20;62000007:20;62000008:20;61000005:18;	10	1000000
56201000	20	52008	45201008	46201008	56201000:1;64000006:22;64000007:24;62000008:22;62000009:22;62000010:24;	10	3000000
51211000	21	12102	0	41211002	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	12102	41211002	42211002	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	12102	42211002	43211002	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	12102	43211002	44211002	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	12102	44211002	45211002	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	12102	45211002	0
51211000	21	22103	0	41211003	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	22103	41211003	42211003	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	22103	42211003	43211003	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	22103	43211003	44211003	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	22103	44211003	45211003	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	22103	45211003	0
51211000	21	32104	0	41211004	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	32104	41211004	42211004	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	32104	42211004	43211004	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	32104	43211004	44211004	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	32104	44211004	45211004	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	32104	45211004	0
51211000	21	42105	0	41211005	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	42105	41211005	42211005	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	42105	42211005	43211005	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	42105	43211005	44211005	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	42105	44211005	45211005	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	42105	45211005	46211005	56211000:1;64000005:22;64000006:24;62000007:22;62000008:22;62000009:24;	10	3000000
51211000	21	42106	0	41211006	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	42106	41211006	42211006	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	42106	42211006	43211006	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	42106	43211006	44211006	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	42106	44211006	45211006	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	42106	45211006	46211006	56211000:1;64000005:22;64000006:24;62000007:22;62000008:22;62000009:24;	10	3000000
51211000	21	42107	0	41211007	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	42107	41211007	42211007	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	42107	42211007	43211007	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	42107	43211007	44211007	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	42107	44211007	45211007	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	42107	45211007	46211007	56211000:1;64000005:22;64000006:24;62000007:22;62000008:22;62000009:24;	10	3000000
51211000	21	42108	0	41211008	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	42108	41211008	42211008	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	42108	42211008	43211008	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	42108	43211008	44211008	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	42108	44211008	45211008	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	42108	45211008	46211008	56211000:1;64000005:22;64000006:24;62000007:22;62000008:22;62000009:24;	10	3000000
51211000	21	42109	0	41211009	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	42109	41211009	42211009	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	42109	42211009	43211009	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	42109	43211009	44211009	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	42109	44211009	45211009	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	42109	45211009	46211009	56211000:1;64000005:22;64000006:24;62000007:22;62000008:22;62000009:24;	10	3000000
51211000	21	52110	0	41211010	51211000:1;60000001:9;60000002:9;60000003:7;	0	10000
52211000	21	52110	41211010	42211010	52211000:1;61000005:12;61000006:11;60000006:10;60000001:12;60000002:10;	10	50000
53211000	21	52110	42211010	43211010	53211000:1;62000005:16;61000005:15;61000006:15;61000007:15;60000006:14;	10	150000
54211000	21	52110	43211010	44211010	54211000:1;62000005:19;62000006:19;61000005:17;61000006:17;61000007:17;	10	500000
55211000	21	52110	44211010	45211010	55211000:1;64000005:20;62000005:18;62000006:18;62000007:18;61000006:18;	10	1000000
56211000	21	52110	45211010	46211010	56211000:1;64000005:22;64000006:24;62000007:22;62000008:22;62000009:24;	10	3000000
51221000	22	32202	0	41221002	51221000:1;60000002:9;60000003:9;60000004:7;	0	10000
52221000	22	32202	41221002	42221002	52221000:1;61000007:12;61000008:11;60000001:12;60000002:12;60000003:10;	10	50000
53221000	22	32202	42221002	43221002	53221000:1;62000007:16;61000007:15;61000008:15;61000001:15;60000001:14;	10	150000
54221000	22	32202	43221002	44221002	54221000:1;62000007:19;62000008:19;61000007:17;61000008:17;61000001:17;	10	500000
55221000	22	32202	44221002	45221002	55221000:1;64000007:20;62000007:20;62000008:20;62000009:20;61000007:18;	10	1000000
56221000	22	32202	45221002	0
51221000	22	42203	0	41221003	51221000:1;60000002:9;60000003:9;60000004:7;	0	10000
52221000	22	42203	41221003	42221003	52221000:1;61000007:12;61000008:11;60000001:12;60000002:12;60000003:10;	10	50000
53221000	22	42203	42221003	43221003	53221000:1;62000007:16;61000007:15;61000008:15;61000001:15;60000001:14;	10	150000
54221000	22	42203	43221003	44221003	54221000:1;62000007:19;62000008:19;61000007:17;61000008:17;61000001:17;	10	500000
55221000	22	42203	44221003	45221003	55221000:1;64000007:20;62000007:20;62000008:20;62000009:20;61000007:18;	10	1000000
56221000	22	42203	45221003	46221003	56221000:1;64000007:22;64000008:24;62000009:22;62000010:22;62000001:24;	10	3000000
51221000	22	42204	0	41221004	51221000:1;60000002:9;60000003:9;60000004:7;	0	10000
52221000	22	42204	41221004	42221004	52221000:1;61000007:12;61000008:11;60000001:12;60000002:12;60000003:10;	10	50000
53221000	22	42204	42221004	43221004	53221000:1;62000007:16;61000007:15;61000008:15;61000001:15;60000001:14;	10	150000
54221000	22	42204	43221004	44221004	54221000:1;62000007:19;62000008:19;61000007:17;61000008:17;61000001:17;	10	500000
55221000	22	42204	44221004	45221004	55221000:1;64000007:20;62000007:20;62000008:20;62000009:20;61000007:18;	10	1000000
56221000	22	42204	45221004	46221004	56221000:1;64000007:22;64000008:24;62000009:22;62000010:22;62000001:24;	10	3000000
51221000	22	52205	0	41221005	51221000:1;60000002:9;60000003:9;60000004:7;	0	10000
52221000	22	52205	41221005	42221005	52221000:1;61000007:12;61000008:11;60000001:12;60000002:12;60000003:10;	10	50000
53221000	22	52205	42221005	43221005	53221000:1;62000007:16;61000007:15;61000008:15;61000001:15;60000001:14;	10	150000
