技能唯一ID	技能类型0-14	动画资源名	图标	技能名称	技能释放距离	释放纵深	职业所属	等级	开启等级	前置技能	前置技能等级	所需金币	材料1	材料1数量	材料2	材料2数量	品质	冷却	物理伤害比例	魔法伤害比例	物理固定伤害	魔法固定伤害	物理暴击值	魔法暴击值	命中值	技能消耗能量	技能说明	天赋预览	伤害类型	其他属性计算
21001011	15	monster_001_blue_born_2		蓝色哥布林烟雾出生动画2	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蓝色哥布林基础出生动画2		0	0
21001012	16	monster_001_red_born_2		红色哥布林烟雾出生动画2	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	红色哥布林基础出生动画2		0	0
21001013	17	monster_001_yellow_born_2		黄色哥布林烟雾出生动画2	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	黄色哥布林基础出生动画2		0	0
21001014	4	monster_001_atk1_red_boss		红色哥布林boss攻击带爆炸	1200	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	红色哥布林boss攻击带爆炸		0	0
21001015	18	monster_001_naked_born_0		无盔甲哥布林基础出生动画0	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	无盔甲哥布林基础出生动画		0	0
21001016	5	monster_001_atk1_naked		无盔甲哥布林抡锤子攻击	180	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	无盔甲哥布林普通攻击		0	0
21001017	6	monster_001_atk1_blue_boss		冰霜哥布林boss攻击带冰块	180	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜哥布林普攻冰块		0	0
21001018	7	monster_001_atk1_non_elite		紫色哥布林精英霸体	180	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜哥布林普攻冰块		0	0
21001019	8	monster_001_atk1_yellow_boss	item_skill_1720.png	黄金哥布林boss残影攻击	180	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜哥布林普攻冰块		0	0
21003001	0	monster_003_atk1		小精灵双刀前刺攻击	450	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵双刀前刺攻击		0	0
21003002	1	monster_003_skill1		小精灵跳刀下劈技能	250	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵跳刀下劈技能		0	0
21003003	2	monster_003_skill2		小精灵跳到下劈前冲技能	250	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵跳到下劈前冲技能		0	0
21003004	3	monster_003_atk2		小精灵飞镖攻击	700	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵飞镖攻击		0	0
21003005	4	monster_003_atk3		小精灵连续飞镖攻击	700	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵连续飞镖攻击		0	0
21003006	10	monster_003_born_0		小精灵基础出生动画0	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵基础出生动画0		0	0
21003007	11	monster_003_born_1		小精灵出生动画1 场景落下	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵出生动画1 场景落下		0	0
21003008	5	monster_003_atk2_super		小精灵飞镖攻击-霸体	700	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵飞镖攻击-霸体		0	0
21003009	12	monster_003_hurt		小精灵受击反击技65%突刺35%跳刺	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵受击反击技65%突刺35%跳刺		0	0
21003010	13	monster_003_hurt1		小精灵受击反击技65%突刺35%跳刺	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵受击反击技65%突刺35%跳刺		0	0
21003011	14	monster_003_up		小精灵倒地起身跳刺	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵倒地起身跳刺		0	0
21003012	15	monster_003_born_2		小精灵基础出生动画1入场丢飞镖然后跑掉(暂时废弃)	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵基础出生动画1入场丢飞镖然后跑掉		0	0
21003013	16	monster_003_born_3		小精灵普通下落出生	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小精灵普通下落出生		0	0
21012001	0	monster_012_atk1		猫女挥抓攻击	100	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女挥抓攻击		0	0
21012002	1	monster_012_skill1		猫女后跳前扑技能	500	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女后跳前扑技能		0	0
21012003	10	monster_012_born_0		猫女基础出生动画0	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女基础出生动画0		0	0
21012004	11	monster_012_born_1		猫女出生动画_残影走路进场	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女出生动画_残影走路进场		0	0
21012005	12	monster_012_hurt		猫女受击反击技75%普攻25%前扑	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女受击反击技75%普攻25%前扑		0	0
21012006	13	monster_012_hurt1		猫女受击反击技75%普攻25%前扑	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女受击反击技75%普攻25%前扑		0	0
21012007	14	monster_012_up		猫女倒地起身前扑	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女倒地起身前扑		0	0
21012008	2	monster_012_skill2		猫女全屏随机3抓	400	20	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	猫女全屏随机3抓		0	0
21011001	0	monster_011_atk1		小鹿挥鞭子攻击1	420	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿挥鞭子攻击1		0	0
21011002	1	monster_011_atk2		小鹿挥鞭子攻击2	420	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿挥鞭子攻击2		0	0
21011003	2	monster_011_atk3		小鹿挥鞭子2连击	420	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿挥鞭子2连击		0	0
21011004	10	monster_011_up		小鹿起身技掉炸弹	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿起身技掉炸弹		0	0
21011005	11	monster_011_hurt		小鹿受击反击技掉炸弹	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿受击反击技掉炸弹		0	0
21011006	12	monster_011_hurt1		小鹿受击反击技掉炸弹	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿受击反击技掉炸弹		0	0
21011007	3	monster_011_skill1		小鹿丢3个炸弹	420	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿丢3个炸弹		0	0
21011008	13	monster_011_born_0		小鹿基础出生动画0	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	小鹿基础出生动画0		0	0
21016001	0	monster_016_atk1		女僵尸双爪攻击	200	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸双爪攻击		0	0
21016002	14	monster_016_born_0		女僵尸烟雾出生动画0	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸基础出生动画0		0	0
21016003	15	monster_016_born_1		女僵尸由躺着直接直立	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸由躺着直接直立		0	0
21016004	16	monster_016_hurt		女僵尸受击反击前抓	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸受击反击前抓		0	0
21016007	1	monster_016_skill1		女僵尸技能1鬼影抓	200	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸技能1鬼影抓		0	0
21016005	17	monster_016_hurt1		女僵尸受击反击前抓	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸受击反击前抓		0	0
21016006	18	monster_016_activity_run		女僵尸残影移动	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	女僵尸残影移动		0	0
21005001	0	monster_005_atk1		男僵尸挥刀砍击	190	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸挥刀砍击		0	0
21005002	1	monster_005_atk2		男僵尸挥刀砍击2下	190	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸挥刀砍击2下		0	0
21005003	2	monster_005_atk2		男僵尸喷毒技能	270	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸喷毒技能		0	0
21005004	3	monster_005_atk2		男僵尸喷毒技能2	270	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸喷毒技能2		0	0
21005005	4	monster_005_atk2		男僵尸喷毒技能3	270	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸喷毒技能3		0	0
21005006	10	monster_005_born_0		男僵尸基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸基础出生动画		0	0
21005007	11	monster_005_born_1		男僵尸天上掉下来	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸天上掉下来		0	0
21005008	12	monster_005_born_2		男僵尸出生动画_爬出来	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸出生动画_爬出来		0	0
21005009	13	monster_005_hurt		男僵尸受击反击砍	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸受击反击砍		0	0
21005010	14	monster_005_hurt1		男僵尸受击反击砍	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	男僵尸受击反击砍		0	0
21004001	0	monster_004_atk1		冰霜狼人单手刺击	150	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人单手刺击		0	0
21004002	1	monster_004_skill1		冰霜狼人龙卷风实时追踪	900	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人龙卷风实时追踪		0	0
21004003	2	monster_004_skill2		冰霜狼人龙卷风定点追踪	900	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人龙卷风定点追踪		0	0
21004004	10	monster_004_born_0		冰霜狼人基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人基础出生动画		0	0
21004005	11	monster_004_born_1		冰霜狼人旋风进场出生动作1520码	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人旋风进场出生动作400码		0	0
21004006	12	monster_004_born_2		冰霜狼人旋风进场出生动作800码	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人旋风进场出生动作800码		0	0
21004007	13	monster_004_hurt		冰霜狼人受击反击80%普攻20%转	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人受击反击80%普攻20%转		0	0
21004008	14	monster_004_hurt1		冰霜狼人受击反击80%普攻20%转	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人受击反击80%普攻20%转		0	0
21004009	15	monster_004_up		冰霜狼人起身定点追踪转	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人起身定点追踪转		0	0
21004010	16	monster_004_born_3		冰霜狼人sin曲线入场	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人sin曲线入场		0	0
21004011	17	monster_004_born_4		冰霜狼人对角斜线入场	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人对角斜线入场		0	0
21004012	18	monster_004_born_5		冰霜狼人快速残影进场	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人残影快速进场		0	0
21004013	3	monster_004_skill3		冰霜狼人原地大旋风	250	60	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜狼人原地大风车		0	0
21002001	0	monster_002_atk1		蝎子男踢腿攻击	250	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蝎子男踢腿攻击		0	0
21002002	1	monster_002_skill1		蝎子男飞爪技能	1000	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蝎子男飞爪技能		0	0
21002003	10	monster_002_born_0		蝎子男基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蝎子男基础出生动画		0	0
21002004	11	monster_002_hurt		蝎子男受击反击踢	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蝎子男受击反击踢		0	0
21002005	12	monster_002_hurt1		蝎子男受击反击踢	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蝎子男受击反击踢		0	0
21009001	0	monster_009_atk1		骷髅法师挥杖攻击	200	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师挥杖攻击		0	0
21009002	1	monster_009_skill1		骷髅法师圆球追踪技能	900	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师圆球追踪技能		0	0
21009003	2	monster_009_skill1_2		骷髅法师散弹圆球5连发	900	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师散弹圆球5连发		0	0
21009004	3	monster_009_skill2		骷髅法师墓碑技能	900	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师墓碑技能		0	0
21009005	4	monster_009_skill3_shunyi		骷髅法师瞬移+5连发圆球	350	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师瞬移+5连发圆球		0	0
21009006	10	monster_009_born_0		骷髅法师基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师基础出生动画		0	0
21009007	11	monster_009_born_1		骷髅法师墓碑掉落出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师墓碑掉落出生动画		0	0
21009008	12	monster_009_born_2		骷髅法师绿火粒子出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师绿火粒子出生动画		0	0
21009009	13	monster_009_hurt		骷髅法师受击反击75%普通攻击25%瞬移	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师受击反击75%普通攻击25%瞬移		0	0
21009010	14	monster_009_hurt1		骷髅法师受击反击75%普通攻击25%瞬移	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师受击反击75%普通攻击25%瞬移		0	0
21009011	15	monster_009_up		骷髅法师倒地起身瞬移	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师倒地起身瞬移		0	0
21009012	16	monster_009_summon		骷髅法师法阵召唤Summon	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师法阵召唤Summon		0	0
21009013	17	monster_009_mubei_summon		骷髅法师墓碑召唤Summon	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	骷髅法师墓碑召唤Summon		0	0
21009014	18	monster_009_activity_move		活动关卡植物大战僵尸移动	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	活动关卡植物大战僵尸移动		0	0
22011001	0	monster_boss_011_atk1		精灵射手射箭攻击	900	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手射箭攻击		0	0
22011002	1	monster_boss_011_autoRun		精灵射手后撤射箭	250	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手后撤射箭		0	0
22011003	2	monster_boss_011_skill2		精灵射手满天飞箭技能	900	35	0	0	1	0	0	0	0	0	0	0	1	10000	10000	10000	0	0	0	0	10000	0	精灵射手满天飞箭技能		0	0
22011004	3	monster_boss_011_choose		精灵射手残影移动	500	600	0	0	1	0	0	0	0	0	0	0	1	20000	10000	10000	0	0	0	0	10000	0	精灵射手残影移动		0	0
22011005	4	monster_boss_011_choose_3duan		精灵射手3段残影移动	500	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手3段残影移动		0	0
22011006	10	monster_boss_011_skill3_summon		精灵射手召唤小精灵攻击	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手召唤小精灵攻击		0	0
22011007	6	monster_boss_011_skill1		精灵射手3连射	900	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手3连射		0	0
22011008	11	monster_boss_011_born_0		精灵射手基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手基础出生动画		0	0
22011009	12	monster_boss_011_hurt		精灵射手受击反击50%后撤30%射箭20%残影移动	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手受击反击50%后撤30%射箭20%残影移动		0	0
22011010	13	monster_boss_011_hurt1		精灵射手受击反击50%后撤30%射箭20%残影移动	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手受击反击50%后撤30%射箭20%残影移动		0	0
22011011	14	monster_boss_011_up		精灵射手倒地起身残影移动	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手倒地起身残影移动		0	0
22011012	7	monster_boss_011_skill4		精灵射手大旋风穿甲箭	1200	45	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	精灵射手大旋风穿甲箭		0	0
22003001	0	monster_boss_003_atk1		魔化武尊挥砍普攻	200	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊挥砍普攻		0	0
22003002	1	monster_boss_003_skill1		魔化武尊蓄能一道波技能	750	45	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊蓄能一道波技能		0	0
22003003	2	monster_boss_003_skill1_2		魔化武尊蓄能三道波技能	750	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊蓄能三道波技能		0	0
22003004	3	monster_boss_003_skill2		魔化武尊跳劈技能	1200	40	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊跳劈技能		0	0
22003005	10	monster_boss_003_born_0		魔化武尊基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊基础出生动画		0	0
22003006	11	monster_boss_003_hurt		魔化武尊受击反击95%普攻5%跳劈	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊受击反击95%普攻5%跳劈		0	0
22003007	12	monster_boss_003_hurt1		魔化武尊受击反击95%普攻5%跳劈	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊受击反击95%普攻5%跳劈		0	0
22003008	13	monster_boss_003_up		魔化武尊倒地起身定点追踪跳劈	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊倒地起身定点追踪跳劈		0	0
22003009	14	monster_boss_003_born_1_1		魔化武尊旋转刀再召唤自己出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊旋转刀再召唤自己出生动画		0	0
22003010	15	monster_boss_003_born_2		魔化武尊从场景跳进来出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊从场景跳进来出生动画		0	0
22003011	16	monster_boss_003_born3_atk1		魔化武尊分身出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊分身出生动画		0	0
22003012	17	monster_boss_003_skill3_fenshen		魔化武尊分身	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊分身		0	0
22003013	18	monster_boss_003_remove		魔化武尊消失	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊消失		0	0
22003014	19	monster_boss_003_born_1		魔化武尊飞刀旋转入场出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	魔化武尊飞刀旋转入场出生动画		0	0
22012001	0	monster_boss_012_atk1		蜘蛛女王挥抓攻击	250	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蜘蛛女王挥抓攻击		0	0
22012002	1	monster_boss_012_skill1		蜘蛛女王前爪刺地追踪技能	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蜘蛛女王前爪刺地追踪技能		0	0
22012003	2	monster_boss_012_skill2		蜘蛛女王圆形地刺技能	500	100	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蜘蛛女王圆形地刺技能		0	0
22012004	3	monster_boss_012_skill3		蜘蛛女王飞天落地技能 无CD	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蜘蛛女王飞天落地技能		0	0
22012005	10	monster_boss_012_born_0		蜘蛛女王基础出生动画	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蜘蛛女王基础出生动画		0	0
22012006	4	monster_boss_012_skill3		蜘蛛女王飞天落地技能 有CD	1200	600	0	0	1	0	0	0	0	0	0	0	1	20000	10000	10000	0	0	0	0	10000	0	蜘蛛女王飞天落地技能		0	0
22012007	11	monster_boss_012_born_1		蜘蛛女王基础出生动画落地砸	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	蜘蛛女王基础出生动画1落地砸		0	0
22007001	0	monster_boss_007_atk1		冰霜女巫旋风攻击	450	35	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜女巫旋风攻击		0	0
22007002	1	monster_boss_007_skill1		冰霜女巫漫天飞雪技能	400	50	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜女巫漫天飞雪技能		0	0
22007003	2	monster_boss_007_skill2		冰霜女巫大冰块技能	900	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜女巫大冰块技能		0	0
22007004	10	monster_boss_007_up		冰霜女巫起身冰块	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜女巫起身冰块		0	0
22007005	11	monster_boss_007_born_0		冰霜女巫基础出生动画0	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜女巫基础出生动画		0	0
22007006	12	monster_boss_007_hurt		冰霜女巫受击反击旋风攻击	1200	600	0	0	1	0	0	0	0	0	0	0	1	0	10000	10000	0	0	0	0	10000	0	冰霜女巫受击反击旋风攻击		0	0
