动态物件ID	场景ID	名称	x坐标	y坐标	层级	循环次数（0为无限次）
96	3_21_tingyuan	shuyeyuanjing	632	420	far1	0
97	3_21_tingyuan	mudi_weiguang	1143	420	ground	0
98	3_21_tingyuan	guiyan	1351	420	far1	0
99	3_21_tingyuan	bianhu	503	420	ground	0
100	3_21_tingyuan	zhuoguang	934	420	ground	0
101	3_21_tingyuan	mudi_wu	336	420	ground	0
102	3_21_tingyuan	kulou	1044	420	ground	0
103	3_21_tingyuan	kulou	1239	420	ground	0
104	3_21_tingyuan	kulou	2630	420	ground	0
105	3_21_tingyuan	kulou	2824	420	ground	0
106	3_21_tingyuan	shuyeyuanjing	632	420	far1	0
107	3_21_tingyuan	mudi_weiguang	1143	420	ground	0
108	3_21_tingyuan	guiyan	1351	420	far1	0
109	3_21_tingyuan	bianhu	503	420	ground	0
110	3_21_tingyuan	zhuoguang	934	420	ground	0
111	3_21_tingyuan	mudi_wu	336	420	ground	0
112	3_21_tingyuan	yangguang	1370	420	ground	0
113	3_21_tingyuan	guangdian	327	420	ground	0
114	3_21_tingyuan	baidongqianjing	1981	420	ground	0
115	3_21_tingyuan	shuzhi	368	420	ground	0
116	3_21_tingyuan	kulou	1044	420	ground	0
117	3_21_tingyuan	kulou	1239	420	ground	0
118	3_21_tingyuan	kulou	2630	420	ground	0
119	3_21_tingyuan	kulou	2824	420	ground	0
120	3_21_tingyuan	shuyeyuanjing	632	420	far1	0
121	3_21_tingyuan	mudi_weiguang	1143	420	ground	0
122	3_21_tingyuan	guiyan	1351	420	far1	0
123	3_21_tingyuan	bianhu	503	420	ground	0
124	3_21_tingyuan	zhuoguang	934	420	ground	0
125	3_21_tingyuan	mudi_wu	336	420	ground	0
126	3_21_tingyuan	kulou	1044	420	ground	0
127	3_21_tingyuan	kulou	1239	420	ground	0
128	3_21_tingyuan	kulou	2630	420	ground	0
129	3_21_tingyuan	kulou	2824	420	ground	0
130	3_21_tingyuan	shuyeyuanjing	632	420	far1	0
131	3_21_tingyuan	mudi_weiguang	1143	420	ground	0
132	3_21_tingyuan	guiyan	1351	420	far1	0
133	3_21_tingyuan	bianhu	503	420	ground	0
134	3_21_tingyuan	zhuoguang	934	420	ground	0
135	3_21_tingyuan	mudi_wu	336	420	ground	0
136	3_21_tingyuan	shuidi	1002	420	ground	0
137	3_21_tingyuan	shuidi	3023	420	ground	0
138	3_21_tingyuan	langhua	1889	420	far1	0
139	3_21_tingyuan	xingdian	1536	420	ground	0
140	3_21_tingyuan	yezi	2090	420	ground	0
141	3_21_tingyuan	xingxingshanshuo	1059	420	far2	0
142	3_21_tingyuan	liuxing	1244	420	far1	0
143	3_21_tingyuan	bowen	1350	420	far1	0
144	3_21_tingyuan	wu	1178	420	ground	0
145	3_21_tingyuan	shuidi	1002	420	ground	0
146	3_21_tingyuan	shuidi	3023	420	ground	0
147	3_21_tingyuan	langhua	1889	420	far1	0
148	3_21_tingyuan	xingdian	1536	420	ground	0
149	3_21_tingyuan	yezi	2090	420	ground	0
150	3_21_tingyuan	xingxingshanshuo	1059	420	far2	0
151	3_21_tingyuan	liuxing	1244	420	far1	0
152	3_21_tingyuan	bowen	1350	420	far1	0
153	3_21_tingyuan	wu	1178	420	ground	0
154	3_21_tingyuan	shuidi	1002	420	ground	0
155	3_21_tingyuan	shuidi	3023	420	ground	0
156	3_21_tingyuan	langhua	1889	420	far1	0
157	3_21_tingyuan	xingdian	1536	420	ground	0
158	3_21_tingyuan	yezi	2090	420	ground	0
159	3_21_tingyuan	xingxingshanshuo	1059	420	far2	0
160	3_21_tingyuan	liuxing	1244	420	far1	0
161	3_21_tingyuan	bowen	1350	420	far1	0
162	3_21_tingyuan	wu	1178	420	ground	0
163	zhucheng	zhucheng_baigexunhuan	640	439	far1_1	0
164	zhucheng	zhucheng_gezi	2557	542	far1_3	0
165	zhucheng	zhucheng_guangyun	1550	650	far3_6	0
166	zhucheng	zhucheng_yun	2484	522	far3_1	0
167	zhucheng	zhucheng_xiaohuo	2434	347	ground	0
167	zhucheng	zhucheng_xiaohuo	2661	467	ground	0
167	zhucheng	zhucheng_xiaohuo	2888	571	ground	0
167	zhucheng	zhucheng_xiaohuo	3128	528	ground	0
167	zhucheng	zhucheng_huo	2235	65	near2	0
167	zhucheng	zhucheng_huo	2475	65	near2	0
167	zhucheng	zhucheng_huo	2715	65	near2	0
167	zhucheng	zhucheng_huo	2965	65	near2	0
167	zhucheng	zhucheng_huo	3193	65	near2	0
