装备ID	强化价格	增幅值	强化等级上限	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	物理暴击	魔法暴击	格挡率	格挡值	命中率	魔法回复率	血球回复率
45211007	10000	10000	90	0	149	0	0	0	0	0	34	0	0	0	29	0	0
46211007	20000	20000	100	32	227	0	0	0	0	0	52	0	0	0	44	0	0
41211008	100	100	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0
42211008	500	300	40	0	27	0	0	0	0	0	0	0	0	0	0	0	0
43211008	1500	1000	60	0	49	0	0	0	0	0	11	0	0	0	0	0	0
44211008	5000	3000	80	0	83	0	0	0	0	0	19	0	0	0	0	0	0
45211008	10000	10000	90	0	149	0	0	0	0	0	34	0	0	0	29	0	0
46211008	20000	20000	100	32	227	0	0	0	0	0	52	0	0	0	44	0	0
41211009	100	100	20	0	24	0	0	0	0	0	0	0	0	0	0	0	0
42211009	500	300	40	0	32	0	0	0	0	0	0	0	0	0	0	0	0
43211009	1500	1000	60	0	58	0	0	0	0	0	14	0	0	0	0	0	0
44211009	5000	3000	80	0	98	0	0	0	0	0	23	0	0	0	0	0	0
45211009	10000	10000	90	0	177	0	0	0	0	0	42	0	0	0	35	0	0
46211009	20000	20000	100	38	270	0	0	0	0	0	63	0	0	0	53	0	0
41211010	100	100	20	0	31	0	0	0	0	0	0	0	0	0	0	0	0
42211010	500	300	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0
43211010	1500	1000	60	0	71	0	0	0	0	0	16	0	0	0	0	0	0
44211010	5000	3000	80	0	117	0	0	0	0	0	27	0	0	0	0	0	0
45211010	10000	10000	90	0	208	0	0	0	0	0	48	0	0	0	40	0	0
46211010	20000	20000	100	44	316	0	0	0	0	0	73	0	0	0	61	0	0
41221002	100	100	20	0	13	0	13	0	0	0	0	0	0	0	0	0	0
42221002	500	300	40	0	18	0	18	0	0	0	0	0	0	0	0	0	0
43221002	1500	1000	60	0	35	0	35	0	0	0	10	10	0	0	0	0	0
44221002	5000	3000	80	0	60	0	60	0	0	0	17	17	0	0	0	0	0
45221002	10000	10000	90	0	109	0	109	0	0	0	31	31	0	0	31	0	0
41221003	100	100	20	0	14	0	14	0	0	0	0	0	0	0	0	0	0
42221003	500	300	40	0	19	0	19	0	0	0	0	0	0	0	0	0	0
43221003	1500	1000	60	0	34	0	34	0	0	0	9	9	0	0	0	0	0
44221003	5000	3000	80	0	58	0	58	0	0	0	16	16	0	0	0	0	0
45221003	10000	10000	90	0	105	0	105	0	0	0	29	29	0	0	29	0	0
46221003	20000	20000	100	33	159	0	159	0	0	0	44	44	0	0	44	0	0
41221004	100	100	20	0	17	0	17	0	0	0	0	0	0	0	0	0	0
42221004	500	300	40	0	22	0	22	0	0	0	0	0	0	0	0	0	0
43221004	1500	1000	60	0	41	0	41	0	0	0	11	11	0	0	0	0	0
44221004	5000	3000	80	0	69	0	69	0	0	0	19	19	0	0	0	0	0
45221004	10000	10000	90	0	124	0	124	0	0	0	35	35	0	0	35	0	0
46221004	20000	20000	100	40	189	0	189	0	0	0	53	53	0	0	53	0	0
41221005	100	100	20	0	22	0	22	0	0	0	0	0	0	0	0	0	0
42221005	500	300	40	0	28	0	28	0	0	0	0	0	0	0	0	0	0
43221005	1500	1000	60	0	49	0	49	0	0	0	14	14	0	0	0	0	0
44221005	5000	3000	80	0	82	0	82	0	0	0	22	22	0	0	0	0	0
45221005	10000	10000	90	0	146	0	146	0	0	0	40	40	0	0	40	0	0
46221005	20000	20000	100	46	221	0	221	0	0	0	61	61	0	0	61	0	0
41301002	100	100	20	0	31	0	0	0	0	0	0	0	0	0	0	0	0
42301002	500	300	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0
43301002	1500	1000	60	0	71	0	0	0	0	0	16	0	0	0	0	0	0
44301002	5000	3000	80	0	117	0	0	0	0	0	27	0	0	0	0	0	0
45301002	10000	10000	90	0	208	0	0	0	0	0	48	0	0	0	40	0	0
46301002	20000	20000	100	51	316	0	0	0	0	0	73	0	0	0	61	0	0
41311002	100	100	20	0	5	0	25	0	0	0	0	0	0	0	0	0	0
42311002	500	300	40	0	7	0	33	0	0	0	0	0	0	0	0	0	0
43311002	1500	1000	60	0	13	0	61	0	0	0	13	12	0	0	0	0	0
44311002	5000	3000	80	0	22	0	103	0	0	0	23	21	0	0	0	0	0
45311002	10000	10000	90	0	39	0	186	0	0	0	41	37	0	0	37	0	0
46311002	20000	20000	100	43	60	0	283	0	0	0	62	57	0	0	57	0	0
41311003	100	100	20	0	6	0	29	0	0	0	0	0	0	0	0	0	0
42311003	500	300	40	0	8	0	38	0	0	0	0	0	0	0	0	0	0
43311003	1500	1000	60	0	14	0	67	0	0	0	15	14	0	0	0	0	0
44311003	5000	3000	80	0	23	0	111	0	0	0	25	22	0	0	0	0	0
45311003	10000	10000	90	0	42	0	198	0	0	0	44	40	0	0	40	0	0
46311003	20000	20000	100	54	63	0	300	0	0	0	67	61	0	0	61	0	0
41321002	100	100	20	0	0	0	28	0	0	0	0	0	0	0	0	0	0
42321002	500	300	40	0	0	0	37	0	0	0	0	0	0	0	0	0	0
43321002	1500	1000	60	0	0	0	68	0	0	0	0	12	0	0	0	0	0
44321002	5000	3000	80	0	0	0	115	0	0	0	0	20	0	0	0	0	0
45321002	10000	10000	90	0	0	0	209	0	0	0	0	36	0	0	36	0	0
46321002	20000	20000	100	42	0	0	318	0	0	0	0	55	0	0	55	0	0
41321003	100	100	20	0	0	0	33	0	0	0	0	0	0	0	0	0	0
42321003	500	300	40	0	0	0	43	0	0	0	0	0	0	0	0	0	0
43321003	1500	1000	60	0	0	0	76	0	0	0	0	13	0	0	0	0	0
44321003	5000	3000	80	0	0	0	126	0	0	0	0	22	0	0	0	0	0
45321003	10000	10000	90	0	0	0	226	0	0	0	0	39	0	0	39	0	0
46321003	20000	20000	100	45	0	0	342	0	0	0	0	59	0	0	59	0	0
41401002	100	100	20	0	37	0	0	0	0	0	0	0	0	0	0	0	0
42401002	500	300	40	0	48	0	0	0	0	0	0	0	0	0	0	0	0
43401002	1500	1000	60	0	85	0	0	0	0	0	14	0	0	0	0	0	0
44401002	5000	3000	80	0	140	0	0	0	0	0	22	0	0	0	0	0	0
45401002	10000	10000	90	0	250	0	0	0	0	0	40	0	0	0	40	0	0
46401002	20000	20000	100	54	379	0	0	0	0	0	61	0	0	0	61	0	0
41401003	100	100	20	0	31	0	0	0	0	0	0	0	0	0	0	0	0
42401003	500	300	40	0	41	0	0	0	0	0	0	0	0	0	0	0	0
43401003	1500	1000	60	0	75	0	0	0	0	0	12	0	0	0	0	0	0
44401003	5000	3000	80	0	126	0	0	0	0	0	20	0	0	0	0	0	0
45401003	10000	10000	90	0	228	0	0	0	0	0	36	0	0	0	36	0	0
46401003	20000	20000	100	49	347	0	0	0	0	0	55	0	0	0	55	0	0
41401004	150	100	20	0	22	0	0	0	0	0	0	0	0	0	0	0	0
42401004	600	300	40	0	30	0	0	0	0	0	0	0	0	0	0	0	0
43401004	1700	1000	60	0	58	0	0	0	0	0	9	0	0	0	0	0	0
44401004	6000	3000	80	0	100	0	0	0	0	0	16	0	0	0	0	0	0
45401004	12000	10000	90	0	184	0	0	0	0	0	29	0	0	0	29	0	0
41411002	100	100	20	0	0	0	38	0	0	0	0	0	0	0	0	0	0
42411002	500	300	40	0	0	0	50	0	0	0	0	0	0	0	0	0	0
43411002	1500	1000	60	0	0	0	89	0	0	0	0	13	0	0	0	0	0
44411002	5000	3000	80	0	0	0	147	0	0	0	0	22	0	0	0	0	0
45411002	10000	10000	90	0	0	0	262	0	0	0	0	39	0	0	39	0	0
46411002	20000	20000	100	37	0	0	398	0	0	0	0	59	0	0	59	0	0
41411003	100	100	20	0	0	0	38	0	0	0	0	0	0	0	0	0	0
42411003	500	300	40	0	0	0	50	0	0	0	0	0	0	0	0	0	0
43411003	1500	1000	60	0	0	0	89	0	0	0	0	13	0	0	0	0	0
44411003	5000	3000	80	0	0	0	147	0	0	0	0	22	0	0	0	0	0
45411003	10000	10000	90	0	0	0	262	0	0	0	0	39	0	0	39	0	0
46411003	20000	20000	100	37	0	0	398	0	0	0	0	59	0	0	59	0	0
41431002	100	100	20	0	31	0	32	0	0	0	0	0	0	0	0	0	0
42431002	500	300	40	0	40	0	42	0	0	0	0	0	0	0	0	0	0
43431002	1500	1000	60	0	71	0	74	0	0	0	14	16	0	0	0	0	0
44431002	5000	3000	80	0	117	0	122	0	0	0	22	27	0	0	0	0	0
45431002	10000	10000	90	0	208	0	219	0	0	0	40	48	0	0	40	0	0
46431002	20000	20000	100	41	316	0	332	0	0	0	61	73	0	0	61	0	0
41431003	200	100	20	0	16	0	17	0	0	0	0	0	0	0	0	0	0
42431003	700	300	40	0	22	0	23	0	0	0	0	0	0	0	0	0	0
43431003	2000	1000	60	0	42	0	44	0	0	0	8	10	0	0	0	0	0
44431003	8000	3000	80	0	72	0	75	0	0	0	14	17	0	0	0	0	0
45431003	15000	10000	90	0	132	0	138	0	0	0	26	31	0	0	26	0	0
41431004	150	100	20	0	18	0	19	0	0	0	0	0	0	0	0	0	0
42431004	600	300	40	0	25	0	27	0	0	0	0	0	0	0	0	0	0
43431004	1700	1000	60	0	49	0	51	0	0	0	9	11	0	0	0	0	0
44431004	6000	3000	80	0	83	0	88	0	0	0	16	19	0	0	0	0	0
45431004	12000	10000	90	0	153	0	161	0	0	0	29	35	0	0	29	0	0
41431005	100	100	20	0	19	0	20	0	0	0	0	0	0	0	0	0	0
42431005	300	300	40	0	26	0	27	0	0	0	0	0	0	0	0	0	0
43431005	1000	1000	60	0	50	0	52	0	0	0	10	12	0	0	0	0	0
44431005	3000	3000	80	0	85	0	90	0	0	0	17	20	0	0	0	0	0
45431005	10000	10000	90	0	156	0	164	0	0	0	31	37	0	0	31	0	0
41501002	100	100	20	0	0	0	46	0	0	0	0	0	0	0	0	0	0
42501002	500	300	40	0	0	0	60	0	0	0	0	0	0	0	0	0	0
43501002	1500	1000	60	0	0	0	106	0	0	0	0	20	0	0	0	0	0
44501002	5000	3000	80	0	0	0	175	0	0	0	0	34	0	0	0	0	0
45501002	10000	10000	90	0	0	0	313	0	0	0	0	60	0	0	40	0	0
46501002	20000	20000	100	39	0	0	474	0	0	0	0	91	0	0	61	0	0
41611002	100	100	20	0	0	0	34	0	0	0	0	0	0	0	0	0	0
42611002	500	300	40	0	0	0	44	0	0	0	0	0	0	0	0	0	0
43611002	1500	1000	60	0	0	0	78	0	0	0	0	13	0	0	0	0	0
44611002	5000	3000	80	0	0	0	130	0	0	0	0	22	0	0	0	0	0
45611002	10000	10000	90	0	0	0	232	0	0	0	0	39	0	0	39	0	0
46611002	20000	20000	100	42	0	0	352	0	0	0	0	59	0	0	59	0	0
41301001	100	100	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0
42301001	500	300	40	0	27	0	0	0	0	0	0	0	0	0	0	0	0
43301001	1500	1000	60	0	83	0	0	0	0	0	26	0	0	0	0	0	0
44301001	5000	3000	80	0	166	0	0	0	0	0	52	0	0	0	0	0	0
45301001	10000	10000	90	0	333	0	0	0	0	0	105	0	0	0	87	0	0
46301001	20000	20000	100	74	527	0	0	0	0	0	166	0	0	0	138	0	0
41231002	100	100	20	0	0	0	37	0	0	0	0	0	0	0	0	0	0
42231002	500	300	40	0	0	0	48	0	0	0	0	0	0	0	0	0	0
43231002	1500	1000	60	0	0	0	85	0	0	0	0	16	0	0	0	0	0
44231002	5000	3000	80	0	0	0	140	0	0	0	0	27	0	0	0	0	0
45231002	10000	10000	90	0	0	0	250	0	0	0	0	48	0	0	40	0	0
46231002	20000	20000	100	39	0	0	379	0	0	0	0	73	0	0	61	0	0
