道具组id	道具类型	道具id	道具名称	道具数量	道具权重
20032000	1	30000002		9	50
20032000	1	30000003		9	50
20032000	1	30000004		9	50
20032000	1	30000005		9	50
20022000	1	30000006		9	50
30012000	1	30000001		4	50
30012000	1	30000002		4	50
30012000	1	30000003		4	50
30012000	1	30000004		4	50
30012000	1	30000005		4	50
30012000	1	30000006		4	50
30022000	1	30000001		7	50
30022000	1	30000002		7	50
30022000	1	30000003		7	50
30022000	1	30000004		7	50
30022000	1	30000005		7	50
30022000	1	30000006		7	50
30032000	1	30000001		10	50
30032000	1	30000002		10	50
30032000	1	30000003		10	50
30032000	1	30000004		10	50
30032000	1	30000005		10	50
30032000	1	30000006		10	50
10013025	1	41006505	水精灵戒指	1	0
10013025	1	42006505	水精灵戒指	1	0
10013025	1	43006505	水精灵戒指	1	0
10013025	1	44006505	水精灵戒指	1	0
10013025	1	45006505	水精灵戒指	1	0
10023025	1	41006505	水精灵戒指	1	0
10023025	1	42006505	水精灵戒指	1	0
10023025	1	43006505	水精灵戒指	1	0
10023025	1	44006505	水精灵戒指	1	0
10023025	1	45006505	水精灵戒指	1	0
10033025	1	41006505	水精灵戒指	1	3
10033025	1	42006505	水精灵戒指	1	0
10033025	1	43006505	水精灵戒指	1	0
10033025	1	44006505	水精灵戒指	1	0
10033025	1	45006505	水精灵戒指	1	0
20013025	1	41006505	水精灵戒指	1	0
20013025	1	42006505	水精灵戒指	1	0
20013025	1	43006505	水精灵戒指	1	0
20013025	1	44006505	水精灵戒指	1	0
20013025	1	45006505	水精灵戒指	1	0
20023025	1	41006505	水精灵戒指	1	3
20023025	1	42006505	水精灵戒指	1	0
20023025	1	43006505	水精灵戒指	1	0
20023025	1	44006505	水精灵戒指	1	0
20023025	1	45006505	水精灵戒指	1	0
20033025	1	41006505	水精灵戒指	1	2
20033025	1	42006505	水精灵戒指	1	0
20033025	1	43006505	水精灵戒指	1	0
20033025	1	44006505	水精灵戒指	1	0
20033025	1	45006505	水精灵戒指	1	0
30013025	1	41006505	水精灵戒指	1	2
30013025	1	42006505	水精灵戒指	1	0
30013025	1	43006505	水精灵戒指	1	0
30013025	1	44006505	水精灵戒指	1	0
30013025	1	45006505	水精灵戒指	1	0
30023025	1	41006505	水精灵戒指	1	0
30023025	1	42006505	水精灵戒指	1	0
30023025	1	43006505	水精灵戒指	1	0
30023025	1	44006505	水精灵戒指	1	0
30023025	1	45006505	水精灵戒指	1	0
30033025	1	41006505	水精灵戒指	1	0
30033025	1	42006505	水精灵戒指	1	0
30033025	1	43006505	水精灵戒指	1	0
30033025	1	44006505	水精灵戒指	1	0
30033025	1	45006505	水精灵戒指	1	0
10013030	1	41006506	贪婪者戒指	1	0
10013030	1	42006506	贪婪者戒指	1	0
10013030	1	43006506	贪婪者戒指	1	0
10013030	1	44006506	贪婪者戒指	1	0
10013030	1	45006506	贪婪者戒指	1	0
10023030	1	41006506	贪婪者戒指	1	0
10023030	1	42006506	贪婪者戒指	1	0
10023030	1	43006506	贪婪者戒指	1	0
10023030	1	44006506	贪婪者戒指	1	0
10023030	1	45006506	贪婪者戒指	1	0
10033030	1	41006506	贪婪者戒指	1	3
10033030	1	42006506	贪婪者戒指	1	1
10033030	1	43006506	贪婪者戒指	1	0
10033030	1	44006506	贪婪者戒指	1	0
10033030	1	45006506	贪婪者戒指	1	0
20013030	1	41006506	贪婪者戒指	1	0
20013030	1	42006506	贪婪者戒指	1	0
20013030	1	43006506	贪婪者戒指	1	0
20013030	1	44006506	贪婪者戒指	1	0
20013030	1	45006506	贪婪者戒指	1	0
20023030	1	41006506	贪婪者戒指	1	3
20023030	1	42006506	贪婪者戒指	1	1
20023030	1	43006506	贪婪者戒指	1	0
20023030	1	44006506	贪婪者戒指	1	0
20023030	1	45006506	贪婪者戒指	1	0
20033030	1	41006506	贪婪者戒指	1	2
20033030	1	42006506	贪婪者戒指	1	2
20033030	1	43006506	贪婪者戒指	1	0
20033030	1	44006506	贪婪者戒指	1	0
20033030	1	45006506	贪婪者戒指	1	0
30013030	1	41006506	贪婪者戒指	1	2
30013030	1	42006506	贪婪者戒指	1	2
30013030	1	43006506	贪婪者戒指	1	0
30013030	1	44006506	贪婪者戒指	1	0
30013030	1	45006506	贪婪者戒指	1	0
30023030	1	41006506	贪婪者戒指	1	0
30023030	1	42006506	贪婪者戒指	1	2
30023030	1	43006506	贪婪者戒指	1	0
30023030	1	44006506	贪婪者戒指	1	0
30023030	1	45006506	贪婪者戒指	1	0
30033030	1	41006506	贪婪者戒指	1	0
30033030	1	42006506	贪婪者戒指	1	2
30033030	1	43006506	贪婪者戒指	1	0
30033030	1	44006506	贪婪者戒指	1	0
30033030	1	45006506	贪婪者戒指	1	0
10013035	1	41006507	暗黑之戒	1	0
10013035	1	42006507	暗黑之戒	1	0
10013035	1	43006507	暗黑之戒	1	0
10013035	1	44006507	暗黑之戒	1	0
10013035	1	45006507	暗黑之戒	1	0
10023035	1	41006507	暗黑之戒	1	0
10023035	1	42006507	暗黑之戒	1	0
10023035	1	43006507	暗黑之戒	1	0
10023035	1	44006507	暗黑之戒	1	0
10023035	1	45006507	暗黑之戒	1	0
10033035	1	41006507	暗黑之戒	1	3
10033035	1	42006507	暗黑之戒	1	1
10033035	1	43006507	暗黑之戒	1	0
10033035	1	44006507	暗黑之戒	1	0
10033035	1	45006507	暗黑之戒	1	0
20013035	1	41006507	暗黑之戒	1	0
20013035	1	42006507	暗黑之戒	1	0
20013035	1	43006507	暗黑之戒	1	0
20013035	1	44006507	暗黑之戒	1	0
20013035	1	45006507	暗黑之戒	1	0
20023035	1	41006507	暗黑之戒	1	3
20023035	1	42006507	暗黑之戒	1	1
20023035	1	43006507	暗黑之戒	1	1
20023035	1	44006507	暗黑之戒	1	0
20023035	1	45006507	暗黑之戒	1	0
20033035	1	41006507	暗黑之戒	1	2
20033035	1	42006507	暗黑之戒	1	2
20033035	1	43006507	暗黑之戒	1	1
20033035	1	44006507	暗黑之戒	1	0
20033035	1	45006507	暗黑之戒	1	0
30013035	1	41006507	暗黑之戒	1	2
30013035	1	42006507	暗黑之戒	1	2
30013035	1	43006507	暗黑之戒	1	1
30013035	1	44006507	暗黑之戒	1	0
30013035	1	45006507	暗黑之戒	1	0
30023035	1	41006507	暗黑之戒	1	0
30023035	1	42006507	暗黑之戒	1	2
30023035	1	43006507	暗黑之戒	1	1
30023035	1	44006507	暗黑之戒	1	1
30023035	1	45006507	暗黑之戒	1	0
30033035	1	41006507	暗黑之戒	1	0
30033035	1	42006507	暗黑之戒	1	2
30033035	1	43006507	暗黑之戒	1	2
30033035	1	44006507	暗黑之戒	1	1
30033035	1	45006507	暗黑之戒	1	0
10013040	1	41006508	幽灵之戒	1	0
10013040	1	42006508	幽灵之戒	1	0
10013040	1	43006508	幽灵之戒	1	0
10013040	1	44006508	幽灵之戒	1	0
10013040	1	45006508	幽灵之戒	1	0
10023040	1	41006508	幽灵之戒	1	0
10023040	1	42006508	幽灵之戒	1	0
10023040	1	43006508	幽灵之戒	1	0
10023040	1	44006508	幽灵之戒	1	0
10023040	1	45006508	幽灵之戒	1	0
10033040	1	41006508	幽灵之戒	1	3
10033040	1	42006508	幽灵之戒	1	1
10033040	1	43006508	幽灵之戒	1	0
10033040	1	44006508	幽灵之戒	1	0
10033040	1	45006508	幽灵之戒	1	0
20013040	1	41006508	幽灵之戒	1	0
20013040	1	42006508	幽灵之戒	1	0
20013040	1	43006508	幽灵之戒	1	0
20013040	1	44006508	幽灵之戒	1	0
20013040	1	45006508	幽灵之戒	1	0
20023040	1	41006508	幽灵之戒	1	3
20023040	1	42006508	幽灵之戒	1	1
20023040	1	43006508	幽灵之戒	1	1
20023040	1	44006508	幽灵之戒	1	0
20023040	1	45006508	幽灵之戒	1	0
20033040	1	41006508	幽灵之戒	1	2
20033040	1	42006508	幽灵之戒	1	2
20033040	1	43006508	幽灵之戒	1	1
20033040	1	44006508	幽灵之戒	1	0
20033040	1	45006508	幽灵之戒	1	0
30013040	1	41006508	幽灵之戒	1	2
30013040	1	42006508	幽灵之戒	1	2
30013040	1	43006508	幽灵之戒	1	1
30013040	1	44006508	幽灵之戒	1	0
30013040	1	45006508	幽灵之戒	1	0
30023040	1	41006508	幽灵之戒	1	0
30023040	1	42006508	幽灵之戒	1	2
30023040	1	43006508	幽灵之戒	1	1
30023040	1	44006508	幽灵之戒	1	1
30023040	1	45006508	幽灵之戒	1	0
30033040	1	41006508	幽灵之戒	1	0
30033040	1	42006508	幽灵之戒	1	2
30033040	1	43006508	幽灵之戒	1	2
30033040	1	44006508	幽灵之戒	1	1
30033040	1	45006508	幽灵之戒	1	1
10013045	1	41006509	龙珠戒指	1	0
10013045	1	42006509	龙珠戒指	1	0
10013045	1	43006509	龙珠戒指	1	0
10013045	1	44006509	龙珠戒指	1	0
10013045	1	45006509	龙珠戒指	1	0
10023045	1	41006509	龙珠戒指	1	0
10023045	1	42006509	龙珠戒指	1	0
10023045	1	43006509	龙珠戒指	1	0
10023045	1	44006509	龙珠戒指	1	0
10023045	1	45006509	龙珠戒指	1	0
10033045	1	41006509	龙珠戒指	1	3
10033045	1	42006509	龙珠戒指	1	1
10033045	1	43006509	龙珠戒指	1	0
10033045	1	44006509	龙珠戒指	1	0
10033045	1	45006509	龙珠戒指	1	0
20013045	1	41006509	龙珠戒指	1	0
20013045	1	42006509	龙珠戒指	1	0
20013045	1	43006509	龙珠戒指	1	0
20013045	1	44006509	龙珠戒指	1	0
20013045	1	45006509	龙珠戒指	1	0
20023045	1	41006509	龙珠戒指	1	3
20023045	1	42006509	龙珠戒指	1	1
20023045	1	43006509	龙珠戒指	1	1
20023045	1	44006509	龙珠戒指	1	0
20023045	1	45006509	龙珠戒指	1	0
20033045	1	41006509	龙珠戒指	1	2
20033045	1	42006509	龙珠戒指	1	2
20033045	1	43006509	龙珠戒指	1	1
20033045	1	44006509	龙珠戒指	1	0
20033045	1	45006509	龙珠戒指	1	0
30013045	1	41006509	龙珠戒指	1	2
30013045	1	42006509	龙珠戒指	1	2
30013045	1	43006509	龙珠戒指	1	1
30013045	1	44006509	龙珠戒指	1	0
30013045	1	45006509	龙珠戒指	1	0
30023045	1	41006509	龙珠戒指	1	0
30023045	1	42006509	龙珠戒指	1	2
30023045	1	43006509	龙珠戒指	1	1
30023045	1	44006509	龙珠戒指	1	1
30023045	1	45006509	龙珠戒指	1	0
30033045	1	41006509	龙珠戒指	1	0
30033045	1	42006509	龙珠戒指	1	2
30033045	1	43006509	龙珠戒指	1	2
30033045	1	44006509	龙珠戒指	1	1
30033045	1	45006509	龙珠戒指	1	1
10013050	1	41006510	黄金之眼	1	0
10013050	1	42006510	黄金之眼	1	0
10013050	1	43006510	黄金之眼	1	0
10013050	1	44006510	黄金之眼	1	0
10013050	1	45006510	黄金之眼	1	0
10023050	1	41006510	黄金之眼	1	0
10023050	1	42006510	黄金之眼	1	0
10023050	1	43006510	黄金之眼	1	0
10023050	1	44006510	黄金之眼	1	0
10023050	1	45006510	黄金之眼	1	0
10033050	1	41006510	黄金之眼	1	3
10033050	1	42006510	黄金之眼	1	1
10033050	1	43006510	黄金之眼	1	0
10033050	1	44006510	黄金之眼	1	0
10033050	1	45006510	黄金之眼	1	0
20013050	1	41006510	黄金之眼	1	0
20013050	1	42006510	黄金之眼	1	0
20013050	1	43006510	黄金之眼	1	0
20013050	1	44006510	黄金之眼	1	0
20013050	1	45006510	黄金之眼	1	0
20023050	1	41006510	黄金之眼	1	3
20023050	1	42006510	黄金之眼	1	1
20023050	1	43006510	黄金之眼	1	1
20023050	1	44006510	黄金之眼	1	0
20023050	1	45006510	黄金之眼	1	0
20033050	1	41006510	黄金之眼	1	2
20033050	1	42006510	黄金之眼	1	2
20033050	1	43006510	黄金之眼	1	1
20033050	1	44006510	黄金之眼	1	0
20033050	1	45006510	黄金之眼	1	0
30013050	1	41006510	黄金之眼	1	2
30013050	1	42006510	黄金之眼	1	2
30013050	1	43006510	黄金之眼	1	1
30013050	1	44006510	黄金之眼	1	0
30013050	1	45006510	黄金之眼	1	0
30023050	1	41006510	黄金之眼	1	0
30023050	1	42006510	黄金之眼	1	2
30023050	1	43006510	黄金之眼	1	1
30023050	1	44006510	黄金之眼	1	1
30023050	1	45006510	黄金之眼	1	0
30033050	1	41006510	黄金之眼	1	0
30033050	1	42006510	黄金之眼	1	2
30033050	1	43006510	黄金之眼	1	2
30033050	1	44006510	黄金之眼	1	1
30033050	1	45006510	黄金之眼	1	1
10013055	1	41006511	魔法石之戒	1	0
10013055	1	42006511	魔法石之戒	1	0
10013055	1	43006511	魔法石之戒	1	0
10013055	1	44006511	魔法石之戒	1	0
10013055	1	45006511	魔法石之戒	1	0
10023055	1	41006511	魔法石之戒	1	0
10023055	1	42006511	魔法石之戒	1	0
10023055	1	43006511	魔法石之戒	1	0
10023055	1	44006511	魔法石之戒	1	0
10023055	1	45006511	魔法石之戒	1	0
10033055	1	41006511	魔法石之戒	1	3
10033055	1	42006511	魔法石之戒	1	1
10033055	1	43006511	魔法石之戒	1	0
10033055	1	44006511	魔法石之戒	1	0
10033055	1	45006511	魔法石之戒	1	0
20013055	1	41006511	魔法石之戒	1	0
20013055	1	42006511	魔法石之戒	1	0
20013055	1	43006511	魔法石之戒	1	0
20013055	1	44006511	魔法石之戒	1	0
20013055	1	45006511	魔法石之戒	1	0
20023055	1	41006511	魔法石之戒	1	3
20023055	1	42006511	魔法石之戒	1	1
20023055	1	43006511	魔法石之戒	1	1
20023055	1	44006511	魔法石之戒	1	0
20023055	1	45006511	魔法石之戒	1	0
20033055	1	41006511	魔法石之戒	1	2
20033055	1	42006511	魔法石之戒	1	2
20033055	1	43006511	魔法石之戒	1	1
20033055	1	44006511	魔法石之戒	1	0
20033055	1	45006511	魔法石之戒	1	0
30013055	1	41006511	魔法石之戒	1	2
30013055	1	42006511	魔法石之戒	1	2
30013055	1	43006511	魔法石之戒	1	1
30013055	1	44006511	魔法石之戒	1	0
30013055	1	45006511	魔法石之戒	1	0
30023055	1	41006511	魔法石之戒	1	0
30023055	1	42006511	魔法石之戒	1	2
30023055	1	43006511	魔法石之戒	1	1
30023055	1	44006511	魔法石之戒	1	1
30023055	1	45006511	魔法石之戒	1	0
30033055	1	41006511	魔法石之戒	1	0
30033055	1	42006511	魔法石之戒	1	2
30033055	1	43006511	魔法石之戒	1	2
30033055	1	44006511	魔法石之戒	1	1
30033055	1	45006511	魔法石之戒	1	1
10013060	1	41006512	银湖守护戒指	1	0
10013060	1	42006512	银湖守护戒指	1	0
10013060	1	43006512	银湖守护戒指	1	0
10013060	1	44006512	银湖守护戒指	1	0
10013060	1	45006512	银湖守护戒指	1	0
10023060	1	41006512	银湖守护戒指	1	0
10023060	1	42006512	银湖守护戒指	1	0
10023060	1	43006512	银湖守护戒指	1	0
10023060	1	44006512	银湖守护戒指	1	0
10023060	1	45006512	银湖守护戒指	1	0
10033060	1	41006512	银湖守护戒指	1	3
10033060	1	42006512	银湖守护戒指	1	1
10033060	1	43006512	银湖守护戒指	1	0
10033060	1	44006512	银湖守护戒指	1	0
10033060	1	45006512	银湖守护戒指	1	0
20013060	1	41006512	银湖守护戒指	1	0
20013060	1	42006512	银湖守护戒指	1	0
20013060	1	43006512	银湖守护戒指	1	0
20013060	1	44006512	银湖守护戒指	1	0
20013060	1	45006512	银湖守护戒指	1	0
20023060	1	41006512	银湖守护戒指	1	3
20023060	1	42006512	银湖守护戒指	1	1
20023060	1	43006512	银湖守护戒指	1	1
20023060	1	44006512	银湖守护戒指	1	0
20023060	1	45006512	银湖守护戒指	1	0
20033060	1	41006512	银湖守护戒指	1	2
20033060	1	42006512	银湖守护戒指	1	2
20033060	1	43006512	银湖守护戒指	1	1
20033060	1	44006512	银湖守护戒指	1	0
20033060	1	45006512	银湖守护戒指	1	0
30013060	1	41006512	银湖守护戒指	1	2
30013060	1	42006512	银湖守护戒指	1	2
30013060	1	43006512	银湖守护戒指	1	1
30013060	1	44006512	银湖守护戒指	1	0
30013060	1	45006512	银湖守护戒指	1	0
30023060	1	41006512	银湖守护戒指	1	0
30023060	1	42006512	银湖守护戒指	1	2
30023060	1	43006512	银湖守护戒指	1	1
30023060	1	44006512	银湖守护戒指	1	1
30023060	1	45006512	银湖守护戒指	1	0
30033060	1	41006512	银湖守护戒指	1	0
30033060	1	42006512	银湖守护戒指	1	2
30033060	1	43006512	银湖守护戒指	1	2
30033060	1	44006512	银湖守护戒指	1	1
30033060	1	45006512	银湖守护戒指	1	1
10013065	1	41006513	镇长恰克之戒	1	0
10013065	1	42006513	镇长恰克之戒	1	0
10013065	1	43006513	镇长恰克之戒	1	0
10013065	1	44006513	镇长恰克之戒	1	0
10013065	1	45006513	镇长恰克之戒	1	0
10023065	1	41006513	镇长恰克之戒	1	0
10023065	1	42006513	镇长恰克之戒	1	0
10023065	1	43006513	镇长恰克之戒	1	0
10023065	1	44006513	镇长恰克之戒	1	0
10023065	1	45006513	镇长恰克之戒	1	0
10033065	1	41006513	镇长恰克之戒	1	3
10033065	1	42006513	镇长恰克之戒	1	1
10033065	1	43006513	镇长恰克之戒	1	0
10033065	1	44006513	镇长恰克之戒	1	0
10033065	1	45006513	镇长恰克之戒	1	0
20013065	1	41006513	镇长恰克之戒	1	0
20013065	1	42006513	镇长恰克之戒	1	0
20013065	1	43006513	镇长恰克之戒	1	0
20013065	1	44006513	镇长恰克之戒	1	0
20013065	1	45006513	镇长恰克之戒	1	0
20023065	1	41006513	镇长恰克之戒	1	3
20023065	1	42006513	镇长恰克之戒	1	1
20023065	1	43006513	镇长恰克之戒	1	1
20023065	1	44006513	镇长恰克之戒	1	0
20023065	1	45006513	镇长恰克之戒	1	0
20033065	1	41006513	镇长恰克之戒	1	2
20033065	1	42006513	镇长恰克之戒	1	2
20033065	1	43006513	镇长恰克之戒	1	1
20033065	1	44006513	镇长恰克之戒	1	0
20033065	1	45006513	镇长恰克之戒	1	0
30013065	1	41006513	镇长恰克之戒	1	2
30013065	1	42006513	镇长恰克之戒	1	2
30013065	1	43006513	镇长恰克之戒	1	1
30013065	1	44006513	镇长恰克之戒	1	0
30013065	1	45006513	镇长恰克之戒	1	0
30023065	1	41006513	镇长恰克之戒	1	0
30023065	1	42006513	镇长恰克之戒	1	2
30023065	1	43006513	镇长恰克之戒	1	1
30023065	1	44006513	镇长恰克之戒	1	1
30023065	1	45006513	镇长恰克之戒	1	0
30033065	1	41006513	镇长恰克之戒	1	0
30033065	1	42006513	镇长恰克之戒	1	2
30033065	1	43006513	镇长恰克之戒	1	2
30033065	1	44006513	镇长恰克之戒	1	1
30033065	1	45006513	镇长恰克之戒	1	1
10013025	1	41006105	精英徽章项链	1	0
10013025	1	42006105	精英徽章项链	1	0
10013025	1	43006105	精英徽章项链	1	0
10013025	1	44006105	精英徽章项链	1	0
10013025	1	45006105	精英徽章项链	1	0
10023025	1	41006105	精英徽章项链	1	0
10023025	1	42006105	精英徽章项链	1	0
10023025	1	43006105	精英徽章项链	1	0
10023025	1	44006105	精英徽章项链	1	0
10023025	1	45006105	精英徽章项链	1	0
10033025	1	41006105	精英徽章项链	1	3
10033025	1	42006105	精英徽章项链	1	0
10033025	1	43006105	精英徽章项链	1	0
10033025	1	44006105	精英徽章项链	1	0
10033025	1	45006105	精英徽章项链	1	0
20013025	1	41006105	精英徽章项链	1	0
20013025	1	42006105	精英徽章项链	1	0
20013025	1	43006105	精英徽章项链	1	0
20013025	1	44006105	精英徽章项链	1	0
20013025	1	45006105	精英徽章项链	1	0
20023025	1	41006105	精英徽章项链	1	3
20023025	1	42006105	精英徽章项链	1	0
20023025	1	43006105	精英徽章项链	1	0
20023025	1	44006105	精英徽章项链	1	0
20023025	1	45006105	精英徽章项链	1	0
20033025	1	41006105	精英徽章项链	1	2
20033025	1	42006105	精英徽章项链	1	0
20033025	1	43006105	精英徽章项链	1	0
20033025	1	44006105	精英徽章项链	1	0
20033025	1	45006105	精英徽章项链	1	0
30013025	1	41006105	精英徽章项链	1	2
30013025	1	42006105	精英徽章项链	1	0
30013025	1	43006105	精英徽章项链	1	0
30013025	1	44006105	精英徽章项链	1	0
30013025	1	45006105	精英徽章项链	1	0
30023025	1	41006105	精英徽章项链	1	0
30023025	1	42006105	精英徽章项链	1	0
30023025	1	43006105	精英徽章项链	1	0
30023025	1	44006105	精英徽章项链	1	0
30023025	1	45006105	精英徽章项链	1	0
30033025	1	41006105	精英徽章项链	1	0
30033025	1	42006105	精英徽章项链	1	0
30033025	1	43006105	精英徽章项链	1	0
30033025	1	44006105	精英徽章项链	1	0
30033025	1	45006105	精英徽章项链	1	0
10013030	1	41006106	封印之息	1	0
10013030	1	42006106	封印之息	1	0
10013030	1	43006106	封印之息	1	0
10013030	1	44006106	封印之息	1	0
10013030	1	45006106	封印之息	1	0
10023030	1	41006106	封印之息	1	0
10023030	1	42006106	封印之息	1	0
10023030	1	43006106	封印之息	1	0
10023030	1	44006106	封印之息	1	0
10023030	1	45006106	封印之息	1	0
10033030	1	41006106	封印之息	1	3
10033030	1	42006106	封印之息	1	1
10033030	1	43006106	封印之息	1	0
10033030	1	44006106	封印之息	1	0
10033030	1	45006106	封印之息	1	0
20013030	1	41006106	封印之息	1	0
20013030	1	42006106	封印之息	1	0
20013030	1	43006106	封印之息	1	0
