道具组id	道具类型	道具id	道具名称	道具数量	道具权重	需求货币类型	需求货币数量
50001	1	81002001	雷碎片2	2	10	1	2
50001	1	81003001	雷碎片3	2	10	1	2
50001	1	81004001	雷碎片4	2	10	1	2
50001	1	82001001	火碎片1	2	10	1	2
50001	1	82002001	火碎片2	2	10	1	2
50001	1	82003001	火碎片3	2	10	1	2
50001	1	83001001	冰碎片1	2	10	1	2
50001	1	83002001	冰碎片2	2	10	1	2
50001	1	83003001	冰碎片3	2	10	1	2
50001	1	83004001	冰碎片4	2	10	1	2
50001	1	83005001	冰碎片5	2	10	1	2
50001	1	84001001	光碎片1	2	10	1	2
50001	1	84002001	光碎片2	2	10	1	2
50001	1	84003001	光碎片3	2	10	1	2
50001	1	84004001	光碎片4	2	10	1	2
50001	1	84005001	光碎片5	2	10	1	2
50001	1	84006001	光碎片6	2	10	1	2
50001	1	85001001	暗碎片1	2	10	1	2
50001	1	85002001	暗碎片2	2	10	1	2
50001	1	85003001	暗碎片3	2	10	1	2
50001	1	85004001	暗碎片4	2	10	1	2
50001	1	81001001	雷碎片1	3	10	1	3
50001	1	81002001	雷碎片2	3	10	1	3
50001	1	81003001	雷碎片3	3	10	1	3
50001	1	81004001	雷碎片4	3	10	1	3
50001	1	82001001	火碎片1	3	10	1	3
50001	1	82002001	火碎片2	3	10	1	3
50001	1	82003001	火碎片3	3	10	1	3
50001	1	83001001	冰碎片1	3	10	1	3
50001	1	83002001	冰碎片2	3	10	1	3
50001	1	83003001	冰碎片3	3	10	1	3
50001	1	83004001	冰碎片4	3	10	1	3
50001	1	83005001	冰碎片5	3	10	1	3
50001	1	84001001	光碎片1	3	10	1	3
50001	1	84002001	光碎片2	3	10	1	3
50001	1	84003001	光碎片3	3	10	1	3
50001	1	84004001	光碎片4	3	10	1	3
50001	1	84005001	光碎片5	3	10	1	3
50001	1	84006001	光碎片6	3	10	1	3
50001	1	85001001	暗碎片1	3	10	1	3
50001	1	85002001	暗碎片2	3	10	1	3
50001	1	85003001	暗碎片3	3	10	1	3
50001	1	85004001	暗碎片4	3	10	1	3
50001	1	81001001	雷碎片1	4	10	1	4
50001	1	81002001	雷碎片2	4	10	1	4
50001	1	81003001	雷碎片3	4	10	1	4
50001	1	81004001	雷碎片4	4	10	1	4
50001	1	82001001	火碎片1	4	10	1	4
50001	1	82002001	火碎片2	4	10	1	4
50001	1	82003001	火碎片3	4	10	1	4
50001	1	83001001	冰碎片1	4	10	1	4
50001	1	83002001	冰碎片2	4	10	1	4
50001	1	83003001	冰碎片3	4	10	1	4
50001	1	83004001	冰碎片4	4	10	1	4
50001	1	83005001	冰碎片5	4	10	1	4
50001	1	84001001	光碎片1	4	10	1	4
50001	1	84002001	光碎片2	4	10	1	4
50001	1	84003001	光碎片3	4	10	1	4
50001	1	84004001	光碎片4	4	10	1	4
50001	1	84005001	光碎片5	4	10	1	4
50001	1	84006001	光碎片6	4	10	1	4
50001	1	85001001	暗碎片1	4	10	1	4
50001	1	85002001	暗碎片2	4	10	1	4
50001	1	85003001	暗碎片3	4	10	1	4
50001	1	85004001	暗碎片4	4	10	1	4
50001	1	81001001	雷碎片1	5	10	1	5
50001	1	81002001	雷碎片2	5	10	1	5
50001	1	81003001	雷碎片3	5	10	1	5
50001	1	81004001	雷碎片4	5	10	1	5
50001	1	82001001	火碎片1	5	10	1	5
50001	1	82002001	火碎片2	5	10	1	5
50001	1	82003001	火碎片3	5	10	1	5
50001	1	83001001	冰碎片1	5	10	1	5
50001	1	83002001	冰碎片2	5	10	1	5
50001	1	83003001	冰碎片3	5	10	1	5
50001	1	83004001	冰碎片4	5	10	1	5
50001	1	83005001	冰碎片5	5	10	1	5
50001	1	84001001	光碎片1	5	10	1	5
50001	1	84002001	光碎片2	5	10	1	5
50001	1	84003001	光碎片3	5	10	1	5
50001	1	84004001	光碎片4	5	10	1	5
50001	1	84005001	光碎片5	5	10	1	5
50001	1	84006001	光碎片6	5	10	1	5
50001	1	85001001	暗碎片1	5	10	1	5
50001	1	85002001	暗碎片2	5	10	1	5
50001	1	85003001	暗碎片3	5	10	1	5
50001	1	85004001	暗碎片4	5	10	1	5
50030	1	81001001	雷碎片1	1	10	1	1
50030	1	81002001	雷碎片2	1	10	1	1
50030	1	81003001	雷碎片3	1	10	1	1
50030	1	81004001	雷碎片4	1	10	1	1
50030	1	82001001	火碎片1	1	10	1	1
50030	1	82002001	火碎片2	1	10	1	1
50030	1	82003001	火碎片3	1	10	1	1
50030	1	83001001	冰碎片1	1	10	1	1
50030	1	83002001	冰碎片2	1	10	1	1
50030	1	83003001	冰碎片3	1	10	1	1
50030	1	83004001	冰碎片4	1	10	1	1
50030	1	83005001	冰碎片5	1	10	1	1
50030	1	84001001	光碎片1	1	10	1	1
50030	1	84002001	光碎片2	1	10	1	1
50030	1	84003001	光碎片3	1	10	1	1
50030	1	84004001	光碎片4	1	10	1	1
50030	1	84005001	光碎片5	1	10	1	1
50030	1	84006001	光碎片6	1	10	1	1
50030	1	85001001	暗碎片1	1	10	1	1
50030	1	85002001	暗碎片2	1	10	1	1
50030	1	85003001	暗碎片3	1	10	1	1
50030	1	85004001	暗碎片4	1	10	1	1
50030	1	81001001	雷碎片1	2	10	1	2
50030	1	81002001	雷碎片2	2	10	1	2
50030	1	81003001	雷碎片3	2	10	1	2
50030	1	81004001	雷碎片4	2	10	1	2
50030	1	82001001	火碎片1	2	10	1	2
50030	1	82002001	火碎片2	2	10	1	2
50030	1	82003001	火碎片3	2	10	1	2
50030	1	83001001	冰碎片1	2	10	1	2
50030	1	83002001	冰碎片2	2	10	1	2
50030	1	83003001	冰碎片3	2	10	1	2
50030	1	83004001	冰碎片4	2	10	1	2
50030	1	83005001	冰碎片5	2	10	1	2
50030	1	84001001	光碎片1	2	10	1	2
50030	1	84002001	光碎片2	2	10	1	2
50030	1	84003001	光碎片3	2	10	1	2
50030	1	84004001	光碎片4	2	10	1	2
50030	1	84005001	光碎片5	2	10	1	2
50030	1	84006001	光碎片6	2	10	1	2
50030	1	85001001	暗碎片1	2	10	1	2
50030	1	85002001	暗碎片2	2	10	1	2
50030	1	85003001	暗碎片3	2	10	1	2
50030	1	85004001	暗碎片4	2	10	1	2
50030	1	81001001	雷碎片1	3	10	1	3
50030	1	81002001	雷碎片2	3	10	1	3
50030	1	81003001	雷碎片3	3	10	1	3
50030	1	81004001	雷碎片4	3	10	1	3
50030	1	82001001	火碎片1	3	10	1	3
50030	1	82002001	火碎片2	3	10	1	3
50030	1	82003001	火碎片3	3	10	1	3
50030	1	83001001	冰碎片1	3	10	1	3
50030	1	83002001	冰碎片2	3	10	1	3
50030	1	83003001	冰碎片3	3	10	1	3
50030	1	83004001	冰碎片4	3	10	1	3
50030	1	83005001	冰碎片5	3	10	1	3
50030	1	84001001	光碎片1	3	10	1	3
50030	1	84002001	光碎片2	3	10	1	3
50030	1	84003001	光碎片3	3	10	1	3
50030	1	84004001	光碎片4	3	10	1	3
50030	1	84005001	光碎片5	3	10	1	3
50030	1	84006001	光碎片6	3	10	1	3
50030	1	85001001	暗碎片1	3	10	1	3
50030	1	85002001	暗碎片2	3	10	1	3
50030	1	85003001	暗碎片3	3	10	1	3
50030	1	85004001	暗碎片4	3	10	1	3
50030	1	81001001	雷碎片1	4	10	1	4
50030	1	81002001	雷碎片2	4	10	1	4
50030	1	81003001	雷碎片3	4	10	1	4
50030	1	81004001	雷碎片4	4	10	1	4
50030	1	82001001	火碎片1	4	10	1	4
50030	1	82002001	火碎片2	4	10	1	4
50030	1	82003001	火碎片3	4	10	1	4
50030	1	83001001	冰碎片1	4	10	1	4
50030	1	83002001	冰碎片2	4	10	1	4
50030	1	83003001	冰碎片3	4	10	1	4
50030	1	83004001	冰碎片4	4	10	1	4
50030	1	83005001	冰碎片5	4	10	1	4
50030	1	84001001	光碎片1	4	10	1	4
50030	1	84002001	光碎片2	4	10	1	4
50030	1	84003001	光碎片3	4	10	1	4
50030	1	84004001	光碎片4	4	10	1	4
50030	1	84005001	光碎片5	4	10	1	4
50030	1	84006001	光碎片6	4	10	1	4
50030	1	85001001	暗碎片1	4	10	1	4
50030	1	85002001	暗碎片2	4	10	1	4
50030	1	85003001	暗碎片3	4	10	1	4
50030	1	85004001	暗碎片4	4	10	1	4
50030	1	81001001	雷碎片1	5	10	1	5
50030	1	81002001	雷碎片2	5	10	1	5
50030	1	81003001	雷碎片3	5	10	1	5
50030	1	81004001	雷碎片4	5	10	1	5
50030	1	82001001	火碎片1	5	10	1	5
50030	1	82002001	火碎片2	5	10	1	5
50030	1	82003001	火碎片3	5	10	1	5
50030	1	83001001	冰碎片1	5	10	1	5
50030	1	83002001	冰碎片2	5	10	1	5
50030	1	83003001	冰碎片3	5	10	1	5
50030	1	83004001	冰碎片4	5	10	1	5
50030	1	83005001	冰碎片5	5	10	1	5
50030	1	84001001	光碎片1	5	10	1	5
50030	1	84002001	光碎片2	5	10	1	5
50030	1	84003001	光碎片3	5	10	1	5
50030	1	84004001	光碎片4	5	10	1	5
50030	1	84005001	光碎片5	5	10	1	5
50030	1	84006001	光碎片6	5	10	1	5
50030	1	85001001	暗碎片1	5	10	1	5
50030	1	85002001	暗碎片2	5	10	1	5
50030	1	85003001	暗碎片3	5	10	1	5
50030	1	85004001	暗碎片4	5	10	1	5
50030	1	81001002	雷碎片1	1	10	1	3
50030	1	81002002	雷碎片2	1	10	1	3
50030	1	81003002	雷碎片3	1	10	1	3
50030	1	81004002	雷碎片4	1	10	1	3
50030	1	82001002	火碎片1	1	10	1	3
50030	1	82002002	火碎片2	1	10	1	3
50030	1	82003002	火碎片3	1	10	1	3
50030	1	83001002	冰碎片1	1	10	1	3
50030	1	83002002	冰碎片2	1	10	1	3
50030	1	83003002	冰碎片3	1	10	1	3
50030	1	83004002	冰碎片4	1	10	1	3
50030	1	83005002	冰碎片5	1	10	1	3
50030	1	84001002	光碎片1	1	10	1	3
50030	1	84002002	光碎片2	1	10	1	3
50030	1	84003002	光碎片3	1	10	1	3
50030	1	84004002	光碎片4	1	10	1	3
50030	1	84005002	光碎片5	1	10	1	3
50030	1	84006002	光碎片6	1	10	1	3
50030	1	85001002	暗碎片1	1	10	1	3
50030	1	85002002	暗碎片2	1	10	1	3
50030	1	85003002	暗碎片3	1	10	1	3
50030	1	85004002	暗碎片4	1	10	1	3
50030	1	81001002	雷碎片1	2	10	1	6
50030	1	81002002	雷碎片2	2	10	1	6
50030	1	81003002	雷碎片3	2	10	1	6
50030	1	81004002	雷碎片4	2	10	1	6
50030	1	82001002	火碎片1	2	10	1	6
50030	1	82002002	火碎片2	2	10	1	6
50030	1	82003002	火碎片3	2	10	1	6
50030	1	83001002	冰碎片1	2	10	1	6
50030	1	83002002	冰碎片2	2	10	1	6
50030	1	83003002	冰碎片3	2	10	1	6
50030	1	83004002	冰碎片4	2	10	1	6
50030	1	83005002	冰碎片5	2	10	1	6
50030	1	84001002	光碎片1	2	10	1	6
50030	1	84002002	光碎片2	2	10	1	6
50030	1	84003002	光碎片3	2	10	1	6
50030	1	84004002	光碎片4	2	10	1	6
50030	1	84005002	光碎片5	2	10	1	6
50030	1	84006002	光碎片6	2	10	1	6
50030	1	85001002	暗碎片1	2	10	1	6
50030	1	85002002	暗碎片2	2	10	1	6
50030	1	85003002	暗碎片3	2	10	1	6
50030	1	85004002	暗碎片4	2	10	1	6
50030	1	81001002	雷碎片1	3	10	1	9
50030	1	81002002	雷碎片2	3	10	1	9
50030	1	81003002	雷碎片3	3	10	1	9
50030	1	81004002	雷碎片4	3	10	1	9
50030	1	82001002	火碎片1	3	10	1	9
50030	1	82002002	火碎片2	3	10	1	9
50030	1	82003002	火碎片3	3	10	1	9
50030	1	83001002	冰碎片1	3	10	1	9
50030	1	83002002	冰碎片2	3	10	1	9
50030	1	83003002	冰碎片3	3	10	1	9
50030	1	83004002	冰碎片4	3	10	1	9
50030	1	83005002	冰碎片5	3	10	1	9
50030	1	84001002	光碎片1	3	10	1	9
50030	1	84002002	光碎片2	3	10	1	9
50030	1	84003002	光碎片3	3	10	1	9
50030	1	84004002	光碎片4	3	10	1	9
50030	1	84005002	光碎片5	3	10	1	9
50030	1	84006002	光碎片6	3	10	1	9
50030	1	85001002	暗碎片1	3	10	1	9
50030	1	85002002	暗碎片2	3	10	1	9
50030	1	85003002	暗碎片3	3	10	1	9
50030	1	85004002	暗碎片4	3	10	1	9
50030	1	81001002	雷碎片1	4	10	1	12
50030	1	81002002	雷碎片2	4	10	1	12
50030	1	81003002	雷碎片3	4	10	1	12
50030	1	81004002	雷碎片4	4	10	1	12
50030	1	82001002	火碎片1	4	10	1	12
50030	1	82002002	火碎片2	4	10	1	12
50030	1	82003002	火碎片3	4	10	1	12
50030	1	83001002	冰碎片1	4	10	1	12
50030	1	83002002	冰碎片2	4	10	1	12
50030	1	83003002	冰碎片3	4	10	1	12
50030	1	83004002	冰碎片4	4	10	1	12
50030	1	83005002	冰碎片5	4	10	1	12
50030	1	84001002	光碎片1	4	10	1	12
50030	1	84002002	光碎片2	4	10	1	12
50030	1	84003002	光碎片3	4	10	1	12
50030	1	84004002	光碎片4	4	10	1	12
50030	1	84005002	光碎片5	4	10	1	12
50030	1	84006002	光碎片6	4	10	1	12
50030	1	85001002	暗碎片1	4	10	1	12
50030	1	85002002	暗碎片2	4	10	1	12
50030	1	85003002	暗碎片3	4	10	1	12
50030	1	85004002	暗碎片4	4	10	1	12
50030	1	81001002	雷碎片1	5	10	1	15
50030	1	81002002	雷碎片2	5	10	1	15
50030	1	81003002	雷碎片3	5	10	1	15
50030	1	81004002	雷碎片4	5	10	1	15
50030	1	82001002	火碎片1	5	10	1	15
50030	1	82002002	火碎片2	5	10	1	15
50030	1	82003002	火碎片3	5	10	1	15
50030	1	83001002	冰碎片1	5	10	1	15
50030	1	83002002	冰碎片2	5	10	1	15
50030	1	83003002	冰碎片3	5	10	1	15
50030	1	83004002	冰碎片4	5	10	1	15
50030	1	83005002	冰碎片5	5	10	1	15
50030	1	84001002	光碎片1	5	10	1	15
50030	1	84002002	光碎片2	5	10	1	15
50030	1	84003002	光碎片3	5	10	1	15
50030	1	84004002	光碎片4	5	10	1	15
50030	1	84005002	光碎片5	5	10	1	15
50030	1	84006002	光碎片6	5	10	1	15
50030	1	85001002	暗碎片1	5	10	1	15
50030	1	85002002	暗碎片2	5	10	1	15
50030	1	85003002	暗碎片3	5	10	1	15
50030	1	85004002	暗碎片4	5	10	1	15
50040	1	81001001	雷碎片1	1	10	1	1
50040	1	81002001	雷碎片2	1	10	1	1
50040	1	81003001	雷碎片3	1	10	1	1
50040	1	81004001	雷碎片4	1	10	1	1
50040	1	82001001	火碎片1	1	10	1	1
50040	1	82002001	火碎片2	1	10	1	1
50040	1	82003001	火碎片3	1	10	1	1
50040	1	83001001	冰碎片1	1	10	1	1
50040	1	83002001	冰碎片2	1	10	1	1
50040	1	83003001	冰碎片3	1	10	1	1
50040	1	83004001	冰碎片4	1	10	1	1
50040	1	83005001	冰碎片5	1	10	1	1
50040	1	84001001	光碎片1	1	10	1	1
50040	1	84002001	光碎片2	1	10	1	1
50040	1	84003001	光碎片3	1	10	1	1
50040	1	84004001	光碎片4	1	10	1	1
50040	1	84005001	光碎片5	1	10	1	1
50040	1	84006001	光碎片6	1	10	1	1
50040	1	85001001	暗碎片1	1	10	1	1
50040	1	85002001	暗碎片2	1	10	1	1
50040	1	85003001	暗碎片3	1	10	1	1
50040	1	85004001	暗碎片4	1	10	1	1
50040	1	81001001	雷碎片1	2	10	1	2
50040	1	81002001	雷碎片2	2	10	1	2
50040	1	81003001	雷碎片3	2	10	1	2
50040	1	81004001	雷碎片4	2	10	1	2
50040	1	82001001	火碎片1	2	10	1	2
50040	1	82002001	火碎片2	2	10	1	2
50040	1	82003001	火碎片3	2	10	1	2
50040	1	83001001	冰碎片1	2	10	1	2
50040	1	83002001	冰碎片2	2	10	1	2
50040	1	83003001	冰碎片3	2	10	1	2
50040	1	83004001	冰碎片4	2	10	1	2
50040	1	83005001	冰碎片5	2	10	1	2
50040	1	84001001	光碎片1	2	10	1	2
50040	1	84002001	光碎片2	2	10	1	2
50040	1	84003001	光碎片3	2	10	1	2
50040	1	84004001	光碎片4	2	10	1	2
50040	1	84005001	光碎片5	2	10	1	2
50040	1	84006001	光碎片6	2	10	1	2
50040	1	85001001	暗碎片1	2	10	1	2
50040	1	85002001	暗碎片2	2	10	1	2
50040	1	85003001	暗碎片3	2	10	1	2
50040	1	85004001	暗碎片4	2	10	1	2
50040	1	81001001	雷碎片1	3	10	1	3
50040	1	81002001	雷碎片2	3	10	1	3
50040	1	81003001	雷碎片3	3	10	1	3
50040	1	81004001	雷碎片4	3	10	1	3
50040	1	82001001	火碎片1	3	10	1	3
50040	1	82002001	火碎片2	3	10	1	3
50040	1	82003001	火碎片3	3	10	1	3
50040	1	83001001	冰碎片1	3	10	1	3
50040	1	83002001	冰碎片2	3	10	1	3
50040	1	83003001	冰碎片3	3	10	1	3
50040	1	83004001	冰碎片4	3	10	1	3
50040	1	83005001	冰碎片5	3	10	1	3
50040	1	84001001	光碎片1	3	10	1	3
50040	1	84002001	光碎片2	3	10	1	3
50040	1	84003001	光碎片3	3	10	1	3
50040	1	84004001	光碎片4	3	10	1	3
50040	1	84005001	光碎片5	3	10	1	3
50040	1	84006001	光碎片6	3	10	1	3
50040	1	85001001	暗碎片1	3	10	1	3
50040	1	85002001	暗碎片2	3	10	1	3
50040	1	85003001	暗碎片3	3	10	1	3
50040	1	85004001	暗碎片4	3	10	1	3
50040	1	81001001	雷碎片1	4	10	1	4
50040	1	81002001	雷碎片2	4	10	1	4
50040	1	81003001	雷碎片3	4	10	1	4
50040	1	81004001	雷碎片4	4	10	1	4
50040	1	82001001	火碎片1	4	10	1	4
50040	1	82002001	火碎片2	4	10	1	4
50040	1	82003001	火碎片3	4	10	1	4
50040	1	83001001	冰碎片1	4	10	1	4
50040	1	83002001	冰碎片2	4	10	1	4
50040	1	83003001	冰碎片3	4	10	1	4
50040	1	83004001	冰碎片4	4	10	1	4
50040	1	83005001	冰碎片5	4	10	1	4
50040	1	84001001	光碎片1	4	10	1	4
50040	1	84002001	光碎片2	4	10	1	4
50040	1	84003001	光碎片3	4	10	1	4
50040	1	84004001	光碎片4	4	10	1	4
50040	1	84005001	光碎片5	4	10	1	4
50040	1	84006001	光碎片6	4	10	1	4
50040	1	85001001	暗碎片1	4	10	1	4
50040	1	85002001	暗碎片2	4	10	1	4
50040	1	85003001	暗碎片3	4	10	1	4
50040	1	85004001	暗碎片4	4	10	1	4
50040	1	81001001	雷碎片1	5	10	1	5
50040	1	81002001	雷碎片2	5	10	1	5
50040	1	81003001	雷碎片3	5	10	1	5
50040	1	81004001	雷碎片4	5	10	1	5
50040	1	82001001	火碎片1	5	10	1	5
50040	1	82002001	火碎片2	5	10	1	5
50040	1	82003001	火碎片3	5	10	1	5
50040	1	83001001	冰碎片1	5	10	1	5
50040	1	83002001	冰碎片2	5	10	1	5
50040	1	83003001	冰碎片3	5	10	1	5
50040	1	83004001	冰碎片4	5	10	1	5
50040	1	83005001	冰碎片5	5	10	1	5
50040	1	84001001	光碎片1	5	10	1	5
50040	1	84002001	光碎片2	5	10	1	5
50040	1	84003001	光碎片3	5	10	1	5
50040	1	84004001	光碎片4	5	10	1	5
50040	1	84005001	光碎片5	5	10	1	5
50040	1	84006001	光碎片6	5	10	1	5
50040	1	85001001	暗碎片1	5	10	1	5
50040	1	85002001	暗碎片2	5	10	1	5
50040	1	85003001	暗碎片3	5	10	1	5
50040	1	85004001	暗碎片4	5	10	1	5
50040	1	81001002	雷碎片1	1	10	1	3
50040	1	81002002	雷碎片2	1	10	1	3
50040	1	81003002	雷碎片3	1	10	1	3
50040	1	81004002	雷碎片4	1	10	1	3
50040	1	82001002	火碎片1	1	10	1	3
50040	1	82002002	火碎片2	1	10	1	3
50040	1	82003002	火碎片3	1	10	1	3
50040	1	83001002	冰碎片1	1	10	1	3
50040	1	83002002	冰碎片2	1	10	1	3
50040	1	83003002	冰碎片3	1	10	1	3
50040	1	83004002	冰碎片4	1	10	1	3
50040	1	83005002	冰碎片5	1	10	1	3
50040	1	84001002	光碎片1	1	10	1	3
50040	1	84002002	光碎片2	1	10	1	3
50040	1	84003002	光碎片3	1	10	1	3
50040	1	84004002	光碎片4	1	10	1	3
50040	1	84005002	光碎片5	1	10	1	3
50040	1	84006002	光碎片6	1	10	1	3
50040	1	85001002	暗碎片1	1	10	1	3
50040	1	85002002	暗碎片2	1	10	1	3
50040	1	85003002	暗碎片3	1	10	1	3
50040	1	85004002	暗碎片4	1	10	1	3
50040	1	81001002	雷碎片1	2	10	1	6
50040	1	81002002	雷碎片2	2	10	1	6
50040	1	81003002	雷碎片3	2	10	1	6
50040	1	81004002	雷碎片4	2	10	1	6
50040	1	82001002	火碎片1	2	10	1	6
50040	1	82002002	火碎片2	2	10	1	6
50040	1	82003002	火碎片3	2	10	1	6
50040	1	83001002	冰碎片1	2	10	1	6
50040	1	83002002	冰碎片2	2	10	1	6
50040	1	83003002	冰碎片3	2	10	1	6
50040	1	83004002	冰碎片4	2	10	1	6
50040	1	83005002	冰碎片5	2	10	1	6
50040	1	84001002	光碎片1	2	10	1	6
50040	1	84002002	光碎片2	2	10	1	6
50040	1	84003002	光碎片3	2	10	1	6
50040	1	84004002	光碎片4	2	10	1	6
50040	1	84005002	光碎片5	2	10	1	6
50040	1	84006002	光碎片6	2	10	1	6
50040	1	85001002	暗碎片1	2	10	1	6
50040	1	85002002	暗碎片2	2	10	1	6
50040	1	85003002	暗碎片3	2	10	1	6
50040	1	85004002	暗碎片4	2	10	1	6
50040	1	81001002	雷碎片1	3	10	1	9
50040	1	81002002	雷碎片2	3	10	1	9
50040	1	81003002	雷碎片3	3	10	1	9
50040	1	81004002	雷碎片4	3	10	1	9
50040	1	82001002	火碎片1	3	10	1	9
50040	1	82002002	火碎片2	3	10	1	9
50040	1	82003002	火碎片3	3	10	1	9
50040	1	83001002	冰碎片1	3	10	1	9
50040	1	83002002	冰碎片2	3	10	1	9
50040	1	83003002	冰碎片3	3	10	1	9
50040	1	83004002	冰碎片4	3	10	1	9
50040	1	83005002	冰碎片5	3	10	1	9
50040	1	84001002	光碎片1	3	10	1	9
50040	1	84002002	光碎片2	3	10	1	9
50040	1	84003002	光碎片3	3	10	1	9
50040	1	84004002	光碎片4	3	10	1	9
50040	1	84005002	光碎片5	3	10	1	9
50040	1	84006002	光碎片6	3	10	1	9
50040	1	85001002	暗碎片1	3	10	1	9
50040	1	85002002	暗碎片2	3	10	1	9
50040	1	85003002	暗碎片3	3	10	1	9
50040	1	85004002	暗碎片4	3	10	1	9
50040	1	81001002	雷碎片1	4	10	1	12
50040	1	81002002	雷碎片2	4	10	1	12
50040	1	81003002	雷碎片3	4	10	1	12
50040	1	81004002	雷碎片4	4	10	1	12
50040	1	82001002	火碎片1	4	10	1	12
50040	1	82002002	火碎片2	4	10	1	12
50040	1	82003002	火碎片3	4	10	1	12
50040	1	83001002	冰碎片1	4	10	1	12
50040	1	83002002	冰碎片2	4	10	1	12
50040	1	83003002	冰碎片3	4	10	1	12
50040	1	83004002	冰碎片4	4	10	1	12
50040	1	83005002	冰碎片5	4	10	1	12
50040	1	84001002	光碎片1	4	10	1	12
50040	1	84002002	光碎片2	4	10	1	12
50040	1	84003002	光碎片3	4	10	1	12
50040	1	84004002	光碎片4	4	10	1	12
50040	1	84005002	光碎片5	4	10	1	12
50040	1	84006002	光碎片6	4	10	1	12
50040	1	85001002	暗碎片1	4	10	1	12
50040	1	85002002	暗碎片2	4	10	1	12
50040	1	85003002	暗碎片3	4	10	1	12
50040	1	85004002	暗碎片4	4	10	1	12
50040	1	81001002	雷碎片1	5	10	1	15
50040	1	81002002	雷碎片2	5	10	1	15
50040	1	81003002	雷碎片3	5	10	1	15
50040	1	81004002	雷碎片4	5	10	1	15
50040	1	82001002	火碎片1	5	10	1	15
50040	1	82002002	火碎片2	5	10	1	15
50040	1	82003002	火碎片3	5	10	1	15
50040	1	83001002	冰碎片1	5	10	1	15
50040	1	83002002	冰碎片2	5	10	1	15
50040	1	83003002	冰碎片3	5	10	1	15
50040	1	83004002	冰碎片4	5	10	1	15
50040	1	83005002	冰碎片5	5	10	1	15
50040	1	84001002	光碎片1	5	10	1	15
50040	1	84002002	光碎片2	5	10	1	15
50040	1	84003002	光碎片3	5	10	1	15
50040	1	84004002	光碎片4	5	10	1	15
50040	1	84005002	光碎片5	5	10	1	15
50040	1	84006002	光碎片6	5	10	1	15
50040	1	85001002	暗碎片1	5	10	1	15
50040	1	85002002	暗碎片2	5	10	1	15
50040	1	85003002	暗碎片3	5	10	1	15
50040	1	85004002	暗碎片4	5	10	1	15
50040	1	81001003	雷碎片1	1	10	1	10
50040	1	81002003	雷碎片2	1	10	1	10
50040	1	81003003	雷碎片3	1	10	1	10
50040	1	81004003	雷碎片4	1	10	1	10
50040	1	82001003	火碎片1	1	10	1	10
50040	1	82002003	火碎片2	1	10	1	10
50040	1	82003003	火碎片3	1	10	1	10
50040	1	83001003	冰碎片1	1	10	1	10
50040	1	83002003	冰碎片2	1	10	1	10
50040	1	83003003	冰碎片3	1	10	1	10
