唯一标识	魔力珠ID	效能提升等级	消费魔力残骸量
1317	87200022	9	20000
1318	87400023	1	10
1319	87400023	2	100
1320	87400023	3	200
1321	87400023	4	1000
1322	87400023	5	2000
1323	87400023	6	3000
1324	87400023	7	5000
1325	87400023	8	10000
1326	87400023	9	20000
1327	87000024	1	10
1328	87000024	2	100
1329	87000024	3	200
1330	87000024	4	1000
1331	87000024	5	2000
1332	87000024	6	3000
1333	87000024	7	5000
1334	87000024	8	10000
1335	87000024	9	20000
1336	87200025	1	10
1337	87200025	2	100
1338	87200025	3	200
1339	87200025	4	1000
1340	87200025	5	2000
1341	87200025	6	3000
1342	87200025	7	5000
1343	87200025	8	10000
1344	87200025	9	20000
1345	87400026	1	10
1346	87400026	2	100
1347	87400026	3	200
1348	87400026	4	1000
1349	87400026	5	2000
1350	87400026	6	3000
1351	87400026	7	5000
1352	87400026	8	10000
1353	87400026	9	20000
1354	87000027	1	10
1355	87000027	2	100
1356	87000027	3	200
1357	87000027	4	1000
1358	87000027	5	2000
1359	87000027	6	3000
1360	87000027	7	5000
1361	87000027	8	10000
1362	87000027	9	20000
1363	87200028	1	10
1364	87200028	2	100
1365	87200028	3	200
1366	87200028	4	1000
1367	87200028	5	2000
1368	87200028	6	3000
1369	87200028	7	5000
1370	87200028	8	10000
1371	87200028	9	20000
1372	87400029	1	10
1373	87400029	2	100
1374	87400029	3	200
1375	87400029	4	1000
1376	87400029	5	2000
1377	87400029	6	3000
1378	87400029	7	5000
1379	87400029	8	10000
1380	87400029	9	20000
1381	87000030	1	10
1382	87000030	2	100
1383	87000030	3	200
1384	87000030	4	1000
1385	87000030	5	2000
1386	87000030	6	3000
1387	87000030	7	5000
1388	87000030	8	10000
1389	87000030	9	20000
1390	87200031	1	10
1391	87200031	2	100
1392	87200031	3	200
1393	87200031	4	1000
1394	87200031	5	2000
1395	87200031	6	3000
1396	87200031	7	5000
1397	87200031	8	10000
1398	87200031	9	20000
1399	87400032	1	10
1400	87400032	2	100
1401	87400032	3	200
1402	87400032	4	1000
1403	87400032	5	2000
1404	87400032	6	3000
1405	87400032	7	5000
1406	87400032	8	10000
1407	87400032	9	20000
1408	87100033	1	10
1409	87100033	2	100
1410	87100033	3	200
1411	87100033	4	1000
1412	87100033	5	2000
1413	87100033	6	3000
1414	87100033	7	5000
1415	87100033	8	10000
1416	87100033	9	20000
1417	87400034	1	10
1418	87400034	2	100
1419	87400034	3	200
1420	87400034	4	1000
1421	87400034	5	2000
1422	87400034	6	3000
1423	87400034	7	5000
1424	87400034	8	10000
1425	87400034	9	20000
1426	87500035	1	10
1427	87500035	2	100
1428	87500035	3	200
1429	87500035	4	1000
1430	87500035	5	2000
1431	87500035	6	3000
1432	87500035	7	5000
1433	87500035	8	10000
1434	87500035	9	20000
1435	87100036	1	10
1436	87100036	2	100
1437	87100036	3	200
1438	87100036	4	1000
1439	87100036	5	2000
1440	87100036	6	3000
1441	87100036	7	5000
1442	87100036	8	10000
1443	87100036	9	20000
1444	87400037	1	10
1445	87400037	2	100
1446	87400037	3	200
1447	87400037	4	1000
1448	87400037	5	2000
1449	87400037	6	3000
1450	87400037	7	5000
1451	87400037	8	10000
1452	87400037	9	20000
1453	87500038	1	10
1454	87500038	2	100
1455	87500038	3	200
1456	87500038	4	1000
1457	87500038	5	2000
1458	87500038	6	3000
1459	87500038	7	5000
1460	87500038	8	10000
1461	87500038	9	20000
1462	87100039	1	10
1463	87100039	2	100
1464	87100039	3	200
1465	87100039	4	1000
1466	87100039	5	2000
1467	87100039	6	3000
1468	87100039	7	5000
1469	87100039	8	10000
1470	87100039	9	20000
1471	87400040	1	10
1472	87400040	2	100
1473	87400040	3	200
1474	87400040	4	1000
1475	87400040	5	2000
1476	87400040	6	3000
1477	87400040	7	5000
1478	87400040	8	10000
1479	87400040	9	20000
1480	87500041	1	10
1481	87500041	2	100
1482	87500041	3	200
1483	87500041	4	1000
1484	87500041	5	2000
1485	87500041	6	3000
1486	87500041	7	5000
1487	87500041	8	10000
1488	87500041	9	20000
1489	87100042	1	10
1490	87100042	2	100
1491	87100042	3	200
1492	87100042	4	1000
1493	87100042	5	2000
1494	87100042	6	3000
1495	87100042	7	5000
1496	87100042	8	10000
1497	87100042	9	20000
1498	87400043	1	10
1499	87400043	2	100
1500	87400043	3	200
1501	87400043	4	1000
1502	87400043	5	2000
1503	87400043	6	3000
1504	87400043	7	5000
1505	87400043	8	10000
1506	87400043	9	20000
1507	87500044	1	10
1508	87500044	2	100
1509	87500044	3	200
1510	87500044	4	1000
1511	87500044	5	2000
1512	87500044	6	3000
1513	87500044	7	5000
1514	87500044	8	10000
1515	87500044	9	20000
1516	87100045	1	10
1517	87100045	2	100
1518	87100045	3	200
1519	87100045	4	1000
1520	87100045	5	2000
1521	87100045	6	3000
1522	87100045	7	5000
1523	87100045	8	10000
1524	87100045	9	20000
1525	87400046	1	10
1526	87400046	2	100
1527	87400046	3	200
1528	87400046	4	1000
1529	87400046	5	2000
1530	87400046	6	3000
1531	87400046	7	5000
1532	87400046	8	10000
1533	87400046	9	20000
1534	87500047	1	10
1535	87500047	2	100
1536	87500047	3	200
1537	87500047	4	1000
1538	87500047	5	2000
1539	87500047	6	3000
1540	87500047	7	5000
1541	87500047	8	10000
1542	87500047	9	20000
1543	87100048	1	10
1544	87100048	2	100
1545	87100048	3	200
1546	87100048	4	1000
1547	87100048	5	2000
1548	87100048	6	3000
1549	87100048	7	5000
1550	87100048	8	10000
1551	87100048	9	20000
1552	87400049	1	10
1553	87400049	2	100
1554	87400049	3	200
1555	87400049	4	1000
1556	87400049	5	2000
1557	87400049	6	3000
1558	87400049	7	5000
1559	87400049	8	10000
1560	87400049	9	20000
1561	87500050	1	10
1562	87500050	2	100
1563	87500050	3	200
1564	87500050	4	1000
1565	87500050	5	2000
1566	87500050	6	3000
1567	87500050	7	5000
1568	87500050	8	10000
1569	87500050	9	20000
1570	87100051	1	10
1571	87100051	2	100
1572	87100051	3	200
1573	87100051	4	1000
1574	87100051	5	2000
1575	87100051	6	3000
1576	87100051	7	5000
1577	87100051	8	10000
1578	87100051	9	20000
1579	87400052	1	10
1580	87400052	2	100
1581	87400052	3	200
1582	87400052	4	1000
1583	87400052	5	2000
1584	87400052	6	3000
1585	87400052	7	5000
1586	87400052	8	10000
1587	87400052	9	20000
1588	87500053	1	10
1589	87500053	2	100
1590	87500053	3	200
1591	87500053	4	1000
1592	87500053	5	2000
1593	87500053	6	3000
1594	87500053	7	5000
1595	87500053	8	10000
1596	87500053	9	20000
1597	87100054	1	10
1598	87100054	2	100
1599	87100054	3	200
1600	87100054	4	1000
1601	87100054	5	2000
1602	87100054	6	3000
1603	87100054	7	5000
1604	87100054	8	10000
1605	87100054	9	20000
1606	87400055	1	10
1607	87400055	2	100
1608	87400055	3	200
1609	87400055	4	1000
1610	87400055	5	2000
1611	87400055	6	3000
1612	87400055	7	5000
1613	87400055	8	10000
1614	87400055	9	20000
1615	87500056	1	10
1616	87500056	2	100
1617	87500056	3	200
1618	87500056	4	1000
1619	87500056	5	2000
1620	87500056	6	3000
1621	87500056	7	5000
1622	87500056	8	10000
1623	87500056	9	20000
1624	87100057	1	10
1625	87100057	2	100
1626	87100057	3	200
1627	87100057	4	1000
1628	87100057	5	2000
1629	87100057	6	3000
1630	87100057	7	5000
1631	87100057	8	10000
1632	87100057	9	20000
1633	87400058	1	10
1634	87400058	2	100
1635	87400058	3	200
1636	87400058	4	1000
1637	87400058	5	2000
1638	87400058	6	3000
1639	87400058	7	5000
1640	87400058	8	10000
1641	87400058	9	20000
1642	87500059	1	10
1643	87500059	2	100
1644	87500059	3	200
1645	87500059	4	1000
1646	87500059	5	2000
1647	87500059	6	3000
1648	87500059	7	5000
1649	87500059	8	10000
1650	87500059	9	20000
1651	87100060	1	10
1652	87100060	2	100
1653	87100060	3	200
1654	87100060	4	1000
1655	87100060	5	2000
1656	87100060	6	3000
1657	87100060	7	5000
1658	87100060	8	10000
1659	87100060	9	20000
1660	87400061	1	10
1661	87400061	2	100
1662	87400061	3	200
1663	87400061	4	1000
1664	87400061	5	2000
1665	87400061	6	3000
1666	87400061	7	5000
1667	87400061	8	10000
1668	87400061	9	20000
1669	87500062	1	10
1670	87500062	2	100
1671	87500062	3	200
1672	87500062	4	1000
1673	87500062	5	2000
1674	87500062	6	3000
1675	87500062	7	5000
1676	87500062	8	10000
1677	87500062	9	20000
1678	87100063	1	10
1679	87100063	2	100
1680	87100063	3	200
1681	87100063	4	1000
1682	87100063	5	2000
1683	87100063	6	3000
1684	87100063	7	5000
1685	87100063	8	10000
1686	87100063	9	20000
1687	87400064	1	10
1688	87400064	2	100
1689	87400064	3	200
1690	87400064	4	1000
1691	87400064	5	2000
1692	87400064	6	3000
1693	87400064	7	5000
1694	87400064	8	10000
1695	87400064	9	20000
1696	87500065	1	10
1697	87500065	2	100
1698	87500065	3	200
1699	87500065	4	1000
1700	87500065	5	2000
1701	87500065	6	3000
1702	87500065	7	5000
1703	87500065	8	10000
1704	87500065	9	20000
1705	87211076	1	10
1706	87211076	2	100
1707	87211076	3	200
1708	87211076	4	1000
1709	87211076	5	2000
1710	87211076	6	3000
1711	87211076	7	5000
1712	87211076	8	10000
1713	87211076	9	20000
1714	87411077	1	10
1715	87411077	2	100
1716	87411077	3	200
1717	87411077	4	1000
1718	87411077	5	2000
1719	87411077	6	3000
1720	87411077	7	5000
1721	87411077	8	10000
1722	87411077	9	20000
1723	87511078	1	10
1724	87511078	2	100
1725	87511078	3	200
1726	87511078	4	1000
1727	87511078	5	2000
1728	87511078	6	3000
1729	87511078	7	5000
1730	87511078	8	10000
1731	87511078	9	20000
1732	87211079	1	10
1733	87211079	2	100
1734	87211079	3	200
1735	87211079	4	1000
1736	87211079	5	2000
1737	87211079	6	3000
1738	87211079	7	5000
1739	87211079	8	10000
1740	87211079	9	20000
1741	87411080	1	10
1742	87411080	2	100
1743	87411080	3	200
1744	87411080	4	1000
1745	87411080	5	2000
1746	87411080	6	3000
1747	87411080	7	5000
1748	87411080	8	10000
1749	87411080	9	20000
1750	87511081	1	10
1751	87511081	2	100
1752	87511081	3	200
1753	87511081	4	1000
1754	87511081	5	2000
1755	87511081	6	3000
1756	87511081	7	5000
1757	87511081	8	10000
1758	87511081	9	20000
1759	87211082	1	10
1760	87211082	2	100
1761	87211082	3	200
1762	87211082	4	1000
1763	87211082	5	2000
1764	87211082	6	3000
1765	87211082	7	5000
1766	87211082	8	10000
1767	87211082	9	20000
1768	87411083	1	10
1769	87411083	2	100
1770	87411083	3	200
1771	87411083	4	1000
1772	87411083	5	2000
1773	87411083	6	3000
1774	87411083	7	5000
1775	87411083	8	10000
1776	87411083	9	20000
1777	87511084	1	10
1778	87511084	2	100
1779	87511084	3	200
1780	87511084	4	1000
1781	87511084	5	2000
1782	87511084	6	3000
1783	87511084	7	5000
1784	87511084	8	10000
1785	87511084	9	20000
1786	87211085	1	10
1787	87211085	2	100
1788	87211085	3	200
1789	87211085	4	1000
1790	87211085	5	2000
1791	87211085	6	3000
1792	87211085	7	5000
1793	87211085	8	10000
1794	87211085	9	20000
1795	87411086	1	10
1796	87411086	2	100
1797	87411086	3	200
1798	87411086	4	1000
1799	87411086	5	2000
1800	87411086	6	3000
1801	87411086	7	5000
1802	87411086	8	10000
1803	87411086	9	20000
1804	87511087	1	10
1805	87511087	2	100
1806	87511087	3	200
1807	87511087	4	1000
1808	87511087	5	2000
1809	87511087	6	3000
1810	87511087	7	5000
1811	87511087	8	10000
1812	87511087	9	20000
1813	87211088	1	10
1814	87211088	2	100
1815	87211088	3	200
1816	87211088	4	1000
1817	87211088	5	2000
1818	87211088	6	3000
1819	87211088	7	5000
1820	87211088	8	10000
1821	87211088	9	20000
1822	87411089	1	10
1823	87411089	2	100
1824	87411089	3	200
1825	87411089	4	1000
1826	87411089	5	2000
1827	87411089	6	3000
1828	87411089	7	5000
1829	87411089	8	10000
1830	87411089	9	20000
1831	87511090	1	10
1832	87511090	2	100
1833	87511090	3	200
1834	87511090	4	1000
1835	87511090	5	2000
1836	87511090	6	3000
1837	87511090	7	5000
1838	87511090	8	10000
1839	87511090	9	20000
1840	87211091	1	10
1841	87211091	2	100
1842	87211091	3	200
1843	87211091	4	1000
1844	87211091	5	2000
1845	87211091	6	3000
1846	87211091	7	5000
1847	87211091	8	10000
1848	87211091	9	20000
1849	87411092	1	10
1850	87411092	2	100
1851	87411092	3	200
1852	87411092	4	1000
1853	87411092	5	2000
1854	87411092	6	3000
1855	87411092	7	5000
1856	87411092	8	10000
1857	87411092	9	20000
1858	87511093	1	10
1859	87511093	2	100
1860	87511093	3	200
1861	87511093	4	1000
1862	87511093	5	2000
1863	87511093	6	3000
1864	87511093	7	5000
1865	87511093	8	10000
1866	87511093	9	20000
1867	87211094	1	10
1868	87211094	2	100
1869	87211094	3	200
1870	87211094	4	1000
1871	87211094	5	2000
1872	87211094	6	3000
1873	87211094	7	5000
1874	87211094	8	10000
1875	87211094	9	20000
1876	87411095	1	10
1877	87411095	2	100
1878	87411095	3	200
1879	87411095	4	1000
1880	87411095	5	2000
1881	87411095	6	3000
1882	87411095	7	5000
1883	87411095	8	10000
1884	87411095	9	20000
1885	87511096	1	10
1886	87511096	2	100
1887	87511096	3	200
1888	87511096	4	1000
1889	87511096	5	2000
1890	87511096	6	3000
1891	87511096	7	5000
1892	87511096	8	10000
1893	87511096	9	20000
1894	87211097	1	10
1895	87211097	2	100
1896	87211097	3	200
1897	87211097	4	1000
1898	87211097	5	2000
1899	87211097	6	3000
1900	87211097	7	5000
1901	87211097	8	10000
1902	87211097	9	20000
1903	87411098	1	10
1904	87411098	2	100
1905	87411098	3	200
1906	87411098	4	1000
1907	87411098	5	2000
1908	87411098	6	3000
1909	87411098	7	5000
1910	87411098	8	10000
1911	87411098	9	20000
1912	87511099	1	10
1913	87511099	2	100
1914	87511099	3	200
1915	87511099	4	1000
1916	87511099	5	2000
1917	87511099	6	3000
1918	87511099	7	5000
1919	87511099	8	10000
1920	87511099	9	20000
1921	87211100	1	10
1922	87211100	2	100
1923	87211100	3	200
1924	87211100	4	1000
1925	87211100	5	2000
1926	87211100	6	3000
1927	87211100	7	5000
1928	87211100	8	10000
1929	87211100	9	20000
1930	87411101	1	10
1931	87411101	2	100
1932	87411101	3	200
1933	87411101	4	1000
1934	87411101	5	2000
1935	87411101	6	3000
1936	87411101	7	5000
1937	87411101	8	10000
1938	87411101	9	20000
1939	87511102	1	10
1940	87511102	2	100
1941	87511102	3	200
1942	87511102	4	1000
1943	87511102	5	2000
1944	87511102	6	3000
1945	87511102	7	5000
1946	87511102	8	10000
1947	87511102	9	20000
1948	87211103	1	10
1949	87211103	2	100
1950	87211103	3	200
1951	87211103	4	1000
1952	87211103	5	2000
1953	87211103	6	3000
1954	87211103	7	5000
1955	87211103	8	10000
1956	87211103	9	20000
1957	87411104	1	10
1958	87411104	2	100
1959	87411104	3	200
1960	87411104	4	1000
1961	87411104	5	2000
1962	87411104	6	3000
1963	87411104	7	5000
1964	87411104	8	10000
1965	87411104	9	20000
1966	87511105	1	10
1967	87511105	2	100
1968	87511105	3	200
1969	87511105	4	1000
1970	87511105	5	2000
1971	87511105	6	3000
1972	87511105	7	5000
1973	87511105	8	10000
1974	87511105	9	20000
1975	87211106	1	10
1976	87211106	2	100
1977	87211106	3	200
1978	87211106	4	1000
1979	87211106	5	2000
1980	87211106	6	3000
1981	87211106	7	5000
1982	87211106	8	10000
1983	87211106	9	20000
1984	87411107	1	10
1985	87411107	2	100
1986	87411107	3	200
1987	87411107	4	1000
1988	87411107	5	2000
1989	87411107	6	3000
1990	87411107	7	5000
1991	87411107	8	10000
1992	87411107	9	20000
1993	87511108	1	10
1994	87511108	2	100
1995	87511108	3	200
1996	87511108	4	1000
1997	87511108	5	2000
1998	87511108	6	3000
1999	87511108	7	5000
2000	87511108	8	10000
2001	87511108	9	20000
