唯一ID	类型	物品ID	数量	产出时间	概率	货币影响	保底权重	全十保底	性格材料标准	性格材料标准区间	递减值	产出地点编号	产出地点提示	产出名言
25	2	21099	1	45	0.033	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:2;30000002:10:2;30000003:10:2;30000004:10:2;30000005:10:2;30000006:10:2;	0.0021	1	远古遗迹	我是世界上最强大的训练师。
26	2	31002	1	45	0.028	0	80	300	30000001:8;30000002:4;30000003:1;30000004:7;30000005:1;30000006:4;	30000001:10:6;30000002:6:2;30000003:3:1;30000004:9:5;30000005:3:1;30000006:6:2;	0.0019	5	游魂墓地	哥是什么人你都不知道。
27	2	31099	1	45	0.02	0			30000001:10;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:8;30000002:10:2;30000003:10:2;30000004:10:2;30000005:10:2;30000006:10:2;	0.0013	1	远古遗迹	当你需要经验时会想起我。
28	2	41203	1	60	0.028	0		0.167	30000001:6;30000002:7;30000003:7;30000004:3;30000005:8;30000006:5;	30000001:8:4;30000002:9:5;30000003:9:5;30000004:5:1;30000005:10:6;30000006:7:3;	0.0013	11	悬空城堡	我不会输！战斗还没有结束！
29	2	42006	1	30	0.028	0		0.167	30000001:1;30000002:8;30000003:2;30000004:6;30000005:5;30000006:7;	30000001:3:1;30000002:10:6;30000003:4:1;30000004:8:4;30000005:7:1;30000006:9:5;	0.0013	11	悬空城堡	有幸遇到你，最了不起的你。
30	2	42203	1	75	0.028	0			30000001:5;30000002:7;30000003:4;30000004:4;30000005:5;30000006:4;	30000001:6:4;30000002:8:6;30000003:5:3;30000004:5:3;30000005:6:4;30000006:5:3;	0.0013	9	光之领域	有点遗憾，我已经尽力了。
31	2	41099	1	45	0.012	0			30000001:3;30000002:4;30000003:10;30000004:4;30000005:10;30000006:4;	30000001:10:1;30000002:10:2;30000003:10:8;30000004:10:2;30000005:10:8;30000006:10:2;	0.0008	1	远古遗迹	想体验飞一般的感觉吗？让我来训练训练那些1级的卡牌吧。
32	2	41103	1	30	0.016	0		0.167	30000001:9;30000002:6;30000003:3;30000004:9;30000005:4;30000006:4;	30000001:10:7;30000002:8:4;30000003:5:1;30000004:10:7;30000005:6:2;30000006:6:2;	0.00077	2	无法地带	你的纪录到此为止了。
33	2	43202	1	60	0.016	0		0.166	30000001:7;30000002:5;30000003:3;30000004:6;30000005:3;30000006:7;	30000001:9:5;30000002:7:1;30000003:5:1;30000004:8:4;30000005:5:1;30000006:9:1;	0.00077	11	悬空城堡	准备好了，一起上！
34	1	1000	5	50	0.01	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:7:3;30000002:7:3;30000003:7:3;30000004:7:3;30000005:7:3;30000006:7:3;	0.0001	1	远古遗迹	有了它，你想兑换谁？
35	2	43102	1	45	0.014	0		0.167	30000001:9;30000002:2;30000003:2;30000004:8;30000005:1;30000006:10;	30000001:10:7;30000002:4:1;30000003:4:1;30000004:10:6;30000005:3:1;30000006:10:8;	0.00066	5	游魂墓地	吃我一板砖。
36	2	44003	1	45	0.014	0		0.166	30000001:10;30000002:8;30000003:1;30000004:10;30000005:1;30000006:5;	30000001:10:8;30000002:10:6;30000003:3:1;30000004:10:8;30000005:3:1;30000006:7:3;	0.00066	7	冷寂之窟	这种拼尽全力的感觉，也是不错的。
37	2	51006	1	45	0.006	0		0.005	30000001:9;30000002:8;30000003:2;30000004:8;30000005:2;30000006:6;	30000001:10:7;30000002:10:6;30000003:4:1;30000004:10:6;30000005:4:1;30000006:8:4;	0.0004	11	悬空城堡	唯快不破！
38	2	54102	1	30	0.006	0		0.005	30000001:5;30000002:5;30000003:2;30000004:6;30000005:8;30000006:6;	30000001:10:3;30000002:7:3;30000003:4:1;30000004:8:4;30000005:10:1;30000006:8:4;	0.0004	11	悬空城堡	敌人真是太狡猾了。
39	1	71000001	50	30	0.0048	0		500	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000049	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
40	1	60000001	10	30	0.0038	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	暗夜猫妖眼睛制成的宝石。
41	1	60000002	10	30	0.0038	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	骷髅勇士被杀死后出现的骨灰。
42	1	60000003	10	30	0.0038	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	一种神秘银子的碎块。
43	1	60000004	10	30	0.0038	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	冰霜融化后留下的残迹。
44	1	60000005	10	30	0.0038	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	杀死骷髅法师后获得的手骨。
45	1	60000006	10	30	0.0038	0			30000001:4;30000002:4;30000003:4;30000004:4;30000005:4;30000006:4;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	腐骨羊死亡后留下的骨锥。
46	1	72000001	50	40	0.0038	0		400	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000039	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
47	1	2000	1	60	0.0029	0			30000001:9;30000002:9;30000003:9;30000004:9;30000005:9;30000006:9;	30000001:10:7;30000002:10:7;30000003:10:7;30000004:10:7;30000005:10:7;30000006:10:7;	0.00003	1	远古遗迹	有了它，顶级卡牌不是梦。
48	1	73000001	50	50	0.0026	0		300	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000027	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
49	1	60000007	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	白女巫被杀死瞬间留下的眼泪。
50	1	60000008	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	比较稀有的赤色蝎子尾部的毒针。
51	1	60000009	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	杀死赤蝎刺客后掉落的毒针。
52	1	60000010	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	在炎热荒漠中发现的一种特殊物质。
53	1	60000007	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	白女巫被杀死瞬间留下的眼泪。
54	1	60000008	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	比较稀有的赤色蝎子尾部的毒针。
55	1	60000009	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	杀死赤蝎刺客后掉落的毒针。
56	1	60000010	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	在炎热荒漠中发现的一种特殊物质。
57	1	61000005	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	坚硬岩石制成的磨砂石。
58	1	61000006	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	一种稀有的小虫子，沙蚕吐出的丝。
59	1	61000007	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	一种稀有的半透明琥珀色晶石。
60	1	61000008	10	60	0.0019	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00002	1	远古遗迹	被魔法烈焰灼烧过的石头，炽热冒烟的烈焰石。
61	1	72000004	1	90	0.0018	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000019	1	远古遗迹	可以打开装备上的第1个宝石空位
62	1	74000001	50	60	0.0012	0		200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000013	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
63	1	73000004	1	60	0.00099	0			30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.00001	1	远古遗迹	可以打开装备上的第2个宝石空位
64	1	61000009	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	燃烧的火焰精华，无法用水浇灭。
65	1	61000010	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	神秘魔法师掉落的印章。
66	1	61000009	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	燃烧的火焰精华，无法用水浇灭。
67	1	61000010	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	神秘魔法师掉落的印章。
68	1	62000003	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	神秘魔法师掉落的魔法溶解剂。
69	1	62000004	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	一张闪着蓝白色光芒的坚硬晶石。
70	1	62000005	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	岩之浪人奥磐吐出的气息，杀死奥磬则有机会掉落的稀有材料。
71	1	62000006	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	岩之浪人奥磐体内的精魄，杀死奥磬则有机会掉落的稀有材料。
72	1	62000007	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	角斗先锋身上佩戴的徽章。
73	1	62000008	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	巨龙身上割下来的龙脊，十分稀有。
74	1	62000009	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	从岩之浪人奥磐处获得的勇气。
75	1	62000010	5	75	0.00083	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	亡灵之城中死亡的魔法师留下的心脏。
76	1	91000002	20	120	0.00083	0			30000001:2;30000002:2;30000003:2;30000004:2;30000005:2;30000006:2;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000092	1	远古遗迹	这些全是2级宝石
77	1	75000001	20	75	0.00071	0		100	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000008	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
78	1	74000004	1	90	0.0006	0			30000001:6;30000002:6;30000003:6;30000004:6;30000005:6;30000006:6;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000069	1	远古遗迹	可以打开装备上的第3个宝石空位
79	1	91000003	10	120	0.0006	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000069	1	远古遗迹	这些全是3级宝石
80	1	91000004	5	120	0.00046	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000055	1	远古遗迹	这些全是4级宝石
81	1	91000005	2	120	0.00037	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.0000046	1	远古遗迹	这些全是5级宝石
82	1	75000004	1	100	0.00031	0			30000001:8;30000002:8;30000003:8;30000004:8;30000005:8;30000006:8;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0.000004	1	远古遗迹	可以打开装备上的第4个宝石空位
83	2	11007	1	45	0	0	1425	999.7475	30000001:8;30000002:4;30000003:6;30000004:5;30000005:1;30000006:8;	30000001:10:6;30000002:6:2;30000003:8:4;30000004:7:3;30000005:3:1;30000006:10:6;	0	6	亚诺森林	不许叫我的外号，我真生气了！
84	2	52302	1	105	0	2:-0.00001;3:-0.00002;4:-0.00003;5:-0.00004;6:-0.00005;7:-0.00006;8:-0.00007;9:-0.00008;10:-0.00009			30000001:7;30000002:8;30000003:9;30000004:4;30000005:10;30000006:5;	30000001:10:4;30000002:10:5;30000003:10:6;30000004:7:1;30000005:10:7;30000006:8:2;	0.00004	11	悬空城堡	是时候做出一些改变了。
