俱乐部id	俱乐部名称	俱乐部按钮图标	俱乐部动画标志	俱乐部等级	玩家等级段	单人赛出场卡牌	多人赛队长1号位	多人赛2号位	多人赛3号位	4积分宝箱	组数1	8积分宝箱	组数2	12积分宝箱	组数3	宝石孔位	洗练属性	俱乐部权重	俱乐部出现位置	俱乐部星级	包含关卡id	个人赛1星时间	个人赛2星时间	个人赛3星时间	团队赛1星时间	团队赛2星时间	团队赛3星时间	产出卡牌
201002	虚无	team_02.png	iconClubXX.png	10	1:14;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;42203002:200;	41203102:10000;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;42203002:200;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;42203002:200;	20011010;20012000;20015010;20015010;20216010;	1:7870;2:1500;3:400;4:230;	20021010;20022000;20025010;20025010;20226010;	1:4680;2:3500;3:1500;4:320;	20031010;20032000;20035010;20035010;20236010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2006	6000000	60000	30000	6000000	60000	30000	41203;21099;11099;
201003	马刺	team_07.png	iconClubXX.png	10	1:14;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;54102002:200;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;52302102:200;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;54102002:200;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;54102002:200;	20011010;20012000;20015010;20015010;	1:7870;2:1500;3:400;4:230;	20021010;20022000;20025010;20025010;	1:4680;2:3500;3:1500;4:320;	20031010;20032000;20035010;20035010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2008	6000000	60000	30000	6000000	60000	30000	21099;11099;
101001	传奇	team_11.png	iconClubXX.png	10	1:14;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;41306102:200;	41306102:10000;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2017	6000000	60000	30000	6000000	60000	30000	11099;
101002	无极	team_14.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	32005102:10000;	31304002:10000;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2022	6000000	60000	30000	6000000	60000	30000	11099;
101003	穿天	team_10.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2015	6000000	60000	30000	6000000	60000	30000	11099;
101004	雄华	team_16.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2011	6000000	60000	30000	6000000	60000	30000	11099;
101005	倾贺	team_09.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2012	6000000	60000	30000	6000000	60000	30000	11099;
101006	重律	team_21.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2014	6000000	60000	30000	6000000	60000	30000	11099;
101007	诛仙	team_17.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2020	6000000	60000	30000	6000000	60000	30000	11099;
101008	夕火	team_12.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2021	6000000	60000	30000	6000000	60000	30000	11099;
101009	时光	team_20.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2023	6000000	60000	30000	6000000	60000	30000	11099;
101010	玄奇	team_18.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2024	6000000	60000	30000	6000000	60000	30000	11099;
301501	天河	iconClubLY.png	iconClubXX.png	15	15:19;	31002003:6000;21202003:300;21303003:300;12002003:300;21302003:300;21102003:300;22103003:300;12102003:300;51005003:950;31008003:950;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	51005103:10000;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2004	6000000	60000	30000	6000000	60000	30000	31099;21099;
301502	天药	iconClubWC.png	iconClubXX.png	15	15:19;	21202003:200;21303003:200;12002003:200;21302003:200;21102003:200;22103003:200;12102003:200;51006003:5000;32104003:3600;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	51006103:10000;	32104003:10000;	30011010;30012000;30015010;30015010;30216010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;30226010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;30236010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2003	6000000	60000	30000	6000000	60000	30000	51006;31099;21099;
301503	荣星	iconClubXX.png	iconClubXX.png	15	15:19;	43102003:1400;44003003:1400;24004003:1400;11007003:1400;12003003:1400;22004003:1000;42006003:1000;41103003:500;32005003:500;	22004003:10000;	44003003:10000;	43102003:10000;	30011010;30012000;30015010;30015010;30316010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;30326010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;30336010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2019	6000000	60000	30000	6000000	60000	30000	44003;43102;42006;31099;21099;
301504	醉花	team_06.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2005	6000000	60000	30000	6000000	60000	30000	31099;21099;
301505	兵王	iconClubBT.png	iconClubXX.png	15	15:19;	53002003:6000;52205003:1000;32202003:3000;	53002103:10000;	52205003:400;32202003:500;21202003:1300;21303003:1300;12002003:1300;21302003:1300;21102003:1300;22103003:1300;12102003:1300;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2001	6000000	60000	30000	6000000	60000	30000	31099;21099;
301506	凛冽	team_04.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	43202003:10000;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	30011010;30012000;30015010;30015010;30616010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;30626010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;30636010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2009	6000000	60000	30000	6000000	60000	30000	43202;31099;21099;
301507	往生	iconClubLH.png	iconClubXX.png	15	15:19;	21202003:500;21303003:500;12002003:500;21302003:500;21102003:500;22103003:500;12102003:500;54002003:6500;	54002103:10000;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2002	6000000	60000	30000	6000000	60000	30000	31099;21099;
201501	斩魄	team_08.png	iconClubXX.png	15	15:19;	21202003:1300;21303003:1300;12002003:1300;21302003:1300;21102003:1300;22103003:1300;12102003:1300;41103003:900;	41103103:10000;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	20011010;20012000;20015010;20015010;20116010;	1:7870;2:1500;3:400;4:230;	20021010;20022000;20025010;20025010;20126010;	1:4680;2:3500;3:1500;4:320;	20031010;20032000;20035010;20035010;20136010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2010	6000000	60000	30000	6000000	60000	30000	41103;21099;11099;
201502	虚无	team_02.png	iconClubXX.png	15	15:19;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;42203003:200;	41203103:10000;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;42203003:200;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;42203003:200;	20011010;20012000;20015010;20015010;20216010;	1:7870;2:1500;3:400;4:230;	20021010;20022000;20025010;20025010;20226010;	1:4680;2:3500;3:1500;4:320;	20031010;20032000;20035010;20035010;20236010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2006	6000000	60000	30000	6000000	60000	30000	41203;21099;11099;
201503	马刺	team_07.png	iconClubXX.png	15	15:19;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;54102003:200;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;52302103:200;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;54102003:200;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;54102003:200;	20011010;20012000;20015010;20015010;	1:7870;2:1500;3:400;4:230;	20021010;20022000;20025010;20025010;	1:4680;2:3500;3:1500;4:320;	20031010;20032000;20035010;20035010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2008	6000000	60000	30000	6000000	60000	30000	21099;11099;
101501	传奇	team_11.png	iconClubXX.png	15	15:19;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;41306103:200;	41306103:10000;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2017	6000000	60000	30000	6000000	60000	30000	11099;
101502	无极	team_14.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	32005103:10000;	31304003:10000;	21202003:1400;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1600;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2022	6000000	60000	30000	6000000	60000	30000	11099;
101503	穿天	team_10.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2015	6000000	60000	30000	6000000	60000	30000	11099;
101504	雄华	team_16.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2011	6000000	60000	30000	6000000	60000	30000	11099;
101505	倾贺	team_09.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2012	6000000	60000	30000	6000000	60000	30000	11099;
101506	重律	team_21.png	iconClubXX.png	15	15:19;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	21202003:1600;21303003:1400;12002003:1400;21302003:1400;21102003:1400;22103003:1400;12102003:1400;	10011010;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021010;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031010;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2014	6000000	60000	30000	6000000	60000	30000	11099;
