道具组id	道具类型	道具id	道具名称	道具数量	道具权重
401086	4	1	19000金币	19000	1100
401087	4	1	19000金币	19000	1100
401088	4	1	19000金币	19000	1100
401089	4	1	19000金币	19000	1100
401090	4	1	19000金币	19000	1100
401091	4	1	20000金币	20000	1100
401092	4	1	20000金币	20000	1100
401093	4	1	20000金币	20000	1100
401094	4	1	20000金币	20000	1100
401095	4	1	20000金币	20000	1100
401096	4	1	21000金币	21000	1100
401097	4	1	21000金币	21000	1100
401098	4	1	21000金币	21000	1100
401099	4	1	21000金币	21000	1100
401100	4	1	21000金币	21000	1100
402001	1	71000001	SP+5	20	3000
402002	1	71000001	SP+5	20	3000
402003	1	71000001	SP+5	20	3000
402004	1	71000001	SP+5	20	3000
402005	1	71000001	SP+5	20	3000
402006	1	71000001	SP+5	20	2000
402007	1	71000001	SP+5	20	2000
402008	1	71000001	SP+5	20	2000
402009	1	71000001	SP+5	20	2000
402010	1	71000001	SP+5	20	2000
402011	1	71000001	SP+5	20	1000
402012	1	71000001	SP+5	20	1000
402013	1	71000001	SP+5	20	1000
402014	1	71000001	SP+5	20	1000
402015	1	71000001	SP+5	20	1000
402016	1	71000001	SP+5	20	1000
402017	1	71000001	SP+5	20	1000
402018	1	71000001	SP+5	20	1000
402019	1	71000001	SP+5	20	1000
402020	1	71000001	SP+5	20	1000
402021	1	71000001	SP+5	20	1000
402022	1	71000001	SP+5	20	1000
402023	1	71000001	SP+5	20	1000
402024	1	71000001	SP+5	20	1000
402025	1	71000001	SP+5	20	1000
402006	1	72000001	SP+10	4	1000
402007	1	72000001	SP+10	4	1000
402008	1	72000001	SP+10	4	1000
402009	1	72000001	SP+10	4	1000
402010	1	72000001	SP+10	4	1000
402011	1	72000001	SP+10	6	1000
402012	1	72000001	SP+10	6	1000
402013	1	72000001	SP+10	6	1000
402014	1	72000001	SP+10	6	1000
402015	1	72000001	SP+10	6	1000
402016	1	72000001	SP+10	8	1000
402017	1	72000001	SP+10	8	1000
402018	1	72000001	SP+10	8	1000
402019	1	72000001	SP+10	8	1000
402020	1	72000001	SP+10	8	1000
402021	1	72000001	SP+10	10	1000
402022	1	72000001	SP+10	10	1000
402023	1	72000001	SP+10	10	1000
402024	1	72000001	SP+10	10	1000
402025	1	72000001	SP+10	10	1000
402026	1	72000001	SP+10	10	1000
402027	1	72000001	SP+10	10	1000
402028	1	72000001	SP+10	10	1000
402029	1	72000001	SP+10	10	1000
402030	1	72000001	SP+10	10	1000
402031	1	72000001	SP+10	10	1000
402032	1	72000001	SP+10	10	1000
402033	1	72000001	SP+10	10	1000
402034	1	72000001	SP+10	10	1000
402035	1	72000001	SP+10	10	1000
402036	1	72000001	SP+10	10	1000
402037	1	72000001	SP+10	10	1000
402038	1	72000001	SP+10	10	1000
402039	1	72000001	SP+10	10	1000
402040	1	72000001	SP+10	10	1000
402011	1	73000001	SP+15	2	1000
402012	1	73000001	SP+15	2	1000
402013	1	73000001	SP+15	2	1000
402014	1	73000001	SP+15	2	1000
402015	1	73000001	SP+15	2	1000
402016	1	73000001	SP+15	4	1000
402017	1	73000001	SP+15	4	1000
402018	1	73000001	SP+15	4	1000
402019	1	73000001	SP+15	4	1000
402020	1	73000001	SP+15	4	1000
402021	1	73000001	SP+15	6	1000
402022	1	73000001	SP+15	6	1000
402023	1	73000001	SP+15	6	1000
402024	1	73000001	SP+15	6	1000
402025	1	73000001	SP+15	6	1000
402026	1	73000001	SP+15	8	1000
402027	1	73000001	SP+15	8	1000
402028	1	73000001	SP+15	8	1000
402029	1	73000001	SP+15	8	1000
402030	1	73000001	SP+15	8	1000
402031	1	73000001	SP+15	10	1000
402032	1	73000001	SP+15	10	1000
402033	1	73000001	SP+15	10	1000
402034	1	73000001	SP+15	10	1000
402035	1	73000001	SP+15	10	1000
402036	1	73000001	SP+15	10	1000
402037	1	73000001	SP+15	10	1000
402038	1	73000001	SP+15	10	1000
402039	1	73000001	SP+15	10	1000
402040	1	73000001	SP+15	10	1000
402041	1	73000001	SP+15	10	1000
402042	1	73000001	SP+15	10	1000
402043	1	73000001	SP+15	10	1000
402044	1	73000001	SP+15	10	1000
402045	1	73000001	SP+15	10	1000
402046	1	73000001	SP+15	10	1000
402047	1	73000001	SP+15	10	1000
402048	1	73000001	SP+15	10	1000
402049	1	73000001	SP+15	10	1000
402050	1	73000001	SP+15	10	1000
402051	1	73000001	SP+15	10	1000
402052	1	73000001	SP+15	10	1000
402053	1	73000001	SP+15	10	1000
402054	1	73000001	SP+15	10	1000
402055	1	73000001	SP+15	10	1000
402056	1	73000001	SP+15	10	1000
402057	1	73000001	SP+15	10	1000
402058	1	73000001	SP+15	10	1000
402059	1	73000001	SP+15	10	1000
402060	1	73000001	SP+15	10	1000
402061	1	73000001	SP+15	10	1000
402062	1	73000001	SP+15	10	1000
402063	1	73000001	SP+15	10	1000
402064	1	73000001	SP+15	10	1000
402065	1	73000001	SP+15	10	1000
402066	1	73000001	SP+15	10	1000
402067	1	73000001	SP+15	10	1000
402068	1	73000001	SP+15	10	1000
402069	1	73000001	SP+15	10	1000
402070	1	73000001	SP+15	10	1000
402071	1	73000001	SP+15	10	1000
402072	1	73000001	SP+15	10	1000
402073	1	73000001	SP+15	10	1000
402074	1	73000001	SP+15	10	1000
402075	1	73000001	SP+15	10	1000
402076	1	73000001	SP+15	10	1000
402077	1	73000001	SP+15	10	1000
402078	1	73000001	SP+15	10	1000
402079	1	73000001	SP+15	10	1000
402080	1	73000001	SP+15	10	1000
402081	1	73000001	SP+15	10	1000
402082	1	73000001	SP+15	10	1000
402083	1	73000001	SP+15	10	1000
402084	1	73000001	SP+15	10	1000
402085	1	73000001	SP+15	10	1000
402086	1	73000001	SP+15	10	1000
402087	1	73000001	SP+15	10	1000
402088	1	73000001	SP+15	10	1000
402089	1	73000001	SP+15	10	1000
402090	1	73000001	SP+15	10	1000
402091	1	73000001	SP+15	10	1000
402092	1	73000001	SP+15	10	1000
402093	1	73000001	SP+15	10	1000
402094	1	73000001	SP+15	10	1000
402095	1	73000001	SP+15	10	1000
402096	1	73000001	SP+15	10	1000
402097	1	73000001	SP+15	10	1000
402098	1	73000001	SP+15	10	1000
402099	1	73000001	SP+15	10	1000
402100	1	73000001	SP+15	10	1000
402026	1	74000001	SP+20	2	500
402027	1	74000001	SP+20	2	500
402028	1	74000001	SP+20	2	500
402029	1	74000001	SP+20	2	500
402030	1	74000001	SP+20	2	500
402031	1	74000001	SP+20	2	500
402032	1	74000001	SP+20	2	500
402033	1	74000001	SP+20	2	500
402034	1	74000001	SP+20	2	500
402035	1	74000001	SP+20	2	500
402036	1	74000001	SP+20	4	500
402037	1	74000001	SP+20	4	500
402038	1	74000001	SP+20	4	500
402039	1	74000001	SP+20	4	500
402040	1	74000001	SP+20	4	500
402041	1	74000001	SP+20	4	1000
402042	1	74000001	SP+20	4	1000
402043	1	74000001	SP+20	4	1000
402044	1	74000001	SP+20	4	1000
402045	1	74000001	SP+20	4	1000
402046	1	74000001	SP+20	6	1000
402047	1	74000001	SP+20	6	1000
402048	1	74000001	SP+20	6	1000
402049	1	74000001	SP+20	6	1000
402050	1	74000001	SP+20	6	1000
402051	1	74000001	SP+20	6	1000
402052	1	74000001	SP+20	6	1000
402053	1	74000001	SP+20	6	1000
402054	1	74000001	SP+20	6	1000
402055	1	74000001	SP+20	6	1000
402056	1	74000001	SP+20	8	1000
402057	1	74000001	SP+20	8	1000
402058	1	74000001	SP+20	8	1000
402059	1	74000001	SP+20	8	1000
402060	1	74000001	SP+20	8	1000
402061	1	74000001	SP+20	8	1000
402062	1	74000001	SP+20	8	1000
402063	1	74000001	SP+20	8	1000
402064	1	74000001	SP+20	8	1000
402065	1	74000001	SP+20	8	1000
402066	1	74000001	SP+20	10	1000
402067	1	74000001	SP+20	10	1000
402068	1	74000001	SP+20	10	1000
402069	1	74000001	SP+20	10	1000
402070	1	74000001	SP+20	10	1000
402071	1	74000001	SP+20	10	1000
402072	1	74000001	SP+20	10	1000
402073	1	74000001	SP+20	10	1000
402074	1	74000001	SP+20	10	1000
402075	1	74000001	SP+20	10	1000
402076	1	74000001	SP+20	10	1000
402077	1	74000001	SP+20	10	1000
402078	1	74000001	SP+20	10	1000
402079	1	74000001	SP+20	10	1000
402080	1	74000001	SP+20	10	1000
402081	1	74000001	SP+20	10	1000
402082	1	74000001	SP+20	10	1000
402083	1	74000001	SP+20	10	1000
402084	1	74000001	SP+20	10	1000
402085	1	74000001	SP+20	10	1000
402086	1	74000001	SP+20	10	1000
402087	1	74000001	SP+20	10	1000
402088	1	74000001	SP+20	10	1000
402089	1	74000001	SP+20	10	1000
402090	1	74000001	SP+20	10	1000
402091	1	74000001	SP+20	10	1000
402092	1	74000001	SP+20	10	1000
402093	1	74000001	SP+20	10	1000
402094	1	74000001	SP+20	10	1000
402095	1	74000001	SP+20	10	1000
402096	1	74000001	SP+20	10	1000
402097	1	74000001	SP+20	10	1000
402098	1	74000001	SP+20	10	1000
402099	1	74000001	SP+20	10	1000
402100	1	74000001	SP+20	10	1000
402041	1	75000001	SP+25	1	500
402042	1	75000001	SP+25	1	500
402043	1	75000001	SP+25	1	500
402044	1	75000001	SP+25	1	500
402045	1	75000001	SP+25	1	500
402046	1	75000001	SP+25	1	500
402047	1	75000001	SP+25	1	500
402048	1	75000001	SP+25	1	500
402049	1	75000001	SP+25	1	500
402050	1	75000001	SP+25	1	500
402051	1	75000001	SP+25	2	500
402052	1	75000001	SP+25	2	500
402053	1	75000001	SP+25	2	500
402054	1	75000001	SP+25	2	500
402055	1	75000001	SP+25	2	500
402056	1	75000001	SP+25	2	500
402057	1	75000001	SP+25	2	500
402058	1	75000001	SP+25	2	500
402059	1	75000001	SP+25	2	500
402060	1	75000001	SP+25	2	500
402061	1	75000001	SP+25	3	500
402062	1	75000001	SP+25	3	500
402063	1	75000001	SP+25	3	500
402064	1	75000001	SP+25	3	500
402065	1	75000001	SP+25	3	500
402066	1	75000001	SP+25	3	500
402067	1	75000001	SP+25	3	500
402068	1	75000001	SP+25	3	500
402069	1	75000001	SP+25	3	500
402070	1	75000001	SP+25	3	500
402071	1	75000001	SP+25	3	500
402072	1	75000001	SP+25	3	500
402073	1	75000001	SP+25	3	500
402074	1	75000001	SP+25	3	500
402075	1	75000001	SP+25	3	500
402076	1	75000001	SP+25	3	500
402077	1	75000001	SP+25	3	500
402078	1	75000001	SP+25	3	500
402079	1	75000001	SP+25	3	500
402080	1	75000001	SP+25	3	500
402081	1	75000001	SP+25	3	500
402082	1	75000001	SP+25	3	500
402083	1	75000001	SP+25	3	500
402084	1	75000001	SP+25	3	500
402085	1	75000001	SP+25	3	500
402086	1	75000001	SP+25	3	500
402087	1	75000001	SP+25	3	500
402088	1	75000001	SP+25	3	500
402089	1	75000001	SP+25	3	500
402090	1	75000001	SP+25	3	500
402091	1	75000001	SP+25	3	500
402092	1	75000001	SP+25	3	500
402093	1	75000001	SP+25	3	500
402094	1	75000001	SP+25	3	500
402095	1	75000001	SP+25	3	500
402096	1	75000001	SP+25	3	500
402097	1	75000001	SP+25	3	500
402098	1	75000001	SP+25	3	500
402099	1	75000001	SP+25	3	500
402100	1	75000001	SP+25	3	500
403006	1	60000001	暗夜猫眼石	1	50
403006	1	60000002	骷髅骨灰	1	50
403006	1	60000003	秘银碎屑	1	50
403006	1	60000004	冰霜残迹	1	50
403006	1	60000005	骷髅法师的手骨	1	50
403006	1	60000006	腐骨羊的骨椎	1	50
403007	1	60000001	暗夜猫眼石	1	50
403007	1	60000002	骷髅骨灰	1	50
403007	1	60000003	秘银碎屑	1	50
403007	1	60000004	冰霜残迹	1	50
403007	1	60000005	骷髅法师的手骨	1	50
403007	1	60000006	腐骨羊的骨椎	1	50
403008	1	60000001	暗夜猫眼石	1	50
403008	1	60000002	骷髅骨灰	1	50
403008	1	60000003	秘银碎屑	1	50
403008	1	60000004	冰霜残迹	1	50
403008	1	60000005	骷髅法师的手骨	1	50
403008	1	60000006	腐骨羊的骨椎	1	50
403009	1	60000001	暗夜猫眼石	1	50
403009	1	60000002	骷髅骨灰	1	50
403009	1	60000003	秘银碎屑	1	50
403009	1	60000004	冰霜残迹	1	50
403009	1	60000005	骷髅法师的手骨	1	50
403009	1	60000006	腐骨羊的骨椎	1	50
403010	1	60000001	暗夜猫眼石	1	50
403010	1	60000002	骷髅骨灰	1	50
403010	1	60000003	秘银碎屑	1	50
403010	1	60000004	冰霜残迹	1	50
403010	1	60000005	骷髅法师的手骨	1	50
403010	1	60000006	腐骨羊的骨椎	1	50
403011	1	60000001	暗夜猫眼石	1	30
403011	1	60000002	骷髅骨灰	1	30
403011	1	60000003	秘银碎屑	1	30
403011	1	60000004	冰霜残迹	1	30
403011	1	60000005	骷髅法师的手骨	1	30
403011	1	60000006	腐骨羊的骨椎	1	30
403012	1	60000001	暗夜猫眼石	1	30
403012	1	60000002	骷髅骨灰	1	30
403012	1	60000003	秘银碎屑	1	30
403012	1	60000004	冰霜残迹	1	30
403012	1	60000005	骷髅法师的手骨	1	30
403012	1	60000006	腐骨羊的骨椎	1	30
403013	1	60000001	暗夜猫眼石	1	30
403013	1	60000002	骷髅骨灰	1	30
403013	1	60000003	秘银碎屑	1	30
403013	1	60000004	冰霜残迹	1	30
403013	1	60000005	骷髅法师的手骨	1	30
403013	1	60000006	腐骨羊的骨椎	1	30
403014	1	60000001	暗夜猫眼石	1	30
403014	1	60000002	骷髅骨灰	1	30
403014	1	60000003	秘银碎屑	1	30
403014	1	60000004	冰霜残迹	1	30
403014	1	60000005	骷髅法师的手骨	1	30
403014	1	60000006	腐骨羊的骨椎	1	30
403015	1	60000001	暗夜猫眼石	1	30
403015	1	60000002	骷髅骨灰	1	30
403015	1	60000003	秘银碎屑	1	30
403015	1	60000004	冰霜残迹	1	30
403015	1	60000005	骷髅法师的手骨	1	30
403016	1	60000001	暗夜猫眼石	2	20
403016	1	60000002	骷髅骨灰	2	20
403016	1	60000003	秘银碎屑	2	20
403016	1	60000004	冰霜残迹	2	20
403016	1	60000005	骷髅法师的手骨	2	20
403016	1	60000006	腐骨羊的骨椎	2	20
403017	1	60000001	暗夜猫眼石	2	20
403017	1	60000002	骷髅骨灰	2	20
403017	1	60000003	秘银碎屑	2	20
403017	1	60000004	冰霜残迹	2	20
403017	1	60000005	骷髅法师的手骨	2	20
403017	1	60000006	腐骨羊的骨椎	2	20
403018	1	60000001	暗夜猫眼石	2	20
403018	1	60000002	骷髅骨灰	2	20
403018	1	60000003	秘银碎屑	2	20
403018	1	60000004	冰霜残迹	2	20
403018	1	60000005	骷髅法师的手骨	2	20
403018	1	60000006	腐骨羊的骨椎	2	20
403019	1	60000001	暗夜猫眼石	2	20
403019	1	60000002	骷髅骨灰	2	20
403019	1	60000003	秘银碎屑	2	20
403019	1	60000004	冰霜残迹	2	20
403019	1	60000005	骷髅法师的手骨	2	20
403019	1	60000006	腐骨羊的骨椎	2	20
403020	1	60000001	暗夜猫眼石	2	20
403020	1	60000002	骷髅骨灰	2	20
403020	1	60000003	秘银碎屑	2	20
403020	1	60000004	冰霜残迹	2	20
403020	1	60000005	骷髅法师的手骨	2	20
403020	1	60000006	腐骨羊的骨椎	2	20
403021	1	60000001	暗夜猫眼石	2	20
403021	1	60000002	骷髅骨灰	2	20
403021	1	60000003	秘银碎屑	2	20
403021	1	60000004	冰霜残迹	2	20
403021	1	60000005	骷髅法师的手骨	2	20
403021	1	60000006	腐骨羊的骨椎	2	20
403022	1	60000001	暗夜猫眼石	2	20
403022	1	60000002	骷髅骨灰	2	20
403022	1	60000003	秘银碎屑	2	20
403022	1	60000004	冰霜残迹	2	20
403022	1	60000005	骷髅法师的手骨	2	20
403022	1	60000006	腐骨羊的骨椎	2	20
403023	1	60000001	暗夜猫眼石	2	20
403023	1	60000002	骷髅骨灰	2	20
403023	1	60000003	秘银碎屑	2	20
403023	1	60000004	冰霜残迹	2	20
403023	1	60000005	骷髅法师的手骨	2	20
403023	1	60000006	腐骨羊的骨椎	2	20
403024	1	60000001	暗夜猫眼石	2	20
403024	1	60000002	骷髅骨灰	2	20
403024	1	60000003	秘银碎屑	2	20
403024	1	60000004	冰霜残迹	2	20
403024	1	60000005	骷髅法师的手骨	2	20
403024	1	60000006	腐骨羊的骨椎	2	20
403025	1	60000001	暗夜猫眼石	2	20
403025	1	60000002	骷髅骨灰	2	20
403025	1	60000003	秘银碎屑	2	20
403025	1	60000004	冰霜残迹	2	20
403025	1	60000005	骷髅法师的手骨	2	20
403025	1	60000006	腐骨羊的骨椎	2	20
403026	1	60000001	暗夜猫眼石	3	20
403026	1	60000002	骷髅骨灰	3	20
403026	1	60000003	秘银碎屑	3	20
403026	1	60000004	冰霜残迹	3	20
403026	1	60000005	骷髅法师的手骨	3	20
403026	1	60000006	腐骨羊的骨椎	3	20
403027	1	60000001	暗夜猫眼石	3	20
403027	1	60000002	骷髅骨灰	3	20
403027	1	60000003	秘银碎屑	3	20
403027	1	60000004	冰霜残迹	3	20
403027	1	60000005	骷髅法师的手骨	3	20
403027	1	60000006	腐骨羊的骨椎	3	20
403028	1	60000001	暗夜猫眼石	3	20
403028	1	60000002	骷髅骨灰	3	20
403028	1	60000003	秘银碎屑	3	20
403028	1	60000004	冰霜残迹	3	20
403028	1	60000005	骷髅法师的手骨	3	20
403028	1	60000006	腐骨羊的骨椎	3	20
403029	1	60000001	暗夜猫眼石	3	20
403029	1	60000002	骷髅骨灰	3	20
403029	1	60000003	秘银碎屑	3	20
403029	1	60000004	冰霜残迹	3	20
403029	1	60000005	骷髅法师的手骨	3	20
403029	1	60000006	腐骨羊的骨椎	3	20
403030	1	60000001	暗夜猫眼石	3	20
403030	1	60000002	骷髅骨灰	3	20
403030	1	60000003	秘银碎屑	3	20
403030	1	60000004	冰霜残迹	3	20
403030	1	60000005	骷髅法师的手骨	3	20
403030	1	60000006	腐骨羊的骨椎	3	20
403031	1	60000001	暗夜猫眼石	3	20
403031	1	60000002	骷髅骨灰	3	20
403031	1	60000003	秘银碎屑	3	20
403031	1	60000004	冰霜残迹	3	20
403031	1	60000005	骷髅法师的手骨	3	20
403031	1	60000006	腐骨羊的骨椎	3	20
403032	1	60000001	暗夜猫眼石	3	20
403032	1	60000002	骷髅骨灰	3	20
403032	1	60000003	秘银碎屑	3	20
403032	1	60000004	冰霜残迹	3	20
403032	1	60000005	骷髅法师的手骨	3	20
403032	1	60000006	腐骨羊的骨椎	3	20
403033	1	60000001	暗夜猫眼石	3	20
403033	1	60000002	骷髅骨灰	3	20
403033	1	60000003	秘银碎屑	3	20
403033	1	60000004	冰霜残迹	3	20
403033	1	60000005	骷髅法师的手骨	3	20
403033	1	60000006	腐骨羊的骨椎	3	20
403034	1	60000001	暗夜猫眼石	3	20
403034	1	60000002	骷髅骨灰	3	20
403034	1	60000003	秘银碎屑	3	20
403034	1	60000004	冰霜残迹	3	20
403034	1	60000005	骷髅法师的手骨	3	20
403034	1	60000006	腐骨羊的骨椎	3	20
403035	1	60000001	暗夜猫眼石	3	20
403035	1	60000002	骷髅骨灰	3	20
403035	1	60000003	秘银碎屑	3	20
403035	1	60000004	冰霜残迹	3	20
403035	1	60000005	骷髅法师的手骨	3	20
403035	1	60000006	腐骨羊的骨椎	3	20
403036	1	60000001	暗夜猫眼石	4	10
403036	1	60000002	骷髅骨灰	4	10
403036	1	60000003	秘银碎屑	4	10
403036	1	60000004	冰霜残迹	4	10
403036	1	60000005	骷髅法师的手骨	4	10
403036	1	60000006	腐骨羊的骨椎	4	10
403037	1	60000001	暗夜猫眼石	4	10
403037	1	60000002	骷髅骨灰	4	10
403037	1	60000003	秘银碎屑	4	10
403037	1	60000004	冰霜残迹	4	10
403037	1	60000005	骷髅法师的手骨	4	10
403037	1	60000006	腐骨羊的骨椎	4	10
403038	1	60000001	暗夜猫眼石	4	10
403038	1	60000002	骷髅骨灰	4	10
403038	1	60000003	秘银碎屑	4	10
403038	1	60000004	冰霜残迹	4	10
403038	1	60000005	骷髅法师的手骨	4	10
403038	1	60000006	腐骨羊的骨椎	4	10
403039	1	60000001	暗夜猫眼石	4	10
403039	1	60000002	骷髅骨灰	4	10
403039	1	60000003	秘银碎屑	4	10
403039	1	60000004	冰霜残迹	4	10
403039	1	60000005	骷髅法师的手骨	4	10
403039	1	60000006	腐骨羊的骨椎	4	10
403040	1	60000001	暗夜猫眼石	4	10
403040	1	60000002	骷髅骨灰	4	10
403040	1	60000003	秘银碎屑	4	10
403040	1	60000004	冰霜残迹	4	10
403040	1	60000005	骷髅法师的手骨	4	10
403040	1	60000006	腐骨羊的骨椎	4	10
403041	1	60000001	暗夜猫眼石	4	10
403041	1	60000002	骷髅骨灰	4	10
403041	1	60000003	秘银碎屑	4	10
403041	1	60000004	冰霜残迹	4	10
403041	1	60000005	骷髅法师的手骨	4	10
403041	1	60000006	腐骨羊的骨椎	4	10
403042	1	60000001	暗夜猫眼石	4	10
403042	1	60000002	骷髅骨灰	4	10
403042	1	60000003	秘银碎屑	4	10
403042	1	60000004	冰霜残迹	4	10
403042	1	60000005	骷髅法师的手骨	4	10
403042	1	60000006	腐骨羊的骨椎	4	10
403043	1	60000001	暗夜猫眼石	4	10
403043	1	60000002	骷髅骨灰	4	10
403043	1	60000003	秘银碎屑	4	10
403043	1	60000004	冰霜残迹	4	10
403043	1	60000005	骷髅法师的手骨	4	10
403043	1	60000006	腐骨羊的骨椎	4	10
403044	1	60000001	暗夜猫眼石	4	10
403044	1	60000002	骷髅骨灰	4	10
403044	1	60000003	秘银碎屑	4	10
403044	1	60000004	冰霜残迹	4	10
403044	1	60000005	骷髅法师的手骨	4	10
403044	1	60000006	腐骨羊的骨椎	4	10
403045	1	60000001	暗夜猫眼石	4	10
403045	1	60000002	骷髅骨灰	4	10
403045	1	60000003	秘银碎屑	4	10
403045	1	60000004	冰霜残迹	4	10
403045	1	60000005	骷髅法师的手骨	4	10
403045	1	60000006	腐骨羊的骨椎	4	10
403046	1	60000001	暗夜猫眼石	5	10
403046	1	60000002	骷髅骨灰	5	10
403046	1	60000003	秘银碎屑	5	10
403046	1	60000004	冰霜残迹	5	10
403046	1	60000005	骷髅法师的手骨	5	10
403046	1	60000006	腐骨羊的骨椎	5	10
403047	1	60000001	暗夜猫眼石	5	10
403047	1	60000002	骷髅骨灰	5	10
403047	1	60000003	秘银碎屑	5	10
403047	1	60000004	冰霜残迹	5	10
403047	1	60000005	骷髅法师的手骨	5	10
403047	1	60000006	腐骨羊的骨椎	5	10
403048	1	60000001	暗夜猫眼石	5	10
403048	1	60000002	骷髅骨灰	5	10
403048	1	60000003	秘银碎屑	5	10
403048	1	60000004	冰霜残迹	5	10
403048	1	60000005	骷髅法师的手骨	5	10
403048	1	60000006	腐骨羊的骨椎	5	10
403049	1	60000001	暗夜猫眼石	5	10
403049	1	60000002	骷髅骨灰	5	10
403049	1	60000003	秘银碎屑	5	10
403049	1	60000004	冰霜残迹	5	10
403049	1	60000005	骷髅法师的手骨	5	10
403049	1	60000006	腐骨羊的骨椎	5	10
403050	1	60000001	暗夜猫眼石	5	10
403050	1	60000002	骷髅骨灰	5	10
403050	1	60000003	秘银碎屑	5	10
403050	1	60000004	冰霜残迹	5	10
403050	1	60000005	骷髅法师的手骨	5	10
403050	1	60000006	腐骨羊的骨椎	5	10
403051	1	60000001	暗夜猫眼石	5	10
403051	1	60000002	骷髅骨灰	5	10
403051	1	60000003	秘银碎屑	5	10
403051	1	60000004	冰霜残迹	5	10
403051	1	60000005	骷髅法师的手骨	5	10
403051	1	60000006	腐骨羊的骨椎	5	10
403052	1	60000001	暗夜猫眼石	5	10
403052	1	60000002	骷髅骨灰	5	10
403052	1	60000003	秘银碎屑	5	10
403052	1	60000004	冰霜残迹	5	10
403052	1	60000005	骷髅法师的手骨	5	10
403052	1	60000006	腐骨羊的骨椎	5	10
403053	1	60000001	暗夜猫眼石	5	10
403053	1	60000002	骷髅骨灰	5	10
403053	1	60000003	秘银碎屑	5	10
403053	1	60000004	冰霜残迹	5	10
403053	1	60000005	骷髅法师的手骨	5	10
403053	1	60000006	腐骨羊的骨椎	5	10
403054	1	60000001	暗夜猫眼石	5	10
403054	1	60000002	骷髅骨灰	5	10
403054	1	60000003	秘银碎屑	5	10
403054	1	60000004	冰霜残迹	5	10
403054	1	60000005	骷髅法师的手骨	5	10
403054	1	60000006	腐骨羊的骨椎	5	10
403055	1	60000001	暗夜猫眼石	5	10
403055	1	60000002	骷髅骨灰	5	10
403055	1	60000003	秘银碎屑	5	10
403055	1	60000004	冰霜残迹	5	10
403055	1	60000005	骷髅法师的手骨	5	10
